"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONFT17	RCONFT18	RCONFT19	RCONFT20	RCONFT21	RCONFT22	RCONHK18	RCONHK19	RCONK102	RCONK103	RCONK104	RCONK192	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	DOES THE INSTITUTION HAVE ASSETS COV	LOANS AND LEASES COVERED BY LOSS SHA	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	OTHER REAL ESTATE OWNED COVERED BY F	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	ASSET CVR LS SHR FDIC OREO PRTN PROT	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
22543	2174	0		true	0	0	true	8551	198	true	false		false		true	300713	false			false	false						3826	0								505	0	
22552				false			false			false	false		false		false		false			false	false																	
22730				false			false			false	false		true	6027	false		false			false	false																	
23456				false			false			false	false		false		false		false			false	false																	
23504	150000	2464861						2338	289																				0	0	0	0						
23643				false			false			false	false		false		false		false			false	false																	
23755	5216	1172		true	0	0	false			false	false		true	145	true	208252	false			false	false																	
24006	0	287485		true	0	0	false			true	false		false		false		false			false	false						14774	14774								10949	-10949	
24378				false			false			false	false		false		false		false			false	false																	
24659				false			false			false	false		false		false		false			false	false																	
24668				false			false			false	false		false		true	97431	false			false	false																	
24949				false			false			false	false		true	7025	true	179277	false			false	false																	
25357				false			false			false	false		false		false		false			false	false																	
25647	0	0																											0	0	0	0						
26457	0	0																											0	0	0	0						
26765				false			false			false	false		true	76944	false		false			false	false																	
27070				false			false			false	true	37860	false		false		false			false	false																	
27548	11555	0		true	0	0	true	26502	2849	true	false		false		true	617570	false			false	false						6203	106								-239	118	
27614				false			false			false	false		false		true	27269	false			false	false																	
27847				false			false			false	false		false		false		false			false	false																	
28013	0	74580																											0	0	0	0						
28152	36997	0																											0	0	0	0						
28675	0	0																											0	0	0	0						
28732				false			false			false	false		false		false		false			false	false																	
29476				false			false			false	false		false		false		false			false	false																	
29636				false			false			false	false		false		false		false			false	false																	
29878	0	0																											0	0	0	0						
30052				false			false			false	false		true	6947	false		false			false	false																	
30502	121772	0		true	0	0	false			false	false		true	479	true	109048	false			false	false																	
30650				false			false			false	false		false		false		false			false	false																	
30810																																	334770	0	174000			
31134	0	0																											0	0	0	0						
31255	0	0						0	0																				0	0	0	0						
31657				false			false			false	false		false		false		false			false	false																	
31826	0	0																											0	0	0	0						
31835				false			false			false	false		false		false		false			false	false																	
32234	135000	0		true	0	0	false			false	false		false		false		false			false	false																	
32766				false			false			false	false		false		false		false			false	false																	
32971				false			false			false	false		false		true	119556	false			false	false																	
33147				false			false			false	false		false		false		false			false	false																	
33259				false			false			false	false		false		false		false			false	false																	
33268	2493	0		true	0	0	false			false	false		true	3214	false		false			false	false																	
33370				false			false			false	false		false		false		false			false	false																	
33839				false			false			false	false		true	973	false		false			false	false																	
33857	8267	0						16817	1712																				0	0	0	0						
34434				false			false			false	false		false		false		false			false	false																	
34537	909077	0						25096	1302																				0	0	0	0				53	0	
34555	0	0						0	0																				0	0	0	0						
34742				false			true	12634	1645	false	false		true	12901	false		false			false	false																	
35057	3150	0						0	11414																				0	0	0	0						
35301								0	0																													
35646				false			false			false	false		false		false		false			false	false																	
35879				false			false			false	false		false		true	59804	false			false	false																	
36456				false			false			false	false		false		false		false			false	false																	
36933				false			false			false	false		false		false		false			false	false																	
37051				false			false			false	false		false		false		false			false	false																	
37341				false			false			false	false		false		false		false			false	false																	
37435	14561	0		true	0	0	true	24504	4153	false	false		true	24504	true	415789	false			false	false																	
37640	11641	271760						40897	10418																				0	0	0	0				-140	0	
37659	0	0						0	0																				0	0	0	0						
37949				false			false			false	false		false		false		false			false	false																	
38740				false			false			false	false		false		false		false			false	false																	
39327				false			false			false	false		false		false		false			false	false																	
39756	0	0																											0	0	0	0						
40033				false			false			false	false		false		false		false			false	false																	
40499	189760	657517						149142	18805																				0	0	0	0				22520	0	
40855				false			false			false	false		true	3816	false		false			false	false																	
41553				false			false			false	false		false		false		false			false	false																	
41629				false			false			false	false		false		false		false			false	false																	
41825	2536	0						32278	2536																				0	0	0	0						
42037				false			false			false	false		false		false		false			false	false																	
42354				false			false			false	false		false		false		false			false	false																	
42372				false			false			false	false		false		false		false			false	false																	
42420	2292893	0						53670	5230																				0	0	0	0						
42448	0	0						0	0																				0	0	0	0						
42457				false			false			false	false		false		false		false			false	false																	
43052				false			false			false	false		false		true	31385	false			false	false																	
43351				false			false			false	false		false		false		false			false	false																	
43856				false			false			false	false		true	15617	false		false			false	false																	
43959				false			false			false	false		false		false		false			false	false																	
44040				false			false			false	false		false		false		false			false	false																	
44433	10000	0																											0	0	0	0						
44741				false			false			false	false		false		true	120962	false			false	false																	
44750				false			false			false	false		false		false		false			false	false																	
44929	0	0																											0	0	0	0						
45038	0	0						0	0																				0	0	0	0						
45047				false			false			false	false		false		false		false			false	false																	
45056				false			false			false	false		false		false		false			false	false																	
45430				false			false			false	false		false		false		false			false	false																	
45458				false			false			false	false		true	16455	true	16455	false			false	false																	
45551				false			true	8062	2878	false	false		true	10176	false		false			false	false																	
45560	7065	0						40302	1836																				0	0	0	0						
45775				false			false			false	false		false		false		false			false	false																	
46053	3992	0		true	0	0	false			false	false		true	37876	true	108066	false			false	false																	
46941				false			false			false	false		false		false		false			false	false																	
47247	53237	8536						63382	20184																				0	0	0	0				0	0	
47256				false			false			false	false		true	1018	true	39489	false			false	false																	
47452				false			false			false	false		false		false		false			false	false																	
47500				false			false			false	false		true	27872	true	28291	false			false	false																	
48057				false			false			false	false		true	9566	true	9566	false			false	false																	
48150				false			false			false	false		false		false		false			false	false																	
48374				false			true	20325	2775	false	false		false		true	989735	false			false	false																	
48440				false			false			false	false		true	86388	true	119021	false			false	false																	
49054				false			false			false	false		false		true	10205	false			false	false																	
49148				false			false			false	false		false		false		false			false	false																	
49241	10980	0		true	0	0	false			true	false		false		false		false			false	false						1856	1856								2179	-2179	
49652				false			false			false	false		false		true	15478	false			false	false																	
49858				false			false			false	false		false		false		false			false	false																	
49951				false			false			false	false		false		false		false			false	false																	
50144				false			false			false	false		false		false		false			false	false																	
50461	0	0																											0	0	0	0						
51253	0	0						0	0																				0	0	0	0						
51356	0	0																											0	0	0	0						
51459				false			false			true	false		false		false		false			false	false						2927	0								185	0	
51842	422	0																											0	0	0	0						
52719	0	0						0	0																				0	0	0	0						
52951				false			false			false	false		false		false		false			false	false																	
53051				false			false			false	false		false		false		false			false	false																	
54058	0	0																											0	0	0	0						
54656	0	0						0	0																				0	0	0	0						
54973	10885	0						12153	3101																				0	0	0	0						
55336				false			false			false	false		false		false		false			false	false																	
55635				false			false			false	false		false		false		false			false	false																	
55653				false			false			false	false		false		false		false			false	false																	
55970				false			false			false	false		false		true	158335	false			false	false																	
56258				false			false			false	false		false		false		false			false	false																	
56351	0	0						4533	820																				0	0	0	0				-28963	0	
56548	2026	0		true	0	0	false			false	false		false		true	207031	false			false	false																	
56717	9799	0		true	0	0	false			false	false		true	28661	true	124972	false			false	false																	
57040	0	0						0	0																				0	0	0	0						
57451				false			false			false	false		false		true	138951	false			false	false																	
58225				false			false			false	false		false		false		false			false	false																	
58243	1451481	0						59662	11938																				0	0	0	0						
58355	947	0		true	0	0	false			false	false		false		false		false			false	false																	
58551				false			false			false	false		false		false		false			false	false																	
58636				false			false			false	false		false		false		false			false	false																	
58757				false			false			false	false		false		false		false			false	false																	
58971	106422	0						18473	3539																				0	0	0	0						
59316	10966	0		true	0	0	false			false	false		false		true	60660	false			false	false																	
59352				false			false			false	false		false		false		false			false	false																	
59370				false			false			false	false		false		false		false			false	false																	
59754				false			false			false	false		false		false		false			false	false																	
60143								20000	3000																													
60330	42164	0						0	0																				0	0	0	0						
60545				false			false			false	false		false		false		false			false	false																	
60554				false			false			false	false		false		false		false			false	false																	
60648				false			false			false	false		false		true	62589	false			false	false																	
61122	0	0																											0	0	0	0						
61355	22280	0		true	0	0	true	34692	2147	false	false		false		true	905903	false			false	false																	
61476				false			false			false	false		true	19702	true	38843	false			false	false																	
61757	0	0																											0	0	0	0						
61832				false			false			false	false		false		false		false			false	false																	
61953				false			false			false	false		false		false		false			false	false																	
62044				false			false			false	false		false		true	538	false			false	false																	
62110				false			false			false	false		false		false		false			false	false																	
62147				false			false			false	false		true	71	true	50349	false			false	false																	
63050				false			false			false	false		false		false		false			false	false																	
63069																																				-68290	0	
63201				false			false			false	false		false		false		false			false	false																	
63573				false			false			false	false		false		true	41022	false			false	false																	
63733	0	0						1713	40																				0	0	0	0						
63742	21095	0		true	0	0	true	11646	440	false	false		true	1507	true	382038	false			false	false																	
64150				false			true	1680	2122	false	false		false		false		false			false	false																	
64552	35381	0						20730	13381																				0	0	0	0						
64730				false			false			false	false		false		false		false			false	false																	
65205	0	0		true	0	9841	false			false	false		true	103	true	103	false			false	false																	
65513																																						
65559	0	0						10755	779																				0	0	0	0						
65858				false			false			false	false		true	456	true	52	false			false	false																	
66154				false			false			false	false		false		false		false			false	false																	
66275				false			false			false	false		false		true	12	false			false	false																	
66677	16577	0						33190	4937																				0	0	0	0				1027	0	
67142				false			false			false	false		false		false		false			false	false																	
67151	69887	0		true	0	0	false			false	false		false		false		false			false	false																	
67209	25000	188169		true	0	35991	false			true	false		true	69589	true	185413	false			false	false						1334	0								591	0	
67254				false			false			false	false		false		false		false			false	false																	
67656	0	0																											0	0	0	0						
67870				false			false			false	false		false		true	532	false			false	false																	
68671	15000	0		true	0	0	false			false	false		false		false		false			false	false																	
68756	0	0																											0	0	0	0						
68831				false			false			false	false		false		false		false			false	false																	
69333	664	0						5745	0																				0	0	0	0						
69678				false			false			true	false		false		true	88437	false			false	false						241	0								-79	0	
70218	0	0						0	0																				0	0	0	0						
70414				false			false			false	false		false		true	131880	false			false	false																	
70638				false			true	23570	5248	false	false		true	1420	false		false			false	false																	
70955				false			false			false	false		false		false		false			false	false																	
71073				false			true	30925	8641	false	false		false		false		false			false	false																	
71457	3600	0		true	0	0	false			false	false		true	84389	true	6048	false			false	false																	
71859				false			false			false	false		false		false		false			false	false																	
72258				false			true	4068	464	false	false		false		false		false			false	false																	
72351				false			false			false	false		false		false		false			false	false																	
72454				false			false			false	false		false		false		false			false	false																	
72678				false			false			false	false		false		false		false			false	false																	
73116				false			false			false	false		false		true	246	false			false	false																	
73152				false			false			false	false		false		false		false			false	false																	
73554				false			false			false	true	17310	true	263	true	17573	false			false	false																	
73956				false			false			false	false		false		false		false			false	false																	
74056				false			false			false	false		false		false		false			false	false																	
74140	5676	0						6830	934																				0	0	0	0						
74403	0	0																											0	0	0	0						
74449				false			false			false	false		false		false		false			false	false																	
75259	1022	0		true	0	0	true	20195	1022	false	false		false		true	240563	false			false	false																	
75446	376	0		true	0	0	false			false	false		true	23305	true	48487	false			false	false																	
75455				false			false			false	false		false		false		false			false	false																	
75633								56316	8812																								0	0	0	0	144928	
75651				false			false			false	false		true	8218	false		false			false	false																	
76153	0	0						0	0																				0	0	0	0						
76443				false			false			false	false		false		true	55318	false			false	false																	
76854				false			false			false	false		false		false		false			false	false																	
77150	0	0						0	0																				0	0	0	0						
77253				false			false			false	false		false		false		false			false	false																	
77422				false			false			false	false		false		false		false			false	false																	
77851	38403	0						44373	3838																				0	0	0	0						
78157				false			false			false	false		false		false		false			false	false																	
78241				false			false			false	false		false		false		false			false	false																	
78559				false			false			false	false		false		false		false			false	false																	
79042	0	0																											0	0	0	0						
79127				false			false			false	false		false		false		false			false	false																	
79145	400	0		true	0	0	false			false	false		true	28398	true	194012	false			false	false																	
79257				false			false			false	false		false		false		false			false	false																	
79855	10550	0		true	0	0	false			false	false		false		false		false			false	false																	
80150				false			false			false	false		false		false		false			false	false																	
80374				false			false			false	false		false		true	4225	false			false	false																	
80431				false			false			false	false		false		false		false			false	false																	
81175	5380	0		true	0	0	false			false	false		true	35411	true	169246	false			false	false																	
82033				false			false			false	false		false		false		false			false	false																	
82257				false			false			false	false		false		false		false			false	false																	
82350				false			false			false	false		false		false		false			false	false																	
83151	5	0		true	0	0	false			false	false		false		true	88428	false			false	false																	
83375				false			false			false	false		false		false		false			false	false																	
83638								41093	51505																											-58	0	
83834				false			false			false	false		false		false		false			false	false																	
83852				false			false			false	false		false		false		false			false	false																	
83955				false			false			false	false		false		false		false			false	false																	
84046				false			false			false	false		false		false		false			false	false																	
84541	9597	0		true	0	0	true	14704	784	false	false		false		false		false			false	false																	
85052				false			false			false	false		false		false		false			false	false																	
85472	2604251	0						0	0																				0	0	0	0						
85931				false			false			false	false		false		false		false			false	false																	
86349				false			false			false	false		false		false		false			false	false																	
86675				false			false			false	false		false		false		false			false	false																	
87047				false			false			false	false		false		false		false			false	false																	
87159				false			false			false	false		false		false		false			false	false																	
87234	23592	15250		true	0	0	true	24494	5996	false	false		false		false		false			false	false																	
87476				false			false			false	false		false		true	28126	false			false	false																	
87579	0	0																											0	0	0	0						
88231	361208	0		true	0	0	true	339295	42579	true	false		false		true	998910	false			false	false						42898	12								-3919	40	
88259	380	0		true	0	0	false			false	false		false		true	11549	false			false	false																	
88352	0	0																											0	0	0	0						
88455				false			false			false	false		true	2272	false		false			false	false																	
88950				false			false			false	false		false		false		false			false	false																	
89032				false			false			false	false		false		true	47	false			false	false																	
89135				false			false			false	false		false		false		false			false	false																	
89854				false			false			false	false		false		false		false			false	false																	
89957				false			false			false	false		false		false		false			false	false																	
90047				false			false			false	false		false		false		false			false	false																	
90177				false			false			false	false		true	17625	true	17625	false			false	false																	
90328				false			false			false	false		false		false		false			false	false																	
90337	0	0						0	0																				0	0	0	0						
90579				false			false			false	false		false		false		false			false	false																	
91615				false			false			false	false		false		false		false			false	false																	
91754	0	0						0	0																				0	0	0	0						
91950				false			false			false	false		false		false		false			false	false																	
92144				false			false			false	false		false		false		false			false	false																	
92676	0	0																											0	0	0	0						
92706				false			false			false	false		true	9047	true	29472	false			false	false																	
92902				false			false			false	false		false		false		false			false	false																	
93244	566	0		true	0	0	false			false	false		true	45495	true	110460	false			false	false																	
93543	22826	0		true	0	0	true	9535	0	false	false		false		true	203654	false			false	false																	
93619																																						
94139				false			false			false	false		false		false		false			false	false																	
94522				false			true	8794	863	true	false		false		false		false			false	false						7339	0								848	0	
94755				false			false			false	false		false		false		false			false	false																	
94858				false			false			false	false		false		false		false			false	false																	
95051	585081	0						49108	171239																				0	0	0	0						
95677				false			false			false	false		true	7537	true	3287	false			false	false																	
96553	246	0		true	0	0	false			false	false		false		true	35287	false			false	false																	
97055				false			false			false	false		false		false		false			false	false																	
97279				false			false			false	false		false		false		false			false	false																	
97457				false			false			false	false		false		false		false			false	false																	
97804	59275	0		true	0	0	false			true	false		true	2220	true	48584	false			false	false						4985	5004								0	0	
97943	549	0		true	0	0	false			false	false		true	3915	false		false			false	false																	
98351				false			false			false	false		false		false		false			false	false																	
98463				false			false			false	false		true	0	false		false			false	false																	
98717	0	0						0	0																				0	0	0	0						
99143	6148	0		true	0	0	false			false	false		false		false		false			false	false																	
99376	294722	0						3088	2784																				0	0	0	0				-5626	0	
99442				false			false			false	false		false		false		false			false	false																	
99536				false			false			false	false		false		false		false			false	false																	
99853				false			false			false	false		false		false		false			false	false																	
100236				false			false			false	false		false		false		false			false	false																	
100357				false			false			false	false		false		false		false			false	false																	
100562	0	0						12907	247																				0	0	0	0						
100777				false			false			false	false		false		false		false			false	false																	
100843	30000	0		true	0	0	false			false	false		true	2126	true	8444	false			false	false																	
101037				false			false			false	false		false		false		false			false	false																	
101439	0	0																											0	0	0	0						
101671	0	0																											0	0	0	0						
101738				false			false			false	false		false		false		false			false	false																	
101952				false			false			false	false		false		false		false			false	false																	
102333				false			false			false	false		false		false		false			false	false																	
102342	853	0		true	0	0	false			false	false		true	24287	true	24287	false			false	false																	
102557				false			false			false	false		false		false		false			false	false																	
102874	0	0						3967	0																				0	0	0	0						
103134				false			false			false	false		false		false		false			false	false																	
104234				false			false			false	false		false		false		false			false	false																	
104542				false			false			false	false		false		false		false			false	false																	
104971				false			false			false	false		false		false		false			false	false																	
105026				false			false			false	false		false		false		false			false	false																	
105473				false			true	3023	485	false	false		false		true	62	false			false	false																	
105530				false			false			false	false		false		false		false			false	false																	
106359	65000	42082																											0	0	0	0						
106452				false			false			false	false		false		false		false			false	false																	
106676				false			false			false	false		false		true	14946	false			false	false																	
107244	4655	0						0	0																				0	0	0	0						
107459				false			false			false	false		false		false		false			false	false																	
107570				false			false			false	false		false		true	191197	false			false	false																	
107758				false			false			false	false		false		false		false			false	false																	
108072				false			false			false	false		false		false		false			false	false																	
108269				false			false			false	false		false		false		false			false	false																	
108652				false			false			false	false		false		false		false			false	false																	
108746				false			false			false	false		false		false		false			false	false																	
108951				false			true	15382	4843	false	false		true	7875	false		false			false	false																	
109136				false			false			false	false		false		false		false			false	false																	
109154				false			false			false	false		true	43	false		false			false	false																	
109453				false			false			false	false		false		false		false			false	false																	
109574				false			false			false	false		true	2502	true	3784	false			false	false																	
109659				false			false			false	false		false		true	73045	false			false	false																	
110413	0	0																											0	0	0	0						
110936				false			false			false	false		false		false		false			false	false																	
110945				false			false			false	false		false		false		false			false	false																	
110972				false			false			false	false		false		false		false			false	false																	
111157	0	0						0	0																				0	0	0	0						
111205	0	0		true	540	-2	false			false	false		true	17808	true	73139	false			false	false																	
111942	3510	0		true	0	0	true	5495	0	false	false		true	83730	true	308723	false			false	false																	
111979				false			false			false	false		false		false		false			false	false																	
112163	2749	0						21621	2749																				0	0	0	0						
112332				false			false			false	false		false		false		false			false	false																	
112510				false			false			false	false		false		false		false			false	false																	
112556				false			false			false	false		false		false		false			false	false																	
112837								0	0																								58070	0	58350			
113003	0	0																											0	0	0	0						
113030				false			false			false	false		false		false		false			false	false																	
113441				false			false			true	false		true	51446	true	51446	false			false	false						468	0								163	0	
113601				false			false			false	false		false		false		false			false	false																	
113740	20057	0						17173	5901																				0	0	0	0						
114149				false			false			false	false		false		false		false			false	false																	
114260	17813	0						19784	6439																				0	0	0	0						
114457				false			false			false	false		false		false		false			false	false																	
114774	5651	0		true	0	0	true	10162	558	true	false		false		true	512698	false			false	false						1378	0								286	0	
114840	13424	0		true	0	0	true	3066	0	false	false		false		false		false			false	false																	
114859				false			false			false	false		true	8628	true	8818	false			false	false																	
115146				false			false			false	false		false		false		false			false	false																	
115575				false			false			false	false		true	9393	true	101644	false			false	false																	
116358				false			false			false	false		false		false		false			false	false																	
116554				false			true	22817	5434	false	false		false		false		false			false	false																	
116741				false			false			false	false		false		false		false			false	false																	
117038	4838	0						0	0																				0	0	0	0						
117074				false			false			false	false		false		false		false			false	false																	
117458	0	3201		true	0	0	false			false	false		false		false		false			false	false																	
117775	0	0						0	0																				0	0	0	0						
118156				false			false			false	false		false		false		false			false	false																	
118660				false			false			false	false		false		true	5749	false			false	false																	
118736				false			false			false	false		false		false		false			false	false																	
119153	0	0																											0	0	0	0						
119528				false			false			false	false		false		true	31082	false			false	false																	
119779	0	65538						0	0																				0	0	0	0						
119872	10000	10000		true	0	0	false			false	false		false		true	36751	false			false	false																	
120476				false			false			false	false		false		false		false			false	false																	
120542				false			false			false	false		false		true	41346	false			false	false																	
120609				false			false			false	false		true	10907	true	181975	false			false	false																	
120953				false			false			false	false		false		false		false			false	false																	
121642	31201	0						72852	4199																				0	0	0	0						
121651				false			false			true	false		false		false		false			false	false						0	89611								0	3801	
121914				false			false			false	false		false		false		false			false	false																	
122153				false			false			false	false		false		false		false			false	false																	
122546				false			false			false	false		false		false		false			false	false																	
122854	567244	0						64620	21973																				0	0	0	0				-1250	0	
123075				false			false			false	false		false		true	193	false			false	false																	
123374				false			false			false	false		false		false		false			false	false																	
