"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
108072												
108269												
108652												
108746												
108951												
109136												
109154												
109453												
109574												
109659												
110413						1162992	0	0	3542	269667	889783	
110936												
110945												
110972												
111157												
111205												
111942												
111979												
112163						52294	1306	0	19390	27759	3839	
112332												
112510												
112556												
112837	93803400	1721639	55628	75215389	16810744	93797931	324742	50159	1396897	75215389	16810744	
113003						66757	673	0	675	2001	63408	
113030												
113441												
113601												
113740						170356	8251	0	2872	6371	152862	
114149												
114260						300993	56	0	29175	163	271599	
114457												
114774												
114840												
114859												
115146												
115575												
116358												
116554												
116741												
117038												
117074												
117458												
117775												
118156												
118660												
118736												
119153						5263	3344	0	1540	372	7	
119528												
119779						77268	7275	0	2699	1939	65355	
119872												
120476												
120542												
120609												
120953												
121642						172285	459	0	43765	11253	116808	
121651												
121914												
122153												
122546												
122854						516399	78073	0	24161	332157	82008	
123075												
123374												
124344												
124830												
125154						37873	1339	0	21535	628	14371	
125855												
125873												
126012												
126049												
126375												
126553						45117	0	0	1418	11700	31999	
126834												
127055												
127224												
128258												
128904						153053	37585	21040	46354	8008	40066	
129349												
129358												
129479												
129732						216290	0	0	23588	34155	158547	
129853												
129910												
130345												
130541						109936	95	0	48958	51788	9095	
130813												
131436						114906	3100	0	20031	6342	85433	
131717												
131940												
132107												
132451												
132778												
132938												
133579						11033	1	0	6560	127	4345	
133850												
133971												
134156												
134437						45856	3	0	8440	37363	50	
134455												
134848												
135836												
135854												
136048												
136338												
136459												
136655												
137205												
137447												
137456												
137559												
137643												
137652						76785	0	0	222	363	76200	
137915						437532	968	0	272	10750	425542	
138051												
138257												
138556												
139133						17084	0	0	1669	10816	4599	
139478												
139553												
139656						158986	34773	0	30926	1082	92205	
139740						59386	53606	0	3451	1144	1185	
139843						107286	19521	0	15106	8314	64345	
140157												
140362						67492	0	0	885	25177	41430	
140634												
141211												
141350												
141556						111412	3862	0	1746	18172	87632	
141677												
141958												
142049												
142179												
142955												
143372												
143662						1553685	155116	11053	129799	38072	1219645	
143859												
143952												
144034												
144052												
144155						18377	6367	0	2019	3108	6883	
144678												
144856												
144913												
145059												
145545												
145554												
145741												
145844												
146056												
146663												
146672						419325	229095	0	80761	2802	106667	
147651												
147679												
147857												
147923												
148171												
148238												
148340												
148470												
148715												
148920												
149150												
150035						30812	12401	0	12099	5563	749	
150044												
150727												
151546												
151957												
152057												
152253												
152431												
152440												
153054												
153353												
154154												
154770												
155759												
156457												
156635												
156970												
157155												
157379												
157650												
157744												
157856												
158376												
158741												
159636						69244	436	0	15921	3517	49370	
159645												
159953												
159971												
160360												
160454												
160959						20810	9959	0	4701	3076	3074	
161273												
161602												
162337												
163343												
163549						37192	33	0	5816	31342	1	
163857												
164153												
164331												
164377												
164957												
164975												
165628						525226	74910	0	75074	115381	259861	
165758												
166111												
166531												
166652						126817	0	0	2280	10546	113991	
166849												
167453												
167752												
168357												
168571												
169327												
169354												
169653						213956	41245	0	38865	9264	124582	
169756												
170257												
170275												
170332						6403	1774	0	3027	317	1285	
171133	75201	1281	0	62332	11588	75201	514	0	767	62332	11588	
171656												
171759												
171768												
172251												
172457												
172475												
172859												
173306						30636	3235	0	1331	2988	23082	
173342												
173557												
173575						10834	4853	0	2479	746	2756	
173641												
173959												
174321												
174367												
174572						85470	40207	0	20123	8330	16810	
175056						7244	216	0	1484	5527	17	
175140						18287	324	0	2059	15904	0	
175458												
175609												
176101						180243	272	0	5034	12853	162084	
176325						5162	0	0	1654	3508	0	
176437												
176464												
176642												
177135												
177443												
177500												
177555												
177751												
177920						118971	11278	0	3679	90033	13981	
178150												
178244												
178356												
178851												
179148												
179335												
