"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
13251	0	5445					620	0	8567					1	0	0			0	1676	0	0										0		
13457	0	3923					0	0	7211					0	0	0			0	2048	0	0										0		
14155	0	13493					512	0	33071					0	0	0			0	11512	0	0										0		
14650	3759	0					65	8984	0					0	0	0			5220	0	0	0										0		
14753	0	379					182	800	10684					0	0	0			685	5707	0	0										58		
14865	0	0					1199	2527	157645					0	0	0			1210	1660	0	0										0		
14977	0	6656					215	0	7590					0	0	0			0	934	0	0										0		
16551	0	79354					1807	28866	101089					0	0	0			25116	19235	0	0										0		
17110	100	0					219	100	0					0	0	0			0	0	0	0										18533		
17147	0	0					38060	2311041	1979233					644969	0	0			1114312	1344956	0	194482										0		
17259	0	2055					355	745	20401					0	0	0			745	10966	0	0										0		
17950	0	45427					2005	0	387778					0	0	0			0	81555	0	0										0		
17978	37078	0					2289	144602	0					7023	0	0			10232	0	0	0										0		
18050	0	60181					2075	0	426876					10000	0	0			0	140740	0	0										0		
18827	0	177044					5549	0	304668					0	0	0			0	51955	0	0										1003		
18836	0	2790					572	0	42761					0	0	0			0	8502	0	0										0		
18854	0	101126					1193	0	174534					0	0	0			0	28067	0	0										0		
19356	0	0					497	0	11230					5000	0	0			0	9782	0	0										0		
19936	4890	17490					419	6254	104265					5388	0	0			0	16354	0	0										0		
19972	0	0					34	28225	0					0	0	0			28176	0	0	0										0		
20053	0	927					243	0	8489					0	0	0			0	3821	0	0										0		
20633	0	2256					1261	0	63529					16391	0	0			0	22790	0	0										672		
20857	55749	11902					1191	93387	91450					15748	0	0			35349	75122	0	0										40		
21256	0	0					59	0	3247					0	0	0			0	0	0	0										0		
21359	0	4413					316	241	19820					0	0	0			0	2632	0	0										0		
21658	0	27717					1120	0	84162					5323	0	0			0	16833	0	0										48		
22048	0	1939					1133	0	55822					6140	0	0			0	17078	0	0										0		
22543	0	38529					824	0	42297					0	0	0			0	3768	0	0										50		
22552	0	20307					497	1286	31831					5734	0	0			1286	0	0	0										42		
22730	0	0					458	0	141688					273	0	0			0	53966	0	4898										0		
23456	0	0					978	411	89922					5252	0	0			411	33460	0	0										0		
23504	0	225925					65656	591403	960520					778200	145213	145213			0	33598	0	2124										0		
23643	0	0					1728	0	85616					10000	0	0			0	35463	0	0										0		
23755	0	1401					560	0	96969					0	0	0			0	41607	0	0										289		
24006	0	0					2878	421703	32431					37976	14774	14774			103943	4334	0	0										0		
24378	0	0					339	12936	6933					0	0	0			698	0	0	0										0		
24659	32705	18706					59	35143	18706					0	0	0			2438	0	0	0										0		
24668	0	0					5873	0	9612					0	0	0			0	3638	0	9118										0		
24949	0	26832					1581	72016	74420					5000	0	0			0	0	0	0										0		
25357	0	0					4243	22665	21657					15000	0	0			0	4036	0	0										0		
25647	0	1817					1315	0	33184					9999	0	0			0	2519	0	0										0		
26457	7882	8372					0	7882	8372					0	0	0			0	0	0	0										0		
26765	0	5563					12809	21064	194742					0	0	0			20963	6012	0	0										0		
27070	0	8176					4189	0	224329					32000	0	0			0	102432	0	0										0		
27548	0	7539					1898	0	448326					5000	0	0			0	80288	0	0										3432		
27614	0	4856					1790	0	244428					20500	0	0			0	108528	0	0										0		
27847	0	0					2207	53	133866					10000	0	0			0	84609	0	0										0		
28013	0	0					30031	4572	1002231					443012	15559	5541			0	26	0	25000										1023		
28152	0	11516					621	0	57098					0	0	0			0	25059	0	0										0		
28675	0	0					1484	0	127337					17000	0	0			0	3816	0	0										6		
28732	0	2265					219	8040	22945					0	0	0			1219	7202	0	0										0		
29476	0	0					621	1027	3888					2820	0	0			1027	1494	0	0										0		
29636	0	0					2549	411859	198107					0	0	0			92819	99687	0	129919										439		
29878	0	49507					2307	0	90646					0	0	0			0	0	0	0										0		
30052	16878	0					119	18012	0					79	0	0			1134	0	0	0										0		
30502	0	0					3381	0	292149					73000	0	0			0	14202	0	92259										21799		
30650	0	0					421	0	28286					0	0	0			0	6168	0	0										0		
30810																																		
31134	0	2876					113	0	26274					0	0	0			0	17739	0	0										0		
31255	0	19025					2865	0	161115					0	0	0			0	118560	0	0										0		
31657	0	0					402	122030	0					0	0	0			11582	0	0	0										0		
31826	0	28036					1764	0	64590					0	0	0			0	21138	0	0										0		
