"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37		0	76																																	3	0	1201								
242		0	334																																	0	0	2327								
279		19435	14419																																	1889	0	5052								
354		3974	376																																	23	0	946								
457		908	489																																	2124	0	4178								
505		7469	27079																																	16328	0	15682								
1155		5855	11785																																	29030	0	18252								
1351		66	0																																	3855	0	1544								
1454		0	25434																																	29503	0	46624								
1669		14226	7018																																	9750	0	971								
1856		270	0																																	572	0	342								
2161	9260	4146	10144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7651	0	9413								
2732		617	63729																																	31645	0	385								
2750		81	1965																																	1738	0	13524								
3252		0	304																																	3798	0	11564								
3458		240	1676																																	787	0	508								
3720		2714	3916																																	3571	0	3112								
3971		10515	79536																																	55972	0	7957								
4156		5108	3334																																	4280	0	7203								
4231		101	4393																																	303	0	2866								
5069		6767	14282																																	1952	0	1172								
5135		4095	5891																																	6557	0	30308								
5210		19850	82307																																	90875	0	35650								
5461		232	8543																																	20267	0	14414								
5751		424	4469																																	10343	0	12638								
6039	0	8581	9253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10498	0	9952								
6329	0	47951	44498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																26163	0	18223								
7009		0	0																																	0	0	0								
7045	0	1316	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1032	0	3118								
7072		1204	2598																																	5332	0	7376								
7456		473	242																																	3900	0	26787								
7634		3726	231																																	180	0	533								
8033		11949	10954																																	3624	0	12086								
8462		0	370																																	1125	0	3298								
8631		891	604																																	794	0	105								
9357		0	8430																																	135745	289514	6322								
9553		504	0																																	2281	0	27961								
9807	0	84041	275577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																6020	0	4841	MUNICIPAL LETTER OF CREDIT FHLBNY							
9955		0	1715																																	4288	0	16796								
10250		1942	19550																																	36729	0	9081								
10849		7503	5184																																	2507	0	1218								
11145	0	2277	24530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7724	0	2350								
11640		4282	6528																																	6157	0	27328								
11837		643	220																																	113	0	883								
12030		971	17162																																	7958	0	28592								
12142		1789	3057																																	13351	0	5978								
12311																																														
12647		339	174																																	4519	0	13754								
12656		81	0																																	773	0	57								
12946		34452	179965																																	80273	0	41674								
13103	0	38988	112351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																35795	0	122720								
13251		858	0																																	1761	0	863								
13457		0	0																																	648	0	1712								
14155		13619	4454																																	2293	0	6357								
14650		0	0																																	8	0	71								
14753		0	16																																	94	0	6591								
14865		7676	6687																																	56130	0	102018								
14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																175	0	7247								
16551		3456	4809																																	5472	0	667								
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																11468	0	161099								
17147	0	117255	497657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3028772	0	317722								
17259		99	15																																	0	0	1325								
17950		3178	4901																																	11991	0	16984								
17978		15122	495																																	0	0	118				Commit's to Originate Single Family Mortgages				
18050		9700	27976																																	7159	0	5946								
18827		8367	143751																																	116246	0	12353								
18836		4739	6228																																	805	0	4717								
18854	800	51904	43745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																115594	0	16106								
19356		1414	1322																																	3666	0	1323								
19936		852	10145																																	16137	0	9046								
19972		3059	0																																	0	0	0								
20053		5056	0																																	6743	0	7862								
20633		1259	9246																																	2402	0	1721								
20857		879	6316																																	18611	0	70944								
21256		0	0																																	78	0	13								
21359		2	414																																	1115	0	3340								
21658	0	945	9474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2406	0	5946								
22048		2695	19309																																	7342	0	4371								
22543		7622	7919																																	17720	0	2765								
22552		0	1470																																	7733	0	8929								
22730		365	1352																																	2499	0	2953								
23456		7687	7264																																	4436	0	3173								
23504	1349800	8495	459207	0	0	71229	0	0	0	0	0	0	60651	10578	0	0	0	0	0	0	163947	0	158200	0	0	0	0	0	0	0	158200	0				737578	0	13337								
23643		2699	4163																																	6900	0	11311								
23755		6972	7809																																	4568	0	698								
24006		7900	42115																																	105200	0	0								
24378		487	724																																	19	0	29								
24659		0	731																																	4447	0	2399								
24668		60325	52138																																	383433	0	63963								
24949		2007	13875																																	21497	0	14214								
25357		9431	24928																																	4433	0	27026								
25647	0	6631	25508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																19435	0	985								
26457	0	1372	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																39	0	3313								
26765		94502	468423																																	389918	0	28276								
27070		4010	30229																																	23705	0	5783								
27548		7726	37262																																	122921	0	38928								
27614		789	2412																																	5386	0	9870								
27847		7338	20151																																	5541	0	565								
28013	0	4589	46650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																119010	0	4067								
28152	0	1991	6316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10812	0	5906								
28675	0	3824	3284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																7948	0	4416								
28732		6600	1681																																	2396	0	4173								
29476		767	2926																																	3937	0	473								
29636		9505	36325																																	14766	0	4948								
29878	0	2506	71878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	18332								
30052		3066	1419																																	560	0	0								
30502		7060	33466																																	22393	0	47663								
30650		4423	4449																																	10446	0	0								
30810																																														
31134	0	2681	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																328	0	6582								
31255	0	25288	38320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																37133	6589	1540								
31657		2123	0																																	1626	0	3528								
31826	0	5805	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	48189								
31835		244	0																																	3213	0	12326								
32234		753	617																																	6784	0	8111								
32766		9239	18834																																	2778	0	588								
32971		11879	3320																																	6900	0	5685								
33147		5140	9925																																	25354	0	22912								
33259		22123	91466																																	45549	0	17489								
33268		3538	1784																																	2726	0	3750								
33370		542	500																																	0	0	0								
33839		0	0																																	537	0	1485								
33857	0	51571	44312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																65312	0	80011								
34434		7756	13548																																	5695	0	16274								
34537	0	160920	339645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																360226	0	1080850								
34555	0	3695	15877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4395	0	7439								
34742		84838	30130																																	9450	0	5636								
35057	5000	1974	1349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2343	0	9440								
35301																																														
35646		854	0																																	4038	0	0								
35879		1874	290																																	0	0	7034								
36456		0	0																																	613	0	6787								
36933		22884	10954																																	1746	0	2988								
37051		0	1298																																	3379	0	9991								
37341		0	0																																	953	0	2044								
37435		68826	102329																																	25976	0	2095								
37640	0	43176	292931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																376303	0	208420								
37659	0	76	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																980	0	392								
37949		0	0																																	0	0	28190								
38740		2513	13549																																	3313	0	2212								
39327		14432	40610																																	16263	0	22620								
39756	7875	21205	7862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																94330	0	45772								
40033		0	0																																	1558	0	1455								
40499	0	28856	619286	0	0	76647	54228	0	8352	20476	47819	0	0	0	0	15295	38933	0	0	0																190447	0	118347								
40855		873	540																																	1583	0	1882								
41553		212	0																																	214	0	1277								
41629		0	9175																																	4196	10000	3796								
41825	0	26344	40899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																114865	0	11411								
42037		0	0																																	1965	0	5								
42354		12751	15469																																	3319	0	3873								
42372		28055	525																																	713	0	5148								
42420	0	124565	476033	0	0	264306	0	122041	0	0	7500	37872	146625	72309	0	0	0	0	33686	88355																684338	0	129214								
42448	162800	68891	91813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																60366	0	28520								
42457		3	1453																																	324	0	11839								
43052		466	0																																	17030	0	1466								
43351		19716	10134																																	15499	0	13266			0					
43856		1277	0																																	2060	0	56								
43959		6326	3398																																	4244	0	1989								
44040		1931	40																																	6920	0	22470								
44433	0	19068	7434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																15507	0	25								
44741		23237	33248																																	6792	0	4433								
44750		12158	3015																																	2104	0	10								
44929	0	0	2267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2873	0	1631								
45038	0	11	5845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10803	0	5690								
45047		1996	2171																																	1765	0	4572								
45056		153	73																																	3060	0	10266								
45430		5296	4																																	1	0	628								
45458		770	2564																																	7616	0	16727								
45551		0	36069																																	0	0	340686								
45560	0	51124	280731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																118635	0	64941								
45775		983	0																																	518	0	8079								
46053		620	2652																																	5710	0	21545								
46941		1179	5160																																	1431	0	7611								
47247	0	80142	24530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																17657	0	7257								
47256		1924	40																																	23	0	750								
47452		1279	158																																	580	0	16								
47500		0	15049																																	7517	0	9526								
48057		1295	1936																																	4437	0	9646								
48150		0	302																																	76	0	2742								
48374		2323	96259																																	36755	0	34292								
48440		0	0																																	7883	0	0				FHLB Pool (8026)	FHLB New (14578)	FHLB (17742)	FHLB (18555)	
49054		6510	13803																																	11502	0	4438								
49148		443	17																																	5034	0	1271								
49241		26346	76542																																	115160	0	33993								
49652		0	922																																	3899	0	10836								
49858		36562	838																																	2229	0	13								
49951		0	650																																	3028	0	4677	Federal Home Loan Bank							
50144		340	879																																	1723	0	684								
50461	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																24508	0	192								
51253	0	6235	7992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2185	0	2641								
51356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	1207								
51459		308	1352																																	6062	0	32971								
51842	0	1308	55713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																18422	0	21261								
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	0								
52951		943	1609																																	2907	0	6289								
53051		0	2015																																	5730	0	1834								
54058	0	5697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	39023								
54656	0	4726	15865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																24617	0	18492								
54973	0	105914	161787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																361428	0	122159								
55336		6122	16445																																	8692	0	705								
55635		0	3560																																	1693	0	389								
55653		0	3878																																	10588	0	39								
55970		25103	41616																																	3515	0	5463								
56258		1727	9956																																	19144	0	10042								
56351	0	117600	129748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																121835	5000	80892								
56548		1747	12061																																	1109	0	8454								
