"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
553038																																		1668	0	0	1668	0	0		0	0	0	0	0	19884	2	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
553926																																		1628	0	10600	1558	70	12670		0	0	0	0	0	1332	0	70	false	0	0	10600	0	1000	1070	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																					www.fnbsycamore.com	
553944																																		952	0	3	903	0	4757		0	0	0	0	0	10209	3	0			0	3	131	345	4278	0	0	0	0	0	0	0					49	49																					0	0	0	0	0	0	0	0																						
554268																																		0	0	0	0	0	0		0	0	0	0	0	3	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
554343																																		0	0	0	0	0	6500		0	0	0	0	0	4279	1	0			0	0	4000	2500	0	5500	0	0	0	0	20	0					0	0																					0	0	0	0	0	0	0	0																						
554857																																		2465	0	50000	44	2421	50000		0	0	0	0	0	8156	4	2421	true	0	0	50000	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																					www.5pointsbank.com	
555256																																		0	0	0	0	0	0		0	0	0	0	0	503	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
556011																																		660	0	500	0	660	500		0	0	0	0	0	3036	1	960			0	500	0	0	0	0	0	0	0	0	0	0					0	0																					4	79	0	0	0	0	0	0																						
556459																																		18034	0	18000	18034	0	18000		0	0	0	0	0	3101	4	0			0	18000	0	0	0	0	0	0	0	0	0	0						0																					5	907	0	0	0	0	0	0																						
556815																																		2821	479	0	2301	295	1247		0	0	0	0	479	12243	2	646	true	0	0	0	0	0	0	0	0	1247	0	0	0	1247	true	true	0	0		225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					7	114	0	0	0	0	0	0																					http://www.peoplesbanknet.com	
556936																																		0	34	0	0	0	2500		34	0	0	0	0	4443	1	0	true	0	0	0	1000	1500	0	0	0	0	0	0	0	0	true	true	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																					http://www.germanamericanstatebank.com	
557317																																		37470	0	0	35842	515	0	true	0	0	0	0	0	4183	5	515	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2	933	0	0	0	0	0	0					http://www.linkbank.com																http://www.gratzbank.com	
557438																																		0	0	0	0	0	0		0	0	0	0	0	296	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					http://www.giffordbank.com	
557858																																		17922	0	700000	15020	0	700000		0	0	0	0	0	95122	7	0	true	0	0	700000	0	0	0	0	0	0	0	0	0	0	true	true	0	0		2902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					53	2578	0	0	0	0	0	0																					http://www.intrustbank.com	
559179																																		0	0	0	0	0	0		0	0	0	0	0	1117	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
560214																																		0	0	9000	0	0	12000		0	0	0	0	0	641	0	0			0	9000	3000	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
560353																																		0	0	0	0	0	0		0	0	0	0	0	7050	2	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					www.fnblj.com	
560438																																		0	1158	0	0	0	0		0	0	0	0	1158	637	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					http://www.thebankofevergreen.com	
560830																																		774	0	0	774	0	0		0	0	0	0	0	1486	2	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					http://www.gnbonline.com	
561145																																		980	0	532	0	408	9429		0	0	0	0	0	5756	2	408			0	532	2082	1898	4917	0	0	0	0	0	0	0					0	572																					1	4	0	0	0	0	0	0																						
561574																																		6962	0	50700	4119	0	75207		0	0	0	0	0	3804	4	0			0	50700	23000	0	0	0	0	1172	320	15	0	1507						2843																					7	6492	0	0	0	0	0	0																					http://www.summitstatebank.com	
561659																																		525	200	37	525	0	2590		0	0	200	0	0	868	0	0	false	0	0	37	0	1900	653	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	6	0	0	0	0	0	0					WhyCommunityMatters.com																WYPinnbank.com	
561864																																		0	0	0	0	0	0		0	0	0	0	0	4874	2	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					6	1035	0	0	0	0	0	0																						
562058																																		1195	0	6000	0	1195	20750		0	0	0	0	0	13287	4	1848			0	6000	14750	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					http://www.ubu.bank	
563233																																		0	0	0	0	0	0		0	0	0	0	0	1368	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																					http://www.fnbgriffin.com	
563336																																		0	0	0	0	0	0		0	0	0	0	0	37	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																					https://www.citizensbankal.com	
563457																																		449	0	0	449	0	357		0	0	0	0	0	98	0	0			0	0	0	0	357	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
563934																																		0	0	0	0	0	0		0	0	0	0	0	406	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
564052																																		0	0	0	0	0	0		0	0	0	0	0	2170	1	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
564324																																		2914	0	0	0	2914	0		0	0	0	0	0	14204	4	3097			0	0	0	0	0	0	0	0	0	0	0	0						0																					3	116	0	0	0	0	0	0																					http://www.oldfortbank.com	
564463																																		0	0	10000	0	0	10000		0	0	0	0	0	3191	2	0			0	10000	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
564557	0	564	0	0	0	0		18879	4	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23040	0	0	0			0	0						0		0	0	0	0	564																0		true	false					0	0	0	0	0	0	0	0	0		0	0	0	0	0						0	0	0	0	0	0	0	0																					http://www.falconbank.com	
564678																																		0	0	0	0	0	10148		0	0	0	0	0	1042	1	0	false	0	0	0	0	2148	8000	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																					WWW.GSLSAVINGSBANK.COM	
564838																																		0	0	0	0	0	0		0	0	0	0	0	2988	1	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					8	332	0	0	0	0	0	0					www.citizenscommunitybank.net																www.ccbga.bank	
564977																																		291	0	10000	0	291	141000		0	0	0	0	0	557	0	436	true	0	0	10000	121000	10000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			1	true	0	0	0	0	0	0	0	0																					WWW.TSBHAWAII.BANK	
565143																																		0	0	0	0	0	982		0	0	0	0	0	0	0	0	false	0	0	0	0	0	982	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2	0	0	0	0	0	0																					www.firststatebankky.com	
565170																																		0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																			2	true	0	0	0	0	0	0	0	0					secure.myvirtualbranch.com																www.ffsmid.com	
