"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
19972		4815	0																																	0	0	0								
20053		2106	0																																	6331	0	8789								
20633		10	7335																																	1907	0	2142								
20857		6171	12361																																	25749	0	92623								
21256		0	0																																	70	0	17								
21359		2	17																																	1079	0	2126								
21658	0	925	4036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3439	0	7273								
22048		1581	16337																																	3222	1859	922								
22543		9037	7807																																	21691	0	3342								
22552		442	4011																																	7285	0	9023								
22730		727	3218																																	1702	0	2924								
23456		5193	4546																																	4199	0	2631								
23504	1479513	9396	229982	0	0	94021	0	0	0	0	0	0	83674	10347	0	0	0	0	0	0	181125	0	185620	0	0	0	0	0	0	0	185620	0				820945	128162	5275								
23643		1673	9652																																	8672	0	890								
23755		6312	16062																																	5707	0	598								
24006		636	88474																																	50776	0	7601								
24378		1176	1104																																	13	0	28								
24659		0	792																																	785	0	4297								
24949		2997	12703																																	15288	0	7899								
25357		9031	27621																																	2690	0	23303								
25647	0	1622	15572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10133	0	1450								
26765		66433	413089																																	452122	0	50230								
27070		272	28576																																	17032	0	12372								
27548	35450	7938	41215																																	89417	0	0								
27614		784	3426																																	6198	0	10749								
27847		5984	16944																																	5620	0	516								
28013	0	2084	44282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																113551	0	1637								
28152	0	841	2322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																13611	0	10005								
28675	0	5570	4588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																9373	0	4434								
28732		5651	2712																																	2521	0	2441								
29476		1629	3828																																	2899	0	539								
29636		9260	53305																																	12731	0	1374								
29878	0	1423	38300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	6634								
30052		3603	75																																	436	0	0								
30502		5206	15236																																	21965	0	34409								
30650		6160	5080																																	7734	0	1587								
30810																																														
31134	0	5016	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3169	0	6197								
31255	235758	25399	37659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																31743	14754	3053								
31657		1454	0																																	3147	0	1061								
31826	0	2419	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	57548								
31835		0	0																																	3294	0	12258								
32234		98	915																																	13181	0	5172								
32766		13891	3350																																	20030	0	2842								
32971		10089	9974																																	5552	0	3051								
33147		3727	10884																																	12615	0	16548								
33259		17131	85904																																	55747	0	21224								
33370		130	1541																																	0	0	0								
33839		0	0																																	658	0	2028								
33857	0	32317	34419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																66907	0	102737								
34434		4059	6468																																	3149	0	22462								
34537	0	681766	94278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				621223	0	1636137								
34555	0	1995	19523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3756	0	6528								
34742		69525	27918																																	4643	0	6321								
35057	5400	3463	1417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2086	0	12333								
35301																																														
35646		463	0																																	6552	0	0								
35879		3804	300																																	0	0	6384								
36456		80	0																																	575	0	6836								
36933		24661	8058																																	1523	0	3401								
37051		5	405																																	1329	0	5601								
37341		0	0																																	1799	0	961								
37435		42039	87608																																	11281	0	6015								
37640	0	33646	224528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																347589	0	255672								
37659	0	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																580	0	1984								
37949		0	0																																	0	0	26330								
38740		1231	16264																																	3757	0	2051								
39327		13242	46932																																	19451	0	26028								
39756	2000	25832	8992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																110792	0	47099								
40033		0	104																																	10	0	225								
40499	0	13484	364316	0	0	105961	76385	0	0	49259	56702	0	0	0	0	15038	61347	0	0	0																220496	0	52644								
40855		889	1680																																	1496	0	3306								
41553		5	342																																	147	0	1786								
41629		901	9266																																	4379	4329	2064								
41825	0	26005	48024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																130951	0	7825								
42037		0	0																																	1784	0	297								
42354		12449	6436																																	4141	0	1945								
42372		26860	484																																	629	0	5367								
42420	558160	63440	532199	0	0	199341	0	101321	0	0	0	25251	115395	58695	0	0	0	0	55672	45649	0	0	0	0	0	0	0	0	0	0	0	0				826197	0	126271								
42448	165100	55852	74514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																50220	0	34291				POTENTIAL RECOURSE ON SOLD LOANS				
42457		1	2524																																	1191	0	8381								
43052		524	0																																	15038	0	1442								
43351		18259	15255																																	21251	0	9822			0					
43856		878	0																																	1086	0	51								
43959		4516	7643																																	3919	0	1786								
44040		1307	91																																	7672	0	22764								
44433	0	30801	7356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3316	0	65								
44741		13186	36451																																	6363	0	4327								
44750		6600	3299																																	3358	0	1								
44929	0	0	2748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4229	0	1488								
45038	0	3561	4619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																12603	0	10133								
45047		2574	1848																																	1246	0	5442								
45056		9	75																																	2610	0	8613								
45430		4994	524																																	2	0	538								
45458		2526	2958																																	6979	0	23693								
45551		0	55681																																	0	0	326189								
45560	0	61160	280060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																164824	0	56563								
45775		542	0																																	927	0	8677								
46053		953	649																																	5158	0	15869								
46941		1346	5750																																	533	0	6846								
47247	0	76268	8087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																26400	0	3196								
47500		2149	8536																																	8346	0	7197								
48057		1010	1376																																	2273	0	10392								
48150		36	67																																	71	0	2680								
48374		1788	115870																																	49102	0	29944								
48440		950	0																																	9490	0	0				FHLB Pool (8026)	FHLB New (14578)	FHLB (17742)	FHLB (18555)	
49054		5235	6125																																	11525	0	5941								
49148		21	0																																	3289	0	1316								
49241		14816	85365																																	100187	0	34138								
49652		0	1467																																	4182	0	7354								
49858		28744	1977																																	2521	0	13								
49951		0	413																																	2686	0	2344	Federal Home Loan Bank							
50144		664	0																																	1944	0	487								
50461	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																18322	0	192								
51253	0	51681	5120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3084	0	4995								
51356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	686								
51459		36	2404																																	8107	0	28592								
51842	0	1600	27822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																31196	0	26940								
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	0								
52951		1602	601																																	12804	0	3599								
53051		0	92																																	1799	0	1865								
54058	0	14115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	32225								
54656	0	2512	8772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																54611	0	21828								
54973	0	67198	140770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																343597	0	98136								
55336		7627	24130																																	9682	0	940								
55635		2238	3625																																	143	0	448								
55653		560	5103																																	10526	0	341								
55970		19275	29461																																	2988	0	1668								
56258		1754	6262																																	20501	0	9773								
56351	0	74958	98575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																131847	5000	86551								
56548		2363	7780																																	1045	0	5740								
56717		2757	29308																																	26446	0	13684								
57040	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	11622								
57451		6541	35726																																	50849	0	2669								
58225		1319	5951																																	10082	0	3198								
58243	0	81361	322633	0	0	1446	0	0	1446	0	0	0	0	0	0	0	0	0	0	0																701057	20397	293762								
58355		2909	0																																	2823	0	949								
58551		0	0																																	2228	0	13936								
58636		11075	16468																																	7561	0	9517								
58757		5007	15606																																	24229	0	19893								
58971	0	188445	496441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1791	16	0	0	0	0	0	0	0	0	0	0				1354076	0	470012								
59316		14451	73734																																	92521	0	12264								
59352		5049	9395																																	5603	0	9453								
59370		4041	1864																																	9234	0	3411								
59754		1000	1837																																	1874	0	51								
60143																																														
60330	0	14529	48758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																41965	0	20026								
60545		1384	47																																	10849	0	22567								
60554		0	1																																	2850	0	4871								
60648		522	3400																																	4500	0	8114								
