"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11880	0	4508	20414	0	30743	0	0	0	0	34254	0	435		13035	1862		26235	33819	0	0	731	0	0	1896	11393	5162	1096	13289	0	660	305	0	6513	965	0	0	660	0													
242	7779	0	1166	12313	0	20009	0	0	0	0	27064	0	4745		6032	5855		18843	22319	0	0	0	0	0	1965	3580	2286	845	5545	511	3413	529	301	2644	4754	0	0	3924	0													
279	51643	0	1110	55117	0	110543	0	0	12000	0	200315	0	193		44040	35390		109433	200122	0	0	7240	12000	0	13063	44826	24680	8284	57888	4844	11987	5083	515	46812	22429	0	0	16831	0													
354	1659	0	133	10429	0	10429	0	0	6524	0	36046	0	1303		1537	4419		10296	19170	0	15573	0	1234	248	7582	6642	3220	4376	14224	1019	3586	1488	2055	20282	8148	0	1738	4605	15573													
457	8193	0	598	11540	0	14340	0	0	0	0	46549	0	9112		7162	19338		13742	36200	0	1237	1290	0	0	1952	11914	1007	384	13866	750	3011	0	0	8096	3761	0	0	3761	992													
505	102082	0	77512	260803	0	381655	0	0	30000	0	417273	0	60971		18005	182658		304143	356302	0	0	538	0	0	7658	20364	5648	340	27758	67782	29978	763	0	16005	98523	116064	30000	67760	0													
1155	741	2	33428	134689	0	339124	0	0	0	0	96095	0	8513		27033	37995		304126	87582	1568	0	2817	0	0	12434	22141	6541	2547	31827	959	11725	1012	0	16630	13696	54617	0	11979	0													
1351	10159	0	11984	31462	0	54249	0	0	0	0	125329	0	10904		34213	32598		42265	114425	0	0	4949	0	0	8465	28902	25939	0	37367	2084	7708	9473	0	29094	19265	0	0	9792	0													
1454	863	0	50989	365548	0	582049	0	0	0	0	381482	671	44143		35552	284714		529813	336668	1247	0	14152	0	0	23246	23154	8429	2430	38889	29972	6195	1912	567	21707	38646	53206	0	13172	0													
