"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	983					0	0	46158					0	0	0			0	35590	0	0										0		
242	0	3489					204	0	18351					3100	0	0			0	8558	0	0										0		
279	0	0					3455	26895	92474					79378	0	0			1990	13437	0	0										0		
354	0	237					478	0	954					7037	0	0			0	0	0	0										0		
457	0	1416					477	0	1416					8500	0	0			0	0	0	0										10		
505	0	21659					5776	0	66952					30000	0	0			0	20124	0	0										0		
1155	0	2083					1011	0	63266					0	0	0			0	43561	0	0										0		
1351	0	0					238	68767	16879					0	0	0			9791	0	0	0										0		
1454	0	30875					1432	0	438644					0	0	0			0	122773	0	0										108		
1669	0	42544					859	23163	64581					10500	0	0			23163	0	0	0										0		
1856	0	0					229	1000	8291					0	0	0			0	0	0	0										0		
2161	0	19795					2432	0	118848					28000	0	0			0	33356	0	0										0		
2732	0	15842					1369	0	53566					0	0	0			0	25798	0	0										0		
2750	0	486					311	0	15585					6758	0	0			0	8147	0	0										60		
3252	0	52227					652	0	152868					1000	0	0			0	48670	0	0										0		
3458	0	569					262	977	17162					500	0	0			977	7713	0	750										0		
3720	0	18586					410	41441	83152					0	0	0			33689	3060	0	0										0		
3971	0	47718					3955	0	141217					115807	0	0			0	3851	0	0										851		
4156	0	5205					720	0	55886					12300	0	0			0	35420	0	5584										0		
4231	2987	7719					0	3987	53606					0	0	0			0	26701	0	0										0		
5069	0	0					0	0	12390					0	0	0			0	1631	0	0										851		
5135	0	46156					1279	0	94168					18197	0	0			0	1986	0	0										0		
5210	0	0					5477	64616	435559					102784	0	0			61956	0	0	33106										888		
5461	4842	0					4516	239854	86932					40000	0	0			94447	4161	0	0										0		
5751	0	1715					594	6250	96933					6000	0	0			0	36122	0	0										0		
6039	0	28602					325	0	38444					0	0	0			0	1400	0	0										0		
6329	0	0					2045	0	168308					20000	0	0			0	12183	0	0										0		
7009	0	45114					0	0	114942					0	0	0			0	69828	0	0										689		
7045	0	0					669	331	129992					0	0	0			331	55477	0	0										0		
7072	1997	0					3474	47081	35095					25500	0	0			6609	2741	0	0										0		
7456	0	0					586	0	40071					0	0	0			0	36782	0	0										0		
7634	0	571					98	0	12794					0	0	0			0	5567	0	0										0		
8462	0	3746					21	0	95188					0	0	0			0	28164	0	0										0		
8631	0	0					347	0	18978					0	0	0			0	750	0	0										0		
9357	0	12226					789	0	45967					0	0	0			0	0	0	0										838		
9553	0	2334					3166	32492	38476					67355	0	0			32492	12252	0	0										0		
9807	0	53751					8150	188727	392559					50000	0	0			78718	233380	0	52593										1073		
9955	0	10573					3088	0	59938					21837	0	0			0	31510	10051	0										0		
10250	0	9616					2816	64418	179557					0	0	0			64418	54797	0	0										0		
10849	0	14066					580	0	59820					0	0	0			0	17217	0	0										0		
11145	0	0					1590	0	123773					24727	0	0			0	64700	0	0										0		
11640	0	0					3059	0	109476					23000	0	0			0	71810	0	0										0		
11837	0	0					139	0	52575					0	0	0			0	5438	0	0										0		
