"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							2707	1478	46158	0	0	283	0	3765	77946	64997	2688	67685	0	939	0	0	10261	1200	77946	0	0	12381	0	0	3500	0	20414	44584			0	24494	23555	-6820	0	0	0	0	10261	0	0	
242																																							2600	1061	18351	0	0	507	0	542	53221	47073	84	50257	0	179	3100	0	2964	120	53221	0	0	5458	0	0	120	0	12696	34377			0	29398	29219	-2734	941	0	0	0	2964	0	0	
279																																							9121	5230	92474	0	304	10812	162	14921	436007	310857	4309	394544	0	2934	79378	0	41463	1	436007	0	0	32593	0	0	15827	0	55051	255806			0	271883	268949	-6958	7139	0	0	0	41463	0	26895	
354																																							681	582	954	0	0	504	0	1623	60197	46475	392	53904	0	532	7037	0	6293	100	60197	0	0	-1047	0	0	7267	541	10429	36045			0	49933	49401	-27	5911	0	0	0	6293	0	0	
457																																							993	717	1416	0	0	733	31	1096	75901	60889	236	69625	0	784	8500	0	6276	60	75901	0	0	2368	0	0	3940	0	11540	49349			0	70450	69666	-92	1239	0	0	0	6276	10	0	
505																																							104876	21440	66952	0	1757	10050	0	20948	902110	798928	10395	839623	53	7953	30000	0	62434	6480	902110	0	0	41448	0	0	18403	0	260803	538125			0	684040	676087	-3897	0	0	300	0	62487	0	0	
1155																																							14740	10758	63266	0	9304	7294	0	12534	483876	435219	2813	438032	0	5365	0	0	45844	1600	483876	0	0	28738	0	0	23696	0	69719	365500			0	364976	359611	-8190	6369	0	0	0	45844	0	0	
1351																																							8139	4519	16879	0	0	4166	236	2497	210354	179578	1317	180895	0	1256	0	0	29459	240	210354	0	0	29628	0	0	530	0	31462	148116			0	106407	105151	-939	0	0	0	0	29459	0	68767	
1454																																							69953	13984	438644	0	0	3753	0	17792	1013629	963531	4607	968138	0	5722	0	0	45491	1000	1013629	0	0	127919	0	0	1214	1181	365548	597983			0	473936	468214	-84642	0	0	0	0	45491	108	0	
