"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
971070		0	306	33	6	0	282	43	28					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
971379		0	69	0	0	0	69	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
971959		0	19766	1200	1165	0	17696	704	409					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
972143		0	1054	144	18	0	918	26	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
972406		0	6	0	0	0	6	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
972648		0	9944	1598	184	0	8207	403	358			0		0	0	-53	231	0	178	0	0	-4	102	0	98	0	0	0	117	0	
972732		0	12358	0	179	0	9471	352	3060					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-629	0	
972750		0	1014	155	0	0	861	60	58					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
972769		0	6171	0	23	0	6183	0	-35					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
972862		0	10081	875	62	0	8527	85	702					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250		
973252		0	422	0	4	0	655	61	-176					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
974558		0	1941	-998	1	0	2972	34	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
974754		0	1323	0	4	0	1330	11	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
975153		2726	2669	640	62	0	2163	196	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116		
975256		0	2752	540	62	0	2282	132	0					0	0	27	0	0	27	0	0	0	0	0	0	0	0	0	151		
975452		0	607	0	0	0	607	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
975555		0	682	45	13	0	786	162	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
975751		123	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	
975854		0	5394	843	51	0	4656	156	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
976534		0	2054	120	26	0	1925	17	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
976552		0	13157	850	444	0	10865	226	1224					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
976703		0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
976954		0	125	0	0	0	125	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
977045		0	501	-10	0	0	511	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
977250		0	4503	-176	63	0	4616	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166		
977616		0	2347	-251	130	0	1309	2	1161					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-76		
977652		0	989	169	39	0	895	177	63					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-21		
977951		0	9328	427	209	0	8605	215	302					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
978118		0	21455	5292	41	0	18552	819	-1611			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	
978622		0	3247	57	0	0	3132	0	58					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
979133		0	1344	90	8	0	1251	5	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
979151		0	1481	0	1	0	1482	2	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
979357		0	546	22	12	0	581	59	-10					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
979375		0	34267	-3918	469	6478	45464	0	-1270					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-252	0	
979629		0	4474	79	322	0	3853	381	601					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
979759		0	2303	0	115	0	2215	16	-11					0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0		
980438		0	2033	90	56	0	2118	231	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
980531		0	9922	627	95	0	9208	581	573			0		0	0	0	0	0	0	0	0	499	0	0	499	0	0	0	-196	0	
980661	0		154795	17360	9464	0	143900	15929	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3940	0	
980773		0	2580	444	46	0	2970	78	-802					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585		
980951		0	2402	129	192	0	2461	330	-50					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
980960		0	8145	353	45	0	6612	47	1182					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
981275		0	76513	5599	2216	0	72816	4118	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2126	0	
