"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	5	0				0	21	0		16							0	0	0	0			0	0	0	0	1	0			0	0	0	0	0	0	0	0				3	4	1	1	
242	0	0	0	0	0	0	1	0				0	0	0		0				0		0	0	0	0	1			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
279	0	0	0	0	0	0	7	0				3	50	0		19				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				6	1	25	3	
354	0	0	0	0	0	0	5	2				1	20	2		0				0		1	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				17	2	1	0	
457	0	0	0	0	0	0	6	0				0	37	0		0				0		0	0	0	0	0			0	0	0	0	1	0			0	0	0	0	0	0	0	0				36	0	0	6	
505	0	0	0	0	0	0	20	0				2	90	0		8				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				81	16	1	1	
1155	0	0	0	0	0	0	256	240				11	41	8		21				0		0	0	0	0	0			4	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	8	5	
1351	0	0	0	0	0	0	81	15				0	255	8		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	33	32	0	0				100	24	114	10	
1454	0	0	0	0	0	0	24	2				19	71	0		68				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	3	2	
1669	0	0	0	10	0	0	39	0				0	108	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				53	8	55	21	
1856	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2161	0	0	0	0	0	0	11	5		0		0	102	90		0		0	0	0	0	0	0	0	0	0			4	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	8	6	
2732	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2750	0	0	0	0	0	0	2	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	0	0	
3252	0	23	0	0	0	0	595	42				412	512	33		64				64		412	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				54	18	361	100	
3458	0	0	0	0	0	0	7	0				0	10	0		6				0		0	0	0	0	0			0	0	6	0	0	0			0	0	0	0	0	0	0	0				0	0	4	1	
3720	0	0	0	0	0	0	3	2				0	0	0		0				0		0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
3971	0	0	0	0	30	0	58	9				0	3354	1388		0				0		0	0	0	0	0			0	0	25	13	0	0			0	0	0	0	87	0	0	0				0	0	1849	11	
4156	0	0	0	0	0	0	7	0				0	0	0		0							0	0	0	0			0	0	6	0	0	0			0	0	0	0	0	0	0	0				0	0	0	1	
4231	0	0	0	0	0	0	2	0				0	1	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	2	
5069	0	0	0	0	0	0	5	5				0	5	5		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
5135	234	0	0	0	0	0	10	8				0	406	14		50				50		0	0	0	0	0			0	0	0	0	52	0			0	0	0	0	40	0	0	0				0	0	16	2	
5210	0	0	0	0	0	0	100	42				42	389	110		146				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	133	16	
5461	0	125	0	0	0	0	491	0				0	24	0		0				0		0	0	0	0	0			0	0	0	139	17	0			0	0	0	0	0	201	0	26				0	0	7	0	
5751	0	0	0	0	0	0	1	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	1	
6039	0	0	0	0	0	0	7	0		0		0	15	0		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	15	7	
6329	0	8	0	0	0	0	2189	210		0		0	10950	325		0		0	0	0	0	0	0	0	0	0			0	3	24	0	8	0			0	0	0	0	0	0	0	0	0	0		7926	1620	2691	324	
7009	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
