IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF228,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
311256.0,283.0,0.0,0.0,6128.0,1396.0,7.0,,,141.0,,124.0,120.0,,0.0,1603.0,4917.0,604.0,79.0,1124.0,4289.0,6520.0,24.0,2526.0,50.0,,31.0,,,423.0,856.0,1187.0,331.0,102.0,856.0,1020.0,3457.0,124.0,14.0,,23.0,0.0,97.0,,,,,,0.0,,,false,6.0,108.0,,28.0,66.0,,19.0,,0.0,330.0,137.0,79.0,,,,,,,,,,,,,,0.0,,,,,,0.0,856.0,497.0,,,,,719.0,59.0,1187.0,0.0,59.0,20.0,,45.0
311265.0,74.0,10.0,0.0,4835.0,1376.0,0.0,,,190.0,,383.0,0.0,,0.0,1434.0,4491.0,408.0,99.0,1261.0,3795.0,5925.0,43.0,2205.0,44.0,,35.0,,,329.0,912.0,914.0,2.0,61.0,912.0,788.0,2336.0,372.0,19.0,,38.0,0.0,0.0,,,,,,0.0,,,true,0.0,145.0,,137.0,489.0,,0.0,,-1.0,310.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,912.0,402.0,,,,,312.0,592.0,914.0,0.0,0.0,0.0,,200.0
311603.0,3165.0,-418.0,0.0,14755.0,1897.0,0.0,0.0,,724.0,,1143.0,0.0,,445.0,6579.0,11485.0,2269.0,671.0,3124.0,13001.0,18064.0,374.0,8128.0,170.0,,0.0,,,1749.0,1069.0,1239.0,170.0,256.0,1069.0,5183.0,6931.0,76.0,18.0,,119.0,0.0,11.0,,,,,,0.0,,,false,0.0,20.0,,454.0,1219.0,,168.0,,0.0,916.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1069.0,1548.0,,,,,1266.0,582.0,314.0,925.0,58.0,0.0,,21.0
311658.0,46.0,-3.0,0.0,959.0,49.0,23.0,,,8.0,,187.0,0.0,,0.0,320.0,1190.0,155.0,22.0,345.0,1125.0,1510.0,37.0,618.0,18.0,,54.0,,,162.0,172.0,217.0,45.0,8.0,172.0,361.0,469.0,62.0,67.0,,13.0,0.0,0.0,,,,,,0.0,,,false,0.0,72.0,,115.0,176.0,,29.0,,0.0,49.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,172.0,0.0,,,,,77.0,76.0,217.0,0.0,55.0,0.0,,0.0
311845.0,65707.0,32.0,0.0,456197.0,106770.0,4.0,4559.0,,6959.0,,13776.0,1460.0,,14368.0,157470.0,385330.0,253720.0,64731.0,217993.0,599898.0,542800.0,8113.0,328960.0,6377.0,,1744.0,72801.0,0.0,51272.0,-1393.0,-5198.0,-3805.0,3457.0,-1376.0,118567.0,161707.0,10394.0,1179.0,1040.0,2796.0,600.0,13753.0,10623.0,,,,,0.0,2965.0,0.0,false,12163.0,50031.0,,14156.0,46298.0,0.0,37596.0,0.0,-1408.0,86513.0,0.0,1673.0,0.0,6049.0,24046.0,4507.0,0.0,0.0,0.0,,,-12705.0,0.0,0.0,0.0,0.0,,,,,,-17.0,-1393.0,,33100.0,13174.0,4383.0,14074.0,13366.0,2673.0,-5261.0,63.0,,,,44445.0
311939.0,175.0,0.0,0.0,6569.0,761.0,0.0,,,509.0,,235.0,0.0,,0.0,1550.0,5852.0,607.0,236.0,1135.0,4053.0,7402.0,303.0,2396.0,59.0,,0.0,,,522.0,2286.0,2286.0,0.0,0.0,2286.0,1949.0,3132.0,30.0,169.0,,23.0,13.0,7.0,,,,,,0.0,,,true,0.0,218.0,,194.0,78.0,,0.0,,6.0,342.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2286.0,246.0,,,,,480.0,480.0,2286.0,0.0,0.0,3.0,,120.0
312244.0,4510.0,0.0,0.0,17510.0,1331.0,0.0,1071.0,,1331.0,,2976.0,0.0,,0.0,7694.0,14016.0,3308.0,906.0,4160.0,9886.0,21710.0,128.0,4857.0,108.0,,210.0,,,869.0,7288.0,7288.0,0.0,258.0,7288.0,6707.0,7894.0,152.0,2177.0,,67.0,0.0,51.0,,,,,,0.0,,,true,0.0,247.0,,67.0,962.0,,197.0,,0.0,2030.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,7288.0,349.0,,,,,389.0,59.0,7288.0,0.0,34.0,90.0,,150.0
312356.0,87.0,0.0,0.0,4677.0,650.0,0.0,,,195.0,,173.0,11.0,,0.0,1087.0,4118.0,629.0,127.0,1498.0,3617.0,5205.0,202.0,1877.0,53.0,,12.0,,,242.0,573.0,573.0,0.0,11.0,573.0,1562.0,1321.0,167.0,93.0,,3.0,0.0,0.0,,,,,,0.0,,,true,0.0,949.0,,76.0,63.0,,0.0,,0.0,502.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,573.0,5.0,,,,,725.0,165.0,573.0,0.0,0.0,0.0,,557.0
313009.0,290.0,0.0,0.0,6242.0,274.0,0.0,,,0.0,,123.0,0.0,,0.0,4773.0,2294.0,25.0,6.0,670.0,2053.0,7067.0,296.0,1269.0,23.0,,0.0,,,114.0,181.0,266.0,85.0,0.0,181.0,2761.0,3207.0,123.0,1.0,,113.0,0.0,0.0,,,,,,0.0,,,false,0.0,0.0,,64.0,229.0,,0.0,,0.0,19.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,181.0,987.0,,,,,3240.0,255.0,266.0,0.0,0.0,0.0,,0.0
313157.0,391.0,1.0,0.0,3231.0,1328.0,152.0,298.0,,326.0,,414.0,0.0,,0.0,1397.0,2848.0,204.0,78.0,695.0,2025.0,4245.0,0.0,1104.0,23.0,,0.0,,,226.0,958.0,958.0,0.0,42.0,958.0,497.0,958.0,155.0,76.0,,103.0,0.0,0.0,,,,,,0.0,,,true,4.0,118.0,,74.0,271.0,,0.0,,0.0,124.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,958.0,114.0,,,,,353.0,463.0,958.0,0.0,0.0,2.0,,70.0
