IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJJ33
5047505.0,2930.0,0.0,0.0,6678.0,872.0,0.0,0.0,,0.0,,585.0,0.0,,0.0,4173.0,3817.0,212.0,5.0,1131.0,3627.0,7990.0,582.0,1728.0,42.0,,0.0,,,768.0,339.0,362.0,23.0,0.0,339.0,1992.0,3425.0,0.0,71.0,,46.0,0.0,0.0,,,,,,0.0,,,true,0.0,389.0,,0.0,99.0,,0.0,,0.0,207.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,339.0,58.0,,,,,855.0,259.0,362.0,0.0,0.0,0.0,40.0
5050028.0,2129.0,0.0,0.0,12840.0,4490.0,405.0,0.0,,32.0,,0.0,0.0,,0.0,4599.0,12285.0,6860.0,2171.0,4058.0,9226.0,16884.0,0.0,3462.0,250.0,,1576.0,0.0,0.0,1706.0,7570.0,9164.0,1594.0,1.0,7570.0,237.0,8044.0,0.0,20.0,0.0,8.0,0.0,0.0,53.0,,,,,0.0,0.0,0.0,false,0.0,37.0,,0.0,3631.0,0.0,0.0,0.0,0.0,4627.0,0.0,0.0,0.0,9.0,0.0,53.0,0.0,,,,,,,,0.0,,,,,,0.0,7570.0,,1576.0,68.0,188.0,339.0,641.0,233.0,9164.0,0.0,,,755.0
5136959.0,2762.0,0.0,0.0,7945.0,726.0,0.0,0.0,,123.0,,192.0,0.0,,0.0,4916.0,3473.0,198.0,70.0,981.0,3519.0,8389.0,175.0,1876.0,55.0,,0.0,,,662.0,112.0,152.0,40.0,0.0,112.0,2891.0,3318.0,0.0,20.0,,0.0,0.0,0.0,,,,,,0.0,,,false,0.0,887.0,,42.0,35.0,,0.0,,0.0,128.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,112.0,821.0,,,,,982.0,331.0,152.0,0.0,0.0,0.0,0.0
5143788.0,3354.0,0.0,0.0,6726.0,1327.0,0.0,0.0,,0.0,,131.0,0.0,,0.0,4770.0,4734.0,143.0,42.0,751.0,2195.0,9504.0,1411.0,1307.0,29.0,,3.0,,,137.0,1950.0,1950.0,0.0,0.0,1950.0,1782.0,3598.0,25.0,106.0,,29.0,0.0,0.0,,,,,,0.0,,,true,0.0,19.0,,413.0,794.0,,0.0,,0.0,101.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1950.0,1173.0,,,,,55.0,79.0,1950.0,0.0,0.0,0.0,732.0
5192496.0,3086.0,0.0,0.0,6984.0,2431.0,0.0,0.0,,25.0,,19.0,0.0,,0.0,3190.0,5326.0,151.0,53.0,1440.0,4108.0,8516.0,1410.0,2453.0,66.0,,0.0,,,215.0,640.0,919.0,279.0,0.0,640.0,373.0,4130.0,0.0,39.0,,40.0,0.0,0.0,,,,,,0.0,,,false,0.0,25.0,,19.0,44.0,,51.0,,0.0,47.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,640.0,0.0,,,,,41.0,24.0,919.0,0.0,0.0,0.0,450.0
5193989.0,1044.0,0.0,0.0,4534.0,1668.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,1488.0,4001.0,83.0,46.0,470.0,2324.0,5489.0,800.0,1756.0,32.0,,0.0,191.0,47.0,98.0,983.0,1393.0,410.0,0.0,983.0,371.0,2217.0,0.0,1.0,0.0,24.0,0.0,0.0,,,,,,0.0,0.0,0.0,false,0.0,278.0,,7.0,124.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,983.0,,,,,,205.0,0.0,1393.0,0.0,,,367.0
5205819.0,2474.0,0.0,0.0,12152.0,2060.0,0.0,0.0,,0.0,,798.0,0.0,,0.0,8163.0,6231.0,1157.0,106.0,1400.0,4975.0,14394.0,375.0,3172.0,80.0,,0.0,,,403.0,1761.0,2275.0,514.0,0.0,1761.0,3275.0,6789.0,145.0,2853.0,,66.0,0.0,613.0,,,,,,0.0,,,false,2.0,26.0,,158.0,845.0,,0.0,,0.0,438.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1761.0,1452.0,,,,,1115.0,269.0,2275.0,0.0,0.0,0.0,138.0
5210989.0,679.0,715.0,0.0,8732.0,3072.0,40.0,0.0,,0.0,,111.0,0.0,,0.0,5896.0,4492.0,3262.0,5.0,2971.0,7740.0,10388.0,567.0,4569.0,104.0,,0.0,,,200.0,184.0,184.0,0.0,0.0,184.0,1650.0,2837.0,0.0,5217.0,,5.0,0.0,1356.0,,,,,,0.0,,,false,0.0,1173.0,,710.0,223.0,,0.0,,0.0,1901.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,184.0,0.0,,,,,0.0,0.0,184.0,0.0,0.0,0.0,545.0
5227101.0,3806.0,0.0,0.0,9239.0,2408.0,0.0,0.0,,0.0,,68.0,0.0,,0.0,5067.0,5480.0,131.0,75.0,745.0,2296.0,10547.0,960.0,1442.0,35.0,,0.0,0.0,0.0,109.0,2486.0,3334.0,848.0,0.0,2486.0,1920.0,4752.0,40.0,654.0,37.0,7.0,0.0,0.0,,,,,,0.0,0.0,0.0,false,0.0,159.0,,68.0,205.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,2486.0,,,,,,500.0,107.0,3334.0,0.0,,,-19.0
5230790.0,198.0,0.0,0.0,1946.0,213.0,68.0,,,0.0,,14.0,0.0,,0.0,576.0,1787.0,99.0,40.0,286.0,1287.0,2363.0,147.0,860.0,29.0,,0.0,,,141.0,869.0,506.0,-363.0,0.0,869.0,654.0,1052.0,3.0,6.0,,3.0,0.0,0.0,,,,,,0.0,,,false,0.0,27.0,,28.0,157.0,,0.0,,0.0,59.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,869.0,0.0,,,,,181.0,191.0,506.0,0.0,0.0,0.0,93.0
