IDRSSD,RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3386,RCON3387,RCON3401,RCON3465,RCON3466,RCON3484,RCON3485,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17
37.0,,,,,,,,,,,,,0.0,,20209.0,0.0,88179.0,13040.0,,3150.0,,9812.0,2200.0,0.0,13368.0,1926.0,6747.0,41915.0,0.0,3799.0,13220.0,21762.0,1151.0
242.0,,,,,,,,,,,,,0.0,,25412.0,7637.0,52992.0,3065.0,2071.0,2210.0,,11167.0,6537.0,0.0,7272.0,4180.0,0.0,9609.0,0.0,2793.0,13328.0,6802.0,3848.0
279.0,,,,,,,,,,,,,0.0,30407.0,215428.0,3258.0,306887.0,21601.0,,5806.0,,148675.0,56485.0,206.0,62055.0,0.0,41805.0,5956.0,0.0,3877.0,73164.0,64923.0,10848.0
354.0,,,,,,,,,,,,,0.0,,8426.0,8696.0,18864.0,717.0,1297.0,3834.0,,2258.0,175.0,0.0,0.0,400.0,83.0,0.0,0.0,780.0,6232.0,2167.0,260.0
457.0,,,,,,,,,,,,,0.0,,42856.0,841.0,61789.0,16068.0,4598.0,7870.0,,14083.0,12086.0,0.0,3432.0,0.0,1.0,27.0,0.0,2932.0,22255.0,9628.0,787.0
505.0,,,,,,,,,,,,,0.0,15880.0,509785.0,1550.0,702946.0,100678.0,0.0,30820.0,,216008.0,207303.0,0.0,18125.0,0.0,32176.0,32452.0,0.0,29279.0,408317.0,28130.0,29013.0
1155.0,,,,,,,,,,,,,0.0,0.0,203048.0,0.0,291294.0,47200.0,5800.0,50481.0,,51813.0,78886.0,0.0,158429.0,5470.0,0.0,18986.0,380.0,4874.0,20357.0,40061.0,8390.0
1351.0,,,,,,,,,,,,,0.0,0.0,108531.0,0.0,187621.0,12930.0,12073.0,22721.0,,20614.0,35749.0,0.0,20523.0,38328.0,2437.0,13897.0,0.0,13258.0,36226.0,60253.0,14509.0
1454.0,,,,,,,,,,,,,0.0,0.0,370343.0,0.0,974287.0,169068.0,2089.0,76286.0,,126129.0,147567.0,1429.0,171221.0,99636.0,162853.0,142085.0,0.0,16768.0,307576.0,50953.0,40813.0
1669.0,,,,,,,,,,,,,0.0,0.0,198848.0,0.0,348529.0,28484.0,,20862.0,,101590.0,49637.0,813.0,84023.0,46721.0,14856.0,31420.0,0.0,20598.0,73484.0,40960.0,10710.0
