IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34
37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5873.0,2115.0,47870.0,0.0,0.0,258.0,0.0,777.0,81379.0,63596.0,273.0,63869.0,0.0,970.0,0.0,0.0,17510.0,1200.0,81379.0,0.0,0.0,11420.0,0.0,0.0,3500.0,0.0,18142.0,45453.0,,,0.0,25456.0,24486.0,1390.0,0.0,0.0,0.0,0.0,17510.0,,0.0
242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165.0,966.0,12363.0,0.0,0.0,479.0,0.0,462.0,48766.0,38750.0,28.0,43378.0,0.0,159.0,4600.0,0.0,5388.0,120.0,48766.0,0.0,0.0,4891.0,0.0,0.0,120.0,0.0,10056.0,28694.0,,,0.0,25738.0,25579.0,257.0,5752.0,0.0,0.0,0.0,5388.0,0.0,0.0
279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15238.0,5149.0,14075.0,0.0,706.0,6400.0,209.0,9122.0,298948.0,229022.0,1677.0,267024.0,0.0,1301.0,36325.0,0.0,31924.0,1.0,298948.0,0.0,0.0,31753.0,0.0,0.0,0.0,0.0,33712.0,195310.0,,,0.0,207413.0,206112.0,170.0,3787.0,0.0,0.0,0.0,31924.0,0.0,38150.0
354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,680.0,505.0,0.0,0.0,79.0,0.0,156.0,16289.0,14572.0,109.0,14681.0,0.0,171.0,0.0,0.0,1608.0,100.0,16289.0,0.0,0.0,570.0,0.0,0.0,936.0,1475.0,8225.0,6347.0,,,0.0,9321.0,9150.0,2.0,3644.0,0.0,0.0,0.0,1608.0,,0.0
457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10224.0,733.0,0.0,0.0,0.0,286.0,31.0,1683.0,57374.0,42969.0,197.0,52666.0,0.0,572.0,9500.0,0.0,4708.0,60.0,57374.0,0.0,0.0,708.0,0.0,0.0,3940.0,0.0,9771.0,33198.0,,,0.0,44434.0,43862.0,0.0,518.0,0.0,0.0,0.0,4708.0,6.0,31.0
505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63431.0,8689.0,65559.0,0.0,1912.0,9976.0,0.0,15645.0,667311.0,587910.0,8142.0,611932.0,58.0,7000.0,15880.0,0.0,55321.0,6480.0,667311.0,0.0,0.0,32936.0,0.0,0.0,18403.0,1007.0,150182.0,437728.0,,,0.0,506542.0,499542.0,-2498.0,1550.0,0.0,0.0,0.0,55379.0,0.0,0.0
1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15478.0,6811.0,24631.0,0.0,0.0,3932.0,124.0,7983.0,276616.0,248578.0,2182.0,250760.0,0.0,4007.0,0.0,0.0,25856.0,1600.0,276616.0,0.0,0.0,18742.0,0.0,0.0,4900.0,225.0,27506.0,221072.0,,,0.0,216440.0,212433.0,614.0,4999.0,0.0,0.0,0.0,25856.0,0.0,0.0
1351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13085.0,4353.0,6462.0,0.0,0.0,4837.0,193.0,2140.0,182587.0,154571.0,746.0,155317.0,0.0,1316.0,0.0,0.0,27270.0,240.0,182587.0,0.0,0.0,26440.0,0.0,0.0,530.0,0.0,24505.0,130066.0,,,0.0,107011.0,105695.0,60.0,0.0,0.0,0.0,0.0,27270.0,0.0,45822.0
1454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168665.0,13223.0,329180.0,0.0,0.0,4484.0,0.0,14407.0,890050.0,777999.0,3557.0,781556.0,0.0,4430.0,0.0,0.0,108494.0,1000.0,890050.0,0.0,0.0,98777.0,0.0,0.0,1214.0,5174.0,257905.0,520094.0,,,0.0,359291.0,354861.0,7503.0,0.0,0.0,0.0,0.0,108494.0,56.0,0.0
1669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19573.0,5239.0,65522.0,0.0,0.0,3928.0,5.0,14684.0,332878.0,280841.0,285.0,281126.0,0.0,3173.0,0.0,0.0,51752.0,800.0,332878.0,0.0,0.0,49063.0,0.0,0.0,800.0,0.0,70373.0,210468.0,,,0.0,197534.0,194361.0,1089.0,0.0,0.0,0.0,0.0,51752.0,0.0,29566.0
