IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF228,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
37.0,24.0,40.0,0.0,1605.0,311.0,0.0,,,115.0,,1026.0,0.0,,0.0,213.0,2721.0,308.0,108.0,945.0,2439.0,2934.0,65.0,1313.0,19.0,,0.0,,,181.0,665.0,630.0,-35.0,109.0,665.0,493.0,124.0,830.0,20.0,,8.0,0.0,0.0,,,,,,0.0,,,false,0.0,562.0,,99.0,131.0,,0.0,,0.0,200.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,665.0,0.0,,,,,155.0,14.0,630.0,0.0,0.0,0.0,0.0,0.0
242.0,70.0,0.0,0.0,1478.0,77.0,20.0,85.0,,85.0,,238.0,0.0,,0.0,289.0,1640.0,142.0,70.0,235.0,1159.0,1929.0,63.0,771.0,12.0,,0.0,,,153.0,578.0,612.0,34.0,20.0,578.0,598.0,415.0,101.0,10.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,303.0,,130.0,0.0,,0.0,,1.0,65.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,578.0,75.0,,,,,69.0,65.0,612.0,0.0,2.0,4.0,0.0,11.0
279.0,383.0,-29.0,0.0,10175.0,353.0,99.0,0.0,,589.0,,533.0,6.0,,0.0,2285.0,10398.0,1801.0,640.0,2836.0,9546.0,12683.0,39.0,5809.0,61.0,,0.0,,,769.0,1959.0,2416.0,457.0,35.0,1959.0,6746.0,2099.0,533.0,264.0,,38.0,44.0,0.0,,,,,,0.0,,,false,0.0,388.0,,166.0,1627.0,,-3.0,,6.0,1109.0,0.0,132.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1959.0,777.0,,,,,593.0,268.0,2416.0,0.0,0.0,5.0,0.0,208.0
354.0,74.0,0.0,0.0,1805.0,87.0,0.0,69.0,,69.0,,0.0,0.0,,0.0,576.0,1341.0,537.0,52.0,-240.0,2640.0,1917.0,83.0,2676.0,30.0,,0.0,,,204.0,-669.0,-897.0,-228.0,0.0,-669.0,1225.0,365.0,0.0,0.0,,16.0,0.0,454.0,,,,,,0.0,,,false,0.0,59.0,,13.0,0.0,,0.0,,7.0,24.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,-669.0,312.0,,,,,170.0,20.0,-897.0,0.0,0.0,0.0,0.0,135.0
457.0,141.0,0.0,0.0,3194.0,470.0,7.0,324.0,,364.0,,24.0,0.0,,0.0,402.0,2852.0,285.0,83.0,465.0,1659.0,3254.0,18.0,1033.0,14.0,,2.0,,,161.0,1271.0,1423.0,152.0,40.0,1271.0,1252.0,764.0,0.0,4.0,,0.0,0.0,2.0,,,,,,0.0,,,true,0.0,344.0,,11.0,0.0,,0.0,,0.0,200.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1271.0,127.0,,,,,118.0,10.0,1420.0,3.0,0.0,0.0,0.0,58.0
505.0,1343.0,-1132.0,0.0,22482.0,1618.0,0.0,0.0,,213.0,,835.0,0.0,,912.0,2005.0,23589.0,3811.0,676.0,5903.0,18410.0,25594.0,991.0,10706.0,122.0,,0.0,,,1801.0,6336.0,7498.0,1162.0,157.0,6336.0,9382.0,9753.0,137.0,76.0,,283.0,0.0,-9.0,,,,,,0.0,,,false,0.0,1516.0,,339.0,664.0,,63.0,,495.0,1483.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,6336.0,317.0,,,,,100.0,169.0,7498.0,0.0,159.0,32.0,0.0,360.0
1155.0,138.0,0.0,0.0,15881.0,4128.0,90.0,,,797.0,,1018.0,0.0,,356.0,887.0,16938.0,4054.0,630.0,4662.0,12841.0,17825.0,498.0,6939.0,78.0,,0.0,,,1168.0,7082.0,7241.0,159.0,230.0,7082.0,3755.0,6505.0,644.0,468.0,,17.0,0.0,302.0,,,,,,0.0,,,true,37.0,659.0,,166.0,155.0,,0.0,,8.0,2415.0,0.0,72.0,,,,,,,,,,,,,,0.0,,,,,,0.0,7082.0,0.0,,,,,214.0,67.0,7241.0,0.0,340.0,3.0,0.0,910.0
1351.0,430.0,0.0,0.0,7096.0,1548.0,0.0,609.0,,609.0,,188.0,0.0,,0.0,1590.0,6568.0,673.0,352.0,1350.0,4345.0,8158.0,122.0,2468.0,37.0,,0.0,,,527.0,2582.0,2582.0,0.0,0.0,2582.0,1138.0,2371.0,188.0,227.0,,7.0,0.0,0.0,,,,,,0.0,,,true,0.0,1430.0,,745.0,0.0,,0.0,,-22.0,326.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2582.0,0.0,,,,,715.0,218.0,2582.0,0.0,0.0,17.0,0.0,314.0
1454.0,413.0,-23.0,0.0,18286.0,3529.0,0.0,202.0,,202.0,,3865.0,18.0,,4114.0,1701.0,27219.0,10045.0,371.0,7284.0,23041.0,28920.0,855.0,12506.0,136.0,,26.0,,,3251.0,13489.0,13489.0,0.0,18.0,13489.0,4400.0,9542.0,779.0,259.0,,48.0,0.0,201.0,,,,,,0.0,,,true,0.0,613.0,,2553.0,3295.0,,122.0,,156.0,4876.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,13489.0,0.0,,,,,386.0,617.0,13500.0,-11.0,204.0,1.0,0.0,700.0
1669.0,287.0,29.0,0.0,11947.0,1190.0,0.0,0.0,,397.0,,650.0,19.0,,0.0,1638.0,12111.0,2048.0,449.0,3012.0,8178.0,13749.0,123.0,4489.0,50.0,,67.0,,,677.0,4293.0,5219.0,926.0,19.0,4293.0,5888.0,3085.0,499.0,754.0,,10.0,0.0,0.0,,,,,,0.0,,,false,0.0,1387.0,,675.0,325.0,,0.0,,24.0,1575.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,4293.0,11.0,,,,,404.0,115.0,5219.0,0.0,0.0,0.0,0.0,791.0
