IDRSSD,RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3386,RCON3387,RCON3401,RCON3465,RCON3466,RCON3484,RCON3485,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17
37.0,,,,,,,,,,,,,0.0,,23271.0,0.0,85446.0,11200.0,,3528.0,,10308.0,2546.0,0.0,13644.0,1843.0,7693.0,37410.0,0.0,4250.0,12934.0,21450.0,1148.0
242.0,,,,,,,,,,,,,0.0,,25692.0,5966.0,50304.0,3085.0,2790.0,1872.0,,10814.0,6994.0,0.0,6033.0,3251.0,0.0,9878.0,0.0,2701.0,12757.0,6842.0,3843.0
279.0,,,,,,,,,,,,,0.0,31940.0,212908.0,1694.0,296867.0,11556.0,,9543.0,,142967.0,55716.0,191.0,53654.0,0.0,42936.0,6981.0,0.0,4096.0,67365.0,65865.0,10576.0
354.0,,,,,,,,,,,,,0.0,,10591.0,5946.0,18432.0,670.0,1245.0,3461.0,,4791.0,295.0,0.0,0.0,313.0,95.0,0.0,0.0,778.0,4715.0,2348.0,259.0
457.0,,,,,,,,,,,,,0.0,,42810.0,1070.0,59276.0,12662.0,5175.0,7590.0,,14044.0,12460.0,0.0,3171.0,0.0,1.0,28.0,0.0,2861.0,20827.0,9283.0,784.0
505.0,,,,,,,,,,,,,0.0,15879.0,505005.0,1550.0,691734.0,89700.0,0.0,36317.0,,209916.0,198150.0,0.0,16039.0,0.0,37014.0,31533.0,0.0,29546.0,406667.0,28728.0,29184.0
1155.0,,,,,,,,,,,,,0.0,0.0,208675.0,2496.0,275927.0,24197.0,,54160.0,,51904.0,75293.0,0.0,142638.0,6124.0,0.0,18210.0,405.0,5315.0,21283.0,42249.0,9428.0
1351.0,,,,,,,,,,,,,0.0,0.0,107071.0,0.0,184645.0,12778.0,10775.0,21860.0,,20954.0,36046.0,0.0,19889.0,35804.0,2827.0,16069.0,0.0,13057.0,34600.0,61731.0,14417.0
1454.0,,,,,,,,,,,,,0.0,0.0,350896.0,0.0,898966.0,168048.0,2526.0,72556.0,,111269.0,149294.0,1040.0,162262.0,85276.0,151334.0,113903.0,0.0,15494.0,282512.0,50940.0,38255.0
1669.0,,,,,,,,,,,,,0.0,0.0,197137.0,0.0,338589.0,22248.0,,23754.0,,99870.0,46634.0,906.0,79138.0,51807.0,11680.0,30167.0,0.0,20943.0,67748.0,41458.0,11044.0
1856.0,,,,,,,,,,,,,0.0,31817.0,34135.0,2667.0,91604.0,19842.0,,8361.0,,10433.0,9374.0,0.0,3602.0,222.0,9869.0,20418.0,0.0,4033.0,11627.0,18920.0,5280.0
2161.0,,,,,,,,,,,,,89.0,27956.0,156539.0,14561.0,269555.0,34975.0,3018.0,36609.0,,61377.0,53204.0,0.0,48544.0,272.0,1696.0,12648.0,279.0,2501.0,61080.0,18473.0,7732.0
2732.0,,,,,,,,,,,,,0.0,0.0,430919.0,0.0,686649.0,189996.0,0.0,51607.0,,29117.0,350528.0,0.0,62509.0,24366.0,0.0,22807.0,0.0,173.0,187903.0,69812.0,105128.0
2750.0,,,,,,,,,,,,,48.0,,43471.0,770.0,64568.0,1502.0,19748.0,2846.0,,1960.0,14116.0,0.0,9995.0,0.0,498.0,12504.0,0.0,605.0,19162.0,18238.0,2293.0
3252.0,,,,,,,,,,,,,0.0,5100.0,99949.0,13798.0,231608.0,4622.0,44090.0,12753.0,,178.0,33268.0,935.0,67495.0,4083.0,61957.0,26849.0,0.0,5057.0,46972.0,23205.0,18194.0
3458.0,,,,,,,,,,,,,581.0,,44266.0,1330.0,64100.0,349.0,9840.0,10306.0,,8310.0,11773.0,0.0,6672.0,152.0,4268.0,3805.0,0.0,2855.0,6615.0,27570.0,5565.0
3720.0,,,,,,,,,,,,,1277.0,0.0,157845.0,0.0,319669.0,61734.0,6360.0,16297.0,,33751.0,80162.0,0.0,95394.0,6367.0,46608.0,24264.0,0.0,7855.0,66368.0,28729.0,10406.0
3971.0,,,,,,,,,,,,,0.0,92144.0,670288.0,1706.0,835343.0,61175.0,4470.0,149025.0,,111510.0,374290.0,28345.0,92642.0,18375.0,16843.0,24534.0,0.0,1814.0,224554.0,115210.0,19720.0
4156.0,,,,,,,,,,,,,7789.0,9399.0,169606.0,27855.0,265583.0,8068.0,4764.0,26147.0,,58833.0,77850.0,326.0,57753.0,6648.0,6906.0,24259.0,0.0,1685.0,61960.0,40082.0,6433.0
4231.0,,,,,,,,,,,,,0.0,0.0,45450.0,0.0,134372.0,37095.0,,4105.0,,12077.0,23217.0,0.0,19995.0,1002.0,17558.0,26741.0,0.0,2702.0,29050.0,27751.0,4093.0
5069.0,,,,,,,,,,,,,0.0,0.0,291255.0,0.0,439723.0,95055.0,0.0,6811.0,,59021.0,247297.0,0.0,1133.0,0.0,0.0,14337.0,0.0,0.0,36419.0,94654.0,33061.0
5135.0,,,,,,,,,,,,,0.0,23669.0,368517.0,0.0,542777.0,50779.0,94216.0,51688.0,,70181.0,140370.0,0.0,74214.0,86972.0,0.0,2336.0,621.0,11007.0,74246.0,139862.0,45213.0
5210.0,,,,,,,,,,,,,47640.0,41423.0,1686788.0,0.0,2537020.0,334371.0,6148.0,266607.0,,524525.0,808668.0,0.0,110735.0,188815.0,115131.0,41940.0,0.0,13528.0,1530053.0,344556.0,98594.0
5461.0,,,,,,,,,,,,,0.0,7179.0,525198.0,0.0,753918.0,16259.0,19562.0,94543.0,,41510.0,355743.0,0.0,14108.0,32238.0,51752.0,87173.0,0.0,8152.0,586030.0,11981.0,12608.0
5751.0,,,,,,,,,,,,,0.0,0.0,151994.0,0.0,236561.0,10483.0,20829.0,43991.0,,26930.0,54472.0,890.0,37913.0,4910.0,9570.0,45567.0,0.0,4412.0,81438.0,34108.0,3909.0
6039.0,,,,,,,,,,,,,0.0,0.0,238787.0,19886.0,343879.0,34412.0,3488.0,36477.0,,38971.0,152409.0,0.0,56655.0,1872.0,21218.0,3258.0,497.0,5721.0,76945.0,60774.0,6521.0
6329.0,,,,,,,,,,,,,0.0,5000.0,894918.0,2.0,1133577.0,107456.0,913.0,140322.0,,152401.0,293854.0,0.0,93877.0,24812.0,26522.0,11022.0,0.0,306230.0,285917.0,241197.0,62486.0
7009.0,,,,,,,,,,,,,0.0,0.0,387158.0,0.0,881681.0,163758.0,0.0,99011.0,,0.0,0.0,0.0,0.0,224663.0,0.0,90946.0,0.0,278586.0,581753.0,0.0,0.0
7045.0,,,,,,,,,,,,,0.0,0.0,86127.0,0.0,248173.0,16750.0,6711.0,4782.0,,44845.0,17003.0,0.0,101835.0,801.0,80625.0,54791.0,483.0,10188.0,52078.0,30318.0,3512.0
7072.0,,,,,,,,,,,,,0.0,16317.0,269264.0,10534.0,352718.0,784.0,146.0,17497.0,,170448.0,77648.0,0.0,27334.0,0.0,18667.0,13791.0,0.0,3289.0,131943.0,59738.0,16473.0
7456.0,,,,,,,,,,,,,0.0,,70513.0,3195.0,108067.0,2980.0,30677.0,12562.0,,5270.0,20041.0,0.0,27420.0,360.0,1996.0,22337.0,0.0,1871.0,25563.0,19834.0,2589.0
7634.0,,,,,,,,,,,,,0.0,,54846.0,0.0,79179.0,11168.0,6820.0,7581.0,,15878.0,17408.0,0.0,5738.0,322.0,6208.0,5239.0,0.0,7214.0,10636.0,28490.0,7340.0
8033.0,,,,,,,,,,,,,0.0,12136.0,280891.0,10885.0,352530.0,40304.0,,32482.0,,119444.0,117499.0,0.0,32559.0,0.0,0.0,3064.0,0.0,5607.0,28610.0,121187.0,31883.0
8462.0,,,,,,,,,,,,,0.0,0.0,59775.0,4645.0,176544.0,6281.0,9885.0,19444.0,,8582.0,14078.0,0.0,40962.0,35685.0,42248.0,15270.0,0.0,7776.0,4124.0,17034.0,12733.0
8631.0,,,,,,,,,,,,,0.0,,38107.0,3892.0,65561.0,9876.0,,3811.0,,18197.0,9289.0,0.0,5575.0,2693.0,2409.0,837.0,0.0,5299.0,19700.0,10774.0,1764.0
9357.0,,,,,,,,,,,,,65.0,92730.0,700277.0,181.0,881975.0,97385.0,0.0,223791.0,,1568.0,90262.0,19553.0,95827.0,25432.0,16677.0,1006.0,0.0,3372.0,478277.0,117249.0,1450.0
9553.0,,,,,,,,,,,,,5.0,54168.0,111368.0,7366.0,202270.0,3122.0,48538.0,6158.0,,6390.0,44932.0,0.0,23746.0,217.0,25427.0,40613.0,0.0,1604.0,27924.0,44505.0,6578.0
9807.0,,,,,,,,,,,,,44154.0,0.0,1696066.0,0.0,2623114.0,387529.0,0.0,130127.0,,280253.0,1285190.0,0.0,13044.0,70846.0,5878.0,298121.0,0.0,319.0,1602025.0,207085.0,158793.0
9955.0,,,,,,,,,,,,,0.0,20634.0,89574.0,2704.0,182285.0,31683.0,3605.0,15871.0,,4115.0,58398.0,6536.0,17593.0,5252.0,1942.0,45230.0,0.0,1001.0,64389.0,11549.0,3122.0
10250.0,,,,,,,,,,,,,0.0,0.0,360743.0,0.0,574907.0,38009.0,0.0,133965.0,,55072.0,161556.0,0.0,32411.0,6234.0,66383.0,68730.0,130.0,10020.0,374896.0,66774.0,16660.0
10849.0,,,,,,,,,,,,,0.0,0.0,159427.0,0.0,261851.0,22800.0,,14200.0,,36335.0,101479.0,0.0,15737.0,6284.0,46089.0,13551.0,0.0,994.0,118733.0,72439.0,18948.0
11145.0,,,,,,,,,,,,,0.0,25200.0,221579.0,0.0,347620.0,67426.0,,13527.0,,61812.0,74034.0,0.0,73670.0,2383.0,7176.0,18876.0,0.0,54996.0,80095.0,27326.0,24382.0
11640.0,,,,,,,,,,,,,0.0,0.0,203167.0,0.0,377589.0,31395.0,50028.0,27031.0,,30410.0,85568.0,0.0,13769.0,13409.0,21039.0,76153.0,0.0,10026.0,216241.0,61910.0,20869.0
11837.0,,,,,,,,,,,,,59.0,,58317.0,0.0,124872.0,7217.0,,8657.0,,20919.0,23974.0,0.0,49621.0,6621.0,37800.0,11682.0,81.0,1078.0,15443.0,23881.0,8285.0
12030.0,,,,,,,,,,,,,0.0,0.0,338573.0,7670.0,456219.0,30180.0,3603.0,60143.0,,40129.0,213351.0,0.0,36105.0,32503.0,5291.0,805.0,494.0,22248.0,102656.0,95106.0,17703.0
12142.0,,,,,,,,,,,,,0.0,0.0,135849.0,6499.0,268617.0,13895.0,,28037.0,,40484.0,50963.0,236.0,60728.0,7751.0,42598.0,40130.0,0.0,12117.0,48541.0,30258.0,5810.0
12311.0,144481.0,4226239.0,0.0,120316823.0,5848764.0,856523.0,2336772.0,332458.0,19366519.0,3587674.0,,,,,80131697.0,,,,58900.0,26098011.0,,22012000.0,10335142.0,,1886952.0,,,,589118.0,17846584.0,87915377.0,1798665.0,257513.0
12647.0,,,,,,,,,,,,,0.0,4000.0,115126.0,18425.0,184721.0,17466.0,5118.0,15051.0,,25652.0,55802.0,0.0,6078.0,332.0,1710.0,20938.0,343.0,561.0,65673.0,17103.0,10871.0
12656.0,,,,,,,,,,,,,0.0,,11076.0,0.0,19701.0,4327.0,912.0,1288.0,,6318.0,1404.0,0.0,3021.0,555.0,0.0,2085.0,0.0,1343.0,4394.0,3187.0,488.0
