IDRSSD,RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3386,RCON3387,RCON3401,RCON3465,RCON3466,RCON3484,RCON3485,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17
212335.0,,,,,,,,,,,,,0.0,0.0,185540.0,0.0,421144.0,32058.0,296.0,11790.0,,45394.0,123574.0,0.0,95012.0,6651.0,170325.0,15365.0,0.0,3878.0,78250.0,55448.0,8684.0
212344.0,,,,,,,,,,,,,0.0,,54987.0,100.0,115111.0,9743.0,23165.0,8711.0,,4143.0,16296.0,0.0,23387.0,5868.0,18649.0,11858.0,88.0,2540.0,19430.0,24387.0,1996.0
212465.0,0.0,8287080.0,13189.0,129756119.0,11681791.0,1132678.0,84785.0,9775832.0,16150389.0,1972011.0,,,,,79585728.0,,,,424176.0,20249991.0,,25895370.0,17597733.0,,5402855.0,,,,205012.0,2732015.0,83268676.0,2105633.0,2168600.0
212522.0,,,,,,,,,,,,,23503.0,101235.0,1118260.0,0.0,1875733.0,163311.0,4783.0,359642.0,,251476.0,403269.0,0.0,65455.0,0.0,133661.0,346960.0,3779.0,35657.0,1183615.0,223746.0,35561.0
212577.0,,,,,,,,,,,,,0.0,63955.0,2611424.0,0.0,3535049.0,92809.0,0.0,466557.0,,629572.0,1412558.0,207838.0,137040.0,22510.0,35361.0,286572.0,0.0,102738.0,2364693.0,365223.0,78326.0
213471.0,,,,,,,,,,,,,0.0,0.0,193616.0,0.0,539024.0,31121.0,0.0,0.0,,160051.0,31709.0,0.0,39488.0,9560.0,2046.0,298305.0,0.0,1855.0,58811.0,240402.0,114431.0
213538.0,,,,,,,,,,,,,0.0,0.0,103137.0,10000.0,213551.0,38258.0,,17305.0,,36884.0,46021.0,0.0,25662.0,10136.0,7835.0,31783.0,0.0,2935.0,42514.0,37963.0,11266.0
213912.0,,,,,,,,,,,,,0.0,0.0,145452.0,0.0,202558.0,22593.0,,35733.0,,43052.0,59148.0,0.0,28090.0,19065.0,768.0,3976.0,0.0,420.0,77671.0,12510.0,1556.0
213958.0,,,,,,,,,,,,,0.0,,47388.0,0.0,121317.0,19770.0,3836.0,2203.0,,16102.0,23999.0,148.0,21107.0,12032.0,3841.0,31484.0,0.0,1323.0,46062.0,8708.0,0.0
214106.0,,,,,,,,,,,,,0.0,512.0,1126568.0,10.0,2337684.0,97940.0,0.0,100973.0,,442123.0,560254.0,0.0,205128.0,43654.0,333062.0,664078.0,0.0,4619.0,1682263.0,31947.0,2865.0
214414.0,,,,,,,,,,,,,29403.0,24008.0,1839559.0,45335.0,2592782.0,135459.0,106219.0,210111.0,,354057.0,1030084.0,0.0,326247.0,245011.0,120250.0,54682.0,3815.0,52725.0,1100073.0,405968.0,75466.0
214722.0,,,,,,,,,,,,,4092.0,69522.0,644847.0,25.0,1340389.0,7242.0,1551.0,126166.0,,144582.0,355109.0,0.0,47918.0,14824.0,159423.0,413251.0,0.0,7725.0,830148.0,121235.0,23140.0
214807.0,,,,,,,,,,,,,0.0,111000.0,12396000.0,5923000.0,43659000.0,23173000.0,0.0,1772000.0,0.0,2431000.0,3557000.0,69000.0,9328000.0,775000.0,0.0,6000.0,0.0,325000.0,5038000.0,0.0,135000.0
214843.0,,,,,,,,,,,,,25623.0,3128.0,248278.0,0.0,411200.0,5640.0,44336.0,27019.0,,47453.0,121266.0,0.0,112410.0,81781.0,45221.0,5643.0,0.0,7601.0,113956.0,43245.0,13765.0
215345.0,,,,,,,,,,,,,17724.0,14334.0,401334.0,31147.0,690945.0,13733.0,56224.0,60192.0,,84938.0,184491.0,0.0,147770.0,54530.0,43061.0,68632.0,0.0,12157.0,198956.0,62069.0,19959.0
215354.0,,,,,,,,,,,,,1694.0,2554.0,110437.0,1760.0,153885.0,28375.0,,15352.0,,24233.0,69264.0,0.0,25578.0,7763.0,945.0,250.0,312.0,989.0,49791.0,20355.0,4550.0
215653.0,,,,,,,,,,,,,39.0,,23384.0,677.0,38922.0,10061.0,4394.0,3214.0,,3982.0,9444.0,0.0,2788.0,2113.0,0.0,961.0,0.0,2242.0,13008.0,5487.0,500.0
215662.0,,,,,,,,,,,,,36785.0,8111.0,760016.0,0.0,1473881.0,36113.0,20592.0,134728.0,,110125.0,450285.0,0.0,14144.0,67219.0,329861.0,212311.0,885.0,3553.0,956044.0,111439.0,67088.0
215710.0,,,,,,,,,,,,,4722.0,34404.0,410933.0,0.0,821296.0,6592.0,7393.0,51386.0,,136908.0,194752.0,0.0,164823.0,41876.0,262625.0,44054.0,0.0,4607.0,209738.0,130317.0,13991.0
216164.0,,,,,,,,,,,,,9.0,8139.0,107485.0,0.0,235587.0,54327.0,10039.0,32291.0,,22918.0,41580.0,0.0,19911.0,8767.0,7713.0,38713.0,0.0,3560.0,61319.0,30891.0,8788.0
216230.0,,,,,,,,,,,,,0.0,0.0,63684.0,0.0,217986.0,129765.0,,7403.0,,14098.0,42155.0,0.0,63852.0,864.0,3511.0,4421.0,0.0,28.0,56462.0,12433.0,13572.0
216922.0,,,,,,,,,,,,,0.0,1975.0,6167014.0,16881.0,10510859.0,476611.0,15845.0,439446.0,,1409100.0,4056433.0,0.0,255119.0,106526.0,2380044.0,514742.0,16703.0,39822.0,7204642.0,595278.0,366838.0
217059.0,,,,,,,,,,,,,358.0,1030.0,226454.0,351.0,459325.0,43429.0,23638.0,36944.0,,42984.0,123046.0,6673.0,124902.0,163764.0,0.0,1528.0,0.0,6734.0,156079.0,29024.0,15118.0
218131.0,,,,,,,,,,,,,7866.0,0.0,224362.0,15565.0,487202.0,55468.0,0.0,13537.0,,28543.0,192719.0,0.0,48483.0,5848.0,59620.0,105156.0,0.0,1753.0,105816.0,89967.0,28490.0
218261.0,,,,,,,,,,,,,0.0,,34820.0,0.0,97695.0,35465.0,,4819.0,,13633.0,9823.0,0.0,10740.0,7680.0,3596.0,9477.0,0.0,4983.0,10650.0,22019.0,17598.0
218850.0,,,,,,,,,,,,,0.0,,8338.0,12442.0,34600.0,4635.0,3248.0,616.0,,305.0,1390.0,0.0,8410.0,5755.0,0.0,510.0,0.0,2504.0,9175.0,4002.0,0.0
218878.0,,,,,,,,,,,,,0.0,0.0,107496.0,33409.0,259450.0,48734.0,,14444.0,,41625.0,43158.0,0.0,33311.0,1340.0,42148.0,11981.0,0.0,4862.0,53522.0,18340.0,268.0
219044.0,,,,,,,,,,,,,0.0,,111870.0,10367.0,152809.0,1055.0,,11766.0,,50038.0,46786.0,0.0,31279.0,0.0,10639.0,6773.0,10.0,3270.0,47863.0,14432.0,3797.0
219651.0,,,,,,,,,,,,,5962.0,5962.0,317476.0,0.0,507168.0,32188.0,132.0,85964.0,,69913.0,127311.0,0.0,6534.0,11652.0,66644.0,55872.0,0.0,39887.0,139776.0,17857.0,14985.0
219679.0,,,,,,,,,,,,,0.0,,24323.0,0.0,39376.0,6934.0,,88.0,,17080.0,5900.0,0.0,4001.0,1623.0,2291.0,1701.0,0.0,1254.0,13523.0,8682.0,2029.0
220059.0,,,,,,,,,,,,,0.0,0.0,274395.0,0.0,580000.0,72414.0,0.0,36671.0,,91801.0,141299.0,1798.0,64746.0,50488.0,117621.0,32086.0,0.0,6807.0,360783.0,51601.0,15249.0
220527.0,,,,,,,,,,,,,35442.0,0.0,882596.0,0.0,1638923.0,250719.0,714.0,82377.0,,287265.0,489212.0,0.0,25325.0,22437.0,223480.0,162157.0,0.0,6512.0,760565.0,74707.0,27359.0
220844.0,,,,,,,,,,,,,20.0,12250.0,147372.0,3.0,218578.0,4809.0,,23999.0,,21964.0,86688.0,0.0,19809.0,15206.0,3435.0,36212.0,0.0,1974.0,54920.0,49879.0,29117.0
220974.0,,,,,,,,,,,,,0.0,9350.0,391873.0,0.0,936496.0,153817.0,3283.0,19323.0,,155489.0,181741.0,0.0,247855.0,26055.0,122982.0,172154.0,0.0,19023.0,247162.0,120270.0,37918.0
221775.0,,,,,,,,,,,,,0.0,1338.0,169644.0,0.0,265553.0,93383.0,,368.0,,68857.0,99819.0,0.0,74716.0,0.0,6.0,0.0,0.0,601.0,71399.0,21548.0,10352.0
222156.0,,,,,,,,,,,,,0.0,0.0,63736.0,5376.0,240522.0,12645.0,,8164.0,,28605.0,22857.0,0.0,50122.0,29127.0,61860.0,59902.0,0.0,3198.0,79242.0,29129.0,2834.0
