IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF228,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
37.0,16.0,40.0,0.0,751.0,109.0,0.0,,,37.0,,502.0,0.0,,0.0,138.0,1175.0,156.0,48.0,463.0,1207.0,1313.0,0.0,653.0,20.0,,0.0,,,91.0,164.0,164.0,0.0,33.0,164.0,293.0,71.0,404.0,10.0,,6.0,0.0,0.0,,,,,,0.0,,,false,0.0,241.0,,18.0,36.0,,0.0,,0.0,108.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,164.0,0.0,,,,,106.0,6.0,164.0,0.0,0.0,0.0,0.0,0.0
242.0,5.0,0.0,0.0,629.0,36.0,2.0,32.0,,32.0,,102.0,0.0,,0.0,108.0,687.0,116.0,28.0,110.0,525.0,795.0,32.0,342.0,11.0,,0.0,,,73.0,271.0,278.0,7.0,10.0,271.0,273.0,162.0,50.0,2.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,126.0,,30.0,0.0,,0.0,,0.0,81.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,271.0,48.0,,,,,42.0,11.0,278.0,0.0,1.0,6.0,0.0,0.0
279.0,147.0,0.0,0.0,4829.0,141.0,5.0,,,371.0,,68.0,6.0,,0.0,1111.0,4139.0,782.0,218.0,1451.0,4376.0,5250.0,34.0,2491.0,62.0,,0.0,,,368.0,432.0,515.0,83.0,6.0,432.0,3252.0,908.0,68.0,115.0,,9.0,0.0,0.0,,,,,,0.0,,,false,0.0,157.0,,0.0,299.0,,-4.0,,0.0,568.0,0.0,66.0,,,,,,,,,,,,,,0.0,,,,,,0.0,432.0,317.0,,,,,466.0,66.0,515.0,0.0,0.0,0.0,0.0,30.0
354.0,17.0,0.0,0.0,337.0,180.0,3.0,59.0,,59.0,,0.0,0.0,,0.0,24.0,320.0,190.0,27.0,166.0,424.0,344.0,2.0,235.0,8.0,,0.0,,,23.0,74.0,86.0,12.0,0.0,74.0,62.0,7.0,0.0,0.0,,0.0,0.0,154.0,,,,,,0.0,,,false,0.0,29.0,,1.0,1.0,,0.0,,-3.0,12.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,74.0,0.0,,,,,7.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0
457.0,37.0,0.0,0.0,1232.0,212.0,5.0,117.0,,136.0,,14.0,0.0,,0.0,178.0,1085.0,97.0,34.0,244.0,779.0,1263.0,12.0,465.0,10.0,,0.0,,,70.0,406.0,406.0,0.0,19.0,406.0,511.0,269.0,1.0,2.0,,0.0,0.0,34.0,,,,,,0.0,,,true,0.0,104.0,,0.0,0.0,,0.0,,0.0,29.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,406.0,68.0,,,,,65.0,6.0,403.0,3.0,0.0,0.0,0.0,0.0
505.0,184.0,0.0,0.0,10618.0,1395.0,0.0,0.0,,116.0,,345.0,0.0,,471.0,673.0,10795.0,1738.0,298.0,2600.0,9081.0,11468.0,22.0,5656.0,124.0,,0.0,,,825.0,2357.0,3026.0,669.0,62.0,2357.0,4257.0,4164.0,121.0,22.0,,153.0,0.0,185.0,,,,,,0.0,,,false,0.0,686.0,,0.0,330.0,,33.0,,0.0,643.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2357.0,244.0,,,,,71.0,152.0,3026.0,0.0,76.0,32.0,0.0,426.0
1155.0,12.0,0.0,0.0,5672.0,1913.0,0.0,135.0,,354.0,,195.0,0.0,,155.0,351.0,5764.0,1362.0,218.0,1487.0,3940.0,6115.0,199.0,2115.0,60.0,,0.0,,,338.0,3078.0,3134.0,56.0,135.0,3078.0,1297.0,1883.0,179.0,70.0,,2.0,37.0,133.0,,,,,,0.0,,,true,17.0,208.0,,47.0,0.0,,0.0,,20.0,656.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,3078.0,0.0,,,,,233.0,36.0,3134.0,0.0,135.0,8.0,0.0,52.0
1351.0,86.0,0.0,0.0,4077.0,799.0,0.0,405.0,,405.0,,147.0,0.0,,0.0,747.0,3674.0,272.0,131.0,515.0,2007.0,4421.0,0.0,1201.0,37.0,,0.0,,,291.0,1789.0,1789.0,0.0,0.0,1789.0,578.0,1233.0,147.0,72.0,,6.0,-11.0,0.0,,,,,,0.0,,,true,0.0,1062.0,,191.0,0.0,,0.0,,0.0,146.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1789.0,0.0,,,,,481.0,108.0,1789.0,0.0,0.0,6.0,0.0,150.0
1454.0,147.0,91.0,0.0,8683.0,1994.0,0.0,60.0,,60.0,,1832.0,15.0,,1974.0,405.0,11701.0,4996.0,237.0,2974.0,10142.0,12106.0,72.0,5677.0,136.0,,0.0,,,1491.0,6664.0,6664.0,0.0,15.0,6664.0,2372.0,3916.0,429.0,45.0,,26.0,0.0,530.0,,,,,,0.0,,,true,0.0,341.0,,622.0,856.0,,77.0,,0.0,2173.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,6664.0,0.0,,,,,150.0,63.0,6646.0,18.0,4.0,1.0,0.0,0.0
1669.0,53.0,0.0,0.0,5121.0,450.0,0.0,,,184.0,,358.0,12.0,,0.0,335.0,5636.0,1055.0,181.0,1242.0,3394.0,5971.0,16.0,1825.0,50.0,,0.0,,,327.0,2495.0,3046.0,551.0,12.0,2495.0,2583.0,1209.0,283.0,67.0,,1.0,11.0,0.0,,,,,,0.0,,,false,0.0,695.0,,382.0,81.0,,0.0,,20.0,843.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2495.0,0.0,,,,,170.0,45.0,3046.0,0.0,0.0,0.0,0.0,251.0
