IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF228,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
37.0,14.0,61.0,0.0,845.0,107.0,0.0,,,49.0,,417.0,0.0,,0.0,178.0,1243.0,119.0,49.0,440.0,1205.0,1421.0,29.0,677.0,20.0,,0.0,,,88.0,218.0,218.0,0.0,46.0,218.0,355.0,90.0,374.0,8.0,,3.0,0.0,0.0,,,,,,0.0,,,false,0.0,244.0,,40.0,87.0,,0.0,,0.0,70.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,218.0,0.0,,,,,148.0,8.0,218.0,,0.0,0.0,0.0,0.0
242.0,19.0,0.0,0.0,695.0,42.0,8.0,0.0,,68.0,,83.0,0.0,,0.0,147.0,759.0,83.0,38.0,108.0,503.0,906.0,34.0,327.0,11.0,,0.0,,,68.0,333.0,339.0,6.0,2.0,333.0,256.0,214.0,53.0,6.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,115.0,,86.0,0.0,,0.0,,0.0,42.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,333.0,50.0,,,,,58.0,14.0,339.0,0.0,1.0,2.0,0.0,0.0
279.0,178.0,0.0,0.0,4587.0,127.0,4.0,,,300.0,,86.0,4.0,,0.0,1302.0,3975.0,899.0,228.0,1238.0,4040.0,5277.0,178.0,2383.0,63.0,,0.0,,,353.0,573.0,689.0,116.0,4.0,573.0,3132.0,831.0,86.0,87.0,,23.0,0.0,0.0,,,,,,0.0,,,false,0.0,197.0,,0.0,395.0,,-3.0,,0.0,674.0,0.0,66.0,,,,,,,,,,,,,,0.0,,,,,,0.0,573.0,361.0,,,,,599.0,77.0,689.0,0.0,0.0,0.0,0.0,145.0
354.0,10.0,0.0,0.0,317.0,85.0,6.0,37.0,,37.0,,0.0,0.0,,0.0,26.0,313.0,346.0,14.0,226.0,578.0,339.0,9.0,331.0,9.0,,0.0,,,21.0,57.0,76.0,19.0,0.0,57.0,143.0,17.0,0.0,0.0,,0.0,-4.0,326.0,,,,,,0.0,,,false,0.0,35.0,,7.0,0.0,,0.0,,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,57.0,0.0,,,,,16.0,0.0,76.0,,0.0,0.0,0.0,5.0
457.0,59.0,0.0,0.0,1365.0,251.0,7.0,143.0,,162.0,,11.0,0.0,,0.0,237.0,1157.0,69.0,34.0,191.0,710.0,1394.0,11.0,432.0,14.0,,0.0,,,87.0,519.0,519.0,0.0,19.0,519.0,481.0,377.0,1.0,2.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,94.0,,0.0,0.0,,0.0,,0.0,35.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,519.0,67.0,,,,,87.0,22.0,516.0,3.0,0.0,0.0,0.0,0.0
505.0,653.0,0.0,0.0,10482.0,1061.0,3.0,0.0,,104.0,,245.0,0.0,,359.0,1490.0,9964.0,1826.0,330.0,2347.0,8359.0,11454.0,117.0,5163.0,117.0,,0.0,,,849.0,2397.0,2948.0,551.0,66.0,2397.0,5681.0,2946.0,113.0,152.0,,90.0,6.0,418.0,,,,,,0.0,,,false,0.0,690.0,,0.0,517.0,,24.0,,0.0,609.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2397.0,238.0,,,,,192.0,255.0,2948.0,0.0,58.0,22.0,0.0,483.0
1155.0,52.0,0.0,0.0,5552.0,1533.0,15.0,,,501.0,,185.0,0.0,,127.0,686.0,5414.0,1147.0,229.0,1471.0,3902.0,6100.0,213.0,2013.0,57.0,,0.0,,,418.0,2303.0,2358.0,55.0,116.0,2303.0,1565.0,1714.0,181.0,106.0,,4.0,3.0,93.0,,,,,,0.0,,,true,19.0,220.0,,131.0,0.0,,0.0,,0.0,602.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2303.0,0.0,,,,,407.0,121.0,2358.0,0.0,90.0,3.0,0.0,301.0
1351.0,113.0,0.0,0.0,3708.0,756.0,23.0,304.0,,304.0,,226.0,0.0,,0.0,1153.0,3069.0,280.0,150.0,518.0,1958.0,4222.0,0.0,1156.0,35.0,,0.0,,,284.0,1106.0,1106.0,0.0,0.0,1106.0,626.0,1261.0,226.0,88.0,,3.0,-18.0,0.0,,,,,,0.0,,,true,0.0,761.0,,262.0,0.0,,0.0,,0.0,139.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1106.0,0.0,,,,,749.0,203.0,1106.0,0.0,0.0,9.0,0.0,285.0
1454.0,266.0,13.0,0.0,7283.0,1148.0,0.0,116.0,,116.0,,1240.0,9.0,,1893.0,715.0,11085.0,4412.0,224.0,2730.0,9851.0,11800.0,494.0,5803.0,138.0,,0.0,,,1318.0,4467.0,4467.0,0.0,9.0,4467.0,2298.0,3318.0,493.0,59.0,,66.0,0.0,310.0,,,,,,0.0,,,true,0.0,403.0,,1265.0,1443.0,,73.0,,0.0,1839.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,4467.0,0.0,,,,,322.0,68.0,4419.0,48.0,72.0,1.0,0.0,1240.0
1669.0,63.0,0.0,0.0,4749.0,411.0,0.0,,,211.0,,309.0,14.0,,0.0,689.0,4908.0,904.0,234.0,1079.0,3160.0,5597.0,41.0,1726.0,50.0,,0.0,,,355.0,2028.0,2448.0,420.0,14.0,2028.0,2301.0,1096.0,304.0,119.0,,5.0,0.0,0.0,,,,,,0.0,,,false,0.0,730.0,,478.0,1.0,,0.0,,23.0,647.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2028.0,0.0,,,,,382.0,125.0,2448.0,0.0,0.0,0.0,0.0,204.0
