IDRSSD,RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3386,RCON3387,RCON3401,RCON3465,RCON3466,RCON3484,RCON3485,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17
37.0,,,,,,,,,,,,,0.0,,20546.0,0.0,89574.0,1380.0,,4799.0,,7996.0,1981.0,0.0,14740.0,3567.0,7228.0,44533.0,0.0,4727.0,14079.0,21105.0,1287.0
242.0,,,,,,,,,,,,,0.0,,25718.0,2128.0,52652.0,3192.0,1781.0,2000.0,,11628.0,6732.0,0.0,7323.0,7722.0,0.0,10663.0,0.0,3393.0,13830.0,5953.0,3891.0
279.0,,,,,,,,,,,,,0.0,27236.0,225908.0,18617.0,366978.0,8630.0,0.0,6641.0,,154867.0,58742.0,94.0,73704.0,15500.0,59643.0,19064.0,0.0,4246.0,90551.0,57764.0,13900.0
354.0,,,,,,,,,,,,,0.0,,10141.0,7896.0,20034.0,569.0,945.0,1156.0,,5940.0,1280.0,0.0,0.0,598.0,65.0,0.0,0.0,856.0,7100.0,2274.0,261.0
457.0,,,,,,,,,,,,,0.0,,58244.0,348.0,64446.0,2443.0,5742.0,9878.0,,19080.0,17374.0,0.0,3717.0,1478.0,1.0,16.0,0.0,4656.0,26197.0,8955.0,543.0
505.0,,,,,,,,,,,,,0.0,10000.0,530729.0,547.0,780872.0,142797.0,0.0,25215.0,,231524.0,233868.0,0.0,144067.0,14886.0,24455.0,39620.0,0.0,29941.0,365155.0,27668.0,31593.0
1155.0,,,,,,,,,,,,,0.0,0.0,302662.0,0.0,463920.0,53625.0,,64936.0,,64938.0,140710.0,0.0,226147.0,6859.0,5479.0,53310.0,433.0,7067.0,52611.0,41790.0,12220.0
1351.0,,,,,,,,,,,,,0.0,0.0,105866.0,0.0,198899.0,13174.0,11056.0,22302.0,,19995.0,38202.0,0.0,23486.0,57127.0,1413.0,10837.0,0.0,13485.0,42781.0,58744.0,13745.0
1454.0,,,,,,,,,,,,,0.0,0.0,388263.0,0.0,1086179.0,118422.0,3632.0,60692.0,,116098.0,176617.0,1189.0,185212.0,171298.0,210727.0,170181.0,0.0,16499.0,355833.0,52000.0,41094.0
1669.0,,,,,,,,,,,,,0.0,5806.0,226361.0,0.0,382455.0,11988.0,0.0,20020.0,,118637.0,61188.0,655.0,105000.0,66314.0,24390.0,29844.0,0.0,20086.0,78903.0,41849.0,9317.0
1856.0,,,,,,,,,,,,,0.0,,24340.0,453.0,47877.0,7956.0,3827.0,3579.0,,5937.0,8014.0,0.0,3332.0,222.0,3366.0,3001.0,0.0,2945.0,11223.0,11628.0,2867.0
2161.0,,,,,,,,,,,,,0.0,0.0,191815.0,432.0,342800.0,31243.0,1034.0,32865.0,,77991.0,77802.0,0.0,54429.0,465.0,46050.0,48568.0,287.0,2505.0,162068.0,28414.0,6681.0
2732.0,,,,,,,,,,,,,0.0,0.0,476887.0,0.0,742336.0,194808.0,0.0,30568.0,,28823.0,417768.0,0.0,58911.0,22701.0,0.0,24183.0,0.0,144.0,219510.0,58926.0,100319.0
2750.0,,,,,,,,,,,,,114.0,,43578.0,1108.0,65891.0,511.0,18117.0,3212.0,,927.0,17023.0,0.0,12663.0,4461.0,261.0,12112.0,0.0,651.0,20929.0,12020.0,2684.0
3252.0,,,,,,,,,,,,,50.0,3744.0,102904.0,3683.0,297347.0,2250.0,45580.0,11390.0,,57.0,39234.0,153.0,112617.0,86549.0,37493.0,48214.0,0.0,5398.0,40247.0,19607.0,34941.0
3458.0,,,,,,,,,,,,,2539.0,,45769.0,612.0,74638.0,538.0,5820.0,6911.0,,11752.0,18981.0,0.0,7553.0,342.0,6424.0,11245.0,0.0,3006.0,14858.0,24547.0,5921.0
3720.0,,,,,,,,,,,,,0.0,0.0,167838.0,0.0,389399.0,84874.0,3616.0,21736.0,,37192.0,95437.0,0.0,123318.0,19357.0,64606.0,31912.0,0.0,7869.0,91199.0,26034.0,6083.0
3971.0,,,,,,,,,,,,,0.0,96581.0,751513.0,2887.0,940188.0,26378.0,6244.0,177017.0,,132684.0,371432.0,35437.0,107526.0,57182.0,11752.0,45552.0,0.0,27688.0,245798.0,184184.0,16926.0
4156.0,,,,,,,,,,,,,8163.0,2500.0,169644.0,27954.0,292433.0,7126.0,,11518.0,,61842.0,88919.0,65.0,70838.0,11515.0,10349.0,42551.0,0.0,1798.0,80901.0,40877.0,6124.0
4231.0,,,,,,,,,,,,,0.0,0.0,41640.0,0.0,150812.0,50326.0,,2311.0,,11173.0,23242.0,0.0,27607.0,6559.0,18655.0,31893.0,0.0,2439.0,35926.0,26217.0,4695.0
5069.0,,,,,,,,,,,,,0.0,0.0,406094.0,0.0,493869.0,51214.0,0.0,13056.0,,71523.0,321515.0,0.0,1357.0,0.0,0.0,9548.0,0.0,0.0,69396.0,117012.0,29236.0
