IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34
37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10730.0,3448.0,55706.0,0.0,0.0,202.0,0.0,871.0,90000.0,72504.0,34.0,72538.0,0.0,954.0,0.0,0.0,17462.0,1200.0,90000.0,0.0,0.0,11659.0,0.0,0.0,3500.0,0.0,21067.0,51437.0,,,0.0,19997.0,19043.0,1103.0,0.0,0.0,0.0,0.0,17462.0,0.0,0.0
242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165.0,3152.0,17640.0,0.0,0.0,547.0,0.0,459.0,52067.0,42504.0,20.0,46874.0,0.0,175.0,4350.0,0.0,5193.0,120.0,52067.0,0.0,0.0,4989.0,0.0,0.0,120.0,0.0,12373.0,30131.0,,,0.0,26589.0,26414.0,-36.0,690.0,0.0,0.0,0.0,5193.0,0.0,0.0
279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14955.0,5651.0,56799.0,0.0,537.0,6686.0,209.0,9624.0,364674.0,288464.0,2211.0,318245.0,0.0,1592.0,27570.0,0.0,46429.0,1.0,364674.0,0.0,0.0,31838.0,0.0,0.0,15276.0,0.0,54107.0,234357.0,,,0.0,221859.0,220267.0,-686.0,16264.0,0.0,0.0,0.0,46429.0,0.0,33682.0
354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,443.0,663.0,0.0,0.0,71.0,0.0,154.0,18637.0,15699.0,92.0,15791.0,0.0,180.0,0.0,0.0,2846.0,100.0,18637.0,0.0,0.0,711.0,0.0,0.0,2036.0,1157.0,7148.0,8551.0,,,0.0,9417.0,9237.0,-1.0,6506.0,0.0,0.0,0.0,2846.0,0.0,0.0
457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2735.0,751.0,1494.0,0.0,0.0,220.0,31.0,1583.0,63808.0,50092.0,214.0,58806.0,0.0,676.0,8500.0,0.0,5002.0,60.0,63808.0,0.0,0.0,1017.0,0.0,0.0,3940.0,0.0,12026.0,38066.0,,,0.0,57421.0,56745.0,-15.0,223.0,0.0,0.0,0.0,5002.0,6.0,20.0
505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136444.0,4128.0,70889.0,0.0,1947.0,9126.0,0.0,17619.0,765893.0,684827.0,10269.0,705096.0,56.0,8081.0,10000.0,0.0,60741.0,6480.0,765893.0,0.0,0.0,37540.0,0.0,0.0,18403.0,0.0,161877.0,522950.0,,,0.0,533021.0,524940.0,-1682.0,800.0,0.0,0.0,0.0,60797.0,0.0,0.0
1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38074.0,9769.0,65062.0,0.0,9430.0,7434.0,0.0,9379.0,471147.0,421388.0,2594.0,423982.0,0.0,3789.0,0.0,0.0,47165.0,1600.0,471147.0,0.0,0.0,21559.0,0.0,0.0,23696.0,620.0,84533.0,336855.0,,,0.0,305744.0,301955.0,310.0,29424.0,0.0,0.0,0.0,47165.0,0.0,0.0
1351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9886.0,5207.0,7867.0,0.0,0.0,4529.0,66.0,1877.0,197197.0,167871.0,353.0,168224.0,0.0,1250.0,0.0,0.0,28973.0,240.0,197197.0,0.0,0.0,28297.0,0.0,0.0,530.0,0.0,29883.0,137988.0,,,0.0,108160.0,106910.0,-94.0,0.0,0.0,0.0,0.0,28973.0,0.0,60855.0
1454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17658.0,13179.0,540041.0,0.0,0.0,4221.0,0.0,14924.0,972332.0,862973.0,3879.0,866852.0,0.0,5043.0,0.0,0.0,105480.0,1000.0,972332.0,0.0,0.0,106776.0,0.0,0.0,1214.0,1455.0,261266.0,601707.0,,,0.0,385796.0,380753.0,-3510.0,0.0,0.0,0.0,0.0,105480.0,101.0,0.0
1669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9856.0,2506.0,95031.0,0.0,0.0,3879.0,0.0,16990.0,377208.0,327058.0,521.0,327579.0,0.0,4026.0,0.0,0.0,49629.0,800.0,377208.0,0.0,0.0,48262.0,0.0,0.0,800.0,0.0,80556.0,246502.0,,,0.0,222085.0,218059.0,-233.0,0.0,0.0,0.0,0.0,49629.0,0.0,30887.0
