IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34
1017939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337076.0,442885.0,3315816.0,58871.0,982800.0,373997.0,2075.0,666832.0,25814879.0,22379255.0,313034.0,22808712.0,0.0,176534.0,30000.0,0.0,3006167.0,850.0,25814879.0,26163.0,79204.0,464439.0,55723.0,0.0,2846165.0,20391.0,7580141.0,14799114.0,1a,1231.0,0.0,17124703.0,16948169.0,-305287.0,0.0,0.0,0.0,7219.0,3006167.0,0.0,2584081.0
1017957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26565.0,5577.0,75485.0,0.0,0.0,3780.0,0.0,3744.0,263050.0,241218.0,2689.0,243907.0,0.0,1581.0,0.0,0.0,19143.0,1250.0,263050.0,0.0,0.0,22537.0,0.0,0.0,1250.0,0.0,48958.0,192260.0,1a,630.0,0.0,128875.0,127294.0,-5894.0,0.0,0.0,0.0,0.0,19143.0,51.0,20554.0
1018927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41312.0,21236.0,232373.0,0.0,41539.0,39145.0,570.0,74744.0,2782772.0,2463230.0,28399.0,2499157.0,0.0,29937.0,7528.0,0.0,283615.0,0.0,2782772.0,0.0,0.0,192064.0,0.0,0.0,114274.0,23310.0,766819.0,1696411.0,1a,1231.0,0.0,2329666.0,2299729.0,-22723.0,345.0,0.0,0.0,0.0,283615.0,0.0,8469.0
1157415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192979.0,56661.0,112139.0,0.0,0.0,38930.0,53.0,43621.0,2132910.0,1840870.0,14986.0,1855856.0,0.0,19781.0,0.0,0.0,277054.0,826.0,2132910.0,0.0,0.0,220822.0,0.0,0.0,59994.0,0.0,127618.0,1713252.0,2a,1231.0,0.0,1708308.0,1688527.0,-4588.0,0.0,0.0,0.0,0.0,277054.0,0.0,0.0
1158878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246741.0,3106.0,51101.0,0.0,0.0,5959.0,0.0,3028.0,679891.0,625494.0,1088.0,626582.0,0.0,3944.0,0.0,0.0,53309.0,1102.0,679891.0,0.0,0.0,44323.0,0.0,0.0,10096.0,0.0,298992.0,326502.0,1a,1231.0,0.0,232619.0,228675.0,-2212.0,0.0,0.0,0.0,0.0,53309.0,0.0,141281.0
1160509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72446.0,1937.0,54511.0,0.0,0.0,5351.0,0.0,5586.0,313372.0,290163.0,1825.0,291988.0,0.0,2507.0,0.0,0.0,21384.0,19.0,313372.0,0.0,0.0,20305.0,0.0,0.0,8981.0,0.0,85445.0,204718.0,2a,1231.0,0.0,176048.0,173541.0,-7921.0,0.0,0.0,0.0,0.0,21384.0,0.0,0.0
1162017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3204.0,41949.0,205557.0,0.0,4488.0,11115.0,0.0,59931.0,1261853.0,1114361.0,12491.0,1140052.0,0.0,15622.0,0.0,0.0,121801.0,39526.0,1261853.0,0.0,0.0,75931.0,5146.0,0.0,24654.0,0.0,397974.0,716387.0,1a,1231.0,0.0,942727.0,927105.0,-18310.0,0.0,0.0,13200.0,0.0,121801.0,3358.0,0.0
1163283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080.0,5766.0,24480.0,0.0,0.0,1570.0,0.0,3762.0,129391.0,116977.0,717.0,117694.0,0.0,1173.0,0.0,0.0,11697.0,1500.0,129391.0,0.0,0.0,11196.0,0.0,0.0,1281.0,0.0,26352.0,90625.0,6.0,1231.0,0.0,71260.0,70087.0,-2280.0,7739.0,0.0,0.0,0.0,11697.0,0.0,10907.0
1169650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12885.0,9053.0,56500.0,0.0,0.0,15908.0,0.0,7443.0,788697.0,648787.0,3670.0,670034.0,0.0,6146.0,17577.0,0.0,118663.0,3929.0,788697.0,0.0,0.0,107420.0,0.0,0.0,8025.0,0.0,162892.0,485895.0,1a,1231.0,0.0,693054.0,686908.0,-711.0,0.0,0.0,0.0,0.0,118663.0,0.0,0.0
1176881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3396975.0,79249.0,3085685.0,0.0,0.0,41942.0,3372.0,555688.0,7653795.0,4241780.0,103146.0,6859536.0,0.0,9763.0,2514610.0,0.0,794259.0,2400.0,7653795.0,0.0,0.0,443371.0,0.0,0.0,425065.0,1110.0,78842.0,4162938.0,2a,1231.0,0.0,499537.0,489774.0,-76577.0,0.0,0.0,0.0,0.0,794259.0,0.0,0.0
1176920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4838.0,1750.0,0.0,0.0,0.0,489.0,0.0,2446.0,90135.0,83700.0,56.0,83756.0,0.0,377.0,0.0,0.0,6379.0,200.0,90135.0,0.0,0.0,4264.0,0.0,0.0,1915.0,0.0,29497.0,54203.0,4.0,1231.0,0.0,25375.0,24998.0,0.0,1572.0,0.0,0.0,0.0,6379.0,0.0,54042.0
1186965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221595.0,2154.0,67239.0,0.0,0.0,8330.0,0.0,2437.0,596074.0,549171.0,1481.0,550652.0,0.0,2413.0,0.0,0.0,45422.0,13050.0,596074.0,0.0,0.0,15858.0,0.0,0.0,19400.0,0.0,301983.0,247188.0,1a,1231.0,0.0,190226.0,187813.0,-2886.0,0.0,0.0,0.0,0.0,45422.0,0.0,106506.0
1187001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383712.0,34634.0,0.0,0.0,88894.0,77404.0,2278.0,41806.0,4193164.0,3664993.0,15395.0,3680388.0,0.0,28933.0,0.0,0.0,512776.0,19427.0,4193164.0,0.0,0.0,286567.0,0.0,0.0,206782.0,394.0,1093014.0,2571980.0,2a,1231.0,0.0,3592975.0,3564042.0,0.0,0.0,0.0,0.0,0.0,512776.0,0.0,0.0
1187551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81456.0,670.0,0.0,0.0,0.0,855.0,0.0,1406.0,158461.0,54696.0,296.0,140732.0,0.0,1001.0,0.0,0.0,17729.0,498.0,158461.0,0.0,0.0,12729.0,0.0,0.0,4502.0,0.0,44501.0,10195.0,1a,1231.0,0.0,74100.0,73099.0,0.0,0.0,0.0,85740.0,0.0,17729.0,0.0,975.0
1188772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19189.0,21021.0,89687.0,0.0,43132.0,13763.0,0.0,42325.0,818269.0,619401.0,16999.0,724136.0,347.0,4307.0,82526.0,0.0,93786.0,339.0,818269.0,0.0,0.0,98810.0,0.0,0.0,2582.0,243985.0,165951.0,453450.0,2b,1231.0,0.0,344662.0,340355.0,-7945.0,3129.0,0.0,0.0,5210.0,94133.0,1683.0,0.0
1188987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43320.0,8731.0,172256.0,0.0,1349.0,4396.0,993.0,19555.0,447090.0,387827.0,3520.0,419347.0,0.0,1887.0,28000.0,0.0,27743.0,100.0,447090.0,0.0,0.0,26154.0,0.0,0.0,13050.0,0.0,78540.0,309287.0,1a,1231.0,0.0,185575.0,183688.0,-11561.0,3552.0,0.0,0.0,0.0,27743.0,0.0,9250.0
1190476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74721.0,210813.0,1555109.0,0.0,384187.0,56793.0,0.0,418964.0,13300684.0,11276695.0,115554.0,11690024.0,52.0,138295.0,136203.0,0.0,1610608.0,4156.0,13300684.0,0.0,0.0,619175.0,0.0,0.0,1094582.0,261.0,4335675.0,6941020.0,2a,1231.0,0.0,10011918.0,9873623.0,-107305.0,2749.0,0.0,0.0,161572.0,1610660.0,2770.0,720694.0
