IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF228,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
37.0,6.0,14.0,0.0,375.0,76.0,0.0,,,11.0,,247.0,0.0,,0.0,55.0,619.0,76.0,29.0,241.0,607.0,674.0,4.0,324.0,19.0,,0.0,,,42.0,102.0,102.0,0.0,10.0,102.0,126.0,31.0,202.0,5.0,,1.0,0.0,0.0,,,,,,0.0,,,false,0.0,131.0,,15.0,32.0,,0.0,,0.0,47.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,102.0,0.0,,,,,40.0,4.0,102.0,0.0,0.0,0.0,,0.0
242.0,3.0,0.0,0.0,319.0,16.0,1.0,18.0,,18.0,,61.0,0.0,,0.0,42.0,374.0,37.0,16.0,53.0,247.0,416.0,15.0,161.0,11.0,,0.0,,,33.0,153.0,164.0,11.0,5.0,153.0,134.0,81.0,31.0,1.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,70.0,,20.0,0.0,,0.0,,1.0,17.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,153.0,20.0,,,,,13.0,5.0,164.0,0.0,1.0,2.0,,0.0
279.0,79.0,0.0,0.0,2395.0,84.0,8.0,0.0,,157.0,,105.0,4.0,,0.0,457.0,2347.0,413.0,128.0,594.0,2181.0,2804.0,6.0,1363.0,60.0,,0.0,,,191.0,438.0,539.0,101.0,4.0,438.0,1544.0,520.0,74.0,62.0,,5.0,0.0,0.0,,,,,,0.0,,,false,0.0,90.0,,44.0,237.0,,-1.0,,0.0,286.0,0.0,33.0,,,,,,,,,,,,,,0.0,,,,,,0.0,438.0,144.0,,,,,139.0,33.0,539.0,0.0,0.0,0.0,,40.0
354.0,8.0,0.0,0.0,140.0,26.0,3.0,0.0,,13.0,,0.0,0.0,,0.0,11.0,132.0,233.0,11.0,159.0,383.0,143.0,0.0,212.0,16.0,,0.0,,,12.0,-13.0,-18.0,-5.0,0.0,-13.0,66.0,19.0,0.0,0.0,,0.0,0.0,217.0,,,,,,0.0,,,false,0.0,16.0,,0.0,0.0,,0.0,,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,-13.0,0.0,,,,,3.0,0.0,-18.0,0.0,0.0,0.0,,0.0
457.0,20.0,0.0,0.0,706.0,112.0,1.0,65.0,,75.0,,7.0,0.0,,0.0,77.0,642.0,29.0,18.0,113.0,380.0,719.0,5.0,227.0,10.0,,0.0,,,40.0,271.0,294.0,23.0,10.0,271.0,283.0,167.0,0.0,1.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,69.0,,0.0,0.0,,0.0,,0.0,11.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,271.0,31.0,,,,,23.0,2.0,291.0,3.0,0.0,0.0,,0.0
505.0,105.0,0.0,0.0,5112.0,448.0,0.0,0.0,,54.0,,169.0,0.0,,245.0,287.0,5251.0,748.0,177.0,1166.0,4287.0,5538.0,56.0,2660.0,112.0,,0.0,,,461.0,1275.0,1592.0,317.0,30.0,1275.0,2122.0,2144.0,48.0,13.0,,37.0,0.0,-1.0,,,,,,0.0,,,false,0.0,344.0,,32.0,132.0,,13.0,,0.0,265.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1275.0,79.0,,,,,20.0,70.0,1592.0,0.0,47.0,2.0,,120.0
1155.0,18.0,0.0,0.0,3590.0,1220.0,2.0,,,179.0,,241.0,0.0,,86.0,149.0,3819.0,856.0,147.0,1180.0,3124.0,3968.0,96.0,1641.0,74.0,,0.0,,,285.0,1283.0,1326.0,43.0,86.0,1283.0,774.0,1243.0,154.0,62.0,,5.0,0.0,94.0,,,,,,0.0,,,true,9.0,165.0,,20.0,14.0,,0.0,,0.0,445.0,0.0,18.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1283.0,0.0,,,,,54.0,15.0,1326.0,0.0,83.0,1.0,,225.0
1351.0,50.0,0.0,0.0,1793.0,402.0,0.0,179.0,,179.0,,53.0,0.0,,0.0,319.0,1673.0,204.0,92.0,302.0,1051.0,1992.0,5.0,610.0,36.0,,0.0,,,139.0,751.0,751.0,0.0,0.0,751.0,283.0,581.0,53.0,45.0,,1.0,0.0,0.0,,,,,,0.0,,,true,0.0,348.0,,140.0,0.0,,0.0,,0.0,109.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,751.0,0.0,,,,,172.0,52.0,751.0,0.0,0.0,3.0,,75.0
1454.0,64.0,0.0,0.0,4134.0,797.0,0.0,47.0,,47.0,,968.0,5.0,,998.0,199.0,6222.0,2178.0,108.0,1638.0,5312.0,6421.0,46.0,2862.0,131.0,,0.0,,,812.0,3077.0,3077.0,0.0,5.0,3077.0,1047.0,2085.0,195.0,16.0,,20.0,0.0,64.0,,,,,,0.0,,,true,0.0,158.0,,495.0,753.0,,32.0,,0.0,974.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,3077.0,0.0,,,,,70.0,49.0,3088.0,-11.0,2.0,0.0,,0.0
1669.0,28.0,12.0,0.0,2699.0,234.0,0.0,0.0,,89.0,,160.0,5.0,,0.0,181.0,2981.0,508.0,106.0,746.0,1879.0,3162.0,4.0,962.0,50.0,,1.0,,,171.0,1229.0,1502.0,273.0,5.0,1229.0,1363.0,681.0,123.0,63.0,,1.0,0.0,0.0,,,,,,0.0,,,false,0.0,332.0,,213.0,80.0,,0.0,,5.0,397.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1229.0,0.0,,,,,73.0,16.0,1502.0,0.0,0.0,0.0,,120.0
