IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34
37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862.0,1889.0,49439.0,0.0,0.0,227.0,64.0,3036.0,80081.0,70279.0,104.0,70383.0,0.0,958.0,0.0,0.0,9698.0,1200.0,80081.0,0.0,0.0,11968.0,0.0,0.0,3500.0,0.0,22749.0,47530.0,,,0.0,23522.0,22564.0,-6970.0,0.0,0.0,0.0,0.0,9698.0,0.0,0.0
242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850.0,1061.0,20075.0,0.0,0.0,531.0,0.0,471.0,54001.0,48594.0,28.0,51465.0,0.0,175.0,2843.0,0.0,2536.0,120.0,54001.0,0.0,0.0,5087.0,0.0,0.0,120.0,0.0,13013.0,35581.0,,,0.0,28501.0,28326.0,-2791.0,687.0,0.0,0.0,0.0,2536.0,0.0,0.0
279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.0,4345.0,78340.0,0.0,437.0,6754.0,0.0,11677.0,375439.0,295510.0,3006.0,333531.0,0.0,1686.0,35015.0,0.0,41908.0,1.0,375439.0,0.0,0.0,33332.0,0.0,0.0,15297.0,0.0,62024.0,233486.0,,,0.0,241869.0,240183.0,-6722.0,4523.0,0.0,0.0,0.0,41908.0,0.0,28821.0
354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4838.0,631.0,1205.0,0.0,0.0,84.0,0.0,2661.0,62288.0,32661.0,1442.0,56909.0,0.0,280.0,22806.0,0.0,5379.0,100.0,62288.0,0.0,0.0,628.0,0.0,0.0,4686.0,19284.0,9024.0,23637.0,,,0.0,33865.0,33585.0,-35.0,0.0,0.0,0.0,0.0,5379.0,0.0,0.0
457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.0,794.0,1382.0,0.0,0.0,217.0,31.0,927.0,70092.0,57170.0,208.0,64378.0,0.0,743.0,7000.0,0.0,5714.0,60.0,70092.0,0.0,0.0,1840.0,0.0,0.0,3940.0,0.0,12070.0,45100.0,,,0.0,65291.0,64548.0,-126.0,699.0,0.0,0.0,0.0,5714.0,3.0,0.0
505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73951.0,15436.0,73072.0,0.0,1857.0,10274.0,0.0,18399.0,779553.0,699174.0,8841.0,718015.0,56.0,8409.0,10000.0,0.0,61482.0,6480.0,779553.0,0.0,0.0,41609.0,0.0,0.0,18403.0,0.0,191125.0,508049.0,,,0.0,594973.0,586564.0,-5010.0,0.0,0.0,0.0,0.0,61538.0,0.0,0.0
1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21917.0,10793.0,63975.0,0.0,9376.0,7319.0,0.0,9944.0,442028.0,395838.0,2299.0,398137.0,0.0,4063.0,0.0,0.0,43891.0,1600.0,442028.0,0.0,0.0,26468.0,0.0,0.0,23696.0,150.0,79015.0,316823.0,,,0.0,322617.0,318554.0,-7873.0,0.0,0.0,0.0,0.0,43891.0,0.0,0.0
1351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6790.0,5072.0,9103.0,0.0,0.0,4355.0,430.0,1880.0,198836.0,169138.0,663.0,169801.0,0.0,1202.0,0.0,0.0,29035.0,240.0,198836.0,0.0,0.0,29292.0,0.0,0.0,530.0,0.0,31683.0,137455.0,,,0.0,104226.0,103024.0,-1027.0,0.0,0.0,0.0,0.0,29035.0,0.0,68182.0
1454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13610.0,10666.0,482809.0,0.0,0.0,4085.0,0.0,15705.0,944159.0,907604.0,2557.0,910161.0,0.0,5411.0,0.0,0.0,33998.0,1000.0,944159.0,0.0,0.0,113927.0,0.0,0.0,1214.0,237.0,295453.0,612151.0,,,0.0,422368.0,416957.0,-82143.0,0.0,0.0,0.0,0.0,33998.0,90.0,0.0
1669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18430.0,3227.0,69433.0,0.0,0.0,3701.0,0.0,19746.0,402352.0,348888.0,838.0,356726.0,0.0,4309.0,0.0,0.0,45626.0,800.0,402352.0,0.0,0.0,51946.0,0.0,0.0,800.0,0.0,94630.0,254258.0,,,0.0,264316.0,260007.0,-7920.0,0.0,0.0,7000.0,0.0,45626.0,0.0,27808.0
1856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5904.0,750.0,9778.0,0.0,98.0,442.0,1100.0,617.0,44164.0,37954.0,59.0,38013.0,0.0,279.0,0.0,0.0,6151.0,500.0,44164.0,0.0,0.0,148.0,0.0,0.0,5732.0,0.0,5207.0,32747.0,,,0.0,24728.0,24449.0,-229.0,26.0,0.0,0.0,0.0,6151.0,0.0,1000.0
2161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13117.0,6592.0,107996.0,0.0,0.0,16627.0,0.0,16634.0,363549.0,335161.0,7081.0,342242.0,0.0,2603.0,0.0,0.0,21307.0,1000.0,363549.0,0.0,0.0,15622.0,0.0,0.0,20476.0,0.0,92387.0,242774.0,,,0.0,205186.0,202583.0,-15791.0,0.0,0.0,0.0,0.0,21307.0,0.0,0.0
2732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133640.0,11518.0,55732.0,0.0,1112.0,2859.0,0.0,7662.0,714454.0,601983.0,5014.0,606997.0,0.0,5013.0,0.0,0.0,107457.0,0.0,714454.0,0.0,0.0,103549.0,0.0,0.0,5789.0,0.0,182833.0,419150.0,,,0.0,506944.0,501931.0,-1881.0,0.0,0.0,0.0,0.0,107457.0,0.0,0.0
