IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF228,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
37.0,9.0,0.0,0.0,389.0,78.0,0.0,,,18.0,,257.0,0.0,,0.0,75.0,709.0,84.0,25.0,243.0,630.0,784.0,59.0,346.0,19.0,,0.0,,,41.0,163.0,163.0,0.0,17.0,163.0,118.0,29.0,202.0,7.0,,5.0,0.0,0.0,,,,,,0.0,,,false,0.0,146.0,,42.0,32.0,,0.0,,0.0,59.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,163.0,0.0,,,,,55.0,4.0,163.0,0.0,0.0,0.0,,0.0
242.0,42.0,0.0,0.0,448.0,24.0,38.0,0.0,,25.0,,67.0,0.0,,0.0,151.0,476.0,34.0,16.0,59.0,247.0,627.0,16.0,167.0,12.0,,0.0,,,21.0,255.0,263.0,8.0,5.0,255.0,163.0,152.0,27.0,5.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,84.0,,58.0,0.0,,0.0,,0.0,18.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,255.0,16.0,,,,,49.0,39.0,263.0,0.0,0.0,0.0,,0.0
279.0,220.0,-1687.0,0.0,2801.0,91.0,39.0,0.0,,113.0,,154.0,3.0,,0.0,1524.0,2646.0,468.0,159.0,755.0,2554.0,4170.0,49.0,1569.0,61.0,,0.0,,,197.0,-948.0,-1216.0,-268.0,8.0,-948.0,1930.0,575.0,103.0,58.0,,25.0,0.0,0.0,,,,,,0.0,,,false,0.0,92.0,,19.0,1080.0,,-1.0,,0.0,310.0,0.0,33.0,,,,,,,,,,,,,,0.0,,,,,,0.0,-948.0,526.0,,,,,564.0,156.0,-1216.0,0.0,0.0,0.0,,89.0
354.0,27.0,0.0,0.0,717.0,69.0,42.0,28.0,,28.0,,0.0,0.0,,0.0,321.0,469.0,168.0,8.0,319.0,1001.0,790.0,14.0,577.0,21.0,,0.0,,,105.0,-291.0,-389.0,-98.0,0.0,-291.0,374.0,231.0,0.0,0.0,,10.0,0.0,153.0,,,,,,0.0,,,false,0.0,15.0,,7.0,0.0,,0.0,,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,-291.0,99.0,,,,,187.0,8.0,-389.0,0.0,0.0,0.0,,25.0
457.0,85.0,0.0,0.0,925.0,130.0,3.0,91.0,,101.0,,1.0,0.0,,0.0,203.0,733.0,29.0,23.0,124.0,458.0,936.0,4.0,276.0,11.0,,0.0,,,58.0,272.0,311.0,39.0,10.0,272.0,344.0,245.0,0.0,1.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,105.0,,3.0,0.0,,0.0,,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,272.0,43.0,,,,,59.0,15.0,304.0,7.0,0.0,0.0,,0.0
505.0,1071.0,-43.0,0.0,6768.0,399.0,0.0,0.0,,90.0,,275.0,0.0,,233.0,1468.0,6098.0,784.0,153.0,1377.0,4914.0,7566.0,38.0,3075.0,122.0,,0.0,,,462.0,1450.0,1805.0,355.0,78.0,1450.0,2840.0,3013.0,20.0,70.0,,83.0,0.0,-1.0,,,,,,0.0,,,false,0.0,426.0,,219.0,183.0,,21.0,,0.0,315.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1450.0,187.0,,,,,67.0,73.0,1805.0,0.0,37.0,26.0,,120.0
1155.0,218.0,0.0,0.0,4774.0,1098.0,77.0,189.0,,252.0,,285.0,0.0,,81.0,878.0,4519.0,1056.0,158.0,1212.0,3283.0,5397.0,91.0,1673.0,78.0,,0.0,,,380.0,1944.0,1992.0,48.0,47.0,1944.0,1277.0,1977.0,166.0,487.0,,10.0,0.0,23.0,,,,,,0.0,,,true,9.0,161.0,,73.0,87.0,,0.0,,6.0,699.0,0.0,18.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1944.0,0.0,,,,,117.0,56.0,1992.0,0.0,83.0,6.0,,300.0
1351.0,327.0,0.0,0.0,1854.0,377.0,0.0,103.0,,103.0,,44.0,0.0,,0.0,951.0,1298.0,141.0,84.0,319.0,1077.0,2249.0,115.0,622.0,35.0,,0.0,,,136.0,287.0,287.0,0.0,0.0,287.0,318.0,667.0,44.0,125.0,,0.0,-12.0,0.0,,,,,,0.0,,,true,0.0,389.0,,236.0,0.0,,0.0,,0.0,65.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,287.0,0.0,,,,,340.0,159.0,287.0,0.0,0.0,4.0,,75.0
1454.0,261.0,0.0,0.0,5255.0,938.0,0.0,54.0,,54.0,,909.0,5.0,,1007.0,975.0,7063.0,2359.0,77.0,1738.0,5934.0,8038.0,275.0,3322.0,135.0,,23.0,,,874.0,3428.0,3428.0,0.0,5.0,3428.0,1215.0,2900.0,196.0,209.0,,21.0,0.0,9.0,,,,,,0.0,,,true,0.0,148.0,,725.0,848.0,,28.0,,0.0,1091.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,3428.0,0.0,,,,,166.0,316.0,3438.0,-10.0,147.0,0.0,,50.0
1669.0,61.0,0.0,0.0,3395.0,358.0,0.0,120.0,,123.0,,146.0,4.0,,0.0,1016.0,2857.0,504.0,104.0,774.0,2015.0,3873.0,110.0,1076.0,52.0,,0.0,,,165.0,1005.0,1222.0,217.0,4.0,1005.0,1670.0,897.0,108.0,474.0,,0.0,0.0,0.0,,,,,,0.0,,,false,0.0,347.0,,136.0,82.0,,0.0,,7.0,393.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1005.0,80.0,,,,,284.0,117.0,1222.0,0.0,0.0,0.0,,124.0
1856.0,124.0,0.0,0.0,418.0,51.0,29.0,62.0,,62.0,,54.0,0.0,,0.0,191.0,434.0,919.0,10.0,132.0,283.0,625.0,28.0,102.0,7.0,,0.0,,,49.0,1070.0,1070.0,0.0,0.0,1070.0,105.0,127.0,0.0,1.0,,6.0,894.0,0.0,,,,,,0.0,,,true,0.0,73.0,,1.0,89.0,,0.0,,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1070.0,0.0,,,,,54.0,12.0,1070.0,0.0,0.0,0.0,,0.0
