IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
37.0,38.0,-2.0,0.0,1785.0,239.0,0.0,,,230.0,,983.0,0.0,,0.0,545.0,2743.0,338.0,109.0,933.0,2488.0,3288.0,196.0,1370.0,19.0,,0.0,,,185.0,565.0,591.0,26.0,191.0,565.0,524.0,170.0,765.0,29.0,,19.0,0.0,0.0,,,,,,0.0,,,false,0.0,622.0,,182.0,123.0,,0.0,,0.0,229.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,565.0,56.0,,,,,384.0,38.0,591.0,0.0,0.0,0.0,,0.0
242.0,213.0,0.0,0.0,1969.0,111.0,88.0,110.0,,110.0,,257.0,0.0,,0.0,740.0,1842.0,144.0,77.0,248.0,1174.0,2582.0,75.0,793.0,12.0,,1.0,,,133.0,751.0,792.0,41.0,20.0,751.0,709.0,658.0,95.0,32.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,381.0,,193.0,0.0,,0.0,,0.0,64.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,751.0,67.0,,,,,246.0,181.0,792.0,0.0,2.0,1.0,,20.0
279.0,1226.0,-1734.0,0.0,12951.0,386.0,189.0,0.0,,573.0,,587.0,4.0,,0.0,7930.0,11159.0,2003.0,663.0,3481.0,11654.0,19089.0,450.0,7206.0,65.0,,0.0,,,835.0,-423.0,-582.0,-159.0,66.0,-423.0,8453.0,3125.0,322.0,248.0,,436.0,36.0,0.0,,,,,,0.0,,,false,0.0,414.0,,138.0,4334.0,,-3.0,,-1.0,1308.0,0.0,132.0,,,,,,,,,,,,,0.0,,,,,,0.0,-423.0,2561.0,,,,,3217.0,678.0,-582.0,0.0,0.0,0.0,,356.0
354.0,138.0,0.0,0.0,3710.0,189.0,196.0,,,73.0,,0.0,0.0,,0.0,1699.0,2313.0,757.0,38.0,1729.0,4466.0,4012.0,44.0,2293.0,24.0,,0.0,,,444.0,-1027.0,-1377.0,-350.0,0.0,-1027.0,1600.0,1393.0,0.0,0.0,,35.0,0.0,703.0,,,,,,0.0,,,false,0.0,455.0,,27.0,0.0,,0.0,,0.0,16.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,-1027.0,431.0,,,,,1028.0,102.0,-1377.0,0.0,0.0,0.0,,-19.0
457.0,464.0,0.0,0.0,4086.0,587.0,23.0,474.0,,515.0,,36.0,0.0,,0.0,1241.0,2931.0,118.0,91.0,548.0,1840.0,4172.0,16.0,1106.0,11.0,,1.0,,,186.0,1022.0,1093.0,71.0,41.0,1022.0,1536.0,983.0,0.0,5.0,,0.0,-6.0,0.0,,,,,,0.0,,,true,0.0,465.0,,11.0,0.0,,0.0,,0.0,33.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1022.0,217.0,,,,,427.0,127.0,1086.0,7.0,0.0,0.0,,123.0
505.0,5844.0,-1358.0,0.0,29651.0,1641.0,1.0,0.0,,385.0,,1002.0,0.0,,1021.0,10203.0,23982.0,3394.0,612.0,6257.0,19800.0,34185.0,1269.0,11639.0,119.0,,0.0,,,1904.0,4857.0,5738.0,881.0,369.0,4857.0,12713.0,13005.0,45.0,166.0,,518.0,0.0,-3.0,,,,,,0.0,,,false,0.0,1907.0,,865.0,879.0,,69.0,,19.0,1457.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,4857.0,2016.0,,,,,1339.0,838.0,5738.0,0.0,158.0,61.0,,480.0
1155.0,1023.0,0.0,0.0,21174.0,4966.0,294.0,1007.0,,1261.0,,1168.0,0.0,,332.0,5553.0,18216.0,4104.0,529.0,4589.0,13575.0,23769.0,422.0,7558.0,83.0,,0.0,,,1356.0,7385.0,7535.0,150.0,204.0,7385.0,5820.0,8404.0,656.0,3203.0,,33.0,23.0,128.0,,,,,,0.0,,,true,37.0,686.0,,336.0,342.0,,0.0,,15.0,2675.0,0.0,72.0,,,,,,,,,,,,,0.0,,,,,,0.0,7385.0,0.0,,,,,910.0,417.0,7535.0,0.0,391.0,11.0,,1210.0
1351.0,1370.0,0.0,0.0,8298.0,1652.0,0.0,451.0,,451.0,,189.0,0.0,,0.0,4802.0,5325.0,629.0,304.0,1439.0,4448.0,10127.0,507.0,2491.0,36.0,,0.0,,,518.0,1263.0,1263.0,0.0,0.0,1263.0,1421.0,3052.0,189.0,510.0,,0.0,-12.0,0.0,,,,,,0.0,,,true,0.0,1722.0,,1133.0,0.0,,0.0,,0.0,297.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1263.0,0.0,,,,,2057.0,865.0,1263.0,0.0,0.0,40.0,,243.0
1454.0,1420.0,-1661.0,0.0,23381.0,4214.0,0.0,295.0,,295.0,,3533.0,18.0,,4639.0,5754.0,29754.0,11154.0,328.0,8893.0,25102.0,35508.0,2420.0,12737.0,131.0,,50.0,,,3472.0,14161.0,14161.0,0.0,18.0,14161.0,4964.0,13169.0,787.0,1757.0,,41.0,0.0,130.0,,,,,,0.0,,,true,0.0,739.0,,2854.0,3261.0,,108.0,,0.0,5104.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,14161.0,0.0,,,,,1114.0,1413.0,14095.0,66.0,844.0,1.0,,50.0
1669.0,248.0,0.0,0.0,15190.0,1719.0,0.0,524.0,,538.0,,579.0,14.0,,0.0,5683.0,11469.0,1922.0,360.0,3162.0,8388.0,17152.0,464.0,4601.0,52.0,,12.0,,,625.0,3703.0,4516.0,813.0,28.0,3703.0,7608.0,3878.0,430.0,2330.0,,39.0,0.0,0.0,,,,,,0.0,,,false,0.0,1447.0,,554.0,312.0,,0.0,,9.0,1553.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,3703.0,304.0,,,,,1902.0,887.0,4516.0,0.0,0.0,0.0,,487.0
