IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34
37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8738.0,1162.0,46505.0,0.0,0.0,266.0,0.0,716.0,80970.0,63416.0,280.0,63696.0,0.0,974.0,0.0,0.0,17274.0,1200.0,80970.0,0.0,0.0,11273.0,0.0,0.0,3500.0,0.0,17927.0,45489.0,,,0.0,24557.0,23583.0,1301.0,0.0,0.0,0.0,0.0,17274.0,,0.0
242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2915.0,989.0,12291.0,0.0,0.0,348.0,0.0,451.0,47217.0,37446.0,28.0,41894.0,0.0,161.0,4420.0,0.0,5323.0,120.0,47217.0,0.0,0.0,4818.0,0.0,0.0,120.0,0.0,9447.0,27999.0,,,0.0,24580.0,24419.0,265.0,5801.0,0.0,0.0,0.0,5323.0,3.0,0.0
279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20927.0,6346.0,9832.0,0.0,740.0,6456.0,209.0,8946.0,285848.0,221705.0,1476.0,254073.0,0.0,1242.0,30892.0,0.0,31775.0,1.0,285848.0,0.0,0.0,31544.0,0.0,0.0,0.0,0.0,32662.0,189043.0,,,0.0,196913.0,195671.0,230.0,2513.0,0.0,0.0,0.0,31775.0,0.0,34208.0
354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.0,399.0,650.0,0.0,0.0,84.0,0.0,187.0,16349.0,14667.0,95.0,14762.0,0.0,168.0,0.0,0.0,1587.0,100.0,16349.0,0.0,0.0,547.0,0.0,0.0,936.0,1640.0,7076.0,7591.0,,,0.0,8838.0,8670.0,4.0,4014.0,0.0,0.0,0.0,1587.0,,0.0
457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8724.0,597.0,0.0,0.0,0.0,290.0,86.0,1681.0,58348.0,43984.0,193.0,53677.0,0.0,566.0,9500.0,0.0,4671.0,60.0,58348.0,0.0,0.0,671.0,0.0,0.0,3940.0,0.0,9027.0,34957.0,,,0.0,46352.0,45786.0,0.0,1147.0,0.0,0.0,0.0,4671.0,6.0,31.0
505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36306.0,5804.0,69063.0,0.0,1805.0,10094.0,0.0,14961.0,638536.0,560968.0,7498.0,584346.0,58.0,6660.0,15880.0,0.0,54132.0,6480.0,638536.0,0.0,0.0,31833.0,0.0,0.0,18403.0,0.0,157956.0,403012.0,,,0.0,505613.0,498953.0,-2584.0,1550.0,0.0,0.0,0.0,54190.0,0.0,0.0
1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15233.0,9353.0,23862.0,0.0,0.0,4000.0,124.0,7883.0,269271.0,241231.0,2108.0,243339.0,0.0,4000.0,0.0,0.0,25932.0,1600.0,269271.0,0.0,0.0,18861.0,0.0,0.0,4900.0,754.0,28768.0,212463.0,,,0.0,205066.0,201066.0,571.0,6996.0,0.0,0.0,0.0,25932.0,0.0,0.0
1351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16743.0,5978.0,5797.0,0.0,0.0,4900.0,606.0,2259.0,183517.0,155754.0,687.0,156441.0,0.0,1236.0,0.0,0.0,27076.0,240.0,183517.0,0.0,0.0,26234.0,0.0,0.0,530.0,0.0,23840.0,131914.0,,,0.0,108220.0,106984.0,72.0,0.0,0.0,0.0,0.0,27076.0,0.0,40250.0
1454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188277.0,12299.0,324133.0,0.0,0.0,4378.0,0.0,14781.0,875825.0,765722.0,3467.0,769189.0,0.0,4341.0,0.0,0.0,106636.0,1000.0,875825.0,0.0,0.0,97144.0,0.0,0.0,1214.0,2140.0,272275.0,493447.0,,,0.0,334102.0,329761.0,7278.0,0.0,0.0,0.0,0.0,106636.0,56.0,0.0
1669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30897.0,7189.0,53454.0,0.0,0.0,4125.0,5.0,14033.0,324147.0,273071.0,250.0,273321.0,0.0,3105.0,0.0,0.0,50826.0,800.0,324147.0,0.0,0.0,48057.0,0.0,0.0,800.0,0.0,67756.0,205315.0,,,0.0,189207.0,186102.0,1169.0,0.0,0.0,0.0,0.0,50826.0,0.0,28342.0
1856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12035.0,693.0,36224.0,0.0,98.0,439.0,0.0,2771.0,94308.0,47147.0,122.0,82569.0,0.0,265.0,35300.0,0.0,11739.0,500.0,94308.0,0.0,0.0,329.0,0.0,0.0,13732.0,0.0,4285.0,42862.0,,,-3000.0,39500.0,39235.0,178.0,2813.0,0.0,0.0,0.0,11739.0,0.0,0.0
