IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
1893049.0,76000.0,-7000.0,0.0,15000.0,3000.0,4000.0,0.0,0.0,,,71000.0,0.0,0.0,0.0,330000.0,186000.0,0.0,0.0,64000.0,86000.0,516000.0,67000.0,22000.0,121.0,,33000.0,220000.0,0.0,0.0,72000.0,93000.0,21000.0,0.0,72000.0,0.0,0.0,0.0,1000.0,0.0,9000.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,false,0.0,4000.0,8000.0,22000.0,328000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,72000.0,,,,,,0.0,0.0,93000.0,0.0,,,,0.0
1917301.0,51881.0,40.0,0.0,268617.0,134186.0,500.0,0.0,0.0,,53729.0,1421.0,3560.0,0.0,12338.0,107733.0,197465.0,116268.0,3891.0,48543.0,133604.0,305198.0,10437.0,79453.0,701.0,0.0,6275.0,23767.0,0.0,5539.0,127497.0,173963.0,46466.0,1320.0,127497.0,6279.0,44015.0,611.0,17345.0,558.0,1385.0,0.0,53120.0,0.0,2972.0,0.0,0.0,0.0,0.0,2972.0,0.0,false,0.0,28748.0,1660.0,2809.0,16469.0,0.0,25241.0,0.0,45.0,18661.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-110.0,0.0,0.0,0.0,0.0,,,,,,0.0,127497.0,,31.0,47.0,0.0,3813.0,6336.0,2129.0,174419.0,-456.0,,,,5750.0
1918344.0,24630.0,-4117.0,0.0,305567.0,78631.0,4.0,0.0,,787.0,,5427.0,0.0,,0.0,133046.0,219978.0,7223.0,1802.0,12202.0,56860.0,353024.0,35779.0,39535.0,296.0,,0.0,3819.0,3974.0,5065.0,114201.0,159724.0,45523.0,0.0,114201.0,25979.0,200170.0,1324.0,29224.0,0.0,854.0,-1900.0,546.0,0.0,,,,,0.0,0.0,0.0,false,0.0,0.0,,789.0,4604.0,0.0,27.0,0.0,0.0,6748.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,114201.0,,25.0,29.0,0.0,1748.0,34266.0,37133.0,159724.0,0.0,,,,6500.0
1929247.0,172603.0,42.0,0.0,1256525.0,239108.0,5580.0,235.0,,22563.0,,22186.0,0.0,,12844.0,313022.0,1115768.0,245148.0,58937.0,212216.0,733573.0,1428790.0,25731.0,437747.0,5156.0,,10679.0,11670.0,0.0,62667.0,410168.0,523196.0,113028.0,22003.0,410168.0,253195.0,696684.0,14773.0,32720.0,10490.0,5820.0,767.0,6337.0,8272.0,,,,,0.0,-141.0,0.0,false,906.0,44069.0,,22588.0,90360.0,0.0,14461.0,6.0,-441.0,61844.0,0.0,20943.0,0.0,0.0,84166.0,6233.0,135.0,-28201.0,0.0,,2037.0,0.0,0.0,0.0,0.0,,,,,,0.0,410168.0,,24448.0,7673.0,1506.0,25310.0,69105.0,16245.0,523196.0,0.0,,,,104189.0
1940747.0,12.0,0.0,0.0,8920.0,74.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,1356.0,9934.0,2088.0,826.0,2961.0,7087.0,11290.0,1877.0,3237.0,38.0,,0.0,,,889.0,3604.0,4830.0,1226.0,0.0,3604.0,8209.0,232.0,0.0,9.0,,56.0,0.0,0.0,,,,,,0.0,,,false,0.0,405.0,,21.0,416.0,,0.0,,0.0,1262.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,3604.0,977.0,,,,,57.0,301.0,4830.0,0.0,0.0,0.0,,105.0
1945247.0,5.0,0.0,0.0,1746.0,675.0,127.0,,,0.0,,5.0,0.0,,0.0,12.0,2550.0,3743.0,175.0,1319.0,2900.0,2562.0,490.0,924.0,14.0,,0.0,,,657.0,3458.0,3458.0,0.0,0.0,3458.0,137.0,914.0,0.0,1.0,,1.0,0.0,0.0,,,,,,0.0,,,false,5.0,15.0,,106.0,87.0,,53.0,,0.0,3515.0,0.0,0.0,,,,,,,,,-131.0,,0.0,,0.0,,,,,,0.0,3458.0,0.0,,,,,4.0,2.0,3458.0,0.0,0.0,0.0,,-65.0
2002222.0,1286.0,12.0,0.0,9796.0,1922.0,0.0,320.0,,388.0,,369.0,0.0,,0.0,3056.0,9143.0,874.0,255.0,1440.0,4442.0,12199.0,763.0,2710.0,43.0,,0.0,,,292.0,4072.0,5437.0,1365.0,4.0,4072.0,2420.0,4311.0,127.0,699.0,,18.0,0.0,0.0,,,,,,0.0,,,false,0.0,755.0,,64.0,1189.0,,0.0,,0.0,615.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,4072.0,46.0,,,,,684.0,341.0,5437.0,0.0,0.0,4.0,,150.0
2006024.0,4371.0,0.0,0.0,29754.0,1217.0,0.0,0.0,,41.0,,833.0,0.0,,30.0,15739.0,19132.0,5461.0,2004.0,4309.0,13797.0,34871.0,2397.0,8169.0,121.0,,0.0,,,1319.0,9242.0,9341.0,99.0,0.0,9242.0,9624.0,18770.0,695.0,2544.0,,83.0,-875.0,0.0,,,,,,0.0,,,true,0.0,102.0,,403.0,1401.0,,4.0,,0.0,4298.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,9242.0,1444.0,,,,,5454.0,1926.0,9446.0,-105.0,0.0,0.0,,1350.0
2007991.0,761.0,0.0,0.0,10736.0,1189.0,50.0,265.0,,466.0,,734.0,4.0,,0.0,6037.0,8531.0,784.0,124.0,1485.0,5124.0,14568.0,15.0,3256.0,47.0,,235.0,,,383.0,1552.0,1671.0,119.0,205.0,1552.0,2024.0,7037.0,437.0,243.0,,73.0,-7.0,17.0,,,,,,0.0,,,false,0.0,20.0,,1914.0,1042.0,,176.0,,0.0,474.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1552.0,1303.0,,,,,2220.0,1275.0,1671.0,0.0,0.0,0.0,,2520.0
2009605.0,8306.0,-318.0,0.0,45244.0,6820.0,0.0,4753.0,,5809.0,,3503.0,790.0,,0.0,23000.0,32350.0,4840.0,1206.0,8396.0,29996.0,55350.0,463.0,18006.0,244.0,,72.0,5460.0,0.0,3577.0,6773.0,6773.0,0.0,605.0,6773.0,4964.0,26403.0,3374.0,1906.0,0.0,428.0,0.0,141.0,353.0,,,,,0.0,0.0,0.0,true,33.0,1215.0,,701.0,4221.0,0.0,0.0,0.0,17.0,1919.0,0.0,17.0,0.0,1082.0,406.0,69.0,0.0,,,,,,,,0.0,,,,,,0.0,6773.0,,677.0,85.0,0.0,443.0,4463.0,2793.0,6696.0,77.0,,,,180.0
2010722.0,1335.0,-5.0,0.0,9830.0,2343.0,0.0,44.0,,180.0,,368.0,0.0,,0.0,2571.0,9475.0,1531.0,418.0,2531.0,9624.0,12046.0,445.0,6313.0,64.0,,0.0,,,780.0,1221.0,1252.0,31.0,132.0,1221.0,1850.0,5413.0,245.0,165.0,,22.0,0.0,5.0,,,,,,0.0,,,true,0.0,44.0,,354.0,1027.0,,232.0,,0.0,876.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1221.0,143.0,,,,,727.0,201.0,1252.0,0.0,0.0,0.0,,125.0
2037185.0,266.0,0.0,0.0,5600.0,572.0,0.0,,,257.0,,18.0,0.0,,0.0,961.0,6380.0,1098.0,188.0,1400.0,4367.0,7341.0,1343.0,2534.0,47.0,,28.0,,,433.0,2378.0,3155.0,777.0,32.0,2378.0,2341.0,2300.0,9.0,211.0,,54.0,32.0,0.0,,,,,,0.0,,,false,0.0,130.0,,249.0,77.0,,0.0,,378.0,451.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,2378.0,23.0,,,,,339.0,94.0,3155.0,0.0,25.0,24.0,,-44.0
2044811.0,23410.0,24.0,0.0,92725.0,41997.0,244.0,0.0,,758.0,,1022.0,1860.0,,0.0,41683.0,69698.0,8559.0,1910.0,13153.0,28392.0,111381.0,2892.0,13420.0,103.0,,634.0,3360.0,0.0,1718.0,33727.0,45993.0,12266.0,513.0,33727.0,5173.0,21285.0,698.0,6313.0,354.0,611.0,0.0,0.0,0.0,,,,,0.0,124.0,0.0,false,0.0,23512.0,,1227.0,10800.0,0.0,0.0,0.0,950.0,5575.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,33727.0,,16.0,42.0,0.0,1852.0,6612.0,1354.0,46017.0,-24.0,,,,3872.0
2044820.0,157.0,0.0,0.0,4596.0,912.0,31.0,,,0.0,,14.0,0.0,,0.0,1112.0,4764.0,213.0,82.0,1225.0,3786.0,5876.0,9.0,2075.0,30.0,,111.0,,,486.0,1056.0,1056.0,0.0,0.0,1056.0,1458.0,2203.0,14.0,41.0,,63.0,0.0,0.0,,,,,,0.0,,,true,0.0,23.0,,243.0,920.0,,0.0,,0.0,131.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1056.0,90.0,,,,,232.0,481.0,1056.0,0.0,0.0,0.0,,135.0
2051127.0,1316.0,0.0,0.0,10804.0,3056.0,66.0,2.0,,2.0,,375.0,0.0,,0.0,4747.0,8153.0,783.0,122.0,1732.0,5028.0,12900.0,268.0,2981.0,33.0,,21.0,,,315.0,3433.0,3795.0,362.0,0.0,3433.0,1205.0,6518.0,14.0,422.0,,53.0,-1.0,16.0,,,,,,0.0,,,true,0.0,23.0,,124.0,1210.0,,89.0,,95.0,461.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,3433.0,338.0,,,,,2044.0,606.0,3789.0,6.0,0.0,1.0,,119.0
2059990.0,72.0,-27.0,0.0,4022.0,147.0,0.0,,,0.0,,279.0,0.0,,0.0,1409.0,3276.0,3195.0,23.0,1251.0,4183.0,4685.0,70.0,2651.0,36.0,,19.0,,,281.0,2261.0,2261.0,0.0,0.0,2261.0,3154.0,654.0,18.0,26.0,,49.0,505.0,2385.0,,,,,,0.0,,,true,0.0,67.0,,195.0,70.0,,1.0,,1.0,275.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,2261.0,362.0,,,,,739.0,191.0,2261.0,0.0,0.0,5.0,,0.0
2068107.0,1878.0,0.0,0.0,67531.0,8803.0,0.0,0.0,,0.0,,8.0,0.0,,0.0,9679.0,60186.0,8432.0,80.0,13999.0,29914.0,69865.0,2220.0,14253.0,125.0,,0.0,,,1662.0,17879.0,23810.0,5931.0,0.0,17879.0,881.0,19974.0,0.0,982.0,,0.0,0.0,484.0,,,,,,0.0,,,false,0.0,37873.0,,10.0,96.0,,87.0,,-3.0,7784.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,17879.0,850.0,,,,,3265.0,2704.0,23810.0,0.0,0.0,0.0,,14894.0
2107181.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,3093.0,514397.0,0.0,56953.0,86139.0,3093.0,3093.0,28102.0,699.0,,0.0,,,1084.0,340769.0,431353.0,90584.0,0.0,340769.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,false,0.0,0.0,,0.0,0.0,,0.0,,0.0,514397.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,340769.0,0.0,,,,,0.0,0.0,431353.0,0.0,0.0,0.0,,-2.0
2107341.0,526.0,-53.0,0.0,4389.0,152.0,139.0,,,10.0,,240.0,0.0,,0.0,2371.0,2813.0,587.0,75.0,923.0,2794.0,5184.0,78.0,1552.0,32.0,,409.0,,,311.0,533.0,533.0,0.0,0.0,533.0,2228.0,1859.0,213.0,735.0,,48.0,0.0,5.0,,,,,,0.0,,,true,0.0,140.0,,82.0,208.0,,12.0,,0.0,493.0,8.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,533.0,320.0,,,,,358.0,23.0,533.0,0.0,0.0,2.0,,20.0
2119773.0,31594.0,8.0,0.0,146560.0,70199.0,837.0,0.0,,1360.0,,871.0,2829.0,,0.0,59884.0,112806.0,13512.0,2370.0,20832.0,52707.0,172690.0,3894.0,27283.0,225.0,,293.0,4515.0,0.0,4098.0,49389.0,67396.0,18007.0,926.0,49389.0,8012.0,46753.0,450.0,7122.0,391.0,985.0,0.0,0.0,0.0,,,,,0.0,472.0,0.0,false,0.0,20236.0,,491.0,16223.0,0.0,0.0,0.0,52.0,10618.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,49389.0,,44.0,66.0,0.0,2260.0,11834.0,4526.0,67482.0,-86.0,,,,6137.0
2121196.0,1146792.0,0.0,0.0,1646070.0,463.0,0.0,0.0,,3479.0,,410014.0,0.0,,0.0,1167864.0,1659377.0,222004.0,0.0,1019455.0,1042224.0,2827241.0,171211.0,22518.0,107.0,,62.0,16520.0,0.0,251.0,384692.0,476160.0,91468.0,482.0,384692.0,43.0,4725.0,0.0,4490.0,37.0,3209.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,false,1637360.0,0.0,,138086.0,458651.0,0.0,0.0,0.0,0.0,222004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,384692.0,,,,,,0.0,0.0,476145.0,15.0,,,0.0,363012.0
2122997.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,7.0,-5.0,46199.0,0.0,29754.0,38124.0,2.0,2.0,7162.0,134.0,,0.0,0.0,0.0,1208.0,6268.0,8070.0,1802.0,0.0,6268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,false,0.0,0.0,,0.0,0.0,0.0,13143.0,0.0,0.0,33056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,0.0,6268.0,,,,,,0.0,7.0,8070.0,0.0,,,,0.0
2123930.0,84.0,-1.0,0.0,2307.0,297.0,0.0,,,38.0,,309.0,0.0,,0.0,881.0,2081.0,302.0,124.0,650.0,1639.0,2962.0,142.0,789.0,14.0,,36.0,,,200.0,675.0,729.0,54.0,0.0,675.0,928.0,976.0,222.0,69.0,,6.0,0.0,0.0,,,,,,0.0,,,true,0.0,68.0,,68.0,130.0,,0.0,,1.0,177.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,675.0,0.0,,,,,441.0,251.0,729.0,0.0,0.0,0.0,,14.0
