"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
2938198																					235882	546756	483026	1607330	0	541528	3414522	4258	7253	3740	10270	0	1760	0	27281	1	0	0	6	7	
2938769																																									
2939001																																									
2939391																																									
2941068																					326100	2905196	1373503	1737173	26327	29318	6397617	2997	31002	9169	19923	827	429	0	64347	0	0	0	0	0	
2943615																																									
2947556																																									
2948058																																									
2948423																																									
2949970																																									
2953418																																									
2954059																					234446	1580139	1093108	351942	0	1804	3261439	4131	9680	8202	12478	0	71	0	34562	0	0	0	0	0	
2954497																																									
2958972																																									
2960555																																									
2960788																																									
2963266																					273304	1626437	182465	285716	0	2408	2370330	4077	11371	1161	1522	0	15	0	18146	0	0	0	0	0	
2963275																																									
2963864																																									
2967796																																									
2970657																					90344	237886	201398	772543	0	326305	1628476	2197	2415	2105	4145	0	427	0	11289	1	0	0	2	3	
2973041																																									
2973386																																									
2980209																					0	0	5000	286000	30039000	98000	30428000	0	0	0	10000	2577000	5000	0	2592000	0	0	0	0	0	
2986407																					38571	333951	450246	539019	0	197972	1559759	508	3739	3899	6029	0	4252	0	18427	0	0	0	0	0	
2989006																																									
2992547																																									
2997216																																									
2997748																																									
2998576																																									
3005097																																									
3010363																																									
3015939																																									
3016347																					171905	456642	169558	376457	0	35262	1209824	3377	4290	5336	5313	0	755	-41	19030	0	0	0	0	0	
3017081																																									
3019982																																									
3020447																																									
3022610																																									
3025929																																									
3027763																																									
3029253																																									
3029589																					255401	737123	91071	504948	0	18227	1606770	3896	11542	884	5902	0	211	0	22435	57	0	0	0	57	
3032833																																									
3034257																																									
3034695																																									
3039636																																									
3040418																																									
3041358																																									
3042234																																									
3045383																																									
3047659																																									
3048487																																									
3049635																																									
3052813																					0	385148	185856	84074	0	62614	717692	0	2122	5859	2038	0	1543	0	11562	0	0	0	856	856	
3066025																																									
3067929																																									
3068579																					20115	551448	661415	37989	0	538	1271505	237	6216	5508	553	0	29	0	12543	0	0	0	0	0	
3070545																																									
3075474																																									
3076220																					0	4025	1404310	3869738	4111	1386142	6668326	0	45	1663	22478	274	2482	0	26942	0	0	0	0	0	
3076248																					1162589	612413	6863007	3505770	0	267888	12411667	11090	20644	18589	52171	0	776	0	103270	0	0	0	0	0	
3076453																																									
3076604																					61596	339348	160333	372844	420	9134	943675	479	2580	898	10825	2	78	130	14992	0	0	0	0	0	
3089752																																									
3090833																																									
3102893																																									
3103591																																									
3109043																					151504	1923978	49105	508356	0	41734	2674677	1543	21666	133	4078	0	571	0	27991	0	0	0	0	0	
3109146																					117155	1300014	1807471	48418	0	181056	3454114	1068	17338	12408	1081	0	361	0	32256	0	0	0	0	0	
3110197																																									
3116519																																									
3120646																																									
3120897																																									
3122994																																									
3125315																																									
3125557																																									
3128923																																									
3134399																																									
3134698																																									
3138146																					4768525	10603332	15276490	20023594	0	28252	50700193	32053	134331	35162	138540	0	164	0	340250	8239	0	0	0	8239	
3139321																																									
3140822																																									
3141726																					45223	476669	497461	48477	1600	24032	1093462	549	5886	5290	620	236	318	294	13193	1	0	0	0	1	
3145797																																									
3146150	24823	823320	443607	338308	0	191138	1821196	213	8946	3917	5257	0	3121	0	21454	0	0	0	12	12																					
3148613																																									
3150205																																									
3150447	0	0	26655000	4051000	0	9472000	40178000	0	0	28000	4000	0	0	0	32000	0	0	0	0	0																					
3153233																																									
3153297																																									
3158546																																									
3160978																																									
3165357																																									
3166699																																									
3174920																																									
3180136																																									
3184228																																									
3185579																																									
3185896																																									
3187630																					439904	1091805	94178	1774499	0	230993	3631379	4122	15401	1505	22610	0	12303	0	55941	210	0	0	0	210	
3189063																																									
3194692																																									
3199811																																									
3202702																					55000	3945000	0	817000	0	601000	5418000	0	36000	0	6000	0	1000	4000	47000	0	0	0	0	0	
3212149	2592	2301273	29092981	16156220	251505	34015467	81820038	6	28501	71192	9356	1029	2286	0	112370	0	0	0	0	0																					
3212402																					32823	1483675	553550	305961	0	21955	2397964	125	17660	3837	6674	0	36	0	28332	0	0	0	0	0	
3213333																																									
3213735																																									
3214059																					259562	723583	16187	783172	0	520	1783024	3453	5916	137	9832	0	4	0	19342	0	0	0	0	0	
3216017																					114642	333562	316849	913787	0	208936	1887776	2108	3810	2842	4680	0	1342	0	14782	0	0	0	39	39	
3216316																																									
3217331																																									
3217957																																									
3219269																																									
3220863																																									
3221468																					1564428	3168969	1720839	3235627	0	9219	9699082	19781	41046	17855	33195	0	155	0	112032	0	0	0	0	0	
3223305																																									
