"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
7045		0	1129	0	3	0	1132	6	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072		0	3085	-26	57	0	3104	50	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7456		0	930	20	0	0	910	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7634		0	1360	45	6	0	1344	35	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
8462		0	1979	25	1	0	1955	2	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
8631		0	407	0	0	0	407	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
9357		0	3467	25	61	0	3405	24	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100		
9553		0	1132	0	6	0	1126	0	0				70	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0		
9807		0	29071	0	214	0	28857	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955		0	1813	0	2	0	1812	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
10250		0	4259	150	25	0	4144	60	0				169	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0		
10849		0	2852	45	3	0	2804	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
11145		0	3835	19	7	0	3830	21	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640		0	2893	3	22	0	2878	10	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
11837		0	986	0	0	0	987	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12030		0	10244	0	2102	0	9191	1049	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12142		0	2359	30	6	0	2341	18	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12311	0		2279561	116778	35344	0	2255046	127607	0	0	6164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9410	0	
12647		0	1167	15	1	0	1151	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12946		0	30223	900	182	0	29728	642	55				0	0	0	0	0	0	600	0	0	0	0	600	0	0	0	0		
13103		0	21903	137	38	0	22401	673	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251		0	725	15	2	0	718	10	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
13457		0	302	60	13	0	229	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14155		0	4343	90	0	0	4255	2	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14650		0	1018	113	19	0	894	8	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47		
14753		0	560	0	1	0	559	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14865		0	6189	200	5	0	6003	19	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14977		0	675	8	0	0	667	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16551		0	4772	0	53	0	4734	15	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
17110		0	279	0	0	0	279	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147		0	204681	2000	900	0	204934	3153	0			0	245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	3362	
17259		0	218	15	2	0	207	6	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
17950		0	5890	30	1	0	5860	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
17978		0	1437	0	0	0	1437	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18050		0	6734	150	35	0	6631	82	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18827		0	21939	3633	13	0	18111	67	249				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267		
18836		0	1697	48	6	0	1663	20	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18854		0	19696	0	5	0	19691	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19356		0	1293	90	0	0	1206	3	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
19936		0	4212	0	11	0	4212	11	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
19972		0	395	-30	0	0	425	0	0				29	0	0	0	0	29	0	0	0	0	0	0	0	0	0	-15		
20053		0	1770	60	3	0	1778	71	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
20633		0	2689	-80	0	0	2787	18	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15		
20857		0	2201	0	226	0	1977	2	0				10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0		
21256		0	113	20	0	0	93	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
21359		0	479	0	0	0	479	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
21658		0	2384	0	0	0	2388	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22048		0	3810	75	5	0	3754	21	-3				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
22543		0	2541	53	4	0	2493	9	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-41		
22552		0	894	30	0	0	864	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
22730		0	1611	242	46	0	1488	165	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
23456		0	3242	0	212	0	3033	3	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
23504		0	76068	5064	87	0	71743	826	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	
23643		0	1696	30	6	0	1739	79	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
23755		0	1977	-40	7	0	2098	88	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
24006		0	14662	-11	8	0	14666	1	0				0	0	0	0	0	0	414	0	-27	0	0	387	0	0	0	-45		
24378		0	312	0	1	0	311	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
24659		0	589	0	34	0	555	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
24949		0	6265	0	4	0	6262	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
25357		0	6089	1088	50	0	5823	872	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
25647		0	3664	75	2	0	3606	19	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26765		0	44656	-952	301	0	46011	704	0				23	0	-3	0	0	20	0	0	0	0	0	0	0	0	0	0		
27070		0	6358	115	1	0	6244	2	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65		
27614		0	1671	11	0	0	1660	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
27847		0	7364	0	71	0	7489	188	-8				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
28013		0	37039	415	39	0	37535	950	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28152		0	1776	66	0	0	1710	0	0				64	0	-1	0	0	63	0	0	0	0	0	0	0	0	0	-1	0	
28675		0	1076	0	0	0	1076	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28732		0	1279	45	4	0	1237	7	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29476		0	1451	38	1	0	1421	9	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27		
29636		0	6668	120	61	0	6551	64	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71		
29878		0	17260	-158	0	0	17418	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7	0	
30052		0	438	0	0	0	438	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
30502		0	10702	0	70	0	10696	64	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
30810	0		9258000	1530877	257172	0	9283000	1813049	0	0	1247000		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-34000	2303458	
31134		0	1747	60	5	0	1735	53	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31255		0	9591	0	133	0	9462	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31657		0	1005	0	29	0	992	16	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
31826		0	4462	131	15	0	4400	84	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31835		0	1812	0	7	0	2051	246	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
32234		0	834	16	12	0	844	14	-24				0	0	0	24	0	24	111	0	182	247	0	540	0	0	0	0		
32766		0	2318	18	186	0	2389	275	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
32971		89	2814	55	14	0	2745	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0		
33147		0	5962	0	1	0	6028	67	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33259		0	11342	0	15	0	11328	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33370		0	150	1	0	0	149	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33839		0	108	5	0	0	103	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33857		0	13183	319	6	0	12858	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34434		0	2855	-435	45	0	3380	135	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435		
34537		0	146669	1368	998	0	148931	4628	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34555		0	2492	45	26	0	2435	14	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34742		0	4946	0	5	0	4987	35	-11				2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0		
35057		0	2162	83	4	0	2082	7	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35301	0		135000	32000	0	0	135000	32000	0			0	1000	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	-5000	0	
35646		0	485	16	0	0	470	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
35879		0	1048	0	1	0	1057	10	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
36456		0	1905	0	8	0	1897	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
36933		0	3639	120	0	0	3523	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37051		0	1001	50	0	0	956	5	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37341		0	1118	30	10	0	1152	74	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37435		0	15841	865	360	0	15477	861	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
37640		0	43754	900	150	0	43765	1061	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37659		0	538	0	1	0	541	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37949		0	2570	60	24	0	2486	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
38740		0	2807	75	6	0	2751	25	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
39327		0	3758	557	14	0	3225	38	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-82		
39756		0	7102	300	21	0	6781	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40033		0	860	0	0	0	860	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
40499		0	48185	338	152	0	47972	277	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-506	0	
40855		0	1440	24	0	0	1431	15	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
41553		0	802	0	0	0	802	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
41629		0	2331	25	64	0	2348	106	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
41825		0	8032	316	3	0	7742	29	0				104	0	23	0	0	127	0	0	0	0	0	0	0	0	0	-71	0	
42037		0	762	16	7	0	781	42	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
42354		0	2724	120	0	0	2613	9	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
42372		0	3628	0	8	0	3621	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
42420		0	119098	5682	1261	0	117718	5563	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1444	0	
42448		0	23367	591	188	0	23301	713	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-83		
42457		0	581	6	0	0	575	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43052		0	1360	30	1	0	1329	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43351		0	6261	575	93	0	6296	703	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43856		0	677	0	0	0	677	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
43959		0	1098	90	72	0	936	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-90		
44040		0	4770	0	0	0	4782	12	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
44433		0	7229	0	1	0	7239	11	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44741		0	5543	0	19	0	5560	36	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34		
44750		0	2063	0	1	0	2105	43	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
44929		0	1174	5	0	0	1169	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45038		0	1466	-1	4	0	1463	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
45056		0	479	0	0	0	479	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
45430		0	838	2	1	0	839	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
45458		0	1640	67	0	0	1605	32	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
45551		0	8279	390	152	0	8276	539	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
45560		0	15193	-669	22	0	16030	190	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-319	0	
45775		0	941	0	0	0	941	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		
46053		0	3111	159	22	0	2939	9	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
46941		0	1853	30	4	0	1825	6	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
47247		0	13930	0	7	0	14106	183	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47500		0	3884	2	7	0	3879	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
48057		0	787	0	1	0	786	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
48150		0	244	3	0	0	246	5	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
48374		0	13530	1397	73	0	13242	1182	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105		
48440		0	1724	20	0	0	1704	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
49054		0	3293	0	3	0	3290	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
49148		0	630	0	0	0	696	66	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
49241		0	12517	0	20	0	12557	60	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
49652		0	2435	30	40	0	2370	41	36				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
49858		0	1690	5	0	0	1685	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
49951		0	964	16	1	0	965	18	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
50144		0	492	5	7	0	484	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14		
50461		0	5395	0	0	0	5395	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51253		0	11847	0	95	0	11839	87	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51356		0	212	0	0	0	212	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51459		0	1487	0	3	0	1490	6	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
51842		0	12848	-500	43	0	13305	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52719		0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951		0	4324	347	24	0	4282	329	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
53051		0	700	0	0	0	700	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
54058		0	6712	0	7	0	6735	30	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54656		0	3922	0	11	0	4052	141	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54973		0	71057	-1159	1519	0	74372	3675	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1000	0	
55336		0	4325	125	21	0	4214	85	50				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
55635		0	1183	199	48	0	1287	351	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
55653		0	909	0	9	0	915	15	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
55970		0	6510	63	1	0	6453	7	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-80		
56258		0	2478	60	0	0	2418	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
56351		0	33834	1050	349	0	33235	800	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56548		0	8013	-1000	1	0	9012	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
56717		0	11224	431	44	0	10807	58	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8		
57040		0	1764	35	1	0	1728	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57451		0	6295	150	7	0	6164	26	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
58225		0	2801	0	11	0	2802	12	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
58243		0	81419	0	562	0	81112	255	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58355		0	568	7	6	0	555	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
58551		0	3016	120	78	0	2858	40	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
58636		0	5014	75	107	0	5010	178	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10		
58757		0	1866	147	1	0	1748	30	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31		
58971		0	147848	2020	215	0	146156	543	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59316		0	18020	-625	171	0	18968	494	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2		
59352		0	6809	90	0	0	6719	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
59370		0	4132	16	57	0	4059	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
59754		0	915	30	3	0	882	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
60143	0		691000	17000	7000	0	688000	21000	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3000	0	
60330		0	14797	632	129	0	14487	451	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-67	0	
60545		0	2326	0	0	0	2331	5	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
60554		0	948	15	0	0	933	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
60648		0	4237	0	5	0	4237	5	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
61122		0	17982	961	159	0	17480	618	0				45	0	0	0	0	45	0	0	0	0	0	0	0	0	0	-15	0	
61355		0	16285	1775	155	0	17387	3032	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
61476		0	5529	200	0	0	5329	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
61757		0	5918	0	3	0	5915	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61832		0	2035	97	2	0	1936	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-97		
61953		0	711	30	0	0	681	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
62044		0	1049	255	0	0	794	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
62110		0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
62147		0	689	0	0	0	689	0	0				20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0		
63050		0	3489	100	4	0	3423	38	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
63069	390		753428	42308	5620	0	716754	11254	0			0	106	0	-8	0	0	98	44	0	-5	0	0	39	0	0	126	-3706	0	
63201		0	2501	117	0	0	2400	16	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
63573		0	6886	15	0	0	6871	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
63733		0	11662	336	90	0	11339	103	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	
64150		0	2245	0	0	0	2245	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
64552		0	4039	-19	2	0	4224	168	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
64730		0	1452	0	12	0	1454	14	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
65205		0	5552	215	0	0	5337	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-90		
65559		0	5124	82	0	0	5046	4	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65858		0	15206	1100	112	0	14936	942	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
66154		0	1997	0	114	0	1998	115	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
66275		0	6878	690	17	0	6171	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
67142		0	1301	0	1	0	1302	2	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
67151		0	15438	0	85	0	15364	11	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
