"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ACL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ACL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37		0	932	0	1	0	932	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242		0	183	0	2	0	190	9	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279		0	2823	-252	18	0	3096	39	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-26		
354		0	555	10	44	0	541	40	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
457		0	823	43	55	0	778	53	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505		0	8245	180	5	0	8076	16	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155		0	5962	303	2	0	5671	14	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1351		0	1248	45	8	0	1250	55	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1454		0	5642	0	3	0	5693	54	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1669		0	5194	124	13	0	5090	33	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1856		0	374	15	0	0	359	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2161		0	2894	480	99	0	2934	619	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2732		0	5062	40	0	0	5022	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15		
2750		0	512	0	1	0	511	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252		0	3650	0	68	0	3747	165	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3458		0	608	16	1	0	592	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3720		0	1687	20	0	0	1667	0	0				50	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0		
3971		0	13751	5238	46	0	10667	3450	1250				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1		
4156		0	2614	0	3	0	2611	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4231		0	908	-48	4	0	954	2	0				10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	48		
5069		0	13568	332	5	0	13701	470	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-168		
5135		0	5315	210	8	0	5133	36	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5210		0	20172	223	40	0	19969	60	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-151		
5461		0	6830	0	9	0	6831	10	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5751		0	2512	0	0	0	2512	0	0				40	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0		
6039		0	5270	327	2	0	4950	9	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6329		0	23167	4500	829	0	23043	5205	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009		0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
