"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
3458	4769	0	4216	12180	0	19661	0	0	1734	0	51768	0	6214		17007	5560		15445	45554	0	0	0	1734	1734	3716	23365	6171	139	26069	2431	2654	2963	0	16383	8048	722	0	5085	0																	
3720	62478	0	37017	105426	0	197260	0	0	0	0	146428	0	12575		21616	14322		160243	133853	0	0	2509	0	0	20164	23030	374	0	43194	8463	17596	0	0	21952	26059	0	0	26059	0																	
3971	153255	0	1633	167844	0	295136	0	0	16918	0	679198	0	6141		154512	145454		293503	648045	0	25012	9771	16918	16918	76155	164529	47261	3156	240684	24701	48460	16227	0	136589	89388	0	0	73161	1094																	
4156	26728	6	10149	45713	0	97865	0	0	0	0	144624	0	14798		19480	49103		87708	127344	2	2482	1416	0	0	20856	27589	3255	1181	35685	1204	13722	0	987	33400	15913	14559	0	14926	1483																	
4231	22315	0	31387	40148	0	78005	0	0	0	0	69172	0	6379		11787	15927		46618	62793	0	0	7873	0	0	3129	11884	6941	2315	15013	554	2792	2319	996	12482	6661	0	0	3346	0																	
5069	22097	0	0	22561	0	23515	0	0	169246	0	316873	4750	1477		131190	34788		23515	274477	0	36169	746	169246	129807	26131	109699	37566	9748	135830	18493	42768	8281	7302	51954	76844	0	0	61261	2772																	
5135	32821	0	52295	106311	0	211210	0	0	17508	0	285954	0	12495		67798	49444		158915	255951	0	17508	12035	17508	17508	33860	107287	3390	0	141147	19327	38233	1592	0	76739	59152	0	0	57560	0																	
5210	332213	48	103355	500093	0	993876	0	0	0	0	858332	0	49307		140513	268837		889481	808670	992	355	12366	0	0	46546	132894	24749	4669	176531	6935	39740	1749	0	68345	48424	61582	0	46675	0																	
5461	358039	0	10977	76096	0	76096	0	0	0	0	615450	0	26273		8182	202242		65119	588928	0	249	516	0	0	5073	17324	447	0	22397	6922	25404	0	0	14661	32326	121972	0	32326	0																	
5751	17013	0	5150	42281	0	76884	0	0	31204	0	198056	0	39479		16814	95705		71734	156048	0	2529	2179	30115	496	10880	16469	7243	1083	27349	6178	11032	2771	29682	18861	49663	26199	1089	17210	448																	
6039	46337	0	21396	204815	0	204815	0	0	0	0	216421	0	919		40495	44688	7114	183419	215502	0	0	1535	0	0	27471	63921	2736	476	91392	11490	19302	0	0	54108	30792	0	0	30792	99	0		0		0		0		0	true							
6329	138413	0	29359	552590	0	749456	0	0	208942	0	989050	0	90874		188343	406770	11216	718361	892411	1736	5765	2957	208942	208942	81756	169826	83338	6309	251582	25051	71808	4311	1468	152886	102638	446927	0	96859	2137	0		0		377087		0		377087	true	143958	137218	0	406770	138413	0	
7009	0	0	0	111167	0	111167	0	0	0	0	316317	0	0		0	316317		111167	316317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
7045	37655	0	11713	35571	0	172083	0	0	0	0	108653	0	6135		17506	35029	6847	160370	102518	0	0	927	0	0	6363	19541	5422	710	19656	386	3546	0	0	14531	3932	0	0	3546	0	0		0		0		0		0	true							
7072	85582	2	3517	67983	0	94499	0	0	7541	0	285351	0	13202		44696	74962		90980	271914	0	235	3914	4082	4082	19588	59054	6355	1125	78642	6438	27678	1110	3459	41427	38685	0	0	34115	0																	
