"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
	REAL ESTATE LOANS, TOTAL	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	TOTAL LOANS RESTRUCTURED IN TROUBLED	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN FI AGRI	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	FV LN LEASE ACQUISITION	GROSS CONTRACT RCVBL	BEST EST AT ACQUISITION DT	TOTAL LOANS RESTRUCTURED IN TROUBLED	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	OTHER LOANS	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CNST LAND DEV 1-4 FAM	LN RSTRCT DBT CNST LAND DEV OTHR CNS	LN RSTRCT DBT CNST LAND DEV MULTI NO	LN LAND DEV NFARM NRES SCD OWN OCC N	LN DBT LAND DEV NFARM NRES SCD NFARM	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN SCD FARM	ITEMIZE DBT RSTRCT LN FI AGRI	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL	Revolving, open-end lines of credit	Number of outstanding Section 4013 l	Outstanding balance of Section 4013	Reverse mortgages outstanding that a	Estimated number of reverse mortgage	Principal amount of reverse mortgage	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																													0	847	0		122			3726	42		2701	21733	0	0	0	8024	0		6409	454	893	1557	3500	1619	0	395	4781	4317	3386	763	0				0	0			0	529	508	116							0														0				0		0	5		1939													3174			CONF	CONF					
242																																																													0	3152	0		1391			2260	0		588	30167	0	0	0	12920	266		12233	417	1492	3890	5053	2068	0	7448	2876	2181	3332	893	503				0	0			0	0	0	5291							0														12920				0		0	11		2479													1809			CONF	CONF					
279																																																													0	7411	11185		128			6775	0		2921	270352	0	840	219	152898	4306		55058	21	583	3401	4029	24239	120098	35125	24783	12167	15684	22818	6169				0	0			16388	20809	13762	28338							0														76527				0		0	137		904													3550			CONF	CONF					
354																																																													0	1502	588		651			5315	1422		0	59005	0	0	0	27273	193		9882	1664	671	1116	5579	1208	17035	8492	8711	4332	6771	2934	492				90	242			3968	1234	955	8591							0														52406				0		0	13		267													6701			CONF	CONF					
457																																																													0	5009	2336		6991			9981	824		1814	73189	0	0	0	23969	2043		13602	523	1277	9214	9218	3277	231	4484	7448	15974	12605	7369	891				0	0			2080	3271	3182	5745							0														39254				29		0	35		3189													2720			CONF	CONF					
505																																																													0	0	106148		0			22129	14545		11905	725987	110	0	2327	299759	3289		26377	415	1990	2919	19691	126535	147802	78533	16643	49053	82339	166039	33652				0	238			9195	29948	62057	119087							0														418529				237		210	443		7709													39435			CONF	CONF					
1155																																																													0	29161	14890		14093			64546	8847		3448	379059	0	0	0	90682	6971		81296	2163	8642	20707	49207	7543	2212	43187	32313	80219	98378	33542	651				489	108			9393	32255	68451	20630							0														177565				0		0	9238		2723													3134			CONF	CONF					
1351																																																													0	14328	0		5598			22068	0		0	117030	0	0	0	22222	0		75227	3109	8169	3874	6443	519	0	20576	43373	17463	9894	3167	113				0	0			291	44	36354	0							0														0				3395		0	454		9812													5859			CONF	CONF					
1454																																																													21250	9426	6279		4172			72652	13330		6	473137	1170	1187	8627	101450	2494		66251	8080	199	874	6230	32184	53884	46470	35958	41270	81185	143486	24358				0	409			1333	83030	62943	75843							0														96409				809		0	1570		13921													3012			CONF	CONF					
1669																																																													0	0	5192		5805			31363	0		289	299381	0	0	0	144717	4331		35732	1209	6692	429	19349	23148	93788	18670	19016	18882	35395	22746	39827				0	0			19553	4637	61229	3763							58														0				0		0	46		9248													9208			CONF	CONF					
1856																																																													0	1627	2876		2671			3135	0		0	27022	0	0	0	5980	0		7718	2343	2748	204	14	260	411	7523	8145	1197	3516	661	0				0	0			1278	1854	1782	3051							0														8553				0		0	5		620													2143			CONF	CONF					
2161																																																													0	10004	8696		363			18676	0		0	232592	0	0	0	97079	307		15955	1134	14821	44218	23884	4997	7956	8261	26820	56752	25254	15776	2165				389	72			2518	30193	34922	27591							0														103156				1124		0	451		656													675			CONF	CONF					
2732																																																													0	0	308403		0			22127	3287		0	574703	459	0	3279	33366	43		66531	3149	1128	14418	14671	0	0	68297	41895	206562	214259	10427	0				0	0			0	21930	29383	155313							0													0	276884				0		0	1233		1													76			CONF	CONF				0	
2750																																																													0	5877	0		22124			4652	0		0	45805	0	0	0	698	5		24422	250	74	215	158	0	0	21525	4147	8518	7315	2730	873				0	29			231	227	833	6979							0													0	20891				0		0	3363		375													412			CONF	CONF				0	
3252																																																													0	39450	995		52818			9586	0		2827	121099	0	68	0	0	0		0	0	0	0	0	0	0	34328	64043	9550	7839	4078	414				0	0			0	423	0	7661							0														50957				0		0	992		1966													4313			CONF	CONF					
3458																																																													0	11621	377		3653			3589	0		0	49101	0	115	0	13477	99		8232	166	1975	6235	4711	394	0	2827	3264	11116	9740	8308	0				0	0			1622	0	6122	5710							0													0	18390				0		0	0		1486													1230			CONF	CONF				0	
3720																																																													0	11726	1316		2933			23457	1791		4078	189794	0	0	0	43535	1851		36744	703	2206	8774	19686	8855	3253	12370	21495	41482	60223	10357	324				0	218			4219	10484	31916	42906							0														96498				0		56	114		3875													5319			CONF	CONF					
3971																																																													0	13704	112844		4463			179690	39135		0	895190	0	30538	5399	69687	1550		250741	4091	3576	11128	10399	6739	33422	169909	80833	239625	237452	73596	14909				0	535			5206	11924	102943	272391							372														340953				7107		0	134		449													49997			CONF	CONF					
4156																																																													0	22632	3411		6952			18055	6434		0	192405	0	0	0	66505	824		26286	176	1647	3847	10172	26742	23921	18748	13262	21530	22878	28489	20919				0	0			1626	1675	52208	9384							0														43496				176		0	0		1751													948			CONF	CONF					
4231																																																													0	1941	865		535			2574	0		955	48769	0	0	0	12931	65		15240	564	2442	4748	4690	486	0	6113	6121	17575	3130	2736	0				0	0			852	1690	15192	8203							0														0				0		0	41		1074													1851			CONF	CONF					
5069																																																													0	4450	5637		0			1337	3697		0	483372	2965	0	0	65032	0		374459	32480	30540	0	0	0	0	282296	60391	78618	0	0	0				0	0			37577	72388	116816	179403							0														113520				0		0	0		0													0			CONF	CONF					
5135																																																													0	87161	2474		106490			43138	0		5186	420743	0	0	0	72050	1446		258748	9175	17299	32226	10695	2559	94	92765	140527	100907	8447	3283	1445				802	0			3329	10117	53713	24255							0														35778				1705		0	245		3718													6619			CONF	CONF					
5210																																																													0	97389	70728		8846			86646	88290		57733	1665068	0	0	0	347990	44977		148620	8148	38938	62905	73465	87499	76860	223341	109322	305701	420870	248547	6758				0	2774			24979	65352	297594	464398							1298														1266818				545		0	417		532													6423			CONF	CONF					
5461																																																													0	36260	83072		5069			24093	3824		0	429907	279	0	5028	34943	1785		20711	1442	186	6296	12951	6346	7723	16765	32647	73979	185269	86298	284				0	47			0	2861	60494	174263							0													0	368603				0		0	1582		108													1785			CONF	CONF				0	
5751																																																													0	31239	3607		21171			38188	1979		2088	165198	0	0	0	31644	103		32896	1739	3803	2673	1926	7073	14302	35851	12316	18408	20564	31423	14750				0	14			188	980	20338	9574							258													0	25968				13		0	27		3235													823			CONF	CONF				0	
6039																																																													0	43187	1390	0	7084	30589	0	30589	515		743	352004	0	0	0	74991	396	11471	128838	2837	4567	17117	15996	10333	24130	64284	57750	86831	49569	15637	2353	0	0	0	579	136	0		12074	28063	58166	79831	0	0				103	0														12962				103	6851	0	6851	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	6409	0	0	CONF	CONF					
6329																																																													0	2932	38381	0	585	109134	0	109134	10895		626	1451611	0	0	0	260195	9150	195	234825	8426	21384	83887	143705	1452	83	95712	125877	263914	524752	171588	2305	0	0	0	0	1393	0		62188	178967	174015	119059	0	0				0	423													120	128169				0	768	0	768	0	391781	0	0	0	0	0	0	0	0	0	0	0	0	91542	0	0	CONF	CONF				0	
7009																																																													0	0	0		0			98084	0		0	328663	0	0	0	0	0		323149	0	0	0	0	0	0	323149	0	3712	1802	0	0				0	0			0	0	0	0							0														0				0		0	2970		0													227609			CONF	CONF					
7045																																																													0	8825	0		5985			6331	690		558	115155	0	0	0	63105	668	28972	5923	375	591	483	7228	12272	41762	2742	5533	10599	11411	13231	7737				538	8			1410	0	2458	8604						0	0														54136				359		0	0	0	7955	0	0	0	0	0			359	0		0	0	8020	0	0	CONF	CONF					
7072																																																													0	4125	18440		123			28943	7739		0	310055	0	0	0	180882	3760		22622	9562	12853	2402	4960	40423	109733	26501	5295	9313	13948	35168	38919				0	1401			2486	7893	21413	31694							525														131132				1574		0	0		0													1156			CONF	CONF					
7456																																																													0	15806	0		40495			14515	0		172	88998	0	0	0	5013	239		45909	253	172	2077	2466	45	0	41469	6177	17085	17730	312	1212				0	12			2277	219	1756	6120							0														60647				0		0	5		1581													788			CONF	CONF					
7634																																																													0	3043	398		7019			9605	0		0	62074	0	0	0	16947	642		14863	455	1432	6299	5571	3190	0	3930	9121	15205	12682	2895	1277				0	0			2660	2073	1055	8610							0														2566				0		0	75		934													9013			CONF	CONF					
8462																																																													0	9060	0		19235			17958	0		0	80747	0	0	0	14143	362		19384	162	157	184	6757	2015	4868	20033	13527	8377	15177	4278	5218				0	0			743	512	4206	2287							0														0				0		0	0		7965													4276			CONF	CONF					
8631																																																													0	105	0		150			4382	0		900	36956	0	0	0	19716	564		1346	183	149	573	784	5967	11950	709	316	2587	4042	7198	2386				0	0			0	1240	277	6493							0													0	0				50		0	10		1218													1901			CONF	CONF				0	
9357																																																													18274	0	29639		0			135183	1777		0	357440	0	28165	0	60	73		183512	0	0	0	0	60	0	155119	35767	43567	87630	27407	7833				0	1804			0	0	30556	26965							0													0	180741				0		81957	1256		67													1664			CONF	CONF				0	
9553																																																													0	53755	2062		49355			8957	0		0	137166	0	0	0	10913	27		52289	176	885	1716	5884	2095	157	54404	6334	17455	18342	23311	6407				0	0			4526	0	3160	547							0														85052				0		0	2682		816													366			CONF	CONF					
9807																																																													0	0	598199	0	0	28465	0	28465	24378		0	1788730	1605	0	0	210534	27802	52496	489751	8970	15397	23110	21512	61452	78885	216668	248716	474458	467765	167434	449	0	0	0	0	15	0		53350	328473	95325	421732	0	0				0	1221													0	595384				0	1639	0	1639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	0	1584	CONF	CONF				0	
9955																																																													0	19747	2540		1740			17196	2354		0	109752	0	11417	0	14404	357		50164	1207	2887	8935	1302	74	0	29113	16958	32508	13902	2869	0				0	0			649	0	1612	37323							0														35358				0		0	16		326													71			CONF	CONF					
10250																																																													0	1126	18157		0			100608	18564		0	386514	0	0	0	69727	3377		36866	1122	1335	6281	17234	26992	16763	27231	17023	76286	128908	67339	0				0	248			4377	17469	84442	47202							0														180601				0		0	38		9967													11212			CONF	CONF					
10849																																																													0	23333	12646		6131			13534	1042		2104	206855	24	0	0	51694	167		16735	3886	7356	31491	7311	1651	0	23520	22477	79343	21051	6771	2022				0	0			5617	12267	40431	33315							0														0				0		0	3096		632													870			CONF	CONF					
11145																																																													0	2495	505	0	7	22102	0	22102	9836		2570	264737	0	0	0	60162	1342	4422	27669	1308	3890	8545	18981	14413	12476	26454	11904	34095	74386	56449	868	0	0	0	0	9	0		3103	9808	56332	24609	0	0				334	128													0	23982				932	0	0	0	0	11188	0	0	0	333	19	0	0	246	246	0	0	0	60669	0	0	CONF	CONF				0	
11640																																																													0	25941	2033		50460			32435	0		0	230870	0	0	0	32646	971		75733	2005	5652	3345	7103	5530	9010	80113	29182	20044	26953	21326	20605				0	0			6664	32934	16441	22023							0														96247				15		0	115		6249													1958			CONF	CONF					
11837																																																													0	2905	10167		40			2705	1678		2463	74425	131	0	0	22475	51		19759	1409	3410	10771	4911	1320	654	7839	10780	19670	5065	8729	0				102	0			806	4491	4710	19020							0														0				0		28	19		392													2504			CONF	CONF					
12030																																																													0	53636	13493		2265			37451	0		0	414819	0	0	0	82311	334		69393	2768	6195	29174	6567	35356	2250	43069	74987	144714	32388	30226	7125				922	212			890	24557	118031	49117							0														0				0		0	941		14565													16094			CONF	CONF					
12142																																																													0	6205	9305		4418			33975	1503		0	160634	0	80	0	45709	2602		43706	2193	6139	14036	21822	1519	0	11586	23788	34702	32773	11034	998				0	0			3421	3562	1486	29797							0													0	0				423		0	0		5099													13472			CONF	CONF				0	
12311		67468	3258263	7601362	219552	34403536	1168367	7447885	0	720883	123162376	0	733145	26143837	391190	20855292	59838648	1430398	6481337	11865629	12909232	3859115	0	3645	78	0	212315	762553	472756	10065	7644	399186	1519636	5984416	8100967	0	5126490													99532739	537295	0	12808196	186134	0	77270	0	0	0	6349795		67468	3258263	92493	219552	34403536	302910		7447885	0	720883	122296919	0	5126490		26143837	391190	13585802		321095	546687	765717	1624428	13922116	8881213							3645	78	212315	762553	472756			399186	1519636	5984416	8100967						35049	56443													0						677956	6830913			12808196	5684	13718	116700	30264	72476				0				6349795		518467	CONF	CONF				0	
12647																																																													0	17143	9891		8345			11390	800		2532	111727	0	0	0	24371	187		17373	6319	5913	3296	3681	4589	388	22827	28611	10292	9569	13322	1775				276	12			1039	2672	5474	27371							0														75498				0		0	9		18													197			CONF	CONF					
12946																																																													0	123856	50949		24265			332144	0		5407	2037148	0	0	0	371422	13542		427884	20154	28315	158077	106637	28712	26381	541184	119986	557394	265307	166863	5701				2867	0			32469	237928	256336	521519							296													0	1162795				0		0	662		10592													53190			CONF	CONF				0	
13103																																																													0	0	173887	0	209	145345	0	145345	42479		0	2338605	0	0	0	884615	14503	175989	26801	30134	7653	13283	43322	199453	588874	280511	45629	192734	429319	309013	182663	0	0	0	0	0	0		16048	96082	302516	346876	0	0				1790	0														1221582				3614	1559	0	1559	0	308178	0	0	0	0	1234	590	0	0	0	0	0	0	6308	590	1698	CONF	CONF					
13251																																																													0	3213	0		2114			6459	270		0	47830	0	0	0	17175	2461		11780	1091	1557	5590	7801	0	820	3259	5873	8438	11874	885	244				0	0			0	872	558	8936							0														0				556		0	0		3205													2567			CONF	CONF					
13457																																																													0	4664	0		4483			4476	356		0	35152	0	0	0	2571	112		16384	860	76	1635	0	0	0	20363	3908	2149	3916	728	1145				0	0			8941	7018	1011	1029							0													0	0				0		0	31		282													178			CONF	CONF				0	
14155																																																													0	65373	3363		37769			19170	3571		35	319291	0	0	14591	97488	1572		112730	2857	19250	18356	44196	6842	5987	30558	60276	47987	73429	9159	223				0	0			26603	17769	20929	18030							0													0	213445				0		0	212		3198													4209			CONF	CONF				0	
14650																																																													0	861	2393		395			18406	586		0	72411	0	0	251	26299	285		10059	4339	12372	3606	3643	635	1704	7721	8561	4791	6332	18397	294				0	3			0	299	6673	3720							0														27093				0		0	11		1293													11187			CONF	CONF					
14753																																																													0	6042	0		14470			2977	0		353	27312	0	132	0	1071	0		8804	50	93	21	390	517	0	1559	8374	2546	7811	5754	197				0	0			0	0	1138	265							0														0				0		0	0		570													294			CONF	CONF					
14865																																																													0	148737	6743		165305			72837	400		7100	538043	0	0	0	24727	2133		186179	341	2143	3772	8620	5022	4613	175858	33575	36122	93635	77379	93725				1389	1007			10101	10923	47328	38042							0														149894				0		0	7		318													946			CONF	CONF					
14977																																																													0	5518	0		9454			4483	0		0	38976	2	0	0	9211	61	4716	7161	578	8	295	544	5910	1876	8164	2737	3113	7127	8461	166				0	0			74	0	2215	3014						0	0														0				0		0	0	0	3121	0	0	0	0	0			0	0	0	0	0	1827	0	0	CONF	CONF					
16551																																																													0	3861	16196		8888			33918	12531		1066	315662	0	772	0	101591	3144		22548	4304	5310	15647	33786	36245	6077	20732	9855	57809	53101	64936	7453				511	145			6729	74593	11923	27581							0													0	91528				234		0	0		3201													9012			CONF	CONF				0	
17110																																																													0	0	0		0			10065	0		0	85153	0	0	0	0	0	0	37085	0	0	0	0	0	0	85152	0	0	0	0	0				0	0			0	0	0	0						0	0														13743				0		0	8928	0	0	0	0	0	0	0			0	0		0	0	66160	0	0	CONF	CONF					
17147																																																													0	155173	774120	0	79258	3722365	0	3722365	597522		939603	12480700	0	0	0	2331353	20736	1220445	1702462	69709	17905	87519	100528	289426	1740367	6137339	337219	968946	946413	805808	917044	0	0	0	0	33328	8653		150768	790958	1137894	1594240	0	0				356	7582														2458433				5149	24996	0	24996	0	63486	0	0	0	189	0	4604	0	0	0	0	0	0	64900	4604	277	CONF	CONF					
17259																																																													0	4901	0		1240			1993	0		1367	45565	28	189	0	12232	167		6957	1109	1213	3398	5587	784	139	7359	2390	15269	4079	2047	2219				0	0			395	0	17917	1433							0														19501				3		0	6		1092													2661			CONF	CONF					
17950																																																													0	84035	560		38578			31950	7883		733	342304	0	493	184	72153	2627		50436	2356	3329	20208	26552	15181	4522	33125	35904	65422	75754	47128	11318				0	127			4217	15208	48244	21346							0													0	141736				0		0	53		5477													8620			CONF	CONF				0	
17978																																																													0	637	3628		0			0	1366		0	150293	0	0	0	117758	3411		6001	149	1399	144	650	15274	100142	2060	2393	1408	621	5894	20159				0	6			9695	3534	1984	6825							84														117758				0		0	0		918													531			CONF	CONF					
18050																																																													0	89238	6091		1609			11892	2269		2974	539703	0	0	0	136027	3487		70811	13741	32668	53335	27786	5000	3475	57159	87943	130399	48875	29257	49407				0	0			2918	84523	77853	107929							0													0	524070				0		0	157		3003													9733			CONF	CONF				0	
18827																																																													0	11153	234467		1163			130685	45917		65532	2076541	0	0	5590	566353	14216		132718	11107	6063	47637	53199	188004	258093	565787	191784	247709	296325	158235	42655				0	1822			16278	175636	149099	466132							984														669022				14624		2579	3489		1055													190965			CONF	CONF					
18836																																																													0	12597	0		983			4549	8972		1055	148660	0	0	0	59570	1414		9375	2243	2058	5528	11960	9277	28367	13102	5937	10629	16685	15173	27483				0	317			12788	10764	13407	8232							0													0	148660				1205		0	0		2957													11055			CONF	CONF				0	
18854																																																													0	39416	19094	0	22716	525752	0	525752	2783		0	1373891	2388	0	0	118546	2783	54823	539007	40643	17526	55805	4393	179	0	918916	86380	111237	109790	7064	0	0	0	0	0	0	0		59441	84280	108651	385767	0	0				0	0													0	166241				0	0	0	0	0	3925	0	0	0	0	0	0	0	0	0	0	0	0	3125	0	0	CONF	CONF				0	
19356																																																													0	1235	647		1052			18610	45		10	111511	0	0	0	28729	764		24499	4599	2443	6791	7861	5560	1473	10233	17071	29847	13981	3897	7745				0	0			2420	8977	16541	25086							2														11141				79		0	2067		3187													2141			CONF	CONF					
19936																																																													0	32578	14091		17474			41299	3186		0	240127	0	0	0	34688	291		60942	1467	2925	5594	10052	14632	0	51094	16967	44395	52010	40759	0				0	228			348	6171	39706	41772							0														42337				79		0	2506		2478													3311			CONF	CONF					
19972																																																													0	60	0		0			118	0		0	51209	0	0	0	44081	3162		0	51	24	278	456	5892	35964	25	41	46	80	1244	5627				0	0			3788	0	0	0							0														0				0		0	0		0													0			CONF	CONF					
20053																																																													0	25985	2039		4578			15842	8280		420	159201	0	0	0	31340	1082		27798	1222	1790	10898	12200	541	4415	13228	19037	55466	30725	6191	1201				35	20			6740	934	57301	1891							0													0	25810				0		0	65		1695													954			CONF	CONF				0	
20633																																																													0	6061	25382		154			5598	3796		162	270229	869	0	0	91779	422		20476	2045	4048	16483	24531	12789	31825	17222	14099	26013	36633	3779	81009				0	0			989	11055	22033	101334							0														256559				699		0	397		98													1838			CONF	CONF					
20857																																																													0	106454	2483		119871			34233	4500		3451	339929	0	0	237	18361	1923		113275	565	1267	2868	10255	3160	246	21223	96920	70577	80648	47478	4578				0	63			1718	9370	26850	8637							0													0	77353				0		0	0		1305													710			CONF	CONF				0	
21256																																																													0	0	110		435			1790	240		0	7058	0	2422	0	1512	0		285	35	0	354	1078	45	0	58	194	707	1533	2533	0				0	0			0	0	102	120							0														0				0		0	0		177													150			CONF	CONF					
