"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
664206																																																													0	529	60248	0	3791	103742	0	103742	218256		0	4761384	9869	0	2527	3536076	27620	507715	20414	43062	149078	84573	113738	437210	2698099	229681	126883	319201	329859	189043	38742	0	0	0	0	2628	0		48807	105286	311246	271478	0	0				0	908														2738453				0	6433	0	6433	0	32	0	0	0	0	0	0	0	0	0	0	0	0	75081	0	6026	CONF	CONF					
664653																																																													0	0	0		18			110440	0		0	151282	939	0	23878	0	0		5524	0	0	0	0	0	0	11312	19266	45507	37377	24769	11282				0	3			0	13381	20833	7457							0													0	74515				0		0	7		4													78			CONF	CONF				0	
664756																																																													0	590896	550504	80999	222196	2201302	362	2201664	113679		153820	21265247	0	9517	132250	8111123	56618	2937804	1909644	127738	132649	164334	246840	1779956	5631731	5351866	860468	1680635	1478937	2204707	1526910	0	0	0	17212	8065	579		1045897	1830691	1976680	3104277	0	9517				0	4822													599805	21265247				46236	114336	980288	195335	0	12007	0	7541	0	1280	24617	1798	0	11000	11000	0	0	0	84778	1798	1956	CONF	CONF				4474	
665146																																																													0	85355	14383		28547			21320	5107		71	250071	0	0	0	41978	874		44597	253	2487	8483	13033	15458	2242	49658	11098	50053	58464	34396	4281				0	60			984	1017	11299	35870							0														173041				1896		0	0		1590													1616			CONF	CONF					
665258																																																													0	2735	0		11472			14000	0		14	67505	0	0	0	12479	0		13261	655	2191	3412	4589	601	998	19820	7306	6436	16619	2736	2106				0	0			2067	1956	4449	14865							0														0				0		0	20		2486													962			CONF	CONF					
665865																																																													0	65931	3475		10188			19201	313		6147	565152	0	0	0	193397	18460		51721	2953	11000	55686	102667	8997	12094	13950	65803	128653	144465	10813	8071				0	0			13651	92295	52832	72041							0													0	530684				81		0	1220		5555													10446			CONF	CONF				0	
666059																																																													0	939	1484		0			654859	0		27453	914401	0	0	27643	28396	90		575363	1453	1829	12329	1871	522	10392	220206	351875	217202	79127	17595	0				0	0			0	187799	12	11581							0													0	21718				0		0	1		26													1761			CONF	CONF				0	
666358																																																													0	1131	226		405			4078	75		0	34003	0	0	0	14825	1897		5010	840	3475	6845	3071	593	0	1787	3325	7067	4848	2149	2				0	2			0	0	8318	632							0														18403				0		0	0		1432													982			CONF	CONF					
666554																																																													0	56341	301		45154			18637	322		221	182426	0	0	0	22062	1225		65068	2065	1439	4546	12562	1450	0	58819	9649	31112	41980	16272	2532				0	57			8037	0	21952	4302							0														0				0		0	300		2018													1497			CONF	CONF					
666844																																																													0	50859	357		22311			5255	0		1102	99113	0	0	0	15441	189		17182	312	616	3416	4459	1408	5230	24855	7727	33428	17193	46	421				177	0			58	0	1293	16							0														0				0		0	8		1621													426			CONF	CONF					
666974																																																													0	0	1841		0			81	9284		0	245508	0	0	0	226321	2965		17122	2423	4328	3019	6112	25590	184217	8750	1621	20	59	4684	3988				793	0			279	249	1980	1709							190														223858				0		0	6		0													0			CONF	CONF					
