"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL ROU)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ACL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL ROU)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ACL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							4469	1923	47800	0	0	268	0	2634	77895	65927	102	66029	0	932	0	0	11866	1200	77895	0	0	12467	0	0	3500	0	20752	45175	1a	1231	0	21733	20801	-5301	0	0	0	0	11866	0	0	
242																																							2350	1337	18726	0	0	499	0	595	56283	49445	99	52644	0	183	3100	0	3639	120	56283	0	0	5463	0	0	120	0	13322	36123	4	1231	0	30167	29984	-2064	2792	0	0	0	3639	0	0	
279																																							28569	5828	93084	0	398	11986	558	15111	462946	341651	4016	422194	0	2823	76527	0	40752	1	462946	0	0	29752	0	0	16174	14724	55846	285805	1a	1231	0	255628	252805	-5175	15107	0	0	0	40752	0	24776	
354																																							854	1471	965	0	0	442	0	2033	71765	62897	737	64982	0	556	1348	0	6783	100	71765	0	0	-1318	0	0	8017	1363	23994	38903	4	1231	0	57643	57087	-16	7550	0	0	0	6783	0	0	
457																																							2993	662	1452	0	0	817	0	1078	79712	65479	252	73231	0	823	7500	0	6481	60	79712	0	0	2536	0	0	3940	0	14036	51443	9	1231	0	73189	72366	-55	329	0	0	0	6481	15	0	
505																																							16467	7264	73497	0	1711	9951	0	22303	848935	732754	9639	782443	54	8245	40000	0	66438	6480	848935	0	0	42939	0	0	18403	0	147434	585320	2a	1231	0	725987	717742	-1384	0	0	50	0	66492	0	0	
1155																																							15815	9019	70604	0	9268	7469	0	13230	498502	446051	2713	448764	0	5962	0	0	49738	1600	498502	0	0	30029	0	0	23696	0	66196	379855	6	1231	0	379059	373097	-5587	0	0	0	0	49738	0	0	
1351																																							6578	3592	12317	0	0	4095	209	2479	213609	182174	1307	183481	0	1248	0	0	30128	240	213609	0	0	30032	0	0	530	0	27188	154986	4	1231	0	117030	115782	-674	0	0	0	0	30128	0	68557	
1454																																							37456	12569	427501	0	0	3760	0	17256	966198	894139	4798	898937	0	5642	0	0	67261	1000	966198	0	0	133054	0	0	1214	622	308650	585489	2b	1231	0	472515	466873	-68007	0	0	0	0	67261	161	0	
