"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
32234	95000	0		true	0	0	false			false	false		false		true	207	false			false								
32766				false			false			false	false		false		false		false			false								
32971				false			false			false	false		false		true	110598	false			false								
33147				false			false			false	false		false		false		false			false								
33259				false			false			false	false		false		false		false			false								
33370				false			false			false	false		false		false		false			false								
33839				false			false			false	false		true	767	false		false			false								
33857	5600	0						5197	1640																			
34434				false			false			false	false		false		false		false			false								
34537	1834259	0						11121	4057																	530	0	
34555	0	0																										
34742				false			true	10850	996	false	false		true	11015	false		false			false								
35057	494	0							2396																			
35301								0	0																			
35646				false			false			false	false		false		false		false			false								
35879	25000	0		true	0	0	false			false	false		false		true	64705	false			false								
36456				false			false			false	false		false		false		false			false								
36933				false			false			false	false		false		false		false			false								
37051				false			false			false	false		false		false		false			false								
37341				false			false			false	false		false		false		false			false								
37435	4408	0		true	0	0	false			false	false		true	8538	true	407787	false			false								
37640	315958	0						23918	10325																	88	0	
37659	0	0						0	0																			
37949				false			false			false	false		false		false		false			false								
38740				false			false			false	false		false		false		false			false								
39327				false			false			false	false		false		false		false			false								
39756	0	0																										
40033				false			false			false	false		false		false		false			false								
40499	271819	909905						90785	16434																	2523	0	
40855				false			false			false	false		true	3665	false		false			false								
41553				false			false			false	false		false		false		false			false								
41629				false			false			false	false		false		false		false			false								
41825	1443	0						6525	1443																			
42037				false			false			false	false		false		false		false			false								
42354				false			false			false	false		false		false		false			false								
42372				false			false			false	false		false		false		false			false								
42420	2599798	0						30748	7647																			
42448	2702	0		true	0	0	false			false	false		false		false		false			false								
42457				false			false			false	false		false		false		false			false								
43052				false			false			false	false		false		true	28965	false			false								
43351				false			false			false	false		false		false		false			false								
43856				false			false			false	false		true	19871	false		false			false								
43959				false			false			false	false		false		false		false			false								
44040				false			false			false	false		false		false		false			false								
44433	30000	0																										
44741				false			false			false	false		false		true	116073	false			false								
44750				false			false			false	false		false		false		false			false								
44929	0	0																										
45038	0	0						0	0																			
45056				false			false			false	false		false		false		false			false								
45430				false			false			false	false		false		false		false			false								
45458				false			false			false	false		true	16278	true	16278	false			false								
45551				false			false			false	false		true	13780	false		false			false								
45560	6645	0						28828	1086																			
45775				false			false			false	false		false		false		false			false								
46053	0	2		true	0	0	false			false	false		true	44948	true	109839	false			false								
46941				false			false			false	false		false		false		false			false								
47247	80358	8018						74382	14172																	0	0	
47500				false			false			false	false		true	30402	true	30618	false			false								
48057				false			false			false	false		true	8911	true	8911	false			false								
48150				false			false			false	false		false		false		false			false								
48374				false			true	18145	5461	false	false		false		true	894474	false			false								
