"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	11866	12639	58	0	0	0	0	0	12639	0	0	-831	
242	3639	3860	240	0	0	345	0	0	3860	0	0	-116	
279	40752	42662	-2612	0	285	0	0	0	42662	0	0	417	
354	6782	6118	-87	0	750	0	0	0	6118	0	0	1	
457	6481	6362	198	0	0	88	0	0	6362	0	0	9	
505	66438	65835	1199	0	0	357	0	0	65835	0	0	-239	
1155	49739	48490	1785	0	0	0	0	0	48490	0	0	-536	
1351	30128	29885	535	0	0	282	0	0	29885	0	0	-10	
1454	67261	66198	3529	0	0	0	0	0	66198	0	0	-2466	
1669	46434	45731	882	0	0	0	0	0	45731	0	0	-179	
1856	6640	6391	223	0	0	0	0	0	6391	0	0	26	
2161	25653	25579	-128	0	0	0	0	0	25579	0	0	202	
2732	115646	114953	1163	0	0	451	0	0	114953	0	0	-19	
2750	7311	7301	168	0	0	84	0	0	7301	0	0	-74	
3252	37025	36151	3028	0	0	1500	0	0	36151	0	0	-654	
3458	4295	4509	-65	0	0	10	0	0	4509	0	0	-139	
3720	40095	39906	1120	0	0	172	0	0	39906	0	-87	-672	
3971	122609	101516	-1208	22303	0	0	0	0	101516	0	0	-2	
4156	21200	21344	148	0	0	0	0	0	21344	0	0	-292	
4231	18324	17967	642	0	0	0	0	0	17967	0	0	-285	
5069	229719	221409	8341	0	0	0	0	0	221409	0	0	-31	
5135	106385	103302	3036	0	0	0	0	0	103302	0	0	47	
5210	261397	258748	7111	0	0	2547	0	0	258748	0	0	-1915	
5461	60508	59433	979	0	0	552	0	0	59433	0	0	648	
5751	34021	34452	315	0	0	1450	0	0	34452	0	0	704	
6039	43700	42142	1557	0	0	0	0	0	42142	0	0	1	
6329	151938	150222	5348	0	0	2500	0	0	150222	0	0	-1132	
7009	111187	106275	7635	0	0	2900	0	0	106275	0	0	177	
7045	14106	14475	485	0	0	0	0	0	14475	0	0	-854	
7072	41072	41203	154	0	0	0	0	0	41203	0	0	-285	
7456	10354	10053	456	0	0	0	0	0	10053	0	0	-155	
7634	9426	10357	395	0	0	1201	0	0	10357	0	0	-125	
8462	22584	22970	617	0	0	200	0	0	22970	0	0	-803	
8631	6002	6035	27	0	0	0	0	0	6035	0	0	-60	
9357	107087	105739	2337	0	0	840	0	0	105739	0	0	-149	
9553	18287	18577	711	0	0	805	0	0	18577	0	0	-196	
9807	342075	331130	18813	0	0	6361	0	0	331130	0	0	-1507	
9955	24272	23834	868	0	0	400	0	0	23834	0	0	-30	
