"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37	0	0	72																																	0	0	214								
242	0	0	220																																	0	0	1598								
279	0	20328	16906																																	2065	0	4028								
354	0	2996	4																																	701	0	371								
457	0	725	370																																	2479	0	6353								
505	61400	7738	27389																																	16119	0	11365								
1155	0	4097	13335																																	30537	0	15624								
1351	0	0	10																																	2987	0	1477								
1454	0	360	17285																																	33982	0	39743								
1669	0	10258	10559																																	7941	0	1215								
1856	0	46	0																																	604	0	439								
2161	14260	2893	12683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			7091	0	2717								
2732	26000	343	44508																																	38658	0	325								
2750	0	68	1440																																	1597	0	13497								
3252	24000	0	187																																	3903	0	12395	One Way Sell Principal.							
3458	1500	100	1228																																	696	0	837								
3720	5000	2229	3177																																	3402	0	2728								
3971	0	5123	60102																																	55028	0	7781								
4156	0	4835	2194																																	5771	0	6138								
4231	0	495	2197																																	381	0	2265								
5069	0	10973	19010																																	2640	0	461								
5135	0	2958	5752																																	7299	0	52156								
5210	0	16583	91912																																	95910	0	38746								
5461	49000	498	7640																																	16893	0	15991								
5751	0	606	3252																																	14331	0	14654								
6039	0	7719	17412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	2124	0	8854	0	9480								
6329	0	44054	75529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	25037	0	21085								
7009	0	0	0																																	0	0	0								
7045	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			986	0	2413								
7072	13000	1261	1941																																	4728	0	6605								
7456	0	671	290																																	4640	0	20881								
7634	0	1902	212																																	278	0	286								
8033	0	9542	8188																																	4383	0	14324								
8462	0	0	181																																	1984	0	3258								
8631	0	788	516																																	234	0	108								
9357	0	0	7695																																	138162	291053	5284								
9553	0	148	47																																	2699	0	30868								
9807	0	87614	274171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													9528	0	0	12359	0	2016	MUNICIPAL LETTER OF CREDIT FHLBNY							
9955	0	0	1398																																	3232	0	17837								
10250	0	1585	26119																																	36453	0	9123								
10849	0	4764	5408																																	3788	0	1047								
11145	0	2498	19153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	12070	0	1198								
11640	0	2994	7708																																	4864	0	16732								
11837	0	904	5303																																	101	0	908								
12030	0	1117	16304																																	8948	0	27337								
12142	0	1171	2377																																	14189	0	4120								
12311																																	0													
12647	0	648	174																																	4600	0	14762								
12656	0	71	130																																	362	0	132								
12946	479625	28453	202891																																	78056	0	71032								
13103	0	35112	98646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	28154	0	108230								
13251	0	222	0																																	1670	0	795								
13457	0	0	0																																	646	0	2318								
14155	0	12100	4269																																	1593	0	7517								
14650	0	0	0																																	12	0	71								
14753	0	0	9																																	98	0	6631								
14865	24000	6575	6907																																	55236	0	99188								
14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			243	0	6414								
16551	0	1682	3232																																	5737	0	654								
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			9987	0	149795								
17147	0	137569	502988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3160338	0	327231								
17259	0	7	16																																	0	0	1218								
17950	0	3884	13310																																	11998	0	20965								
17978	0	15034	350																																	0	0	54				Commit's to Originate Single Family Mortgages				
18050	0	6185	32866																																	6383	0	7451								
18827	171000	15251	154945																																	132546	0	10492								
18836	0	3479	5368																																	690	0	4645								
18854	800	45682	33883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	102176	0	14505								
19356	0	1463	1656																																	3809	0	3831								
19936	0	821	10422																																	13174	0	8957								
19972	0	2879	0																																	0	0	0								
20053	7600	2785	0																																	7177	0	9353								
20633	11500	876	7655																																	7051	0	1596								
20857	0	598	5144																																	22276	0	85384								
