"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
628178																																																																																						142645	15024	15024	7.6847%	10.2243%	9.1474%	127621	1395159	1660708	-17508	0			2.2243%	1883						24188	1700504								0	0	0		0		143229	9.1474%	1	0	149909	28275	6334	5187	-17508	0	0	0		0	127621	0	0	127621	0	0	0	0	0	0	0	0	0	15024	0	39796	0			
628356																																																																																						29792	2008	2008	8.3337%	13.2061%	12.3160%	27784	225593	333394	-2324	0			5.2061%							21470	333394								0	0	0		0		6314	12.3160%	1	0	25460	0	0	0	-2324	0	0	0		0	27784	0	0	27784	0	0	0	0	0	0	0	0	0	2008	0	0	0			
628552																																																																																						31738	1845	1845	10.3744%	13.7076%	12.9108%	29893	231535	288142	-3687	0			5.7076%							14313	289713								0	0	0		0		17151	12.9108%	1	0	27777	0	1571	0	-3687	0	0	0		0	29893	0	0	29893	0	0	0	0	0	0	0	0	0	1845	0	1571	0			
629148																																																																																						15562	1180	1180	8.7777%	16.5353%	15.2815%	14382	94114	163847	-6682	0			8.5353%							11869	164003								0	0	0		0		2669	15.2815%	1	0	7856	156	0	0	-6682	0	0	0		0	14382	0	0	14382	0	0	0	0	0	0	0	0	0	1180	0	156	0			
629353																																																																																						49290	3479	3479	9.8876%	15.7007%	14.5925%	45811	313935	463319	-8518	0			7.7007%							41703	463319								0	0	0		0		4108	14.5925%	1	0	37293	0	0	0	-8518	0	0	0		0	45811	0	0	45811	0	0	0	0	0	0	0	0	0	3479	0	0	0			
629522																																																																																				213220	0				9.6295%			20233		210114	-5721	0										14366	210114	0	0.0000%	13763	0	2051	15814	7.4168%	0	0	0	0	1		5867		1	0	14512	0	0	0	-5721	0	0	0		0	20233	0	0	20233	0	0	0	0	0	0						0	0	0		
629746																																																																																						18464	1409	1409	8.6970%	13.8240%	12.7691%	17055	133565	196103	-4213	0			5.8240%							14514	196103								0	0	0		0		2541	12.7691%	1	0	12842	0	0	0	-4213	0	0	0		0	17055	0	0	17055	0	0	0	0	0	0	0	0	0	1409	0	0	0			
630041																																																																																						3431	192	192	11.0099%	22.3213%	21.0721%	3239	15371	29419	-224	0			14.3213%							2614	29419								0	0	0		0		625	21.0721%	1	0	3015	0	0	0	-224	0	0	0		0	3239	0	0	3239	0	0	0	0	0	0	0	0	0	192	0	0	0			
630340																																																																																				82894	0				12.3567%			10026		81138	-2456	0										8626	81138	0	0.0000%	3409	0	10	3419	4.1245%	0	0	0	0	1		1400		1	0	7570	0	0	0	-2456	0	0	0		0	10026	0	0	10026	0	0	0	0	0	0						0	0	0		
630555																																																																																						60667	5675	5675	8.5450%	13.3866%	12.1344%	54992	453192	643558	-19716	0			5.3866%							9242	643558								0	0	0		0		45750	12.1344%	1	0	35276	0	0	0	-19716	0	0	0		0	54992	0	0	54992	0	0	0	0	0	0	0	0	0	5675	0	0	0			
630658																																																																																						64481	2271	2271	12.5399%	35.5289%	34.2776%	62210	181489	496096	-29572	0			27.5289%							51757	499128								0	0	0		0		13485	34.2776%	1	0	35670	3032	0	0	-29572	0	0	0		0	62210	0	0	62210	0	0	0	0	0	0	0	0	0	2271	0	3032	0			
631039																																																																																						28278	1851	1851	8.3450%	14.7711%	13.8042%	26427	191442	316682	-5167	0			6.7711%							-8299	317460								0	0	0		0		35504	13.8042%	1	0	22038	0	0	778	-5167	0	0	0		0	26427	0	0	26427	0	0	0	0	0	0	0	0	0	1851	0	778	0			
