"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37			955	0	15	0	954	14	0																						
242			178	11	2	0	175	10	0																						
279			1754	208	12	0	1592	58	0																						
354			317	135	15	0	180	13	0																						
457			745	58	35	0	676	24	0																						
505			8347	360	42	0	8081	136	0																						
1155			4243	910	135	0	3789	591	0																						
1351			1250	314	108	0	1250	422	0																						
1454			5719	700	45	0	5043	69	0																						
1669			4722	791	50	0	4026	145	0																						
1856			279	0	0	0	279	0	0																						
2161			2828	713	31	0	2247	163	0			0	0																		
2732			5022	0	19	0	5066	63	0																						
2750			509	0	1	0	508	0	0																						
3252			3618	200	418	0	3967	967	0																						
3458			578	120	7	0	583	132	0																						
3720			1794	11	6	0	1780	3	0																						
3971			11799	4441	74	0	8332	1048	0																						
4156			3044	0	252	0	2792	0	0																						
4231			863	0	8	0	856	1	0																						
5069			12421	2649	400	0	9372	0	0																						
5135			4494	70	68	0	4593	237	0																						
5210			17861	0	114	0	19033	1286	0																						
5461			6212	-650	98	0	6774	10	0																						
5751			2410	0	94	0	2409	93	0																						
6039			4401	368	77	0	3989	33	0				0																		
6329			19520	10878	1320	0	17176	9854	0				0																		
7009			0	0	0	0	0	0	0																						
7045			1150	0	24	0	1157	31	0			0	0																		
7072			3000	340	172	0	3076	588	0																						
