"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11960	0	8433	21067	0	35912	0	0	0	0	34682	0	320	8753	13757	2308	2231	27479	34362	0	0	221	0	0	4065	9280	5069	793	13345	518	0	385	303	5450	1207	0	0	518	0	0	0	0	0	0	true							
242	7778	0	1378	12336	0	21478	0	0	0	0	29371	0	8543	7612	4950	6467	1314	20100	20828	0	0	0	0	0	1187	2240	2518	982	3427	4324	2827	1048	0	1977	8199	0	0	7151	0	0	0	0	0	0	true							
279	66586	0	620	59118	0	127947	0	0	12000	0	181424	0	962	569	37546	25338	12691	127327	180462	0	0	5989	0	0	11114	26035	27759	7198	37149	4380	7591	5172	251	34560	17394	0	0	11971	0	0	0	0	0	0	true							
354	2491	0	152	6383	0	6383	0	0	3078	0	26447	0	885	540	1440	6358	0	6231	15473	0	10089	0	3078	598	3712	5695	2810	4367	9407	0	1014	0	0	15144	1014	0	0	1014	10089	0	0	0	0	0	true							
457	9494	0	693	12398	0	15720	0	0	0	0	41694	0	8041	6532	6928	18912	2152	15027	33653	0	0	858	0	0	2942	4563	3688	240	7505	1556	0	300	0	4505	1856	0	0	1556	0	0	0	0	0	0	true							
505	113633	1	35341	167206	0	273353	0	0	0	0	384601	0	102370	136452	16372	230137	3330	238011	282231	0	0	536	0	0	6126	15153	5660	376	21273	501	9288	3727	0	10943	13516	19410	0	9789	0	19410	0	0	0	0	false							
1155	1169	10	32142	124813	0	331032	0	0	0	0	86177	0	7061	21023	24273	37202	8569	297092	79116	1788	0	2678	0	0	11691	15493	7555	1967	23711	2525	5552	3023	0	12433	11100	40502	0	7667	0	0	0	35648	0	35648	true							
1351	11631	0	14873	31663	0	55874	0	0	0	0	112597	0	10164	23993	32694	30669	9202	41001	102433	0	0	4431	0	0	13278	27113	16109	0	40391	1146	10338	2313	0	23806	13797	0	0	11484	0	0	0	0	0	0	false							
1454	1158	0	39181	307218	0	508968	0	0	0	0	407735	671	36209	56521	33397	309327	30055	469040	370855	747	0	13555	0	0	24204	16254	9649	3718	30410	32420	4989	4185	1832	20427	43426	17782	0	7953	0	0	0	13444	0	13444	true							
1669	52875	0	29225	100976	0	196126	0	0	9017	0	146075	0	358	29583	22154	27305	9885	166852	145677	49	40	3786	0	0	9784	20822	7909	2650	29866	9547	10130	5054	0	19011	24731	0	9017	19676	0	0	0	0	0	0	false							
1856	1152	0	1861	5784	0	9129	0	0	0	0	28763	0	2480	4023	2768	15323	0	7268	15712	0	10571	0	0	0	1893	7112	762	0	9005	458	1806	256	0	6999	2520	0	0	2264	0	0	0	0	0	0	false							
2161	37761	0	46069	90831	0	196716	0	0	29930	0	138939	0	13091	40710	35850	54176	5724	144592	124356	6055	1492	0	29930	0	0	8146	33243	315	8146	0	3669	861	766	5855	5297	48155	0	3668	0	0	0	40187	0	40187	true							
2732	69530	0	7082	175218	0	224639	0	0	0	0	368138	0	24970	31302	25691	129719	10190	217557	343168	0	0	3333	0	0	14638	24777	15874	398	39281	43911	64530	4761	0	29996	113202	0	0	108441	0	0	0	0	0	0	true							
2750	19663	0	5462	9828	0	22873	0	0	0	0	33295	0	6823	10404	4947	765	1721	17411	26472	0	0	842	0	0	3383	3900	4278	122	6719	0	339	844	0	6736	1183	0	0	339	0	0	0	0	0	0	true							
3252	20524	0	145327	53213	0	192582	0	0	338	0	94620	0	44921	181065	8715	18271	5887	47255	45142	0	4557	0	338	338	3829	8346	4033	2225	12175	16765	17737	2890	0	9718	37392	3756	0	34502	497	0	0	3507	0	3507	false							
3458	4814	0	2640	10149	0	17403	0	0	4000	0	49700	0	6478	6956	12622	9252	829	14763	43222	0	0	0	4000	4000	7585	17587	4765	378	21162	997	3429	617	277	17694	5320	0	0	4426	0	0	0	0	0	0	true							
3720	78994	0	46348	102283	0	234598	0	0	0	0	120210	0	9456	54431	14974	8159	5651	188250	110754	0	0	1883	0	0	8458	13650	1845	0	22108	1900	5307	1898	0	8978	9105	0	0	7207	0	0	0	0	0	0	true							
3971	149353	0	319	169568	0	274477	0	0	223316	0	645354	0	3280	1260	288530	110356	14662	274158	401773	0	240301	4928	223316	198474	70599	195284	71476	2495	265883	15772	19972	10047	0	51324	45791	0	0	35744	1840	0	0	0	0	0	true							
4156	33791	0	23671	56690	0	129014	0	0	0	0	124296	0	14455	28121	14076	43021	3542	105336	108357	7	1484	1752	0	0	17687	10686	7607	1967	28373	1341	6290	920	986	23872	9537	13360	0	7630	498	0	4605	0	0	4605	true							
4231	24708	0	29622	41372	0	75122	0	0	0	0	69424	0	6781	34480	12909	14785	12410	45500	62643	0	0	8209	0	0	3263	10653	5015	5756	13669	877	1165	1855	1348	11777	5245	0	0	2042	0	0	0	0	0	0	true							
5069	30131	1	0	38149	0	40333	0	0	189638	0	319458	6000	1236	0	123600	60536	1104	40332	251556	0	60666	762	189638	131852	34205	68194	66180	2300	102399	6777	22417	24648	4070	47278	57912	0	0	29194	3506	0	0	0	0	0	false							
5135	36878	0	53194	122674	0	215247	0	0	18551	0	251531	0	11457	62496	63851	53747	17121	162053	221520	0	18554	8722	18551	992	32790	65236	22467	0	98026	12578	25725	2110	0	56642	40413	0	0	38303	0	0	0	0	0	0	true							
5210	407299	64	175597	595751	0	1190128	0	0	0	0	1011340	0	65649	214842	166036	310911	68293	1012721	945691	1746	0	18004	0	0	68525	112538	51642	8857	178789	22004	19617	8167	1780	75526	51568	30883	0	40628	943	0	0	0	0	0	true	106250	345226	195027	115884	371362	35937	
5461	496885	0	33428	79431	0	79431	0	0	0	0	688276	0	24981	46303	4098	174955	2711	46003	659315	0	3980	629	0	0	2701	5072	883	277	7773	4524	2976	0	0	4837	7500	65973	0	7500	0	0	0	65973	0	65973	true							
5751	18383	0	7785	50187	0	90415	0	0	3267	0	139217	0	30423	30252	15096	80274	5594	82630	107262	0	1532	2267	1736	248	9517	10641	9150	1553	20158	2262	3646	3791	0	15765	9699	7803	1035	5908	448	0	0	5542	0	5542	true							
6039	49478	0	18108	170776	0	199905	0	0	0	0	155224	0	1139	13949	33992	37425	8369	181797	154085	0	0	1273	0	0	363	37204	21143	884	37567	0	3611	5116	0	25602	8727	0	0	3611	99	0	0	0	0	0	true							
6329	145688	0	16741	542611	0	706555	0	0	0	0	707683	0	67949	7260	67755	322437	12932	688070	635479	1744	4255	3601	0	0	55075	97377	20290	5527	152452	21793	32666	5506	1324	110514	61289	216611	0	54459	0	0	0	165257	0	165257	true	165560	133484	0	322437	145687	1	
7009	0	0	0	349763	0	349763	0	0	0	0	389083	0	0	0	0	389082	1	349763	389083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66030	323053	0	0	0	false							
7045	40309	0	17711	36282	0	172682	0	0	0	0	90281	0	7771	0	15094	21741	6830	154971	82510	0	0	282	0	0	4631	8956	9780	3082	12677	0	282	1500	0	11355	1782	0	0	282	0	0	0	0	0	0	true							
7072	103961	5	1877	83708	0	114169	0	0	1517	0	262684	0	14264	9750	36541	69251	14517	112287	248420	0	0	3981	1517	1248	7873	28268	28430	2283	36141	285	12849	9485	0	30312	22619	0	0	13134	0	0	0	0	0	0	true							
7456	33748	0	31994	27876	0	71450	0	0	0	0	51485	0	3640	32134	10442	0	2384	39456	47845	0	0	106	0	0	2730	8516	4126	265	11246	867	1232	0	0	5195	2100	0	0	2099	0	0	0	0	0	0	true							
7634	13586	0	2052	17215	0	22730	0	0	0	0	52421	0	130	757	11650	2300	6785	20678	52291	0	0	4604	0	0	6887	17530	2964	1160	24417	2547	5140	308	0	16891	7995	0	0	7687	0	0	0	0	0	0	false							
8033	37463	0	2247	96438	0	145540	0	0	0	0	127599	0	670	1943	37721	0	6359	143293	126188	0	741	2991	0	0	14935	27975	25698	3527	42910	2689	7971	6341	1000	34414	18001	1112	0	10660	741	0	0	0	0	0	true							
8462	1236	0	5758	44012	0	93720	0	0	0	0	61715	0	10513	14415	7700	6484	3488	87711	51202	251	0	1878	0	0	7583	8197	1149	0	14965	3007	33535	524	0	9229	37066	0	0	36542	0	0	0	0	0	0	true							
8631	23610	0	1423	24909	0	30673	0	0	0	0	41823	0	1068	1740	5862	3646	1924	29250	40755	0	0	1237	0	0	1940	5139	2141	764	7079	0	2155	2429	0	4122	4584	0	0	2155	0	0	0	0	0	0	true							
9357	184564	194	2239	59836	0	67126	0	0	1	0	480073	12265	0	0	774	288080	667	61459	467808	3234	0	353	1	1	425	1247	48	0	1671	1460	4250	0	0	945	5710	16130	0	5710	0	0	0	16130	0	16130	true							
9553	24373	0	9482	34457	0	63694	0	0	4160	0	73956	0	3908	12667	14921	12206	6237	54212	69284	0	764	0	4160	0	6187	14927	7447	4041	21114	951	3028	796	0	17681	4775	0	0	3979	0	0	0	0	0	0	true							
9807	716043	0	37545	179609	0	258279	0	0	0	0	2082936	0	521736	150708	40207	1056995	79435	220734	1561200	0	0	1102	0	0	30499	47534	30609	169	77958	155936	43798	1356	0	68603	201090	9919	0	199734	30579	0	0	0	0	0	true	8380	32380	588718	154278	428370	267696	
9955	16708	30	3562	47194	0	74080	0	0	0	0	81404	0	17340	17950	3961	56034	678	70488	64064	0	0	0	0	0	1507	2856	1600	286	4363	250	2164	0	0	2288	2414	0	0	2414	0	0	0	0	0	0	true							
10250	277897	0	5174	42952	0	97471	0	0	0	0	512226	0	9524	3743	37355	154712	23293	91303	501749	994	953	8244	0	0	12630	24077	19259	7276	36707	1025	4650	8022	2678	25887	16375	26937	0	5675	249	0	0	13515	0	13515	true							
10849	106083	0	3020	9483	0	18419	0	0	0	0	250428	0	44269	46769	39724	44205	7652	15248	206159	151	0	2394	0	0	12360	38676	18610	620	51036	275	24620	4980	0	30541	29875	0	0	24895	1991	0	0	0	0	0	false							
11145	66717	0	48064	102488	0	195384	0	0	0	0	153455	0	19006	2377	17569	40088	8811	147320	134449	0	0	4918	0	0	2873	9180	14325	5494	12053	1000	6541	5753	1484	14303	14778	0	0	7541	0	0	0	0	0	0	true							
11640	24687	0	63699	113087	0	241492	0	0	0	0	117635	0	3046	51668	25726	29460	16455	177793	114589	0	0	9143	0	0	10796	16741	12670	6840	27484	2969	7410	3859	2203	21320	16442	0	0	10379	0	0	0	0	0	0	true							
