"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	15	0				1	14	0		3							0	0	0	0			0	0	1	0	8	0			0	0	0	0	0	0	0	0				2	11	1	2	
242	0	0	0	0	0	0	2	0				0	10	0		0				0		0	0	0	0	1			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	10	1	
279	0	0	0	0	0	0	12	0				2	58	0		32				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				26	10	0	0	
354	0	0	0	0	0	0	15	12				3	13	13		0				0		2	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
457	0	26	0	0	0	0	35	0				0	24	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				7	0	17	9	
505	0	0	0	0	0	0	42	0				1	136	49		4				0		0	0	0	0	33			0	0	0	0	0	0			0	0	0	0	0	0	0	0				78	7	5	1	
1155	0	0	0	0	0	0	135	122				7	591	558		23							0	0	0	0			3	3	0	0	0	0			0	0	0	0	0	0	0	0				0	0	7	3	
1351	0	0	0	0	0	0	108	49				0	422	126		2				2		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				150	26	144	33	
1454	0	0	0	0	0	0	45	8				16	69	0		66				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	11	3	10	
1669	0	0	0	0	0	0	50	0				0	145	2		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				40	22	103	28	
1856	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2161	0	0	0	0	0	0	31	7				19	163	162		0				0		19	0	0	0	0			1	1	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	4	
2732	0	0	0	0	0	0	19	19				0	63	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	63	0	0	0				0	0	0	0	
2750	0	0	0	0	0	0	1	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	0	0	
3252	0	49	0	0	0	0	418	54				117	967	236		299				299		117	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				83	56	349	141	
3458	50	0	0	0	0	0	7	1				0	132	65		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				10	5	7	1	
3720	0	0	0	0	0	0	6	4				0	3	0		0				0		0	0	0	0	0			0	0	1	0	3	0			0	0	0	0	0	0	0	0				0	0	0	1	
3971	0	0	0	0	0	0	74	1				15	1048	51		0				0		15	0	0	0	0			0	0	9	23	5	0			0	0	0	0	0	0	0	0				0	0	992	26	
4156	0	0	0	0	0	0	252	221				19	0	0		0							0	0	0	0			0	0	11	0	0	0			0	0	0	0	0	0	0	0				0	0	0	1	
4231	0	0	0	0	0	0	8	1				0	1	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	7	
5069	0	0	0	0	0	0	400	400				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
5135	0	3	0	0	0	0	68	30				13	237	143		0				0		13	0	0	0	0			5	1	0	13	23	0			0	0	0	0	0	0	0	0				33	2	33	6	
5210	0	0	0	0	0	0	114	1				57	1286	19		219				0		0	0	0	33	22			0	0	0	5	0	3			0	0	0	0	831	0	0	0				50	2	131	27	
5461	0	0	0	0	0	0	98	0				0	10	0		0				0		0	0	0	0	0			0	0	0	0	1	0			0	0	0	0	0	19	0	78				0	0	9	1	
5751	0	0	0	0	0	0	94	19				0	93	18		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				33	33	42	42	
6039	0	0	0	0	0	0	77	0		0		0	33	1		0		0	0	0	0	0	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	75	0	0		0	0	32	1	
6329	0	11	0	0	0	0	1320	49		0		9	9854	343		0		0	0	0	0	0	0	0	0	36			0	4	40	0	6	0			0	0	0	0	220	0	0	0	0	0		6387	885	2898	286	
7009	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7045	0	0	0	0	0	0	24	0				0	31	0		0				0		0	0	0	0	0			1	1	0	0	0	0			0	0	0	0	0	0	0	0				0	0	30	23	
7072	0	0	0	0	0	0	172	41				0	588	0		0				0		0	0	7	0	0			0	0	6	77	0	0			0	0	400	45	0	0	170	3				0	0	18	0	
7456	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7634	0	0	0	0	0	0	78	33				0	100	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	38	17	0	0	0	0				0	3	62	25	
8033	0	0	0	0	0	0	17	0				16	30	2		16				0		0	0	0	0	0			0	0	1	0	11	0			0	0	1	0	0	0	0	0				0	0	0	0	
8462	0	0	0	0	0	0	2	0				0	15	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				8	0	7	2	
8631	0	0	0	0	0	0	2	0				0	26	23		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	3	2	
9357	0	0	0	0	0	0	2022	2022				0	1804	1804		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9553	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9807	0	0	0	68	0	0	3088	467		0		0	6741	0		0		0	0	0	0	0	0	0	0	0			0	0	395	0	0	0			367	1923	0	0	0	0	6374	235	0	0		0	0	0	0	
9955	0	0	0	0	0	0	5	5				0	12	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	12	0	
10250	0	0	0	0	0	0	293	37				22	172	57		68				0		0	0	0	0	0			6	2	0	19	0	0			0	0	0	103	35	0	0	107				0	1	6	2	
10849	0	0	0	0	0	0	0	0				0	11	0		11							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
11145	0	0	0	0	0	0	28	0		0		0	97	0		0		0	0	0	0	0	0	0	0	0			0	0	11	0	0	0			0	0	0	0	0	0	0	0	0	0		9	0	88	17	
11640	0	0	0	0	0	0	34	0				28	89	7		63				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	6	19	0	
11837	0	0	0	0	0	0	0	0				0	2	0		2							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12030	195	1449	0	0	0	0	7528	601				224	6337	3196		84				10		124	0	0	0	0			0	0	1776	0	1346	0			0	2	91	86	640	1987	240	924				353	229	192	250	
12142	0	0	0	0	0	0	52	3				36	138	1		81				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	44	0				0	0	12	13	
12311	113	50	0	63			191537		64732	0	0	1959	313420		0	14651	70223	0	0	89	0	526	34	1303	5856	9274	0	0	19087	9825	8840	2207	4429	756	0	18802	8	115	3096	506	1926	23728	19425	10163	0	0	9448	37289	31014	117670	19087	
12647	0	0	0	0	0	0	3	0				0	3	0		0							0	0	0	0			2	3	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	0	
12656	0	0	0	0	0	0	0	0				0	8	7		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	0	
12946	251	29	0	0	0	0	1383	137				0	4014	699		35				35		0	0	0	0	0			208	1	180	0	368	7			0	0	8	9	487	4	417	457				10	2	1524	564	
13103	0	0	0	0	0	0	570	532		0		0	112	31		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		22	21	59	17	
13251	0	0	0	0	0	0	117	97				0	73	44		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	29	20	
13457	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14155	0	0	0	0	0	0	21	3				17	39	14		20				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				5	1	0	0	
14650	0	0	0	0	0	0	108	14				0	260	15		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				20	26	225	68	
14753	0	0	0	0	0	0	2	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	2	
14865	0	0	0	0	0	0	43	21				0	4	4		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	22	0	0				0	0	0	0	
14977	0	0	0	0	0	0	4	4				0	110	105		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	5	0	
16551	0	0	0	0	0	0	61	2				0	12	0		0				0		0	0	0	0	5			2	34	5	0	0	0			0	0	0	0	0	0	0	2				2	8	8	5	
17110	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
17147	0	0	2969	0	0	0	3927	868		0		4	6601	1215		0		0	0	0	0	4	0	0	759	327			0	0	372	96	368	190			0	39	0	824	12	908	36	188	0	0		629	169	423	132	
17259	0	0	0	0	0	0	12	0				4	26	0		14							0	0	0	0			0	0	0	0	2	0			0	0	0	0	0	0	0	0				10	8	0	0	
17950	0	0	0	0	0	0	129	2				4	13	0		0				0		4	0	0	0	91			0	0	9	0	0	0			0	0	0	0	0	0	0	0				10	4	3	19	
17978	0	0	0	0	0	0	0	0				0	3	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	3	0	
18050	0	0	0	0	0	0	56	2				0	296	135		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				7	1	154	53	
18827	0	0	0	0	0	0	226	184				6	76	44		0				0		0	0	0	0	0			0	0	18	0	10	0			0	0	0	0	0	15	0	0				4	0	18	3	
18836	0	0	0	0	0	0	148	0				0	176	0		0							0	0	0	0			0	0	112	0	17	0			0	0	0	0	0	0	0	0				6	1	153	35	
18854	0	0	0	0	0	0	28	10		0		4	78	2		50		0	0	50	0	4	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	26	14	
19356	0	0	0	0	0	0	0	0				0	70	0		27				0		0	0	0	0	0			0	0	0	0	30	0			0	0	0	0	0	0	0	0				13	0	0	0	
19936	0	0	0	0	0	0	44	0				6	35	0		18				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	29	0	0	0	0				7	3	10	6	
19972	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
20053	0	0	0	0	0	0	7	0				1	56	24		0							0	0	0	0			20	0	5	0	2	0			0	0	0	0	0	0	0	0				0	0	10	1	
20633	0	0	0	0	0	0	10	0				0	183	140		13				0		0	0	0	5	1			0	0	0	0	7	0			0	0	0	0	18	5	0	0				0	0	0	4	
20857	4	4	0	0	0	0	5	1				0	5	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	0	
21256	0	0	0	0	0	0	1	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	1	
21359	0	0	0	0	0	0	5	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	0	3	
21658	0	0	0	0	0	0	25	0				4	15	0		14				0		0	0	0	0	0			0	0	20	0	0	0			0	0	0	0	0	0	0	0				1	0	0	1	
22048	0	0	0	0	0	0	34	16				0	158	84		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				15	15	59	3	
22543	0	0	0	0	0	0	11	0				0	35	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	5	0	0				0	0	35	6	
22552	0	0	0	0	0	0	6	2				2	180	0		0				0		2	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	178	0				0	0	2	2	
22730	0	0	0	0	0	0	96	0				0	343	0		0							0	0	0	0			0	0	5	0	0	0			0	0	0	0	0	0	0	0				6	0	337	91	
23456	0	0	0	0	0	0	44	11				12	61	5		17				0		6	0	0	0	0			0	0	0	0	2	0			0	0	0	0	0	0	0	0				16	3	21	18	
23504	0	0	0	2	0	0	4198	4137		0		0	11454	11401		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	54	0	0		0	0	53	5	
23643	0	0	0	0	0	0	97	0				0	134	3		0							0	0	0	0			0	0	1	0	0	0			0	0	1	0	0	0	0	0				68	72	62	24	
23755	0	0	0	0	0	0	28	0				0	68	0		0							0	0	0	0			0	0	0	0	2	0			0	0	0	0	0	0	0	0				38	8	28	20	
