"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							7810	1450	50548	0	0	219	26	2956	81497	70594	35	70629	0	955	0	0	10868	1200	81497	0	0	12084	0	0	3500	0	21067	49527			0	19443	18488	-5916	0	0	0	0	10868	0	0	
242																																							2600	3113	20095	0	0	531	0	496	56694	50849	39	53731	0	178	2843	0	2963	120	56694	0	0	5207	0	0	120	0	13551	37298			0	29896	29718	-2484	141	0	0	0	2963	0	0	
279																																							2055	6897	107153	0	404	6714	0	12565	416983	309371	2957	374823	0	1754	62495	0	42160	1	416983	0	0	33798	0	0	15360	0	59118	250254			0	253092	251338	-6999	2030	0	0	0	42160	0	27827	
354																																							7386	824	958	0	0	579	0	1295	55069	32830	463	47703	0	317	14410	0	7366	100	55069	0	0	42	0	0	7254	3558	6383	26447			0	40786	40469	-30	0	0	0	0	7366	0	0	
457																																							1491	807	1394	0	0	224	31	1003	72812	57415	198	66938	0	745	9325	0	5874	60	72812	0	0	1988	0	0	3940	0	12398	45017			0	68442	67697	-114	162	0	0	0	5874	3	0	
505																																							15616	4369	81436	0	1831	10181	0	20705	753438	657954	9796	689750	53	8347	22000	0	63635	6480	753438	0	0	42680	0	0	18403	0	167206	490748			0	627647	619300	-3928	0	0	0	0	63688	0	0	
1155																																							14091	10591	65271	0	9358	7345	120	10004	464756	417209	2479	419688	0	4243	0	0	45068	1600	464756	0	0	26441	0	0	23696	326	73335	343874			0	340003	335760	-6669	11890	0	0	0	45068	0	0	
1351																																							6484	6066	9601	0	0	4294	125	1899	198121	168471	432	168903	0	1250	0	0	29218	240	198121	0	0	29411	0	0	530	0	31663	136808			0	103004	101754	-963	0	0	0	0	29218	0	67898	
1454																																							25133	9408	482242	0	0	4011	0	16625	960547	916703	1246	917949	0	5719	0	0	42598	1000	960547	0	0	117264	0	0	1214	210	307218	609485			0	428546	422827	-76880	0	0	0	0	42598	91	0	
1669																																							10330	5151	66594	0	0	3652	0	20542	399086	342201	1204	355405	0	4722	12000	0	43681	800	399086	0	0	49055	0	0	800	0	81633	260568			0	269965	265243	-6974	0	0	0	0	43681	0	27574	
1856																																							6271	618	9163	0	98	436	1100	616	44090	37891	38	37929	0	279	0	0	6161	500	44090	0	0	238	0	0	5732	0	5784	32107			0	25067	24788	-309	0	0	0	0	6161	0	1000	
2161																																							9341	7625	108688	0	0	17548	0	16864	371832	335655	6264	348919	0	2828	7000	0	22913	1000	371832	0	0	15605	0	0	20476	0	90831	244824			0	214594	211766	-14168	0	0	0	0	22913	0	0	
