"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
58243	20319	4662	17332	0	0	CONF	CONF	500	1359	
58355						CONF	CONF			
58551						CONF	CONF			
58636						CONF	CONF			
58757						CONF	CONF			
58971	9691	1101	10793	0	480	CONF	CONF	0	219	
59316						CONF	CONF			
59352						CONF	CONF			
59370						CONF	CONF			
59754						CONF	CONF			
60143	9000	1000	8000	0	0	CONF	CONF	0	0	
60330	0	0	0	0	0	CONF	CONF	0	0	
60545						CONF	CONF			
60554						CONF	CONF			
60648						CONF	CONF			
61122	0	0	0	0	0	CONF	CONF	0	0	
61355	0	2249				CONF	CONF			
61476						CONF	CONF			
61757						CONF	CONF			
61832						CONF	CONF			
61953						CONF	CONF			
62044						CONF	CONF			
62110						CONF	CONF			
62147						CONF	CONF			
63050						CONF	CONF			
63069						CONF	CONF			
63201						CONF	CONF			
63573						CONF	CONF			
63733	2435	714	2929	0	0	CONF	CONF	0	143	
64150	4830	692				CONF	CONF			
64552	21453	21973	9748	12581	0	CONF	CONF	0	-151	
64730						CONF	CONF			
65205						CONF	CONF			
65513						CONF	CONF			
65559	4246	546	5050	0	0	CONF	CONF	0	96	
65858						CONF	CONF			
66154						CONF	CONF			
66275						CONF	CONF			
66677	20446	4072	21181	0	0	CONF	CONF	0	411	
67142						CONF	CONF			
67151						CONF	CONF			
67209						CONF	CONF			
67254						CONF	CONF			
67656						CONF	CONF			
67870						CONF	CONF			
68671						CONF	CONF			
68756						CONF	CONF			
68831						CONF	CONF			
69333	6823	0	6076	0	0	CONF	CONF	0	159	
69678						CONF	CONF			
70218	0	0	0	0	0	CONF	CONF	0	0	
70414						CONF	CONF			
70638	15501	3698				CONF	CONF			
70955						CONF	CONF			
71073	21354	3867				CONF	CONF			
71457						CONF	CONF			
71859						CONF	CONF			
72258	1493	0				CONF	CONF			
72351						CONF	CONF			
72454						CONF	CONF			
72678						CONF	CONF			
73116						CONF	CONF			
73152						CONF	CONF			
73554						CONF	CONF			
73956						CONF	CONF			
74056						CONF	CONF			
74140	1727	171	1519	0	0	CONF	CONF	0	190	
74403						CONF	CONF			
74449						CONF	CONF			
75259	2435	0				CONF	CONF			
75446						CONF	CONF			
75455						CONF	CONF			
75633	91316	25832	68777	0	758	CONF	CONF	6023	5114	
75651						CONF	CONF			
76153	0	0	0	0	0	CONF	CONF	0	0	
76443						CONF	CONF			
76854						CONF	CONF			
77150	0	0	0	0	0	CONF	CONF	0	0	
77253						CONF	CONF			
77422						CONF	CONF			
77851	13172	2153	13883	0	0	CONF	CONF	0	675	
78157						CONF	CONF			
78241						CONF	CONF			
78559						CONF	CONF			
79042						CONF	CONF			
79127						CONF	CONF			
79145						CONF	CONF			
79257						CONF	CONF			
79855						CONF	CONF			
80150						CONF	CONF			
80374						CONF	CONF			
80431						CONF	CONF			
81175						CONF	CONF			
82033						CONF	CONF			
82257						CONF	CONF			
82350						CONF	CONF			
83151						CONF	CONF			
83375						CONF	CONF			
83638	40014	49762	62771	10523	0	CONF	CONF	45	1	
83834						CONF	CONF			
83852						CONF	CONF			
83955						CONF	CONF			
84046						CONF	CONF			
84541	7370	1316				CONF	CONF			
85052						CONF	CONF			
85472						CONF	CONF			
85931						CONF	CONF			
86349						CONF	CONF			
86675						CONF	CONF			
87047						CONF	CONF			
87234	20335	4505				CONF	CONF			
87476						CONF	CONF			
87579						CONF	CONF			
88231	219961	30529				CONF	CONF			
88259						CONF	CONF			
88352						CONF	CONF			
88455						CONF	CONF			
88950						CONF	CONF			
89032						CONF	CONF			
89135						CONF	CONF			
89854						CONF	CONF			
89957						CONF	CONF			
90047						CONF	CONF			
90177						CONF	CONF			
90328						CONF	CONF			
