"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	12430	0	6269	22033	0	33542	0	0	0	0	35354	0	569		13108	2998	2325	27273	34785	0	0	490	0	0	2416	8518	6705	1331	10934	0	0	653	304	5861	957	0	0	0	0													
242	8038	0	1222	13525	0	20890	0	0	0	0	27178	0	4858		5632	6301		19668	22320	0	0	0	0	0	1667	3486	2412	833	5153	2835	251	1054	301	2766	4441	0	0	3086	0													
279	59096	0	445	57504	0	120306	0	0	12000	0	190290	0	1025		40595	28722		119861	189265	0	0	6259	12000	0	11432	35306	26585	7816	46738	2885	11569	6626	254	40545	21333	0	0	14453	0													
354	2518	0	129	6682	0	6682	0	0	4964	0	34719	0	1114		1383	5673		6553	17797	0	15808	0	4964	250	7443	8084	4566	4615	15527	0	1820	0	0	23325	1820	0	0	1820	15808													
457	9045	0	501	12466	0	16002	0	0	0	0	42506	0	8111		7015	19334		15501	34395	0	0	1119	0	0	1762	7273	3253	186	9035	500	594	560	0	5459	1654	0	0	1093	0													
505	111248	2	43383	173115	0	270807	0	0	0	0	394826	0	102736		16762	238169		227422	292090	0	0	536	0	0	6317	15308	9757	283	21532	861	11376	1507	0	14902	13744	28350	0	12237	0													
1155	771	0	28927	112103	0	319818	0	0	0	0	91847	0	6840		25211	39950		290020	85007	871	0	2841	0	0	10965	18639	6710	2526	26669	2455	6884	2317	630	13629	12286	32844	0	8642	0													
1351	10328	0	12603	31969	0	54831	0	0	0	0	123134	0	10960		34219	32214		42228	112174	0	0	4962	0	0	9087	29221	24342	0	38308	6849	5966	5127	0	28431	17942	0	0	12815	0													
1454	1045	0	44344	337602	0	533643	0	0	0	0	386675	671	41644		33332	295994		488801	344360	498	0	13576	0	0	20960	17851	9028	3371	30823	28215	5985	3665	560	17879	38425	19693	0	8123	0													
