"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37		0	956	0	2	0	955	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242		0	179	0	1	0	178	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279		0	2859	81	3	0	1755	5	1025					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		
354		0	594	25	0	0	317	0	252					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
457		0	747	0	2	0	745	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505		0	7758	120	14	0	8347	39	-684					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155		0	4686	300	153	0	4243	10	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1351		0	1255	61	13	0	1250	83	14					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14		
1454		0	5759	50	8	0	5719	18	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1669		0	4787	124	12	0	4722	71	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1856		0	279	0	0	0	279	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2161		0	2739	10	2	0	2828	101	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2732		0	5022	0	0	0	5022	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2750		0	510	0	1	0	509	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252		0	3818	0	358	0	3618	187	29					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3458		0	760	0	7	0	578	0	175					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3720		0	1671	0	1	0	1794	0	-124					0	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0		
3971		0	13020	0	15	0	11799	983	2189					0	0	0	0	0	0	0	0	983	0	0	983	0	0	0	25		
4156		0	2547	0	3	0	3044	0	-500					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4231		0	884	20	1	0	863	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5069		0	13762	55	5	0	12421	5	1286					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5135		0	4865	150	0	0	4494	31	252					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5210		0	19485	97	26	0	17861	117	1618					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276		
5461		0	6549	0	338	0	6213	2	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5751		0	2411	0	1	0	2410	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
6039		0	4435	45	0	0	4401	11	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6329		0	21062	3200	892	0	19520	2956	406					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009		0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7045		0	1140	0	2	0	1150	12	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072		0	2929	0	5	0	3000	45	-31					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7456		0	910	10	0	0	900	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7634		45	1204	20	13	0	1237	21	-45					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
8033		0	2643	750	0	0	1893	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
8462		0	1996	0	0	0	1996	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
8631		1	401	1	0	0	400	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
9357		0	3416	-310	264	0	4112	10	-640					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35		
9553		0	1212	0	0	0	1212	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
9807		0	28458	0	462	0	27996	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955		0	1816	0	0	0	1819	3	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
10250		0	4076	222	5	0	4734	21	-864					0	0	140	0	0	140	0	0	0	0	0	0	0	0	0	10		
10849		0	2900	30	1	0	2869	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
11145		0	3513	28	8	0	2913	26	590					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640		0	2858	5	10	0	2966	123	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
11837		0	996	0	0	0	1022	0	-26					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12030		0	13084	0	1543	0	11961	420	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12142		0	2031	30	15	0	2020	34	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12311	0		2142212	77709	42014	0	2121123	98634	0	0	6075	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7306	0	
12647		0	1101	15	1	0	1085	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
12656			190	10	0	0	180	0	0																						
12946		0	29817	450	135	0	25661	429	4000					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
13103			22027	0	11	0	22073	57	0				0																		
13251		0	709	15	5	0	708	19	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
13457		0	103	0	0	0	103	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14155		0	4005	0	0	0	3836	0	169					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14650		0	481	39	22	0	483	63	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14753		0	558	0	1	0	557	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14865		0	5450	0	15	0	5435	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
14977		0	620	15	2	0	603	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16551		0	4732	0	2	0	4257	12	485					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
17110		0	279	0	0	0	279	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147		0	223052	0	844	0	223277	1069	0			0		245	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	1173	
17259		0	188	25	0	0	172	9	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
17950		0	5878	30	3	0	5845	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
17978		0	1437	0	0	0	1437	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18050		0	6410	0	10	0	6619	71	-148					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18827		0	17618	446	45	0	14707	13	2433					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113		
18836		0	1644	30	42	0	1593	21	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
18854		0	15452	475	5	0	14734	12	250					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19356		0	1109	6	0	0	1014	6	95					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
19936		0	4229	75	8	0	4479	8	-325					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
19972		0	367	7	0	0	399	0	-39					0	0	0	30	0	30	0	0	0	0	0	0	0	0	0	29		
20053			1655	60	1	0	1603	9	0																						
20633		0	2419	-159	0	0	3078	484	-16					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
20857		0	2060	0	0	0	1960	0	100					0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	144		
21256		0	71	0	0	0	71	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
21359		0	474	6	0	0	468	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
21658		0	2396	15	1	0	2381	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22048		0	3393	75	7	0	3465	9	-145					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
22543		0	2193	-87	5	0	2273	149	151					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126		
22552		0	772	0	1	0	744	0	27					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
22730		0	1447	120	36	0	1353	62	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
23456		0	2892	90	10	0	2559	6	239					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
23504		0	78335	-3631	489	0	83507	2030	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17	0	
23643		0	1416	30	25	0	1408	47	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
23755		0	2171	-30	12	0	2231	42	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
24006		0	13971	13962	14	0	9296	5	-9296					0	0	0	0	0	0	0	0	222	0	0	222	0	0	0	1336		
24378		0	257	0	4	0	253	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
24659		0	545	0	12	0	523	1	11					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
24949		0	6367	0	56	0	6312	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
25357		0	5590	1199	10	0	6163	1432	-350					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
25647		0	3236	150	0	0	3086	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26765		0	46655	5645	24	0	34829	48	6205					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207		
27070		0	5720	23	0	0	5698	1	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157		
27548		0	11469	415	67	0	8713	134	2408					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
27614		0	1691	0	1	0	1362	15	343					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
27847		0	7841	46	446	0	7442	93	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
28013		0	41436	864	19	0	42617	2064	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28152		0	1459	16	0	0	1443	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28675		0	905	0	0	0	905	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28732		0	1096	30	1	0	1197	0	-132					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29476		0	1167	13	2	0	1833	13	-668					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91		
29636		0	6017	48	105	0	5264	34	634					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-42		
29878		0	17143	-141	0	0	17294	10	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30052		0	442	20	0	0	422	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
30502		0	11092	0	54	0	11360	80	-242					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
30650		0	1250	0	0	0	135	0	1115					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
30810	0		7691000	1135393	216021	0	7374000	966414	-68000	0	232000			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-33000	1623000	
31134		0	1587	60	30	0	1542	45	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31255		0	8370	67	32	0	8741	6	-464			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31657		0	1025	0	16	0	1011	2	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
31826		0	4033	104	10	0	3938	1	-18					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31835		0	1950	0	9	0	1974	33	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
32234		0	552	-105	14	0	321	19	341					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
32766		0	1189	80	0	0	1109	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
32971			2676	0	43	0	2678	45	0																						
33147		0	4451	-35	1	0	4490	5	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90		
33259		0	10539	0	0	0	9928	1	612					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33370		0	149	0	0	0	149	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33839		0	103	0	0	0	103	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
33857			11880	319	6	0	11556	1	0				0																		
34434		0	3172	0	185	0	2730	95	352					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
34537		0	155640	31598	417	0	113895	3605	13335					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
