"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	980					41	0	50973					0	0	0			0	39570	0	0										0		
242	0	3569					204	0	19178					2843	0	0			0	9220	0	0										0		
279	0	0					2674	28996	98736					62332	0	0			2002	14200	0	0										0		
354	0	238					430	0	964					8843	0	0			0	0	0	0										0		
457	0	1413					426	0	1413					7325	0	0			0	0	0	0										10		
505	0	31365					5609	0	80370					25000	0	0			0	21206	0	0										0		
1155	0	2119					997	0	66483					0	0	0			0	45461	0	0										0		
1351	0	0					238	67848	14099					0	0	0			8877	0	0	0										0		
1454	0	37436					1443	0	486173					0	0	0			0	143489	0	0										108		
1669	0	43314					837	25882	67268					0	0	0			25882	0	0	0										0		
1856	0	0					222	1000	8771					0	0	0			0	0	0	0										0		
2161	0	1945					1468	0	107960					5000	0	0			0	36199	0	0										0		
2732	0	15772					1140	0	56147					0	0	0			0	26472	0	0										0		
2750	0	485					238	0	16152					920	0	0			0	8467	0	0										50		
3252	0	58869					643	0	169800					1000	0	0			0	52088	0	0										0		
3458	0	568					382	982	18650					3500	0	0			982	8493	0	1000										0		
3720	0	17974					326	41623	88316					0	0	0			33869	3175	0	0										0		
3971	0	40933					4915	0	141112					119792	0	0			0	5712	0	0										893		
4156	0	6336					439	0	61291					1500	0	0			0	38496	0	6030										121		
4231	2942	13618					0	3942	60536					0	0	0			0	27792	0	0										0		
5069	0	0					0	0	10126					0	0	0			0	1725	0	0										893		
5135	0	6477					1285	0	95341					23228	0	0			0	2061	0	0										0		
5210	0	0					2552	64960	501944					27994	0	0			61884	0	0	30294										1096		
5461	4803	0					4516	244784	91199					50000	0	0			94648	4578	0	0										0		
5751	0	1748					410	6250	93391					0	0	0			0	38565	0	0										170		
6039	0	26991					249	0	38018					0	0	0			0	1466	0	0										0		
6329	0	0					1004	0	169081					5000	0	0			0	12957	0	0										0		
7009	0	0					0	0	121402					0	0	0			0	75543	0	0										680		
7045	0	0					669	900	137936					0	0	0			900	57893	0	0										0		
7072	1996	0					3508	48814	39408					28000	0	0			6114	5707	0	0										0		
7456	0	4880					580	0	43866					0	0	0			0	35568	0	0										0		
7634	0	575					81	0	13140					0	0	0			0	5930	0	0										0		
8033	0	491					1825	0	14758					0	0	0			0	1421	0	0										0		
8462	0	3778					21	0	95315					0	0	0			0	26188	0	0										0		
8631	0	963					343	0	22104					0	0	0			0	792	0	0										0		
9357	0	12430					789	0	48740					0	0	0			0	0	0	0										878		
9553	0	2363					2979	32051	41572					61807	0	0			32051	12742	0	0										0		
9807	0	53088					9324	191096	583672					85000	0	0			78757	416597	0	28255										1125		
9955	0	10835					2779	0	63017					21322	0	0			0	34785	0	0										0		
10250	0	9720					2878	63367	187361					0	0	0			63367	51128	0	0										0		
10849	0	16241					508	0	67279					0	0	0			0	18162	0	0										0		
11145	0	0					1590	0	130413					19214	0	0			0	67201	0	0										0		
11640	0	0					2465	0	124040					0	0	0			0	83170	0	0										0		
11837	0	0					73	0	66332					0	0	0			0	6118	0	0										0		
12030	0	61104					18235	222	67695					0	0	0			0	0	0	0										0		
12142	0	980					754	55293	73157					5500	0	0			42	51402	0	0										0		
12311	0	4903	0	0	0	215528	1257189	16977431	24084927	224089	188217385	0	170222759	16302932	403838	713536	122136	176831	1927	3380819	0	402556	10126522	12488304	6726846	5260941	0	2553303	0	4298	0	1159	633307	
12647	0	0					900	62436	0					7000	0	0			29619	0	0	0										0		
12656	411	0					14	3185	0					0	0	0			2025	0	0	0										81		
12946	0	14586					8788	0	584328					8157	0	0			0	285874	0	0										4696		
13103	0	47021					7140	27361	423098					173377	0	0			0	18799	0	0										208888		
13251	0	2729					647	0	5621					0	0	0			0	1490	0	0										0		
13457	0	2725					0	0	5562					0	0	0			0	1564	0	0										0		
14155	0	12827					559	0	32927					0	0	0			0	11548	0	0										0		
14650	0	6681					65	1918	6681					0	3007	0			1913	0	0	0										0		
14753	0	386					181	782	10962					0	0	0			685	5129	0	0										64		
14865	0	0					1283	2391	218314					0	0	0			1085	1968	0	0										0		
14977	0	5656					23	0	6605					0	0	0			0	949	0	0										0		
16551	0	81387					2261	28058	93049					6000	0	0			24308	9179	0	0										0		
17110	100	0					219	100	0					0	0	0			0	0	0	0										29428		
17147	0	0					41882	2263426	1788839					824759	0	0			1114874	1183736	0	179067										0		
17259	0	2100					564	745	21417					0	0	0			745	10857	0	0										0		
17950	0	49059					2660	0	400770					15900	0	0			0	86359	0	0										0		
17978	34200	0					661	138462	0					4000	0	0			10223	0	0	0										0		
18050	0	51046					2799	0	410092					2500	0	0			0	142429	0	0										0		
18827	0	178848					8729	0	305199					85600	0	0			0	53972	0	0										1241		
18836	0	2829					768	0	40679					5208	0	0			0	7598	0	0										0		
18854	0	102575					1215	0	172968					0	0	0			0	27828	0	0										0		
19356	0	0					502	0	13673					4000	0	0			0	10054	0	0										0		
19936	4912	17891					448	5990	103339					5338	0	0			0	17284	0	0										0		
19972	0	0					34	27774	0					0	0	0			27728	0	0	0										882		
20053	0	941					246	0	7782					2000	0	0			0	3403	0	0										0		
20633	0	2326					1279	0	59763					17156	0	0			0	20926	0	0										679		
20857	56187	6948					1297	94308	142834					12994	0	0			35621	131865	0	0										50		
21256	0	0					59	0	3201					0	0	0			0	0	0	0										0		
21359	0	5021					318	240	22648					0	0	0			0	3765	0	0										0		
21658	0	21334					1149	0	72368					10276	0	0			0	13595	0	0										65		
22048	0	1956					1152	0	56761					14563	0	0			0	17823	0	0										0		
22543	0	33435					824	0	36914					0	0	0			0	3479	0	0										67		
22552	0	9501					770	1155	21781					5906	0	0			1155	0	0	0										52		
22730	0	0					644	0	149155					5049	0	0			0	59856	0	7012										0		
23456	0	0					1424	359	85126					16341	0	0			359	34514	0	0										0		
23504	0	230431					105258	605642	924322					1618680	118010	118010			0	29740	0	2068										0		
23643	0	0					1747	0	82820					3000	0	0			0	36292	0	0										0		
23755	0	1420					560	39747	58849					25000	0	0			19543	26608	0	0										313		
24006	0	234974					6025	0	423651					26007	11221	11221			0	23312	0	0										0		
24378	0	0					208	12173	5849					2500	0	0			698	0	0	0										0		
24659	35348	9882					56	37555	10883					0	0	0			1691	0	0	0										10		
24949	0	0					1581	96933	55735					5000	0	0			0	0	0	0										0		
25357	0	0					3527	21559	20237					0	0	0			0	4100	0	0										0		
25647	0	1867					1315	0	32644					17000	0	0			0	2519	0	0										0		
26765	0	5638					23651	10255	186914					250000	0	0			10155	8725	0	0										0		
27070	0	8309					6762	0	214389					98150	0	0			0	98101	0	0										0		
27548	0	7796					3508	0	426441					34500	0	0			0	67573	0	0										3535		
27614	0	0					1600	0	235940					4000	0	0			0	98873	0	0										0		
27847	0	0					2233	40	136885					5000	0	0			0	89667	0	0										0		
28013	0	0					51184	10378	896948					984496	16054	4983			0	0	0	25000										443		
28152	1034	10760					642	17747	40269					0	0	0			10461	13426	0	0										0		
28675	0	0					1484	0	126380					16000	0	0			0	3606	0	0										4		
28732	0	2303					162	9940	22488					0	0	0			1227	7174	0	0										0		
29476	0	0					630	931	4497					2605	0	0			931	1365	0	0										0		
29636	0	0					2991	402237	201297					0	0	0			92863	105761	0	98532										442		
29878	0	0					2307	0	46773					0	0	0			0	0	0	0										0		
30052	10878	0					121	11992	0					0	0	0			1114	0	0	0										0		
30502	0	0					6206	0	290511					195500	0	0			0	13987	0	50609										5467		
30650	0	0					432	0	26925					0	0	0			0	6030	0	0										0		
30810																																		
31134	0	2940					113	0	26591					0	0	0			0	18263	0	0										0		
31255	0	14875					3707	0	165890					35000	0	0			0	127558	0	0										0		
31657	0	0					382	116476	0					0	0	0			11479	0	0	0										0		
31826	0	35078					1817	0	72686					0	0	0			0	22153	0	0										0		
31835	0	10684					1928	2210	42215					0	0	0			2210	10635	0	0										0		
32234	15453	0					2573	177916	43875					0	0	0			126527	1889	0	0										0		
32766	0	0					1967	0	0					47000	0	0			0	0	0	0										0		
32971	0	10111					1265	1	55474					7500	0	0			0	31160	0	0										55		
33147	0	2431					788	0	15137					0	0	0			0	1742	0	0										0		
33259	0	116685					1810	1405	171977					44000	0	0			0	1422	0	0										0		
33370	0	0					299	51	0					5375	0	0			0	0	0	0										0		
33839	0	496					79	0	12802					0	0	0			0	3463	0	0										0		
33857	0	15708					7836	0	99459					149044	0	0			0	34232	0	0										0		
34434	1990	7345					1045	8947	70848					0	0	0			6957	17915	0	0										0		
34537	0	188					81124	737911	2015967					385000	0	0			0	20672	0	393267										13683		
34555	0	47082					4586	0	147947					1716	0	0			0	44113	0	0										0		
34742	0	5859					3477	3000	58014					25000	0	0			0	15672	0	0										0		
35057	0	3672					856	0	12377					0	0	0			0	4383	0	0										61		
35301	11733000	7337000	42000	260000	8000	13000	403000	57216000	27633000	5081000	200345000	0	188332000	3519000	1825000	1949000	14000	0	0	777000	300000	3360000	18720000	1312000	17254000	1916000	7074000	7048000	2371000	8970000	0	5000	0	
35646	0	1987					1461	0	32889					0	0	0			0	21258	0	0										0		
35879	11517	0					1076	39072	31495					16200	0	0			0	12249	0	0										0		
36456	499	3196					296	499	43246					0	0	0			0	10046	0	0										0		
36933	0	0					398	0	62506					5000	0	0			0	23588	0	0										0		
37051	0	0					499	0	1934					11000	0	0			0	1434	0	0										22		
