"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37		0	72																																	30	0	3467								
242		20	257																																	0	0	2918								
279		18192	10945																																	1978	0	4381								
354		3649	277																																	648	0	650								
457		418	565																																	2325	0	7247								
505		12746	22652																																	12521	0	12021								
1155		7244	12697																																	29371	0	19650								
1351		0	0																																	2752	0	1451								
1454		213	26081																																	14236	0	30993								
1669		10222	9189																																	6411	0	843								
1856		683	0																																	54	0	522								
2161	14260	1697	11221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4734	0	2058								
2732		198	47206																																	35601	0	5590								
2750		55	2029																																	1707	0	16697								
3252		0	501																																	3927	0	13551								
3458		155	540																																	768	0	647								
3720		1411	1996																																	3299	0	2348								
3971		4319	50579																																	50556	0	7563								
4156		3379	7709																																	5575	0	4647								
4231		325	1086																																	585	0	3073								
5069		7060	15364																																	2640	0	11								
5135		2377	7564																																	6104	0	56344								
5210		28508	89403																																	94805	0	40896								
5461		0	6944																																	20088	0	16350								
5751		407	1581																																	12357	0	15971								
6039	0	7806	17663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																5899	0	9552								
6329	0	35424	77009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																18664	0	28633								
7009		0	0																																	0	0	0								
7045	0	1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																971	0	3708								
7072		1176	1621																																	5296	0	6626								
7456		905	320																																	5469	0	27630								
7634		968	275																																	225	0	518								
8033		8448	8234																																	4914	0	13567								
8462		0	134																																	3224	0	3468								
