"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
25357													71	21	10	36	6	6																			
25647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
26765													0	0	0	42	0	0																			
27070													0	0	0	0	0	0																			
27548													0	0	32	0	0	0																			
27614													0	0	0	1	0	0																			
27847													113	4	21	109	0	49																			
28013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0							
28152				0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
28675				0	0	47	0	0	0				0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0							
28732													21	0	0	16	0	0																			
29476													0	0	6	0	0	0																			
29636													48	0	16	78	0	23																			
29878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
30052													0	0	0	0	0	0																			
30502													0	0	0	11	0	9																			
30650													0	0	0	0	0	0																			
30810							0	0	0																												
31134				0	0	0	0	0	0	0	0	0	15	4	56	90	5	44	0	0	0	0	0	0	0	0	0	0	0	0							
31255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31657													55	0	0	4	0	0																			
31826	0	0	0	0	0	0	0	0	0	0	0	0	27	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31835													3	0	45	67	1	45																			
32234													0	0	0	0	0	0																			
32766													0	0	0	0	0	0																			
32971													0	0	0	0	0	0																			
33147													3	0	31	23	0	8																			
33259													32	0	0	9	0	0																			
33370													0	0	0	0	0	0																			
33839													24	0	0	0	0	0																			
33857	0	0	0	0	0	83	0	0	0	0	0	0	0	0	21	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0							
34434													73	29	0	48	6	4																			
34537	0	0	0	0	0	0	0	0	0	0	0	0	1404	0	13	4755	866	312	0	0	0	0	0	0	0	0	0	0	0	0							
34555	0	0	0	0	0	0	0	0	0	0	0	0	77	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
34742													0	0	0	0	0	0																			
35057				0	0	0	0	0	0				0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0							
35301							0	0	0																												
35646													0	0	9	17	0	2																			
35879													0	0	0	52	0	0																			
36456													0	0	0	10	0	0																			
36933													30	0	1	32	0	19																			
37051													0	0	0	0	0	19																			
37341													46	0	82	22	0	14																			
37435													574	0	233	311	0	160																			
37640	0	0	0	0	0	0	0	0	0	0	0	0	73	0	5	197	0	8	0	0	0	0	0	0	0	0	0	0	0	0							
37659				0	0	0	0	0	0	0	0	0	92	0	42	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
37949													0	0	0	0	0	0																			
38740													98	0	20	129	0	0																			
39327													0	0	0	3	0	0																			
39756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
40033													21	0	0	0	0	0																			
40499	0	0	0	0	0	0	0	0	0	0	0	0	232	0	65	79	0	12	0	0	0	0	0	0	0	0	0	0	0	0							
40855													45	0	21	0	0	0																			
41553													16	0	0	0	0	0																			
41629													339	0	0	37	0	0																			
41825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0							
42037													22	0	0	27	0	84																			
42354													39	0	0	31	0	0																			
42372													0	0	0	8	0	0																			
42420	0	0	0	1	0	86	0	0	0	0	0	0	2372	205	355	490	404	74	0	0	664	0	0	0	1	0	86	0	0	0							
42448	0	0	0	0	0	0	0	0	0	0	0	0	164	15	36	277	2	27	0	0	0	0	0	0	0	0	0	0	0	0							
42457													0	0	0	0	0	0																			
43052													9	0	4	0	0	1																			
43351													49	0	30	4	0	36																			
43856													0	0	0	0	0	0																			
43959													0	0	0	64	0	0																			
44040													30	0	0	2	0	0																			
44433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
44741													84	0	9	100	0	10																			
44750													0	1	85	0	0	0																			
44929				0	0	0	0	0	0				0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
45038				0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0							
45047													67	0	6	354	3	59																			
45056													0	0	0	2	0	0																			
45430													13	0	0	3	0	0																			
45458													2	0	4	9	0	27																			
45551													8	0	0	207	4	82																			
45560	0	0	0	0	0	0	0	0	0	0	0	0	163	7	0	166	0	50	0	0	67	0	0	0	0	0	0	0	0	0							
45775													0	0	0	0	0	0																			
46053													57	0	0	0	0	0																			
46941													0	0	0	2	0	13																			
47247	0	0	0	0	0	0	0	0	0	0	0	0	98	0	11	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0							
47256													0	0	0	34	0	0																			
47500													0	0	1	25	0	1																			
48057													0	0	0	0	0	0																			
48150													3	0	0	0	0	10																			
48374													229	0	177	498	0	215																			
48440													6	0	0	0	0	0																			
49054													0	0	0	0	0	0																			
49148													0	0	0	0	0	5																			
49241													0	0	0	20	0	12																			
49652													269	98	150	13	27	13																			
49858													0	0	0	0	0	0																			
