"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
836843																														99878	3924	16462	62477	13333	305144	true	0	0	0	0	3924	29397	5	13333	true	0	286146	16462	0	0	0	0	286146	1232	314	990	0	288682	true	false	2500	24068	0	0	0			3	22	0	0	0	0	0	0	564	7964																	www.midwestone.bank	
837000																														220	0	457500	220	0	542500	true	0	0	0	0	0	2001	1	0	true	0	0	457500	85000	0	0	0	0	0	0	0	0	0	true	true		0	0	0	0			0	0	0	0	0	0			107																		http://www.fnbli.com	
837046																														452	59	0	452	0	2000	false	0	0	59	0	0	0	0	0	false	0	2000	0	0	0	0	0	2000	0	0	0	0	2000	true	true	0	0		0	0			0	0	0	0	0	0			0																			
837149																														3209	81	38000	3194	1	38000	true	0	41	0	0	40	5562	2	9	false	0	0	38000	0	0	0	0	0	0	0	0	0	0	true	false	0	14		0	0			0	0	0	0	0	0			64		fcbheartland.csinufund.com																www.fcbheartland.com	
837158																														1128	2	0	1128	0	0	true	0	0	2	0	0	3757	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		0		0	0			0	0	0	0	0	0	0	0	0	0																	www.fnbmiami.com	
837354																														1611	0	0	1128	483	2000	true	0	0	0	0	0	1067	1	483	false	0	0	0	2000	0	0	0	0	0	0	0	0	0	true	false		0		0	0			0	0	0	0	0	0			99	6512	fnbwaseca.com		fnbellendale.com		fnbhope.com												fnbwaseca.com	
837448																														637	0	10000	398	0	12000	true	0	0	0	0	0	0	0	0	false	0	0	10000	1000	1000	0	0	0	0	0	0	0	0	true	false	0	239		0	0			0	0	0	0	0	0			0		www.wbsb.net																www.wbsb.com	
837541																														0	0	3000	0	0	54510	true	0	0	0	0	0	4296	3	0	false	0	40000	5016	4339	5155	0	0	40000	0	0	0	0	40000	true	false	0	0		0	0			0	0	0	0	0	0			0																		www.fsbhoffman.com	
837608																														0	0	98102	0	0	197007	true	0	0	0	0	0	2898	0	0	true	0	49700	98102	20185	24020	5000	0	49700	0	0	0	0	49700	false	true	1603	0		0	0	1	false	0	0	0	0	0	0			0																		http://www.rollstonebank.com	
837653																														0	0	3450	0	0	4950	true	0	0	0	0	0	65	0	0	false	0	1500	3450	0	0	0	0	1500	0	0	0	0	1500	true	false	2	0		0	0			0	0	0	0	0	0			5																		www.heartlandstatebank.com	
