"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
3633173																																																															0	0	234236	0	0	150187	0	150187	4920		0	1233462	2709	0	13760	30959	395	24195	339815	723	8786	5313	8600	4381	0	225633	104673	359641	362466	145681	0	0	0	0	0	209	0				0	27103	328791	440004	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		805511				41223	18782	0	18782	0	0	0	0	0	0	0	41210	0	13	0	0	0	0	585	41210	0	CONF	CONF	0	0	0		
3635029																																																															0	0	96669		0			227928	5767		0	748380	0	0	179633	87568	4290	69249	242899	7488	11926	6394	58555	3205	0	300810	60646	60346	125566	86310	1799				0	0					0	51911	27396	224473			0			0	0														252243	0	0	0	0		0	22378	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	CONF	CONF	0	0	0		
3635551																																																															0	40392	2681		0			3608	3045		0	190280	0	0	0	55230	647	43129	17546	5494	6661	10113	7025	4521	21367	19424	17335	28910	24148	18135	27098				0	0					14841	14860	27361	26284			0			0	0													0	188762	0	0	0	0		0	10	0	5	0	0	0	0	0			0	0		0	0	1316	0	0	CONF	CONF	0	0	0	0	
3636259																																																															0	0	7356		0			11270	2252		0	161180	0	0	0	17255	190	3417	53727	5451	1894	1721	8189	0	0	31760	14622	40337	46335	10498	2				0	0					995	5308	63050	53474			0			0	0													0	92967	0	0	0	0		0	17	0	0	0	0	0	0	0			0	0		0	0	13	0	0	CONF	CONF	0	0	0	0	
3636428																																																															0	10616	30114		14523			44276	3262		5788	340927	743	0	0	35887	4256	8748	74182	1011	2268	7556	13871	10027	1154	46961	23942	75625	75068	83084	1104				0	38					21768	31908	65602	72264			0			0	0													0	79338	0	0	0	0		0	965	0	146	0	0	0	0	0			0	0	0	0	0	257	0	0	CONF	CONF	0	0	0	0	
3636446																																																															0	0	17073		0			45874	4006		0	683722	0	0	0	5684	3209	3325	29571	0	2361	0	434	2889	0	319385	12214	39384	212692	91674	0				410	5					0	386	104606	502463			0			0	0														469839	0	0	0	0		0	6	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	CONF	CONF	0	0	0		
3636914																																																															0	378	12958		0			33818	44613		1847	356797	0	0	0	81686	1575	43314	37888	6553	1609	27094	22684	1404	22342	69253	11231	59371	97421	37067	724				0	250					8734	18342	53406	97663			0			0	0														112952	0	0	0	0		0	0	0	138	0	0	0	0	0			0	0	0	0	0	1389	0	0	CONF	CONF	0	0	0		
3637247																																																															0	1145	35851		0			64389	75542		0	1180933	770	0	0	366520	4927	177539	128320	19707	19816	65096	131507	100141	30253	211895	26609	121062	230554	222085	2978				0	822					61395	117439	210042	237584			0			23	0													0	215644	0	0	0	225		0	26	0	1266	0	73	0	125	0			4	0	0	0	4	4755	0	0	CONF	CONF	0	0	0	0	
3637685																																																															0	0	5248628	0	0	1592508	0	1592508	54743		1013837	10177803	0	227831	16174	917382	1040	841586	1998769	31515	133103	150810	198893	325617	77444	1374588	459563	2048218	2220001	2356401	789817	0	0	0	0	370	0				17450	105109	420564	560561	0	227831	0			247	0	0	0	0	0	0	0	0	0	0	0	0	0		5699508				7512	16844	0	16844	0	10	0	0	0	635	0	6630	0	0	0	0	0	0	926	6630	0	CONF	CONF	0	0	0		
3637706																																																															0	17517	36653		3594			14619	0		0	231924	0	0	0	20912	136	14361	12542	1133	713	9443	8057	1168	0	15964	17639	65395	54014	57681	304				0	113					0	6206	56549	75541			0			0	0														52828	0	0	0	0		0	18	0	50	0	0	0	0	0			0	0		0	0	16	0	0	CONF	CONF	0	0	0		
3645840																																																															0	7117	0		0			27091	0		0	451612	1056	0	0	2096	0	284	2637	284	0	0	0	0	1812	330295	11622	36807	18949	27591	4294				0	0					0	7748	102816	305797			0			0	0													0	264889	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	3	0	0	CONF	CONF	0	0	0	0	
3646397																																																															0	868	0		0			37268	10139		0	239339	311	0	0	18589	1492	400	43192	400	453	10610	2414	4712	0	56298	22919	36496	47211	51773	4368				0	0					19251	20652	70083	60639			0			0	0													0	64786	0	0	0	0		0	0	0	421	0	0	0	0	0			0	0		0	0	248	0	0	CONF	CONF	0	0	0	0	
3650808																																																															0	574549	7378	0	18021	4098381	0	4098381	0		9915	9020885	0	2116	0	32839	109589	32556	464091	14218	432	9776	6350	0	131	3883942	346892	1665081	1496197	1079544	334943	0	0	0	0	0	0				0	567825	2310894	937895	0	2116	0			5167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				36665	153	351330	153	0	0	0	0	0	0	0	28164	0	3334	0	0	0	0	0	28164	0	CONF	CONF	0	0	0	0	
3655933																																																															0	0	48323		0			38929	8427		0	395515	369	0	11794	38135	6736	27713	71384	1656	7120	402	5333	23624	0	36800	39029	34975	31514	207985	7446				0	0					0	25544	112848	116773			0			0	0														327828	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	169	0	0	CONF	CONF	0	0	0		
3664588																																																															0	0	50617	0	0	129813	0	129813	30569		0	923634	0	0	0	345077	0	306579	18931	9329	32200	118354	107881	50134	27179	106832	48483	101211	126091	127517	60912	0	0	0	79	33918	3812				15598	22595	74915	217419	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601556				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3034	0	0	CONF	CONF	0	0	0	0	
3667132																																																															0	499	3882		0			31032	5383		0	110931	218	0	0	4681	71	0	33268	821	0	2698	996	166	0	13029	19418	38265	27104	8652	0				0	0					5103	7746	42692	9875			0			0	0														74431	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0		0	0	185	0	0	CONF	CONF	0	0	0		
3671997																																																															0	595	12902		0			6447	1672		425	271386	353	0	0	17824	0	612	49292	848	2030	9053	3155	2721	0	56154	20295	105592	40836	30767	0				0	25					9677	32098	44824	144975			0			0	0													0	46299	0	0	0	292		0	38	0	0	0	0	0	0	0			292	292		0	0	237	0	0	CONF	CONF	0	0	0	0	
3678857																																																															0	138	14399	0	1551	312447	0	312447	1386		0	729788	0	0	14102	2134	0	1226	208031	906	0	823	0	405	0	332466	52059	169423	96994	65525	8374	0	0	0	0	0	0				12818	80889	125277	178323	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		235213				0	426	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	0		
3688043																																																															0	1033	5869		0			389491	981		0	752534	0	0	0	16619	925	968	212630	969	1701	8795	5154	0	0	261756	53384	148542	182697	84819	4717				0	0					4737	49012	73739	145325			0			0	0														752534	0	0	0	0		31177	33626	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	CONF	CONF	0	0	0		
3688548																																																															0	0	1992		0			26428	3452		0	183457	445	0	0	4504	0	0	37974	377	97	1437	660	1933	0	35050	12640	28866	29432	73411	0				0	125					7196	19224	70685	50122			0			0	0														183457	0	0	0	955		0	102	0	42	0	0	0	0	955			0	0	0	0	0	30	0	0	CONF	CONF	0	0	0		
3690121																																																															0	2592	14326		0			36231	0		0	272815	99	0	44	59737	0	48157	47022	1487	1730	3706	5442	3355	44017	45541	20690	56787	70268	13420	6471				0	0					9973	25045	20089	77317			0			0	0														272809	0	0	0	0		9101	18503	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	CONF	CONF	0	0	0		
3690635																																																															0	0	26026		0			20245	0		0	374120	331	15506	0	31613	0	31613	45508	6115	10659	12721	2118	0	0	180196	29429	53915	38358	37066	2023				0	0					25521	70337	50162	120302			0			0	0													0	169417	0	0	0	0		12978	0	0	1761	0	0	0	0	0			0	0	0	0	0	0	0	0	CONF	CONF	0	0	0	0	
3690701																																																															0	2906	23725	0	0	66689	0	66689	28966		5908	657024	192	0	0	201602	1568	170944	166293	3180	12680	1973	16773	28793	137252	125905	24618	33447	78403	113400	78458	0	0	0	0	3010	0				31702	53940	98637	122251	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189107				0	0	13386	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	2532	0	0	CONF	CONF	0	0	0	0	
3715444																																																															5640	16808	142514		2209			523897	195442		1111	2302008	0	0	55484	234213	3920	89172	101400	23083	23053	42263	91288	25007	24439	670993	122878	275937	581174	392935	14065				0	13814					50778	161749	281219	601894			0			0	0														755245	0	0	0	5332		19459	12397	0	13330	0	0	0	0	0			18	0	0	0	18	21614	5314	1350	CONF	CONF	0	0	0		
3719648																																																															0	0	13368		0			130747	1827		0	1091454	0	0	0	21540	231	11540	146204	58	1248	4546	15688	0	0	240247	65913	285997	415873	48537	11808				0	4					2210	116102	467545	337813			0			0	0														391418	0	0	0	0		0	58	0	0	0	0	0	0	0			0	0	0	0	0	9	0	0	CONF	CONF	0	0	0		
3720336																																																															0	0	6031		0			21962	0		0	87229	49	0	0	2431	0	2430	14720	0	1803	0	627	0	0	13122	12962	15789	25057	16839	1074				0	0					0	2004	24482	30368			0			0	0														0	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0		0	0	0	0	0	CONF	CONF	0	0	0		
3720608																																																															0	957	65803		0			497708	156697		0	1244133	0	0	0	24921	0	6201	339352	8727	833	4289	9243	1829	0	649918	64745	147737	242864	108603	0				0	32367					11262	94640	153615	199065			0			0	0														154549	0	0	0	0		0	4961	0	510	0	0	0	0	0			0	0	0	0	0	1627	0	8456	CONF	CONF	0	0	0		
3721605																																																															0	0	9567		0			57624	4056		871	284966	0	0	0	36124	202	481	70230	1977	2185	19114	12822	26	0	81901	13213	90488	54780	6637	0				0	0					4536	30723	75434	65674			0			261	0														101037	0	0	0	1658		0	117	0	0	0	0	0	1252	0			0	0	0	0	0	38	145	0	CONF	CONF	0	0	0		
3729124																																																															0	0	138777		0			3579	18557		0	636919	1481	0	0	164544	1802	160441	60197	11343	7545	9808	17017	85670	32376	94212	10517	40862	47217	269683	10151				0	4					8304	40947	60564	198703			0			0	0													0	216937	0	0	0	0		0	2609	0	0	0	0	0	0	0			0	0	0	0	0	10	0	0	CONF	CONF	0	0	0	0	
3783313	1415082			1075614	0	987580	0		0	0	6222799	19810	0			1094649	1602907	404020	1103249	2372972	396491	192116	0	0	0	0	0	4	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	361922	0	0	1528	0	0	0	0	0	0	2762801		0	394047	0	0	987580	0		0	0	0	6222799	19810	0		45668	0	18014		3911	5541	11509	14978	1743	7987							0	0	0	4	0					77876	139213	427720	330558			0			0	0													0						282953	792661			1528	0	0	0	0	0				0				2762801		0	CONF	CONF	0	0	0	0	
3783948																																																															0	0	0	0	0	0	0	0	172326		0	2763255	0	0	0	2344815	0	2200809	640	0	336364	986872	457708	429091	121174	172369	0	245499	0	371	0	0	0	0	231547	13953	1335246				0	66	0	0	0	0	0			0	1795	0	0	0	0	0	0	0	0	0	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	3146	CONF	CONF	0	0	0		
3786435																																																															0	0	4888		0			18238	20144		47	360944	780	0	0	17099	305	5659	34780	1261	123	4181	5093	4273	2168	64211	12857	54124	76537	125959	10902				0	0					5195	53680	148637	93203			0			0	0													40578	139956	0	0	0	0		0	118	0	55	0	0	0	0	0			0	0	0	0	0	115	0	0	CONF	CONF	0	0	0	639	
3793714																																																															0	0	572849		0			111156	25631		0	1965531	0	0	0	688982	230	553095	165854	11697	105907	239907	192879	61331	72892	135472	212338	294426	613508	10235	488				0	0					0	13170	232572	320528			0			0	4381														1279556	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	413	0	0	CONF	CONF	0	0	0		
3804535																																																															0	66583	229935	34701	7303	243851	0	243851	37908		16905	1762027	0	0	19838	154661	3230	51548	271435	23533	29685	61356	34003	1357	3836	709448	117117	366112	302175	98261	7512	0	0	0	0	300	0				15010	346618	163691	427753	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685126				0	76	0	34777	0	5803	0	0	0	0	0	0	0	0	0	0	0	0	7699	0	0	CONF	CONF	0	0	0	0	
3807880																																																															0	20253	22028		8718			364732	19611		391	1278534	0	0	0	108082	1180	80557	119406	6311	1779	14414	24172	52386	8891	245891	40298	212150	420138	239432	12545				0	0					10011	120701	247208	355054			0			0	0													0	356387	0	0	0	110		0	0	0	122	0	0	0	0	0			110	0	0	0	0	443	0	0	CONF	CONF	0	0	0	0	
3812147																																																															0	1527	25843		200			39012	10066		0	504992	0	0	689	100206	1145	59847	44184	3609	4478	8070	22098	54460	7491	62044	32936	71454	167525	68650	1709				0	0					8857	17155	140635	157362			0			1173	0														178110	0	0	0	1173		0	1887	0	140	0	0	0	0	0			0	0	0	0	0	957	0	0	CONF	CONF	0	0	0		
3816154																																																															0	2678	1867		773			3886	5394		0	72026	0	0	0	17482	297	11001	2753	0	11	2831	5845	3956	4839	9646	263	5434	15439	12417	10800				0	27					0	1996	13929	23180			0			0	0														62149	0	0	0	0		0	406	0	50	0	0	0	0	0			0	0		0	0	61	0	0	CONF	CONF	0	0	0		
3816163																																																															0	6094	11525		0			21780	3932		0	164721	273	0	18	50455	3333	47463	18251	711	4083	18803	25805	554	263	20386	5465	33323	47761	5370	1587				0	273					4827	6747	16687	36588			0			0	0														64167	0	0	0	0		0	20	0	805	0	0	0	0	0			0	0		0	0	1928	0	2772	CONF	CONF	0	0	0		
3816190																																																															0	2781	4100		100			21337	18035		3055	303520	0	0	0	126058	6321	3480	73166	4780	15796	36422	56114	11310	1636	34153	18437	41288	61888	20859	837				0	0					5265	17265	56258	38681			0			0	0													0	210733	0	0	0	0		0	5	0	1529	0	0	0	0	0			0	0	0	0	0	2730	0	0	CONF	CONF	0	0	0	0	
3821037																																																															0	24877	3621	3000	11095	153052	0	153052	6681		0	867651	0	6635	0	173875	2130	156284	162663	10478	11078	10621	7010	3393	131295	157587	70771	78053	64610	42733	277904	0	0	0	0	149	0				41437	88819	172046	176955	6635	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317545				0	13	323	3013	0	845	0	0	0	0	0	0	0	0	0	0	0	0	2098	0	0	CONF	CONF	0	0	0	0	
3821626																																																															0	0	2988		0			42704	0		0	331873	0	0	3337	25320	164	23244	50681	5367	9437	873	2470	438	6736	166755	74279	23116	5928	4851	29892				0	0					22630	33496	91693	112755			0			0	0														148097	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	123	0	0	CONF	CONF	0	0	0		
3821822																																																															0	4578	37809		0			70802	21009		0	763921	360	0	401	235843	170	130839	94667	16448	18727	24536	85414	60544	30173	94839	39351	103296	178178	109715	3060				0	45					15190	48551	125563	183634			0			0	0													0	136531	0	0	0	91		0	185	0	492	0	0	0	0	91			0	0	0	0	0	20410	0	0	CONF	CONF	0	0	0	0	
3832127																																																															0	4578	11288		0			19285	0		0	548990	0	0	0	278102	172	218271	19576	528	1473	34011	41282	200807	0	178426	6553	24399	50121	7435	3410				0	0					0	8666	56925	169894			0			0	0														343604	0	0	0	1452		0	9	0	0	0	0	0	0	981			0	0	0	0	0	71	471	0	CONF	CONF	0	0	0		
3835454																																																															0	0	579710	0	0	58001	0	58001	36426		0	3033771	11870	0	0	1557244	5451	47584	367935	53788	139589	206516	598711	169057	370226	451185	187096	430186	365555	39346	2744	0	0	0	18	0	0				15503	162584	228602	379337	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		1550059				0	20	10194	20	0	4670	0	0	0	0	0	0	0	0	0	0	0	0	7881	0	0	CONF	CONF	0	0	0		
3843392																																																															0	0	9749		0			37560	261		0	163692	0	0	0	38421	0	17220	598	165	2192	6000	10312	1874	17878	3825	6943	27881	44157	42174	44				0	0					0	0	33800	25646			0			0	0														79753	0	0	0	0		0	0	0	18255	0	0	0	0	0			0	0		0	0	0	0	261	CONF	CONF	0	0	0		
