"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
	REAL ESTATE LOANS, TOTAL	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	OTHER LOANS	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	TOTAL LOANS RESTRUCTURED IN TROUBLED	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN FI AGRI	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	PURCHD IMPAIRED LNS, ETC.-OUTSTDING 	PURCHD IMPAIRED LNS, ETC.-CARRYING A	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN SEC 1-4 RES PROP IN DMST OFC	LN SEC 1-4 RES PROP IN PROC OF FCLS	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	LOANS LEASES FAIR VALUE	LOANS LEASES GROSS CONTR	LOANS LEASES BEST ESTIMATE	TOTAL LOANS RESTRUCTURED IN TROUBLED	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	OTHER LOANS	LN RSTRCT HOUSE FAMILY CREDIT CARD	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CNST LAND DEV 1-4 FAM 	LN RSTRCT DBT CNST LAND DEV OTHR CNS	LN RSTRCT DBT CNST LAND DEV MULTI NO	LN LAND DEV NFARM NRES SCD OWN OCC N	LN DBT LAND DEV NFARM NRES SCD NFARM	LN RSTRCT DBT CMRL US ADR	LN RSTRCT DBT CMRL NONUS ADR	LN RSTRCT DBT RSTRCT ALL OTHR LN	ITEMIZE DBT RSTRCT LN SCD FARM	ITEMIZE DBT RSTRCT LN FI AGRI	LN RSTRCT HOUSE FAMILY AUTO LN	LN RSTRCT HOUSE FAMILY OTHR CNSMR LN	LN TO IND HH OTHR AUTO LN	LN RSTRCT DBT CMRL	Revolving, open-end lines of credit	Number of outstanding Section 4013 l	Outstanding balance of Section 4013	Reverse mortgages outstanding that a	Estimated number of reverse mortgage	Principal amount of reverse mortgage	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																															0	1061	0		127			2991	0		2558	21308	0	0	0	8091	0	0	6156	193	1004	1737	3202	1955	0	2837	2153	3663	3259	1244	0				0	0					0	558	550	179			0			0	0														0	0	0	0	0		0	31	0	1992	0	0	0	0	0			0	0		0	0	3170	0	0	CONF	CONF	0	0	0		
242																																																															0	3344	0		2116			2006	0		589	30935	0	0	0	12936	361	35	12835	256	1219	3284	5961	2216	0	7616	3744	1624	3515	913	565				0	0					0	0	0	5318			0			0	0														12936	0	0	0	0		0	9	0	2373	0	0	0	0	0			0	0	0	0	0	1883	0	0	CONF	CONF	0	0	0		
279																																																															0	8317	9259		150			6900	0		2141	283028	0	36	0	168055	4150	921	45567	63	335	3915	3447	26497	133301	38942	16951	15488	14164	23328	5688				0	0					16962	20564	13371	28416			0			0	0														76896	0	0	0	0		0	157	0	828	0	0	0	0	0			0	0	0	0	0	3722	0	0	CONF	CONF	0	0	0		
354																																																															0	1537	623		646			3336	1606		0	58337	0	0	0	27216	164	1443	10862	1424	532	1227	4714	1273	18046	10028	7445	4114	6070	2967	497				10	342					4951	1103	1888	7737			0			0	0														51840	0	0	0	0		0	4	0	581	0	0	0	0	0			0	0		0	0	6593	0	0	CONF	CONF	0	0	0		
457																																																															0	4910	2261		8133			9395	859		1320	71969	0	0	0	23112	1855	110	13320	520	1475	7704	9618	3172	234	6977	4850	16277	12152	7233	899				0	0					1580	3228	2726	6322			0			31	0														36657	0	0	0	31		0	37	0	3259	0	0	0	0	0			0	0	0	0	0	2972	0	0	CONF	CONF	0	0	0		
505																																																															0	0	99860		0			24414	14411		11975	708869	79	0	2153	294774	2716	84256	21877	345	2280	2422	16720	124667	147878	72115	20892	45435	71418	172000	32213				0	277					7274	33785	61924	114172			0			240	132														392034	0	0	0	240		216	7	0	7397	0	0	0	0	0			0	0	0	0	0	35746	0	3237	CONF	CONF	0	0	0		
1155																																																															0	29188	13674		19593			70147	8164		3316	381592	0	0	0	90274	6573	2803	85566	3649	8946	19232	47021	9141	2285	49531	27946	74196	102780	36122	654				523	88					9155	27720	69387	23107			0			0	0														160072	0	0	0	0		0	4635	0	2845	0	0	0	0	0			0	0	0	0	0	3203	0	0	CONF	CONF	0	0	0		
1351																																																															0	12391	0		5894			21030	0		0	110668	0	0	0	20950	0	20842	71842	1939	8766	3663	5971	503	0	14250	46887	15572	9707	3002	0				0	0					994	154	33583	0			0			632	0														0	0	0	0	1775		0	547	0	9257	0	0	0	105	0			980	0	31	445	0	5868	58	0	CONF	CONF	0	0	0		
1454																																																															21250	9851	6320		3564			66670	13251		13	479766	1104	676	8730	101636	2195	12008	76348	8622	430	1031	3831	33683	54039	43820	41653	48991	78832	140944	24862				0	451					2077	94710	63977	75209			0			0	0														95560	0	0	0	817		0	1603	0	13847	0	0	0	0	683			0	0	0	0	0	3570	134	0	CONF	CONF	0	2	0		
1669																																																															0	0	4628		5668			27926	0		394	290916	0	0	0	126818	3902	99066	37876	2261	3825	673	9113	23764	87182	15559	23468	13680	37368	25197	48730				0	0					34386	2146	62193	3820			0			0	77														0	0	0	0	0		0	78	0	9572	0	0	0	0	0			0	0	0	0	0	9385	0	0	CONF	CONF	0	0	0		
1856																																																															0	1649	1909		3095			2732	0		0	25504	0	0	0	5951	0	5522	7615	1053	3876	183	14	411	414	6029	9073	1382	2205	864	0				0	0					1206	1855	998	3426			0			0	0														8496	0	0	0	0		0	1	0	548	0	0	0	0	0			0	0	0	0	0	2134	0	0	CONF	CONF	0	0	0		
2161																																																															0	10133	6482	0	760	17362	0	17362	0		0	217693	0	0	0	95060	316	90003	16015	3189	12826	40603	29603	3139	5630	5129	23414	47940	28210	16745	271	0	0	0	449	648	0				1822	25866	30827	26410	0	0	0			493	0	0	0	0	0	0	0	0	0	0	0	0	0		98189				1134	188	0	188	0	700	0	0	0	163	0	478	0	0	0	0	0	0	670	478	0	CONF	CONF	0	0	0		
2732																																																															0	0	291367		0			23583	3421		0	573071	475	0	3703	34811	45	12924	70473	2571	2105	14509	15626	0	0	48412	45865	161098	206306	76697	1				0	0					1800	34021	29967	154377			0			0	0													0	271433	0	0	0	0		0	70	0	1	0	0	0	0	0			0	0	0	0	0	83	0	0	CONF	CONF	0	0	0	0	
2750																																																															0	6144	0		26028			4579	0		0	52130	0	0	0	816	5	0	31155	0	253	298	266	0	0	26264	6160	8666	7596	1727	900				0	65					127	2009	864	7485			0			0	0													0	24344	0	0	0	0		0	3195	0	380	0	0	0	0	0			0	0	0	0	0	433	0	0	CONF	CONF	0	0	0	0	
3252																																																															0	39159	1004		51533			8853	0		4837	120684	0	99	0	0	0	0	0	0	0	0	0	0	0	46854	49570	8287	9809	4886	414				0	0					0	423	0	7847			0			0	0														55226	0	0	0	0		0	798	0	1630	0	0	0	0	0			0	0	0	0	0	4501	0	0	CONF	CONF	0	0	0		
3458																																																															0	11665	381		3602			3291	0		0	47842	0	119	0	12470	100	254	8025	556	1524	5851	4285	254	0	2381	3564	10012	10422	8593	0				0	0					1189	0	6168	5800			0			0	0													0	19110	0	0	0	0		0	0	0	1582	0	0	0	0	0			0	0	0	0	0	1475	0	0	CONF	CONF	0	0	0	0	
3720																																																															0	10608	1342		4216			26355	1791		3695	190752	0	0	0	43726	1464	445	31607	1249	1861	7644	19729	9893	3289	10410	20121	38674	66766	11044	0				0	226					2339	10193	32425	42756			0			0	0														96218	0	0	0	0		56	105	0	4156	0	0	0	0	0			0	0	0	0	0	5299	0	0	CONF	CONF	0	0	0		
3971																																																															0	10793	59497		5417			178081	48495		0	816313	0	31639	5460	68316	1751	14265	237895	1465	7470	9929	8634	6830	33688	149557	88338	171910	248487	68700	15431				0	529					5497	70144	73343	209536			0			1333	289														283465	0	0	0	7120		0	149	0	379	0	66	0	0	5721			0	0	0	0	0	52747	0	0	CONF	CONF	0	0	0		
4156																																																															0	20471	3447		6867			18443	8636		0	195121	0	0	0	67399	849	45230	27054	1203	1488	3536	9227	27207	24736	20180	12568	19259	25372	29146	21110				0	0					1945	1551	50129	12471			0			0	0														51152	0	0	0	0		0	0	0	1883	0	0	0	0	0			0	0		0	0	1030	0	0	CONF	CONF	0	0	0		
4231																																																															0	2315	871		914			2612	0		957	49254	0	0	0	12271	65	177	17737	263	2022	4755	4772	413	0	949	14503	17593	3633	131	0				0	0					622	1714	13400	10602			0			0	23														0	0	0	0	0		0	42	0	969	0	0	0	0	0			0	0		0	0	1900	0	0	CONF	CONF	0	0	0		
5069																																																															0	4450	5640		0			2128	3667		0	477823	3707	0	0	73491	0	32480	357589	32481	30540	0	0	0	0	244081	80731	83227	0	0	0				0	0					39063	76121	106308	170662			0			0	8460														110673	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	CONF	CONF	0	0	0		
5135																																																															0	84927	2493		87416			44668	0		5372	395518	0	0	0	67937	1458	2733	249374	8793	13746	32137	10763	1528	116	139747	88076	83578	7663	3239	1523				779	0					5108	10504	51109	23097			0			201	0														37764	0	0	0	1214		0	34	0	3546	0	0	0	0	0			1013	881	122	2	8	7070	0	0	CONF	CONF	0	0	0		
5210																																																															0	94262	62631		9025			79954	91034		59401	1628268	0	0	0	350068	45414	34427	143483	8434	37299	63706	74794	88989	76502	202311	113094	270445	438151	244207	7325				0	2627					21604	62736	293784	448031			0			0	1276														1243975	0	0	0	0		0	453	0	522	0	0	0	0	0			0	0	0	0	0	6722	0	0	CONF	CONF	0	0	0		
5461																																																															0	36340	81695		5690			23447	3937		0	424254	284	0	4722	34755	1503	4945	23470	1317	332	6360	10999	8065	7684	18236	27572	68643	147171	127968	192				0	51					360	2438	60766	170361			0			0	0													0	364149	0	0	0	0		0	1271	0	124	0	0	0	0	0			0	0	0	0	0	1800	0	0	CONF	CONF	0	0	0	0	
5751																																																															0	32659	3690		20069			30487	2031		2204	158271	0	0	0	30854	110	24935	29438	1108	4894	2744	1550	7422	13009	30824	15035	18761	20972	27694	13962				0	13					206	1173	20891	9567			0			0	128													0	25416	0	0	0	16		0	180	0	3202	0	0	0	0	0			9	0	0	9	0	935	7	0	CONF	CONF	0	0	0	0	
6039																																																															0	39807	1401	0	6892	24464	0	24464	361		769	331049	0	0	0	73350	400	11200	114988	1595	4533	14595	18482	11142	22991	32265	77252	86612	43579	15537	1809	0	0	0	586	149	0				9445	27337	59730	78301	0	0	0			103	0	0	0	0	0	0	0	0	0	0	0	0	0		11254				103	1176	0	1176	0	943	0	0	0	0	0	0	0	0	0	0	0	0	5938	0	0	CONF	CONF	0	0	0		
6329																																																															0	2932	29730	0	126	106847	0	106847	11743		626	1399106	0	0	0	257303	8481	611	213084	8020	14397	75143	156597	2024	83	76560	123906	249587	522579	159206	2329	0	0	0	0	1393	0				63857	175508	157813	111498	0	0	0			0	306	0	0	0	0	0	0	0	0	0	0	0	0	122	128394				0	703	0	704	0	377399	0	0	0	0	0	0	0	0	0	0	0	0	93146	0	63	CONF	CONF	0	0	0	0	
7009																																																															0	0	0		0			55198	0		0	276376	0	0	0	0	0	0	270830	0	0	0	0	0	0	270830	0	3720	1826	0	0				0	0					0	0	0	0			0			0	0														0	0	0	0	0		0	1100	0	0	0	0	0	0	0			0	0	0	0	0	220078	0	0	CONF	CONF	0	0	0		
7045																																																															0	8995	0		6103			6186	643		605	114293	0	0	0	62261	202	29781	6080	288	834	461	6540	12424	41409	2592	6165	10651	11481	12671	7872				513	8					1659	0	2619	8773			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		56198				359		0	0	0	7696	0	0	0	0	0			359	0	0	0	0	8030	0	0	CONF	CONF	0	0	0		
7072																																																															0	4406	19774		125			27497	7636		0	308652	0	0	0	178820	3769	113146	22231	6482	15407	2429	4941	40898	107675	27232	4298	9337	11842	37932	39161				0	1556					3920	7323	20791	32006			0			393	551														129942	0	0	0	1577		0	0	0	0	0	0	0	0	1184			0	0	0	0	0	1029	0	511	CONF	CONF	0	0	0		
7456																																																															0	14984	0		43525			14221	0		178	90158	0	0	0	5206	35	0	46532	113	375	2075	2643	0	0	43894	4403	15860	18662	869	1264				0	8					1733	222	1827	6044			0			0	0														63258	0	0	0	0		0	15	0	1453	0	0	0	0	0			0	0	0	0	0	707	0	0	CONF	CONF	0	0	0		
7634																																																															0	2733	405		7724			9409	0		0	62464	0	0	0	17190	652	0	14993	609	1155	6670	5551	3205	0	5302	7945	15337	12016	3340	1288				0	0					2601	2320	1587	8139			0			0	0														1900	0	0	0	0		0	57	0	1062	0	0	0	0	0			0	0	0	0	0	8585	0	0	CONF	CONF	0	0	0		
8462																																																															0	9105	0		16858			16322	0		0	77142	0	0	0	15003	364	7307	15832	160	520	0	6968	1955	5399	23659	5535	6853	16133	5265	4694				0	0					0	318	4374	2153			0			0	0														0	0	0	0	0		0	0	0	7768	0	0	0	0	0			0	0	0	0	0	4877	0	0	CONF	CONF	0	0	0		
8631																																																															0	113	0		171			4890	0		916	37919	0	0	0	19724	577	812	1581	166	161	605	795	5744	12139	988	324	2785	3921	7752	2426				0	0					0	1320	280	7313			0			50	0													0	0	0	0	0	50		0	11	0	1282	0	0	0	0	0			0	0		0	0	1322	0	0	CONF	CONF	0	0	0	0	
9357																																																															281	0	28519		0			132402	1368		0	324529	0	25982	0	60	75	0	146370	0	0	0	0	60	0	116391	39941	42027	83095	33177	8859				0	1798					0	0	33154	26884			0			0	0													0	166704	0	0	0	0		71145	1285	0	74	0	0	0	0	0			0	0	0	0	0	1502	0	0	CONF	CONF	0	0	0	0	
9553																																																															0	52872	2148		54338			9566	0		0	141077	0	0	0	10851	35	21	54181	608	747	1408	5872	2056	160	52869	7109	14769	23285	25414	6780				0	0					3706	0	3060	547			0			0	0														86674	0	0	0	0		0	2677	0	825	0	0	0	0	0			0	0	0	0	0	452	0	0	CONF	CONF	0	0	0		
9807																																																															0	0	579860	0	0	28816	0	28816	26324		0	1748797	1659	0	0	213729	27187	56025	466061	8688	6365	29367	24971	63274	79300	233259	217749	437979	435304	208756	456	0	0	0	0	16	0				52701	308949	95795	416092	0	0	0			0	1699	0	0	0	0	0	0	0	0	0	0	0	0	0	602969				0	559	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	1340	CONF	CONF	49344	0	0	0	
9955																																																															0	19302	3009		3957			13034	2716		0	109075	0	10403	0	14117	476	1	54361	237	2952	8641	2212	74	0	36339	14833	28977	11985	2826	0				0	0					655	0	1678	39254			0			0	0														35895	0	0	0	0		0	17	0	371	0	0	0	0	0			0	0		0	0	86	0	0	CONF	CONF	0	0	0		
10250																																																															0	1135	18373		0			104953	18385		0	386236	0	0	0	69802	3330	26586	36507	814	1882	6010	16443	28010	16286	26280	17893	66802	138073	67386	0				0	284					4859	14299	85560	46260			0			0	357														164492	0	0	0	0		0	35	0	10303	0	0	0	0	0			0	0	0	0	0	8658	0	0	CONF	CONF	0	0	0		
10849																																																															0	23919	12330		7359			13414	953		2140	210194	25	0	0	51938	163	50364	16010	1252	8865	32199	7768	1853	0	27309	20772	71276	29870	7019	2037				0	0					5798	11096	41699	34767			0			0	0														0	0	0	0	0		0	3144	0	655	0	0	0	0	0			0	0		0	0	844	0	0	CONF	CONF	0	0	0		
11145																																																															0	2419	510	0	8	22679	0	22679	9264		2406	262638	0	0	0	59698	1207	4544	22705	1150	3895	8075	17407	15952	12800	26246	9012	34313	75623	56926	397	0	0	0	0	9	0				3345	8464	56417	24937	0	0	0			211	89	0	0	0	0	0	0	0	0	0	0	0	0	0	115654				818	0	0	0	0	10759	0	0	0	340	20	0	0	247	247	0	0	0	60516	0	0	CONF	CONF	0	0	0	0	
11640																																																															0	20586	48		63495			32492	0		0	237650	0	0	0	32733	979	25180	103807	4508	3542	2503	7979	5602	8599	69891	45853	11386	33901	22024	21862				0	0					5378	35526	14426	23780			0			16	0														98054	0	0	0	16		0	118	0	6096	0	0	0	0	0			0	0	0	0	0	1993	0	0	CONF	CONF	0	0	0		
11837																																																															0	1903	8878		45			1722	1523		2485	68796	132	0	0	21944	98	11	18385	1227	3280	10359	4944	1474	660	5606	11026	15088	5677	9587	0				111	0					712	3424	4330	18432			0			0	0														0	0	0	0	0		31	19	0	361	0	0	0	0	0			0	0		0	0	2910	0	0	CONF	CONF	0	0	0		
12030																																																															0	52457	13143		2456			33195	0		1	389055	0	0	0	82687	347	23875	68195	2649	6510	29456	7394	34458	2217	27600	87345	133340	28898	23200	5952				901	218					1717	20095	104204	46209			0			0	0														0	0	0	0	0		0	826	0	14686	0	0	0	0	0			0	0	0	0	0	15913	0	0	CONF	CONF	0	0	0		
12142																																																															0	6370	8833		6326			30625	1504		0	155097	0	102	0	43274	1653	123	43388	2695	4573	12734	22381	808	0	17623	18497	29514	33940	11193	1011				0	0					3019	3722	1528	28967			0			119	0													0	0	0	0	0	630		0	0	0	5541	0	0	0	0	0			311	130	0	0	181	13633	200	0	CONF	CONF	0	0	0	0	
12311		73987	3160085	7417977	218689	33913616	999326	7482366	0	725077	122416682	0	611087	26166044	371597	19941876	59063027	1322639	6745286	11963769	12734390	3828940	0	3838	79	0	248483	775737	504967	9625	7952			417227	1816246	5870938	8043802	0	5221318	0	0	0	0	0	0	0	0	0	0	0	0	101767410	547724	0	12629612	264262	0	16814	0	0	0	6355671		73987	3160085	74406	218689	33913616	236932		7482366	0	725077	121654288	0	5221318		26166044	371597	13504652		219382	521825	739561	1598693	14014769	8992288							3838	79	248483	775737	504967					417227	1816246	5870938	8043802			0			38146	53385													0						735123	6608448			12629612	293	711	130769	19326	77403				0				6355671		521686	CONF	CONF	0	0	0	0	
12647																																																															0	17236	9964		9342			10790	850		2975	112127	0	0	0	23772	196	14111	17099	5393	6580	3389	3981	3842	395	20599	28454	11831	11765	14432	322				322	20					1034	2739	5198	27463			0			0	0														87007	0	0	0	0		0	3	0	18	0	0	0	0	0			0	0	0	0	0	205	0	0	CONF	CONF	0	0	0		
12946																																																															0	119361	50733		22477			339346	0		4354	1988030	0	0	0	369745	12590	11914	415936	17587	28435	149567	118304	28705	23912	461143	155643	534375	268824	182687	7228				2868	0					29203	220772	256225	494429			0			0	122													0	1111927	0	0	0	0		0	772	0	10326	0	0	0	0	0			0	0	0	0	0	54829	0	0	CONF	CONF	0	0	0	0	
13103																																																															0	0	158984	0	219	149744	0	149744	42539		0	2344597	0	0	0	883331	14909	172171	27339	25211	7146	14245	43975	197265	593369	274891	41064	179441	431439	327877	192493	0	0	0	0	57	0				14808	104688	302283	354121	0	0	0			2027	0	0	0	0	0	0	0	0	0	0	0	0	0		1227246				4804	797	0	797	0	311852	0	0	0	0	1245	1530	0	2	0	0	0	0	6265	1530	1520	CONF	CONF	0	0	0		
13251																																																															0	3156	0		2109			5987	47		0	47278	0	0	0	17301	2068	0	10436	0	2239	4967	8774	0	826	3884	4313	7950	12553	792	246				0	0					0	842	566	9409			0			487	0														0	0	0	0	563		0	0	0	3219	0	0	0	0	0			76	0		0	0	2574	0	0	CONF	CONF	0	0	0		
13457																																																															0	4874	0		5532			3366	286		0	26813	0	0	0	861	0	0	12361	861	0	0	0	0	0	16662	3434	863	2789	670	1162				0	0					5304	4638	1038	510			0			0	0													0	0	15199	15487	0	0		0	0	0	246	0	0	0	0	0			0	0	0	0	0	158	0	0	CONF	CONF	0	0	0	0	
14155																																																															0	66541	2413		38359			18970	3647		35	313344	0	0	14732	90084	1269	90084	112593	3804	15901	18397	38991	6960	6032	33621	59267	46102	74730	9222	109				0	0					27225	12796	18510	26202			0			0	0													0	199679	0	0	0	0		0	50	0	3042	0	0	0	0	0			0	0	0	0	0	4201	0	185	CONF	CONF	0	0	0	0	
14650																																																															0	646	2393		332			16445	0		0	62647	0	0	90	19390	163	3048	9315	556	10276	3660	2536	761	1541	8228	5239	3976	6613	18618	585				0	5					0	299	6552	3557			0			0	0														20281	0	0	0	0		0	67	0	1499	0	0	0	0	0			0	0		0	0	11299	0	0	CONF	CONF	0	0	0		
14753																																																															0	6125	0		16504			2865	0		353	29259	0	132	0	1086	0	1005	10966	0	104	67	323	592	0	4487	7472	2766	6395	6855	198				0	0					0	0	1144	267			0			0	0														0	0	0	0	0		0	0	0	488	0	0	0	0	0			0	0	0	0	0	295	0	0	CONF	CONF	0	0	0		
