"IDRSSD"	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
711520																					
711548																					
711753																					
711801																					
712059																					
712648																					
712956																					
713252																					
713476																					
713926	78237	288403	251213	64358	3252	136629	822092	2001	2382	1067	1054	81	1736	0	8321	0	0	0	0	0	
714165																					
714437																					
714839																					
714978																					
715032																					
715050																					
715144																					
715340																					
715470																					
715630																					
715872																					
715975																					
716374	72483	188497	237648	75066	0	49520	623214	1012	2119	2228	1431	0	1215	0	8005	0	0	0	0	0	
716833	28513	313903	1062652	19773	0	276	1425117	152	2030	11503	567	0	14	0	14266	0	0	0	0	0	
716851																					
716954																					
717232																					
717670																					
717737	201907	624677	221660	96088	1331	3311	1148974	1818	4877	2196	505	7	253	3437	13093	0	0	0	0	0	
717924	328140	1307576	1107697	339496	0	26077	3108986	4610	12670	11384	4066	0	307	0	33037	0	0	0	0	0	
718145																					
718275																					
718538																					
719030																					
719610																					
719656																					
719964																					
720157																					
720344																					
720746																					
720858																					
721350																					
721752																					
721949																					
722227																					
722432																					
722544	325845	745013	239380	355353	2998	24033	1692622	10010	28288	2748	7042	28	289	3761	52166	0	0	0	0	0	
722777																					
722816	32387	178787	312860	78383	2213	93943	698573	433	2482	2363	1106	39	1601	0	8024	0	0	0	0	0	
723112																					
723158																					
723550																					
723653																					
723756																					
723868																					
724230																					
724744																					
724904																					
724940																					
725077																					
725732																					
725741																					
726458																					
726953	46124	433279	19057	75900	0	890	575250	497	5194	162	1153	0	9	285	7300	0	170	0	302	472	
727174	14044	37687	899219	0	0	0	950950	155	610	10155	0	0	0	0	10920	0	0	0	0	0	
728948																					
728957																					
729011																					
729057																					
729178																					
729310	46865	272629	294149	204617	0	78957	897217	858	5575	1757	5132	0	2653	0	15975	1	0	0	351	352	
729570																					
729842																					
729945																					
731050																					
731247	394133	416670	2119097	469422	12585	26875	3438782	6482	3901	26236	11544	402	845	0	49410	0	0	0	0	0	
731957																					
732178																					
732253																					
732637																					
732758																					
732918	31997	374572	572263	163482	0	170132	1312446	145	3190	1115	3273	0	1822	0	9545	0	0	0	0	0	
732954																					
733054																					
733540																					
733559																					
733661																					
733755																					
733951																					
734248																					
734350																					
734538	170366	345715	34778	173325	0	0	724184	5253	7107	640	3142	0	0	139	16281	0	0	0	0	0	
734613																					
735049																					
735067																					
735414																					
735441	59452	521027	104732	504265	2601	16652	1208729	200	2864	314	9280	33	387	0	13078	0	0	0	0	0	
735973																					
736158																					
736206	175474	1686466	1771463	363515	0	24626	4021544	2492	20117	8520	7242	0	573	0	38944	0	0	0	0	0	
736550																					
737548																					
738013																					
738040	36864	821764	176455	492731	0	57936	1585750	282	13073	2945	3211	0	328	498	20337	0	0	0	0	0	
738143																					
738255																					
738303	68732	425569	800601	35928	0	10441	1341271	506	2478	3828	609	0	119	0	7540	0	0	0	0	0	
738657																					
738769	208752	433961	96818	137939	0	9149	886619	3730	4650	907	1115	0	185	0	10587	0	0	0	0	0	
739346																					
739355																					
739560	138160	1475005	2532162	354179	2062	877	4502445	2152	21239	35994	5455	0	34	0	64874	0	0	0	0	0	
739832																					
740249																					
741068																					
741152																					
741330	231144	277938	693699	62290	0	11509	1276580	2049	2932	3086	648	0	108	31	8854	0	0	0	0	0	
741358																					
741648																					
741844																					
741956																					
741974																					
742056																					
742542																					
742636																					
742944																					
743679																					
743950																					
744854																					
745347																					
746157																					
746429																					
746755																					
746942																					
746979																					
747051																					
747257																					
748254																					
748357																					
748441																					
748964																					
749242	1558805	5382135	3318926	1987840	0	103523	12351229	23329	74919	44667	46495	0	9168	0	198578	32	0	0	0	32	
749635	68329	287307	117457	73374	0	10827	557294	960	3921	546	1288	0	148	0	6863	0	0	0	0	0	
749840																					
749943																					
750051																					
750127																					
750341																					
750444																					
750846																					
751254																					
751656	166009	941021	689946	496315	0	85785	2379076	2719	11361	6465	5444	0	904	871	27764	0	0	0	0	0	
751852																					
752831																					
753052																					
753324	84146	562244	403608	266348	1253	145087	1462686	772	6224	4725	1977	15	780	0	14493	0	0	0	0	0	
753641																					
753856																					
754068																					
754246																					
754536																					
754826	86798	141048	410048	74262	8833	259521	980510	1639	1332	3173	396	455	2406	24	9425	0	0	0	0	0	
754853																					
754929	55276	418972	241592	102142	4670	33994	856646	408	3576	3162	1015	53	530	350	9094	0	0	0	0	0	
755252																					
755421																					
755458																					
756343																					
756848																					
757377																					
757452																					
757779																					
758703	348511	2578500	1866192	882497	0	5757	5681457	6583	16107	10053	17910	0	128	1602	52383	127	0	0	0	127	
758842																					
758851																					
759045																					
759625																					
760210																					
760331																					
760340																					
760434																					
760649																					
760854	30306	117232	238414	65146	1855	84668	537621	746	1464	1231	604	174	1635	0	5854	0	0	0	0	0	
760939																					
760957																					
761244																					
761459																					
761543																					
