"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37	0	0	71																																	10	0	25								
242	0	184	315																																	0	0	1581								
279	0	13285	20304																																	2356	0	1450								
354	0	1761	74																																	875	0	794								
457	0	1171	318																																	2780	0	3632								
505	39100	8961	18733																																	11278	400	9944								
1155	0	4833	10930																																	41235	0	17252								
1351	0	176	207																																	3319	0	1718								
1454	0	0	15224																																	20601	0	53832								
1669	0	4496	5537																																	12349	0	1288								
1856	0	227	234																																	1050	0	339								
2161	35000	7401	8729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	2170	0	5980	0	1566								
2732	36000	0	31062																																	38048	0	3236								
2750	0	204	638																																	3797	0	10583								
3252	25600	0	424																																	3393	0	12398	One way Sell							
3458	1500	944	116																																	716	0	2586								
3720	5000	2633	2517																																	2781	0	4591								
3971	0	3986	19480																																	54583	0	3963								
4156	0	2859	10076																																	6381	0	6950								
4231	0	1154	444																																	386	0	2792								
5069	0	4165	18731																																	2290	0	14								
5135	0	3652	9112																																	9216	0	53264								
5210	0	27389	86870																																	93952	0	37673								
5461	30000	0	5442																																	13965	0	16261								
5751	0	0	1435																																	18591	0	22391								
6039	0	7273	15872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	2192	0	14179	0	14520								
6329	0	34743	66494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	23660	0	21748								
7009	0	0	0																																	0	0	0								
7045	0	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			1126	0	3414								
7072	13000	2611	1534																																	6909	0	5696								
7456	0	1436	103																																	5074	0	22409								
7634	0	1263	0																																	209	0	312								
8462	0	856	263																																	3007	0	4300								
8631	0	869	679																																	250	0	110								
9357	0	0	7560																																	157717	229321	5742								
9553	0	400	0																																	2938	0	30215								
9807	0	62761	345209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													9552	0	0	14115	0	4519	MUNICIPAL LETTER OF CREDIT FHLBNY							
9955	0	0	2867																																	8146	0	12759								
10250	0	2665	17206																																	31326	0	9071								
10849	0	4615	7469																																	3401	0	2014								
11145	0	2066	14467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	8654	0	60								
11640	0	5554	7687																																	5202	0	17100								
11837	0	1648	8271																																	121	0	1059								
12030	0	1280	27644																																	7705	0	9767								
12142	0	1755	2781																																	17371	0	7084								
12311																																	0													
12647	0	15	164																																	4547	0	15679								
12946	512560	95994	200313																																	108728	0	70796								
13103	0	17876	95917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	18037	0	79943								
13251	0	0	0																																	1470	0	743								
13457	0	4729	1213																																	1117	0	4956								
14155	0	16015	4251																																	4921	0	9354								
14650	0	0	7618																																	2987	0	3860								
14753	0	0	9																																	140	0	6731								
14865	41500	4880	11760																																	60763	0	105196								
14977	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			41	0	4172								
16551	0	2142	2647																																	11319	0	643								
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			10865	0	129510								
17147	0	130394	488401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3248368	0	277511								
17259	0	96	961																																	207	0	355								
