"IDRSSD"	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	
	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	
296456																								0	0	500	497	0	0	8137	7264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
296474																								0	0	4945	4559	0	0	7202	6569	0	0	0	0	0	0	383	350	0	0	0	0	0	0	0	0	0	0	0	0		
296559																								0	0	11133	10808	0	0	8769	7699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
296755																								0	0	19500	19290	0	0	2171	2171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
296858																								0	0	405	378	0	0	944	872	0	0	0	0	0	0	284	277	0	0	0	0	0	0	0	0	0	0	0	0		
297051																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
297761																								0	0	47274	39421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
298049																								0	0	3403	3141	0	0	462	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
298218																								0	0	219185	207599	5245	4541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6135	4669	0	0	0	0	0	0		
298245																								0	0	67701	63785					0	0	0	0	0	0	5711	5406	0	0	0	0	0	0	2726	2234	0	0	0	0		
299868																								0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
300009																								0	0	6000	5953	0	0	70719	58059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
300063																								0	0	2000	1997	0	0	587	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1544	1335	0	0	0	0		
300353																								0	0	20838	17955	0	0	70452	63321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
300933																								0	0	9875	8333					0	0	0	0	0	0	2513	2200	0	0	0	0	0	0	6948	6351	0	0	0	0		
300942																								0	0	30446	28295					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
300960																								0	0	0	0	0	0	16285	15093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9918	9545	0	0	3893	3853		
301574																								0	0	2007	1874	0	0	17666	15057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
301800																								0	0	69029	59482					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
302030																								0	0	4979	4664	10495	8900	22423	19278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
302133																								0	0	72	69	0	0	233	236	0	0	0	0	0	0	2075	1965	0	0	0	0	0	0	0	0	0	0	5815	5769		
302553																								1750	1750	10956	10557	16483	16348	27511	25881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
302656																								0	0	60364	57372					0	0	0	0	0	0	1293	1150	0	0	0	0	0	0	162056	154545	0	0	0	0		
303653																								0	0	53139	48786	0	0	9332	7899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
303701																								0	0	0	0	0	0	4968	4963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
