"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11249	0	6760	19476	0	32068	0	0	0	0	33183	0	464	4999	12957	1983	2284	25308	32719	0	0	618	0	0	2362	11741	4192	994	14103	0	663	0	0	6332	663	0	0	663	0	0		0		0		0		0	true							
242	7517	0	1324	11633	0	19121	0	0	0	0	27555	0	5023	4182	6302	6387	1525	17797	22532	0	0	0	0	0	2063	3676	2319	794	5739	0	4238	260	301	2550	4799	0	0	4238	0	0		0		0		0		0	true							
279	49755	0	8631	55845	0	119366	0	0	12000	0	208183	0	1215	8834	33604	39672	14111	110735	206968	0	0	6776	12000	0	21474	41364	16332	2210	62838	6456	12461	11937	6521	47777	37375	0	0	18917	0	0		0		0		0		0	true							
354	2369	0	144	16123	0	16123	0	0	7869	0	39651	0	1234	144	1663	4912	379	15979	21245	0	17172	0	7869	1986	7122	6599	5329	11233	13721	777	1311	0	0	28620	2088	0	0	2087	17172	0		0		0		0		0	true							
457	7717	0	595	12532	0	15584	0	0	0	0	47631	0	8740	6460	8846	16599	3204	14989	37899	0	992	1736	0	0	5554	11777	990	456	17331	1621	2917	0	0	9931	4538	0	0	4538	992	0		0		0		0		0	true							
505	101522	1	32833	207208	0	248972	0	0	0	0	440606	0	62458	94003	21141	243686	3083	216138	378148	0	0	540	0	0	36902	41015	4637	273	77917	3639	7898	1034	0	61686	12571	105393	0	11537	0	0		0		50524		0		50524	false							
1155	737	15	38011	142632	0	346690	0	0	0	0	103147	0	7587	28085	28961	38284	9128	305334	95560	3330	0	2530	0	0	15200	23250	8280	1532	36255	5362	9687	815	0	19301	15864	74662	0	14341	0	0		0		65685		0		65685	true							
1351	9838	0	15704	30929	0	57018	0	0	0	0	126579	0	11033	22575	34392	31455	10051	41314	115546	0	0	4793	0	0	12469	25910	25703	0	38379	3286	8116	9801	0	29691	21203	0	0	11402	0	0		0		0		0		0	false							
1454	1014	0	51924	293448	0	512590	0	0	0	0	375190	877	43914	57184	35825	274109	31977	458424	330399	2242	0	14421	0	0	26983	20264	8721	2555	39063	30090	9236	1647	571	22698	41544	53457	0	14477	0	0		0		46476		0		46476	true							
