"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							4472	917	48920	0	0	273	0	3018	77977	65251	87	65338	0	932	0	0	12639	1200	77977	0	0	12409	0	0	3500	0	19476	45775			0	21309	20377	-4470	0	0	0	0	12639	0	0	
242																																							2600	1278	19101	0	0	505	0	572	54809	46676	93	50949	0	190	3100	0	3860	120	54809	0	0	5568	0	0	120	0	11924	34752			0	30935	30745	-1948	8	0	80	1000	3860	0	0	
279																																							12348	5358	93326	0	271	11964	162	14304	451333	327549	4227	408672	0	3096	76896	0	42661	1	451333	0	0	32364	0	0	15888	0	55785	271764			0	283028	279932	-5592	7648	0	0	0	42661	0	26020	
354																																							729	864	965	0	0	472	0	1934	67366	55774	595	61247	0	542	4878	0	6119	100	67366	0	0	-1231	0	0	7267	381	16123	39651			0	57956	57414	-17	4607	0	0	0	6119	0	0	
457																																							2492	1220	1444	0	0	802	25	1112	78535	63215	458	72173	0	778	8500	0	6362	60	78535	0	0	2426	0	0	3940	0	12532	50683			0	71969	71191	-64	236	0	0	0	6362	13	0	
505																																							17156	5164	63735	0	1734	10026	0	22653	821261	689578	10744	755372	54	8076	55000	0	65835	6480	821261	0	0	42097	0	0	18403	0	207208	482370			0	708869	700793	-1145	0	0	50	0	65889	0	0	
1155																																							13003	13044	68059	0	9286	7284	0	12724	501102	449837	2775	452612	0	5671	0	0	48490	1600	501102	0	0	28244	0	0	23696	120	58924	390913			0	381472	375801	-5050	1781	0	0	0	48490	0	0	
1351																																							8246	5092	16114	0	0	4117	221	2283	214559	183597	1077	184674	0	1250	0	0	29885	240	214559	0	0	29779	0	0	530	0	30929	152668			0	110667	109417	-664	0	0	0	0	29885	0	69069	
1454																																							13471	14748	435175	0	0	3845	227	17536	959232	887780	5254	893034	0	5693	0	0	66198	1000	959232	0	0	129525	0	0	1214	607	293448	594332			0	479159	473466	-65541	0	0	0	0	66198	157	0	
1669																																							10014	3400	66474	0	0	3519	0	21853	413559	360343	1985	367828	0	5090	5500	0	45731	800	413559	0	0	49659	0	0	800	0	77139	283204			0	290915	285825	-5528	0	0	0	0	45731	0	22474	
1856																																							8077	888	8063	0	98	413	0	717	44850	38353	106	38459	0	359	0	0	6391	500	44850	0	0	344	0	0	5732	0	4493	33860			0	25504	25145	-185	449	0	0	0	6391	0	1000	
2161																																							10821	5120	101723	0	0	19355	0	19559	375484	325544	6361	349905	0	2935	18000	0	25579	1000	375484	0	0	15780	0	0	20476	0	83156	242388			0	217693	214758	-11677	4148	0	0	0	25579	0	0	
2732																																							109195	8857	44386	0	1112	2868	0	7862	742330	622931	4446	627377	0	5022	0	0	114953	0	742330	0	0	109853	0	0	5789	0	143482	479449			0	573072	568050	-689	0	0	0	0	114953	0	0	
2750																																							263	1771	15999	0	0	279	0	4833	74858	54309	939	67558	0	511	12310	0	7300	111	74858	0	0	684	0	0	7500	0	9456	44853			0	52130	51619	-995	21	0	0	0	7300	73	0	
3252																																							0	9415	176767	0	0	516	0	5669	322304	283910	1243	286153	0	3747	1000	0	36151	200	322304	0	0	38627	0	0	300	0	61786	222124			0	120684	116937	-2976	13000	0	0	0	36151	0	0	
3458																																							3400	2696	16192	0	0	2526	0	2668	77776	71683	333	73266	0	592	500	0	4510	100	77776	0	0	4945	0	0	1101	0	11006	60677			0	47842	47250	-1636	2069	0	0	750	4510	0	975	
