"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RIADG377	
117038																																																															0	10308	2780		20363			20481	1726		3563	148310	0	0	1610	28950	2602	0	39520	1674	2114	10325	13084	1725	0	5275	30457	25510	40864	13119	4116				0	0					7704	17675	24365	3			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11008				0		0	121							0	3483	0	0	0	0	0			0	0	0	0	0	4186	0	0	CONF	CONF	0	
117074																																																																0	13569		0			0	1305		0	177658	1	0	0	140988	2663	9114	12	702	991	631	2184	29109	107371	1771	3473	665	1481	7013	22268				0	0			0	0	0	0	5498	11746			0			0	0														105300	0	0	0	0		0	0							0	1	0	0	0	0	0			0	0	0	0	0	1889	0	0	CONF	CONF		
117458																																																																119392	13501		125067			67420	7794		0	624606	0	0	0	72271	576	8265	169715	4248	4033	19854	33203	4448	4481	122033	83602	129228	164077	41704	10755				0	40					1603	51448	48443	113012			0			0	152													0	298740	0	0	0	0		0	41							0	3085	0	0	0	0	0			0	0	0	0	0	913	0	0	CONF	CONF	0	
117775																																																															0	582	2966		0			29035	2497		0	56603	0	836	0	7526	250	320	35241	320	104	576	241	6173	0	6865	27952	2910	3840	7031	0				0	83			0	0	1361	3139	4375	3616			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0		0				847		0	0							0	31	0	0	0	847	0			0	0		0	0	306	0	0	CONF	CONF		
118156																																																															0	54286	20683		7604			245283	11847		73235	754019	0	0	0	105495	3081	7796	191837	6421	3632	18366	27730	46036	3272	139648	52189	79481	111535	224468	41203				0	0					2303	51220	60658	110858			0			0	0														0	0	0	0	360		0	47							0	3115	5	0	0	0	0			349	308	0	13	28	4304	6	0	CONF	CONF		
118660																																																															0	0	11596		0			11740	0		0	222862	692	0	0	62106	0	1159	19087	11207	7857	28729	14313	0	0	52654	23771	44379	40343	301	0				0	0					0	8225	30399	99488			0			0	0														149199	0	0	0	0		0	0							0	0	0	0	0	0	0			0	0		0	0	0	0	0	CONF	CONF		
118736																																																															0	20650	1038		4707			22658	2672		8475	159414	0	0	0	55376	1079	17	29028	863	3434	6788	18685	25002	605	15696	17076	21649	38004	11562	0				647	55					4023	4718	8372	21546			0			0	0														87094	0	0	0	0		0	140							0	1433	0	0	0	0	0			0	0	0	0	0	1825	0	0	CONF	CONF		
119153																																																																4458	0	0	4652	15180	0	15180	2679		14314	200822	0	0	0	85014	0	4597	23068	710	1347	6019	1216	36408	39314	15806	15521	25915	13061	31127	14234	0	0	0	0	49	0				1181	1570	12626	56747	0	0	0			60	0	0	0	0	0	0	0	0	0	0	0	0	0		0				287	0	0	0							0	1259	0	0	0	0	0	0	0	227	225	0	0	0	1093	0	0	CONF	CONF		
119779																																																																0	8757	0	0	40582	0	40582	49387		0	1306367	0	0	0	789936	14442	350413	3517	5010	69865	40307	70445	192304	410402	33596	27456	99870	120103	122343	112544	0	0	0	0	133	0				61217	30488	99909	209200	0	0	0			2486	418	0	0	0	0	0	0	0	0	0	0	0	0	0	586789				2559	0	0	0							0	0	0	0	0	73	0	0	0	0	0	0	0	0	2316	0	1115	CONF	CONF	0	
119872																																																																0	7787		0			24168	12121		0	417149	0	0	0	260621	320	8519	4832	0	1463	3248	3507	38760	213643	803	22708	25057	35917	57804	14239				0	12					8716	6283	54558	33653			0			185	0														228802	0	0	0	185		0	0							0	32	0	0	0	0	0			0	0	0	0	0	8878	0	0	CONF	CONF		
120476																																																																0	152		0			0	2577		0	33866	0	0	0	27480	10	8327	2620	598	1018	1364	3149	5016	15744	4409	108	411	33	725	700				0	0			0	0	2167	950	0	419			0			0	0														3518	0	0	0	0		0	0							0	50	0	0	0	0	0			0	0		0	0	61	0	0	CONF	CONF		
120542																																																																14096	26315		2891			48916	5046		11026	365240	1	0	427	57127	1479	21603	31002	1332	5182	9844	23248	17295	104	20591	37326	79250	69108	96201	3321				75	64					5421	18413	75395	95952			0			0	0														83305	0	0	0	1132		0	89							0	1807	0	0	0	1132	0			0	0	0	0	0	1129	0	0	CONF	CONF		
120609																																																																1592	27449		0			116896	47423		0	1085971	789	0	0	377498	13525	145608	13372	1046	3653	7750	16452	170028	176709	58627	41436	158846	243269	175243	27913				0	30			0	0	21353	49145	154888	235757			0			3341	101														282091	0	0	0	9778		0	79							0	18971	147	0	632	1652	3057			205	205	0	0	0	22154	744	4993	CONF	CONF		
120953																																																																49551	0		28442			9695	0		0	112154	0	0	0	0	0	0	26770	0	0	0	0	0	0	20095	6675	7044	18900	24106	35326				0	0					0	0	4583	12954			0			0	0														0	0	0	0	0		0	0							0	2701	0	0	0	0	0			0	0	0	0	0	4228	0	0	CONF	CONF		
121642																																																																302364	461613	3579	92889	691742	203	691945	137885		2411	6100870	7497	0	0	1285987	86157	157957	1027527	87216	73984	116866	274344	370240	361166	1422495	327729	832450	1518042	603479	114570	0	0	0	1243	36841	310				198362	603472	1019523	1121651	0	0	0			0	990	0	0	0	0	0	0	0	0	0	0	0	0	212250	6001845				0	0	4089	3579							0	17304	0	0	0	0	0	0	0	0	0	0	0	0	41052	0	0	CONF	CONF	3693	
121651																																																															1000	1283	0		310			9664	0		0	171516	987	0	1198	11505	501	451	5004	646	700	818	1108	3741	4276	9968	4029	39321	87834	12488	7272				0	0					66	1343	3393	668			0			305	0														0	0	0	0	305		11990	71							0	831	0	0	0	0	0			0	0	0	0	0	129878	0	0	CONF	CONF		
121914																																																																21741	1653		1271			18877	516		4545	349901	0	0	0	199713	17230	26327	11037	7039	10521	4135	13481	78142	84265	17809	4291	19282	54412	39585	14405				0	1849					5341	1584	28959	15415			0			41	1224													0	0	0	0	0	2216		0	0							0	11889	0	0	0	58	18			2099	2099	0	0	0	19318	0	0	CONF	CONF	0	
122153																																																															0	0	0		62			3445	0		150	22600	0	0	0	10236	0	0	2038	180	27	166	394	4334	5047	1397	1551	3018	2256	2352	1614				0	0					415	150	3267	0			0			0	0														0	0	0	0	0		0	180							0	3084	0	0	0	0	0			0	0	0	0	0	1611	0	0	CONF	CONF		
122546																																																																5979	909		2082			5137	0		1	66464	0	0	0	31916	1789	0	6718	901	1493	4182	12669	9536	2932	1449	2875	6944	9091	7453	6483				0	0					130	0	9463	1247			0			0	0														33706	0	0	0	0		0	0							0	4349	0	0	0	0	0			0	0		0	0	3462	0	0	CONF	CONF		
122854																																																																107996	897957	0	10170	1941563	0	1941563	61439		73835	14137739	11229	34189	12880	1550787	19709	435709	2225782	56276	67272	339102	437118	190128	459762	2910776	976818	3177543	4499137	955699	43049	0	0	0	0	52683	1118				483906	1125326	1787819	5313134	0	34189	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7504737				0	38497	621693	38497							0	1403	0	0	0	0	0	0	0	0	0	0	0	0	26862	0	3431	CONF	CONF	0	
123075																																																																286	375		0			0	56		0	41238	34	0	0	37439	391	18637	7518	593	5559	8475	3638	6414	12760	538	828	531	252	159	1526				0	0					905	304	51	759			0			0	0														39134	0	0	0	0		0	0							0	0	0	0	0	0	0			0	0		0	0	706	0	0	CONF	CONF		
123374																																																																0	2229		0			3867	0		0	48178	0	0	0	27614	13	0	4155	232	504	166	5024	3325	16914	1528	1891	2409	4318	7461	2366				0	0					1811	2767	5744	0			0			0	0													0	0	0	0	0	0		0	7							0	779	0	0	0	0	0			0	0		0	0	3347	0	0	CONF	CONF	0	
124344																																																															0	0	119683		261			62628	6433		170	637657	0	0	0	97449	3397	48408	72944	613	2204	7712	31942	39648	15331	36411	33716	112784	212454	131312	13532				0	32					5537	66223	88722	179157			0			0	0														254484	0	0	0	0		0	814							0	122	0	0	0	0	0			0	0	0	0	0	7029	0	0	CONF	CONF		
124830																																																															0	15188	8487		13481			10710	0		0	106032	0	0	0	26580	214	4364	37979	2731	1763	12756	4972	4236	0	17597	15888	19668	12124	14106	69				325	0					5541	11081	7819	5281			0			167	0														0	0	0	0	4536		0	6							0	775	0	0	0	0	0			4294	4294	0	0	0	544	75	0	CONF	CONF		
125154																																																																26502	6099	0	0	10104	0	10104	0		0	153787	278	0	0	23230	639	0	8656	45	359	62	460	4701	17603	14878	8366	11089	13201	54307	26554	0	0	0	447	118	0				0	37	214	65848	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32767				0	16078	0	16078							0	1661	0	0	0	0	0	0	0	0	0	0	0	0	3088	0	0	CONF	CONF	0	
125855																																																																83878	29820		55249			190169	2938		1537	918513	0	0	0	102781	614	89873	332989	21787	16886	45576	6669	2019	9042	313841	189225	158227	69133	25941	58326				1089	1050					7590	80106	171255	166422			0			335	0														918513	0	0	0	806		7250	0							0	3504	0	0	0	184	0			0	0	0	0	0	13261	287	0	CONF	CONF		
