"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	18	52													12	2													true	true	
242	103	66													37	46													true	true	
279			28	1057	34	4087	28	11949	138	3190	14	1733	7	1580			21	1073	22	3049	7	1710	11	132	0	0	0	0	false	false	
354			5	259	3	407	14	7178	15	426	2	230	5	2130			4	223	3	481	2	924	12	418	4	660	0	0	false	false	
457			5	115	16	1776	18	7455	68	1768	17	1719	15	4467			6	239	8	1162	46	1215	46	1215	10	1020	6	1541	false	false	
505			6	206	38	5347	59	22704	167	3498	81	5291	53	7889															false	false	
1155			48	1915	49	5591	70	27407	272	6102	75	6375	73	27636			12	444	36	4866	25	6814	107	2654	35	2953	14	2647	false	false	
1351			150	4406	33	4246	28	10560	250	5027	36	4063	19	6328			23	1040	16	2050	4	1140	111	1962	12	1156	5	1246	false	false	
1454			27	1365	39	5140	75	29350	311	7553	73	7270	102	26068			1	69	10	1042	8	2185	39	1231	11	1261	3	776	false	false	
1669			119	5507	73	10193	88	30984	359	9191	37	3849	20	4851			0	0	0	0	0	0	200	3562	16	1571	4	876	false	false	
1856			9	371	5	657	2	706	24	815	4	488	1	246			5	147	10	1578	3	795	39	905	7	730	2	648	false	false	
2161			22	994	26	3632	44	17844	150	5170	26	2917	10	3349			14	1127	8	891	9	2116	14	328	2	411	0	0	false	false	
2732			2	72	11	1389	59	28936	7	341	8	969	19	6459															false	false	
2750			15	570	2	247	3	841	117	1139	12	1212	5	506			6	259	9	1357	10	2780	63	1511	26	2064	27	5231	false	false	
3252			44	2030	3	385	10	3903	93	2142	22	2438	13	4660			28	931	29	3638	29	8524	525	13012	96	13986	36	11878	false	false	
3458			38	1585	18	2893	18	7545	118	2324	14	1119	1	89			65	2658	49	6532	13	379	164	2846	9	715	1	259	false	false	
3720			47	1827	82	10123	77	27279	393	9637	53	5064	25	6924			32	1433	22	2160	11	2753	5	28	6	533	3	656	false	false	
3971			2	65	12	1977	27	11507	50	1104	26	2785	34	9588			11	485	6	510	16	2708	9	136	7	210	3	130	false	false	
4156			21	734	16	1511	29	12293	110	4090	28	2856	13	3903			64	2863	43	4862	22	5730	128	3169	15	1413	6	1023	false	false	
4231			19	1311	14	1688	10	3564	91	1702	5	488	2	126			41	1122	6	293	0	0	19	242	2	205	2	301	false	false	
5069			1	100	0	0	19	7862	1	0	0	0	2	1318			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
5135			84	3099	53	6620	89	35302	685	14683	77	7127	30	9848			101	3705	87	10986	30	7263	272	6730	83	8081	60	13767	false	false	
5210			122	3811	251	30563	489	175819	689	15084	192	14711	158	27885			36	951	80	9540	73	19630	96	2450	18	1212	7	1734	false	false	
5461			4	174	13	1671	83	36716	40	983	38	3690	23	7146			0	0	0	0	3	816	1	20	4	330	1	237	false	false	
5751			36	1512	51	6537	38	13510	279	8258	46	4731	25	8852			18	632	25	2967	35	10083	48	1145	30	3092	21	4692	false	false	
6039			75	2690	71	9095	121	44214	301	6330	28	2996	9	3370			70	2343	47	5183	33	7009	71	1341	6	384	3	57	false	false	
6329			186	16448	157	22483	226	91889	1985	51814	135	18344	42	9357			22	781	10	1154	4	360	5	94	0	0	0	0	false	false	
7009			0	0	0	0	0	0	0	0	0	0	6	2284															false	false	
7045			31	1286	22	2579	18	6359	45	1730	13	1377	4	986			7	208	9	919	8	2036	23	558	11	1033	3	564	false	false	
7072			63	832	50	5906	80	27881	402	2166	38	3086	35	14358			0	0	1	186	2	602	0	0	1	128	0	0	false	false	
7456			8	376	7	701	11	4309	36	607	14	1187	12	3549			9	310	17	1825	15	2375	39	861	28	1592	23	3741	false	false	
7634			38	1326	18	2424	11	4758	121	3406	25	2872	12	3284			13	423	11	1560	4	1152	89	2643	19	2366	6	1669	false	false	
8033			11	523	28	3936	53	18370	114	2604	22	1711	16	3503			4	124	8	1050	1	162	10	227	5	531	4	586	false	false	
8462			12	592	12	1520	11	4715	116	3456	19	2317	9	1597			2	130	10	1165	6	1217	7	254	4	442	3	517	false	false	
8631			9	441	10	1392	14	5785	44	1102	8	635	7	2440			0	0	0	0	1	127	4	89	1	97	0	0	false	false	
9357			5	158	9	625	48	19685	183	4610	110	8659	140	29632															false	false	
9553			12	589	3	206	5	2368	24	608	12	1439	11	4115			22	941	35	5018	29	6666	60	1191	32	1553	32	4591	false	false	
9807			10	387	25	3015	80	31232	10	344	10	776	7	1957															false	false	
9955			4	71	6	538	27	13673	26	698	20	2229	9	2625			25	701	16	1613	11	2621	25	450	3	328	2	576	false	false	
10250			17	782	46	5757	92	35376	436	13171	163	17644	79	27585			2	100	3	385	1	417	0	0	0	0	0	0	false	false	
10849			14	588	20	2857	47	21100	70	1783	10	894	15	4934			19	875	17	2235	4	867	25	542	4	502	1	203	false	false	
11145			77	3172	101	13365	98	31457	93	2541	20	2727	19	5679			1	95	3	231	3	871	1	11	0	0	0	0	false	false	
11640			29	1054	24	2764	30	10295	209	5458	32	3552	29	8319			8	242	11	1368	8	1732	55	1780	26	2908	25	3800	false	false	
11837			9	364	11	1587	15	5697	36	807	4	300	3	1053			5	221	6	764	2	839	5	64	0	0	0	0	false	false	
12030			281	9588	133	16906	102	38844	810	16838	58	5970	25	7945			55	1875	29	3355	20	5372	46	1251	9	1050	0	0	false	false	
12142			58	2481	31	4180	29	9320	85	2231	35	3351	24	8745			4	143	4	555	3	711	7	188	2	264	9	1956	false	false	
12311			1342	53159	2615	288534	4215	1533949	55714	947886	16707	1399748	16940	4191220			69	2894	120	12639	72	16055	826	23350	478	42247	210	36238			
12647			33	1405	32	4124	37	13673	58	1296	21	1382	15	3381			23	707	23	2644	12	3055	45	836	15	1642	7	1080	false	false	
12946			149	5869	177	20716	174	61232	1278	30084	278	29482	179	49573			231	8817	122	15563	60	14991	282	5844	49	5074	7	1558	false	false	
13103			46	1981	162	18842	513	115122	205	6948	99	12156	90	25719			0	0	0	0	0	0	0	0	1	236	0	0	false	false	
13251			14	943	24	3154	13	5069	63	1705	18	2185	4	1761			5	102	3	335	0	0	19	285	9	1244	4	665	false	false	
13457			4	110	1	56	1	278	19	522	4	380	1	401			3	107	3	379	5	1259	52	1329	10	1213	4	902	false	false	
14155			34	1193	49	6875	41	16272	272	6863	36	4919	11	2816			93	4004	88	11894	52	15445	444	12201	73	10544	27	8422	false	false	
14650			17	608	13	1912	10	3775	107	3696	17	1924	5	2010			2	73	1	144	0	0	35	363	0	0	0	0	false	false	
14753			4	110	3	446	2	739	64	1537	5	607	1	904			8	256	11	1411	7	1545	176	4312	30	3066	14	3629	false	false	
14865			60	2994	105	13330	81	26835	369	8975	144	12563	89	17217			52	2625	106	14738	89	26943	424	11406	158	14366	144	29852	false	false	
14977			3	128	3	327	3	1114	81	1950	7	529	1	477			7	254	19	2847	7	1774	62	1698	20	1680	10	1978	false	false	
16551			53	2613	47	7207	42	20070	200	5209	19	2841	12	5080			27	1104	5	794	0	0	46	1294	7	1091	1	320	false	false	
17110			0	0	0	0	0	0	1	44	1	59	7	2957															false	false	
17147			407	16032	722	85991	1426	581292	5272	88488	1017	75408	1350	316246			151	4872	227	23985	171	44417	220	5846	150	11871	92	16100	false	false	
17259			13	389	8	685	15	6541	29	750	3	318	3	1320			20	87	5	771	8	2384	5	20	28	686	4	5	false	false	
17950			39	1312	81	10772	90	33007	320	7469	40	3978	45	14377			51	2328	65	7815	109	17269	378	8648	85	8473	64	7540	false	false	
17978			8	278	16	1976	16	5907	0	0	0	0	0	0			2	44	3	345	1	277	0	0	0	0	0	0	false	false	
18050			22	716	56	6107	69	28967	195	4379	25	2088	16	3927			53	2331	114	15056	34	9702	74	927	7	316	3	299	false	false	
18827			106	3711	167	19303	213	78572	302	11123	102	10336	136	24096			0	0	0	0	1	227	2	140	0	0	0	0	false	false	
18836			27	1092	25	2404	26	9574	67	1801	12	1082	0	0			6	242	6	872	17	3473	31	446	1	200	0	0	false	false	
18854			23	924	40	5494	87	41223	237	6532	84	11266	109	64547			13	507	33	3855	20	4746	134	4699	40	4596	18	4206	false	false	
19356			26	2129	22	3730	18	6781	77	3091	20	2206	19	8506			5	239	5	775	1	371	21	830	2	36	2	804	false	false	
19936			73	4384	70	8486	45	17691	64	3047	10	2116	8	2530			43	2529	25	3500	18	4539	114	9230	22	4133	11	3430	false	false	
19972			0	0	0	0	0	0	0	0	1	135	0	0			0	0	1	42	0	0	0	0	0	0	0	0	false	false	
20053			49	1958	31	4306	35	14073	87	2089	20	1793	15	3840			22	910	26	3411	20	4773	66	1240	13	1245	1	104	false	false	
20633			20	883	25	3150	48	18213	31	962	18	1597	10	3804			1	32	1	177	3	687	1	70	1	101	0	0	false	false	
20857			39	1493	34	4056	38	10669	83	2061	28	2595	31	7245			49	1196	54	5403	69	15778	99	2321	46	3329	41	6795	false	false	
21256			0	0	0	0	0	0	6	100	2	309	3	774	0	17													true	false	
21359			8	339	2	455	7	3213	124	3349	15	1665	4	1371			26	1086	17	2216	8	1942	86	2245	17	2039	9	2134	false	false	
21658			91	3860	47	5575	23	7493	112	2395	6	781	2	474			67	2498	60	8339	40	9002	150	3169	28	2841	18	4155	false	false	
22048			45	1711	43	5541	31	10332	568	12412	71	7464	40	10780			2	123	3	11	1	292	3	31	2	222	1	115	false	false	
22543			90	4615	151	16517	168	60182	236	4996	71	5586	38	7512			3	167	6	709	0	0	6	427	2	150	8	1753	false	false	
22552			33	1763	30	3632	9	3231	147	3344	24	2508	15	2997			13	706	51	6239	24	5757	215	5111	59	5950	25	4122	false	false	
22730			23	633	16	2534	30	12851	105	3680	22	2255	5	2058			2	80	1	144	2	556	1	36	0	0	0	0	false	false	
23456			83	3526	95	12539	66	25660	201	4708	43	3983	13	3432			47	2130	41	5193	20	5370	104	2397	29	2708	10	2047	false	false	
23504			7	253	53	6351	487	233471	1826	56858	415	35918	559	138566															false	false	
23643			19	740	27	2874	25	9213	288	9169	94	9537	28	9071			15	712	9	1031	12	4282	28	792	5	460	2	439	false	false	
23755			5	214	30	4585	59	20463	76	2190	40	4290	27	8185			0	0	0	0	1	354	0	0	0	0	0	0	false	false	
24006			1	7	17	2345	151	67746	141	2631	36	2252	55	15451															false	false	
24378			8	279	7	768	4	1756	57	2587	23	2229	0	0															false	false	
24659			27	1035	16	2044	16	5697	96	2250	21	2592	10	2966			33	1209	15	2063	12	3305	53	1162	9	1027	10	2583	false	false	
24949			32	1354	38	4509	79	29723	52	719	20	1125	13	2465			1	43	3	370	1	277	2	44	0	0	0	0	false	false	
25357			121	4486	77	10138	79	30546	401	8463	38	4234	19	7727			105	4590	118	14747	62	19003	601	13531	171	18746	68	17386	false	false	
25647			18	1237	67	11070	116	51594	30	710	20	2365	16	5622			0	0	1	56	1	496	0	0	0	0	0	0	false	false	
26765			19	763	116	14779	307	132282	272	10224	175	20231	253	83174			1	62	3	303	10	2818	7	184	3	279	2	551	false	false	
27070			16	576	42	4985	67	26098	44	1074	23	1970	41	9351			1	22	10	1327	6	1572	5	271	2	241	2	206	false	false	
27548			68	3064	136	15889	188	74425	239	5837	169	11710	180	40486			0	0	8	648	1	263	0	0	0	0	0	0	false	false	
27614			17	385	33	3926	36	12808	39	440	10	479	7	1450			0	0	3	253	1	232	0	0	0	0	0	0	false	false	
27847			121	4747	102	12315	73	24316	844	16597	60	6216	20	5061			329	11544	143	18585	97	26892	486	8702	14	1655	2	493	false	false	
28013			8	597	77	9040	253	96266	270	9412	337	43814	92	19310															false	false	
28152			20	659	25	3643	17	5219	115	3203	28	3580	20	6467			22	994	61	7303	25	6676	105	2855	27	2753	17	3639	false	false	
28675			38	1443	32	3742	20	4839	98	2477	17	1845	12	2203			42	1376	28	3367	12	3600	54	1299	9	898	1	287	false	false	
28732			8	352	13	1770	17	6968	163	3380	16	1457	10	4250			5	243	5	597	2	273	6	60	4	427	0	0	false	false	
29476			15	727	10	1221	12	4332	67	1558	11	667	4	1422			13	724	33	3289	15	3833	26	753	6	497	9	1914	false	false	
29636			84	3408	74	8502	93	35751	619	9176	42	3492	29	8093	220	21													true	false	
29878			33	460	74	7941	468	202964	0	0	0	0	0	0															false	false	
30052			5	139	15	2092	14	5408	14	298	2	127	1	381			0	0	0	0	1	252	0	0	0	0	0	0	false	false	
30502			10	536	60	8085	100	37677	147	1791	33	2283	20	3670															false	false	
30650			0	0	23	2896	20	7755	74	248	19	436	16	2089															false	false	
30810			0	0	0	0	0	0	67994	158857	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0			
31134			12	477	23	3315	19	6122	187	4979	21	2000	10	3135			15	734	15	1599	6	1822	13	575	5	541	2	411	false	false	
31255			1	21	10	1372	57	27424	280	7429	72	8683	78	32694			0	0	0	0	1	410	0	0	0	0	0	0	false	false	
31657			5	278	11	1318	10	3169	119	2898	20	2309	7	2185			23	667	21	2634	15	4496	75	1712	8	966	4	821	false	false	
31826			195	7499	122	16949	108	41490	227	5644	25	3181	18	6924			51	2000	18	2217	3	711	85	1295	3	331	2	244	false	false	
31835			9	201	1	112	3	1233	100	2691	16	1866	7	1998			10	326	5	460	10	2477	61	2035	19	2409	14	3416	false	false	
32234			17	752	18	1760	15	5524	30	759	16	1340	8	3667			22	595	16	1735	26	5109	33	851	7	663	4	654	false	false	
32766			9	510	10	1017	10	3496	16	594	8	840	20	7322			1	2	0	0	0	0	0	0	0	0	0	0	false	false	
32971			39	1899	33	4065	41	16466	66	2315	29	2789	14	3616			5	154	8	887	5	1206	3	111	1	57	4	708	false	false	
33147			77	3385	49	6216	27	9006	179	4676	54	6111	44	16625			21	1086	27	3195	21	6952	24	812	27	2346	21	6051	false	false	
33259			47	246	78	9065	175	70297	215	5499	94	8013	109	26244			2	144	2	328	2	578	0	0	0	0	0	0	false	false	
33370			1	76	5	738	3	895	0	0	0	0	0	0															false	false	
33839			4	198	0	0	1	345	68	2458	8	806	2	293			4	146	2	151	5	1411	24	2035	7	945	1	370	false	false	
33857			47	2007	65	9072	129	52246	411	11382	106	10942	123	35004			107	3618	118	14795	107	27065	411	6126	106	7207	76	9599	false	false	
34434			52	2078	64	8740	59	20162	392	10081	65	6923	24	6378			53	2016	14	1983	6	986	11	228	12	1056	3	357	false	false	
34537			120	5007	610	80080	1793	755835	2607	67384	1275	96661	1232	262536			20	655	28	2816	30	7314	26	614	6	433	10	1827	false	false	
34555			55	2280	34	3758	21	5107	122	2426	25	2486	17	5321			77	1895	72	8841	37	10639	138	3243	47	3873	16	3769	false	false	
34742			39	2086	41	5546	51	20426	165	4579	15	2218	18	3888			41	1531	31	4164	21	6447	83	1403	5	740	1	350	false	false	
35057			83	2565	58	6576	36	11406	95	1992	18	1381	14	3468			87	4036	66	7713	44	11904	149	3316	27	2391	5	852	false	false	
35301			0	0	0	0	0	0	0	0	0	0	2	1000			0	0	0	0	0	0	0	0	0	0	0	0			
35646			51	2411	33	4993	19	7846	117	3817	20	3362	8	2791			8	518	9	1326	2	575	29	1036	4	614	3	1049	false	false	
35879			5	100	3	263	5	2092	34	1444	22	2400	1	216			1	44	1	164	0	0	18	482	0	0	0	0	false	false	
36456			9	336	5	374	0	0	81	2211	18	1867	5	1510			17	739	19	2362	20	4530	112	2509	32	3051	36	8133	false	false	
36933			91	4028	68	9510	56	22731	1473	26325	87	8880	24	7677			79	3070	29	4134	11	2804	32	821	8	927	4	974	false	false	
37051			13	465	13	2055	16	6625	50	1447	18	1385	20	6078			17	717	29	3790	19	6078	74	2308	30	3598	18	5361	false	false	
37341			23	957	17	2298	16	6801	156	4637	15	2113	6	2497			13	542	9	1371	9	3478	91	2367	15	2160	6	1629	false	false	
37435			147	6097	186	22844	195	63434	1216	26652	152	14450	51	11814			13	535	12	971	17	4218	8	278	1	151	0	0	false	false	
37640			440	18700	568	70201	604	233155	1331	41169	462	49481	402	141071			486	22307	457	56312	295	79980	421	11435	99	13958	63	16696	false	false	
37659			6	240	5	753	7	2243	85	2066	17	1413	12	3793			14	515	12	1837	2	480	118	2189	6	701	1	101	false	false	
37949			20	709	11	957	17	5447	127	4551	32	2987	17	5917			8	344	14	1873	10	2527	40	997	12	1310	13	1923	false	false	
38740			36	1715	50	6585	62	23895	121	2983	36	3250	17	4554			7	222	5	659	4	879	0	0	1	108	0	0	false	false	
39327			43	1596	94	11172	129	47018	186	3748	64	4741	48	13398			5	199	3	479	8	2572	5	153	1	60	2	678	false	false	
39756			98	2177	62	7822	109	51112	1272	11711	131	11284	165	46846			47	1589	61	8951	31	8915	698	9311	90	7743	46	7376	false	false	
40033			2	57	6	608	4	1624	17	545	8	1018	17	5511			16	466	2	199	2	578	2	29	0	0	0	0	false	false	
