"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
37				0	0	0	0	0	0				29	53	35	39	0	29	0	0	0	0	0	0	0	0	0	0	0	0							
242				0	0	0	0	0	0	0	0	0	9	40	0	100	16	0	0	0	0	0	0	0	0	0	0	0	0	0							
279				0	0	0	0	0	0	0	0	0	13	0	16	13	0	0	0	0	290	0	0	0	0	0	0	0	0	0							
354				0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
457				0	0	0	0	0	0	0	0	0	64	0	81	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0							
505				0	0	0	0	0	0	0	0	0	123	74	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
1155				0	0	0	0	0	0	0	0	0	10	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
1351				0	0	0	0	0	0	0	0	0	311	15	174	59	24	19	0	0	0	0	0	0	0	0	0	0	0	0							
1454				0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
1669				0	0	0	0	0	0	0	0	0	359	86	2	320	43	2	0	0	0	0	0	0	0	0	0	0	0	0							
1856				0	0	0	0	0	0	0	0	0	21	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2161	0	0	0	0	0	578	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2732				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2750				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
3252				0	0	0	0	0	0	0	0	0	54	12	20	154	0	81	0	0	0	0	0	0	0	0	0	0	0	0							
3458				0	0	0	0	0	0	0	0	0	29	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
3720				0	0	0	0	0	0	0	0	0	0	0	0	2	4	14	0	0	0	0	0	0	0	0	0	0	0	0							
3971				0	0	0	0	0	0	0	0	0	0	0	0	777	0	1107	0	0	0	0	0	0	0	0	0	0	0	0							
4156				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
4231				0	0	0	0	0	0				3	0	0	15	0	9	0	0	0	0	0	0	0	0	0	0	0	0							
5069				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
5135				0	0	7	0	0	0	0	0	0	8	24	0	57	2	9	0	0	0	0	0	0	0	0	0	0	0	0							
5210				0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
5461				0	0	2540	0	0	2540	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
5751				0	0	0	0	0	0	0	0	0	16	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0							
6039	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	53	34	0	0	0	0	0	0	0	0	0	0	0	0	0							
6329	0	0	0	0	0	0	0	0	0	0	0	0	19444	16	3610	2633	17	355	0	0	0	0	0	0	0	0	0	0	0	0							
7009				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
7045				0	0	0	0	0	0	0	0	0	0	0	72	45	0	8	0	0	0	0	0	0	0	0	0	0	0	0							
7072				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
7456				0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
7634				0	0	0	0	0	0	0	0	0	0	0	0	114	9	12	0	0	0	0	0	0	0	0	0	0	0	0							
8033				0	0	0	0	0	0	0	0	0	59	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
8462				0	0	0	0	0	0	0	0	0	280	5	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
8631				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
9357				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
9553				0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
9955				0	0	0	0	0	0				0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
10250				0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0							
10849				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
11145	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	74	0	10	0	0	0	0	0	0	0	0	0	0	0	0							
11640				0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
11837				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
12030				0	0	0	0	0	0	0	0	0	260	60	10	339	2	3	0	0	0	0	0	0	0	0	0	0	0	0							
12142				138	0	0	131	0	0	0	0	0	34	0	3	35	7	7	0	0	0	0	0	0	0	0	0	7	0	0							
12311							0	0	0																												
12647				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
12946				0	0	0	0	0	0	0	0	0	134	0	114	139	30	110	0	0	0	0	0	0	0	0	0	0	0	0							
13103	0	0	0	0	0	0	0	0	0	0	0	0	411	0	84	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
13457				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
14155				9	0	0	0	0	0	0	0	0	9	0	17	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
14650				0	0	0	0	0	0				44	4	0	217	76	0	0	0	0	0	0	0	0	0	0	0	0	0							
14753				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
14865				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
14977				0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0							
16551				0	0	0	0	0	0	0	0	0	13	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
17110				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
17147	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	859	0	134	0	0	0	0	0	0	0	0	0	0	0	0							
17259				0	0	0	0	0	0				0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
17950				0	0	802	0	0	684	0	0	118	0	0	0	51	0	5	0	0	51	0	0	0	0	0	0	0	0	0							
17978				0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
18050				0	0	0	0	0	0	0	0	0	49	0	24	143	0	2	0	0	0	0	0	0	0	0	0	0	0	0							
18827				0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
18836				0	0	15	0	0	0				42	0	0	115	5	99	0	0	0	0	0	0	0	0	0	0	0	15							
18854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
19356				0	0	0	0	0	0				56	22	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
19936				0	0	0	0	0	0	0	0	0	11	0	0	40	0	24	0	0	16	0	0	0	0	0	0	0	0	0							
19972				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
20053				0	0	0	0	0	0				0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20633				0	0	0	0	0	0	0	0	0	0	0	0	20	0	10	0	0	0	0	0	0	0	0	0	0	0	0							
20857				0	0	0	0	0	0	0	0	0	56	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
21256				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
21359				0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
21658				0	0	0	0	0	0	0	0	0	44	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
22048				0	0	57	0	0	0	0	0	0	41	0	86	8	0	21	0	0	34	0	0	0	0	0	0	0	0	0							
22543				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
22552				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
22730				0	0	0	0	0	0				0	0	0	146	10	0	0	0	0	0	0	0	0	0	0	0	0	0							
23456				0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
23504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	220	0	0	880	0	0	0	0	0	0	0	0	0							
23643				0	0	0	0	0	0				105	5	59	189	2	28	0	0	0	0	0	0	0	0	0	0	0	0							
23755				0	0	0	0	0	0				136	0	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
24006				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
24378				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
24659				0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0							
24949				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
25357				0	0	0	0	0	0	0	0	0	77	0	19	46	6	0	0	0	0	0	0	0	0	0	0	0	0	0							
25647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	15	0	0	0	0	0	0	0	0	0	0	0	0	0							
26765				0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
27070				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	0	0	0	0	0	0	0	0	0							
27548				0	0	0	0	0	0	0	0	0	301	0	42	35	0	0	0	0	137	0	0	0	0	0	0	0	0	0							
27614				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
27847				26	0	814	0	0	814	0	0	0	201	0	35	149	0	40	18	0	160	0	0	0	0	0	0	26	0	0							
28013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	76	0	0	0	0	0	0	0	0	0	0	0							
28152				0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
28675				0	0	47	0	0	0				0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0							
28732				0	0	0	0	0	0				15	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
29476				0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
29636				0	0	0	0	0	0	0	0	0	44	0	14	57	0	21	0	0	0	0	0	0	0	0	0	0	0	0							
29878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
30052				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
30502				0	0	0	0	0	0	0	0	0	0	0	0	15	0	6	0	0	0	0	0	0	0	0	0	0	0	0							
30650				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
30810							0	0	0																												
31134				0	0	0	0	0	0	0	0	0	0	0	34	35	2	77	0	0	0	0	0	0	0	0	0	0	0	0							
31255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31657				0	0	0	0	0	0	0	0	0	28	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31826	0	0	0	0	0	0	0	0	0	0	0	0	3	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31835				0	0	52	0	0	0	0	0	15	17	0	60	20	0	44	0	0	0	0	0	0	0	0	37	0	0	0							
