"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
936855	3339906	449672	6668585	0	242387	212413	0	1631713	40976024	591721	38102352	0	222161	1800000	0	2873672	21250	40976024	28147	0	2482517	0	0	1059822	3819		0	22483542	22261381	-689917	309838	1976602	2873672	10400	5807763	0	0	0			6668585							33660048					1800000					28147	0						12261680	21398368							10000	309838	73981	1976602		10400		
937339																																							3283	3762	119274	0	1909	1704	0	6934	297801	268581	1120	269701	0	1909	0	0	28100	300	297801	0	0	27577	0	0	7478	0	47412	221169			0	162173	160264	-7255	506	0	0	0	28100	165	0	
937553																																							508	2659	33932	0	15	628	0	4120	134183	119836	399	122040	0	892	1805	0	12143	150	134183	0	0	15433	0	0	325	0	23355	96481			0	87045	86153	-3765	6168	0	0	0	12143	0	0	
937740																																							27847	10066	264131	0	1625	14025	0	38033	915096	812073	9460	866533	0	6078	45000	0	48563	600	915096	0	0	56922	0	0	23850	538	186351	625722			0	554729	548651	-32809	4479	0	0	0	48563	0	5701	
937759																																							11219	2593	52033	0	0	1201	0	3174	141542	125840	679	126519	0	654	0	0	15023	400	141542	0	0	16048	0	0	1000	0	32512	93328			0	71364	70710	-2425	612	0	0	0	15023	0	0	
937834																																							7433	1223	6162	0	0	5162	39	6172	76128	72798	326	73124	0	542	0	0	3004	100	76128	0	0	-5638	0	0	10296	0	25206	47592			0	50479	49937	-1754	0	0	0	0	3004	0	0	
937843																																							1966	2156	49099	0	0	607	0	1566	113875	107573	124	107697	0	665	0	0	6178	385	113875	0	0	1103	0	0	10615	2296	23608	83965			0	54350	53685	-5925	2500	0	0	0	6178	0	0	
938354																																							3073	635	0	0	0	0	0	390	35921	23158	71	23229	0	413	0	0	12692	100	35921	0	0	12433	0	0	159	0	8524	14634			0	14716	14303	0	1100	0	0	0	12692	0	16420	
938550																																							3524	2897	20746	0	0	530	0	1610	108261	97644	225	97869	0	899	0	0	10392	415	108261	0	0	8899	0	0	1585	0	28848	68796			0	74789	73890	-507	5064	0	0	0	10392	0	0	
938859																																							222670	10280	76699	2600	0	5583	0	28068	964808	859511	7069	866580	0	9536	0	0	98228	100	964808	0	0	98808	0	0	4800	0	255633	603878			0	628444	618908	-5480	0	0	0	0	98228	0	0	
939070																																							16365	2798	69	0	1178	5233	0	9080	278642	238204	989	259530	0	1702	20337	0	19112	0	278642	0	0	19115	0	0	0	278	53672	184532			0	245343	243641	-3	0	0	0	0	19112	0	0	
939249																																							62729	24340	408329	0	51529	16575	0	73227	1820242	1581882	6073	1644825	0	19277	46112	0	175417	200	1820242	0	0	87279	0	0	120458	0	249899	1331983			0	1174718	1155441	-32520	3292	0	0	10758	175417	0	24780	
940021																																							11248	1911	30868	0	0	1048	0	3455	100558	87273	1076	90651	0	688	0	0	9907	240	100558	0	0	10981	0	0	250	0	32420	54853			0	52109	51421	-1564	0	0	2302	0	9907	407	200	
940311	8067000	403000	16362000	4000	555000	555000	87000	1267000	58275000	511000	55803000	0	596000	103000	0	2472000	8000	58275000	8000	0	3306000	0	0	1357000	55000		0	22926000	22330000	-2199000	0	26000	2472000	2000	8580000	457000	111000	346000			16362000							54706000					103000					8000	0						13922000	40784000							0	0	0	26000		1000		
940674																																							8749	1632	41727	0	819	4219	2238	10140	276032	228202	3206	259087	0	1290	27679	0	16945	165	276032	0	0	12204	0	0	8735	0	46836	181366			0	207798	206508	-4159	0	0	0	0	16945	0	0	
940731																																							7235	1550	77090	0	247	2967	18	15183	300518	237355	1618	272871	0	2217	20000	0	27647	4571	300518	0	0	24625	0	0	4788	38	36440	200915			0	198354	196137	-6337	53	0	0	13898	27647	0	0	
940852																																							745	761	19685	0	0	535	0	2141	60027	49749	69	55563	0	270	0	0	4464	125	60027	0	0	3513	0	0	2675	0	24753	24996			0	36380	36110	-1849	0	0	5745	0	4464	50	0	
941541																																							398	1810	13467	0	0	1662	0	2878	73336	66243	436	66679	0	719	0	0	6657	100	73336	0	0	7938	0	0	175	0	24014	42229			0	53764	53045	-1556	76	0	0	0	6657	0	0	
941804																																							4625	891	49463	0	0	2592	0	4295	222557	207797	830	208627	0	1530	0	0	13930	56	222557	0	0	17001	0	0	0	0	59662	148135			0	152422	150892	-3127	9799	0	0	0	13930	0	0	
942454																																							13525	2813	86881	205	0	869	0	6099	163561	138947	4699	143646	0	1050	0	0	19915	50	163561	0	0	25329	0	0	200	0	41723	97224			0	47714	46664	-5664	6505	0	0	0	19915	0	0	
942539																																							2790	1983	23470	0	344	2825	44	7491	241714	215135	2158	217293	0	1902	0	0	24421	240	241714	0	0	22500	0	0	4865	106	36035	179100			0	186108	184206	-3184	18455	0	0	0	24421	0	0	
942847																																							250	6260	16852	0	0	3152	20	2416	232921	206559	660	213569	0	2490	5500	0	19352	382	232921	0	0	13262	0	0	7547	0	30564	175995			0	206461	203971	-1839	0	0	850	0	19352	0	0	
943143																																							2475	351	24054	23	3511	670	0	2031	69153	60427	265	60692	0	542	0	0	8461	650	69153	0	0	4960	0	0	6500	0	13777	46650			0	36580	36038	-3649	0	0	0	0	8461	0	0	
943152																																							1235	529	20407	0	0	275	0	2886	38688	36155	100	37155	0	175	700	0	1533	42	38688	0	0	2089	0	0	1708	0	7100	29055			0	12226	12051	-2306	0	0	200	0	1533	0	1305	
943273																																							3425	893	1731	0	0	1154	0	2759	91932	62876	201	83026	0	786	19949	0	8906	0	91932	0	0	8935	0	0	0	0	9147	53729			0	82525	81739	-29	0	0	0	0	8906	0	231	
943675																																							27099	9854	102081	0	0	12637	0	13894	782307	723652	2261	725913	0	6520	0	0	56394	350	782307	0	0	59052	0	0	7919	0	61289	662363			0	612767	606247	-10927	0	0	0	0	56394	144	10351	
943853																																							4255	953	1627	0	0	56	0	945	49253	40722	484	41206	0	497	0	0	8047	100	49253	0	0	4570	0	0	3400	0	5532	35190			0	40319	39822	-23	1595	0	0	0	8047	0	0	
943974																																							8590	1290	51487	0	0	1227	0	9104	252065	232916	1081	237622	0	2012	3625	0	14443	251	252065	0	0	22099	0	0	2659	0	55374	177542			0	180379	178367	-10566	2000	0	0	0	14443	0	0	
944047																																							53921	6746	24883	0	1677	7341	0	6881	420958	376674	2443	379117	0	3840	0	0	41841	100	420958	0	0	35527	0	0	7300	315	99603	277071			0	287616	283776	-1086	637	0	0	0	41841	0	34781	
944337																																							7420	3781	106374	0	0	2698	0	12038	353828	325697	1678	327412	0	1986	37	0	26416	2288	353828	0	0	29724	0	0	9463	68	85292	240405			0	184710	182724	-15059	0	0	0	0	26416	0	38725	
944355																																							4333	8263	67363	1209	809	4305	216	16699	412692	343910	9248	361465	0	31035	8307	0	51227	2094	412692	0	0	40648	0	9278	7212	0	64205	279705			0	337733	306698	-8005	0	0	0	0	51227	111	2686	
944627																																							6350	3505	112955	0	0	7627	2320	18094	578404	520905	8854	544259	0	5215	14500	0	34145	2290	578404	0	0	41973	0	0	2331	632	143423	377482			0	432136	426921	-12449	0	0	0	0	34145	0	0	
944739																																							10098	5445	201504	0	0	897	0	17302	377119	371815	2153	375508	0	943	0	0	1611	800	377119	0	0	29117	0	0	9200	0	58907	312908			0	140439	139496	-37506	0	0	0	1540	1611	343	2034	
944748																																							2750	1047	31083	0	0	302	0	959	72959	60990	168	66158	0	982	0	0	6801	200	72959	0	0	8671	0	0	800	0	13144	47846			0	37800	36818	-2870	0	0	5000	0	6801	0	0	
944935																																							14444	455	13873	0	0	210	0	895	60597	53491	294	53785	0	566	0	0	6812	1200	60597	0	0	6977	0	0	400	0	6343	47148			0	31286	30720	-1765	0	0	0	0	6812	0	0	
945026																																							1223	5380	169024	0	0	3043	0	28825	402114	341301	1736	367790	0	1412	24753	0	34324	1200	402114	0	0	53097	0	0	3391	0	162714	178587			0	196031	194619	-23364	0	0	0	0	34324	0	0	
945053																																							322564	56595	1037917	0	83306	107556	56	40388	3955180	3330607	24499	3615506	0	26420	260400	0	339674	1000	3955180	0	0	195360	0	0	226948	1954	1024587	2306020			0	2329993	2303573	-83634	1271	0	0	0	339674	0	0	
945071																																							16124	5875	84697	0	0	9677	0	16078	380284	325539	4339	329878	0	2779	0	0	50406	0	380284	0	0	58487	0	0	0	0	72434	253105			0	250612	247833	-8081	0	0	0	0	50406	0	0	
945950																																							969	838	24359	0	0	1020	0	1100	128137	110395	215	121010	0	694	10400	0	7127	200	128137	0	0	4478	0	0	4800	0	43504	66891			0	70901	70207	-2351	0	0	0	0	7127	0	29644	
946274																																							50953	759	8243	0	1348	3960	80	9058	224192	202762	838	203600	0	1636	0	0	20592	0	224192	0	0	21575	0	0	0	0	67484	135278			0	151427	149791	-983	0	0	0	0	20592	0	0	
946555																																							9035	2134	112768	0	0	3788	0	14232	300810	271153	1360	280513	0	3965	8000	0	20297	1150	300810	0	0	31769	0	0	843	0	98080	173073			0	162818	158853	-13465	0	0	0	0	20297	0	0	
947525																																							2040	2604	76590	0	366	5439	0	12427	391412	355452	1343	375040	0	3022	12552	0	16372	123	391412	0	0	27863	0	0	1239	0	79349	276102			0	293287	290265	-12853	0	0	0	5693	16372	0	1681	
947749																																							1651	6679	63636	0	109	10631	0	16813	588953	528718	3550	542268	0	8706	10000	0	46685	120	588953	0	0	47261	0	0	5080	0	155397	373321			0	490791	482085	-5776	7349	0	0	0	46685	0	0	
947776																																							23531	2294	63057	0	461	9050	0	12626	318047	297982	3615	301597	0	1468	0	0	16450	1	318047	0	0	679	0	0	23868	0	74269	223713			0	208496	207028	-8098	0	0	0	0	16450	0	0	
948036																																							1465	2111	9971	0	8468	1516	0	6079	350275	227180	1173	305366	0	725	77013	0	44909	300	350275	0	0	19727	0	0	25067	213901	26650	200530			0	107489	106764	-185	0	0	0	0	44909	0	0	
948250																																							10644	5943	67525	78	0	2467	0	1566	247998	231010	682	231719	0	1911	0	0	16279	500	247998	0	0	25065	0	0	915	0	65651	165359			0	161686	159775	-10201	0	0	0	27	16279	0	0	
948278																																							41833	2232	0	0	0	1827	0	5741	156194	138085	438	138523	0	395	0	0	17671	0	156194	0	0	17671	0	0	0	0	16736	121349			0	92545	92150	0	86	0	0	0	17671	0	12325	
948531																																							35915	1929	4373	0	0	3513	0	5945	233501	211705	2259	213964	0	2765	0	0	19537	25	233501	0	0	16738	0	0	3000	0	45191	166514			0	184591	181826	-226	0	0	0	0	19537	0	0	
949154																																							142848	69725	599491	1014	20294	53942	212	123336	4315051	3471748	28943	3900691	0	47107	325000	0	414360	2000	4315051	0	0	402610	0	0	55750	0	1090112	2381636			0	3350452	3303345	-46000	0	0	0	75000	414360	844	0	
949453																																							9071	701	13197	0	0	19	0	816	40801	36936	81	37017	0	300	0	0	3784	25	40801	0	0	2351	0	0	2975	0	13465	23471			0	17297	16997	-1567	0	0	0	0	3784	0	0	
950141																																							53952	11875	158080	0	85	30678	0	8809	886643	809425	2180	811605	0	6678	0	0	75038	300	886643	0	0	32754	0	0	47694	1874	28869	780556			0	626613	619935	-5710	0	0	0	0	75038	0	1355	
950178																																							11158	4201	84128	0	2246	16699	842	65266	938276	615130	13767	831897	0	19248	203000	0	106379	0	938276	0	0	122646	0	0	0	4147	70982	544148			0	758842	739594	-16267	0	0	0	0	106379	495	9500	
950356																																							21544	3479	48493	0	0	1337	0	6560	164435	153223	897	154120	0	1256	0	0	10315	750	164435	0	0	3887	0	0	11258	0	69953	83270			0	83778	82522	-5580	500	0	0	0	10315	0	0	
950758																																							22676	3259	39090	71	1425	4969	0	3321	232549	212026	634	212660	0	2478	0	0	19889	120	232549	0	0	9087	0	0	12380	354	42647	169379			0	159862	157384	-1698	0	0	0	0	19889	0	0	
951102																																							13131	6158	77037	0	1444	3692	0	23502	651998	587800	6315	596087	0	3819	1972	0	55911	1	651998	0	0	61060	0	0	0	0	134514	453286			0	528853	525034	-5150	0	0	0	0	55911	0	2000	
952172																																							76718	3148	5007	0	0	3657	0	34175	1196665	811395	11917	1064240	0	8470	240928	0	132425	0	1196665	0	0	83707	0	0	55261	0	87135	724260			-6791	1005175	996705	248	0	0	0	0	132425	0	77255	
952257																																							12603	1167	43609	0	0	107	108	2716	107605	96124	519	96643	0	664	0	0	10962	150	107605	0	0	14097	0	0	1650	0	19073	77050			0	47959	47295	-4935	0	0	0	0	10962	0	0	
952677																																							77226	16011	287983	0	14770	18307	3546	90716	2181313	1540502	12684	1967188	0	18220	405879	0	214125	0	2181313	8118	8123	65510	0	0	155797	0	264465	1276037			0	1629286	1611066	-7182	0	0	0	0	214125	0	53570	
952846																																							11755	8993	995	0	2352	4668	0	1991	128351	103627	1369	112795	0	1764	7799	0	15556	100	128351	0	0	8559	0	0	6900	0	28679	74948			0	99223	97459	-3	0	0	0	0	15556	138	0	
953535																																							41155	888	68707	0	13940	11385	0	16375	675864	577916	4196	613363	0	6819	30000	0	62501	580	675864	0	0	22723	0	6100	36646	10692	118730	459185			0	518011	511192	-3548	1530	0	0	1251	62501	0	0	
953843																																							8782	778	51910	0	3348	1704	0	3503	349992	294095	890	321485	0	3552	26500	0	28507	405	349992	0	0	16533	0	0	17420	0	66882	227213			0	282929	279377	-5851	590	0	0	0	28507	0	0	
953852																																							11531	4052	90774	0	1108	6096	0	6790	247990	233439	438	233877	0	1231	0	0	14113	225	247990	0	0	15407	0	0	8250	0	75711	157728			0	128803	127572	-9769	67	0	0	0	14113	0	0	
954158																																							3940	3294	41594	0	1474	648	0	2712	120731	110197	195	111992	0	342	0	0	8739	150	120731	0	0	7153	0	0	6400	0	25278	84918			0	61017	60675	-4964	0	0	1600	0	8739	57	6337	
954251																																							9112	4369	41157	0	0	1970	0	7146	213747	184434	2091	193550	0	1837	7025	0	20197	240	213747	0	0	21392	0	0	1260	0	65887	118547			0	151830	149993	-2695	0	0	0	0	20197	0	0	
954279																																							28762	1260	94528	0	461	8818	0	15605	769790	605505	2544	710797	0	6499	102748	0	58993	0	769790	0	0	1634	0	0	73610	0	99699	505806			0	622096	615597	-16251	0	0	0	0	58993	4759	0	
954653																																							2043	3114	8689	0	0	452	0	1028	69200	57752	2118	59870	0	1140	0	0	9330	676	69200	0	0	4530	0	0	5214	0	23333	34419			0	55014	53874	-1090	0	0	0	0	9330	0	0	
954671																																							21673	8796	78789	0	0	10055	0	7870	264109	242513	502	243015	0	2191	0	0	21094	330	264109	0	0	20458	0	0	6612	0	66887	175626			0	139117	136926	-6306	0	0	0	0	21094	0	0	
955548																																							16463	3993	61633	0	3600	5001	0	8402	341303	276470	3037	314101	0	3079	0	0	27202	800	341303	0	0	22558	0	0	11738	669	65240	211230			0	238871	235792	-7894	0	0	0	34594	27202	0	5750	
955753																																							2299	1488	27040	0	0	727	0	6039	130053	110318	545	119379	0	1273	6500	0	10674	520	130053	0	0	10707	0	0	3600	0	27155	83163			0	93482	92209	-4153	0	0	2016	0	10674	251	0	
955940																																							14214	6337	38583	0	0	6624	0	3794	270971	238896	1364	249460	0	1983	8200	0	21511	400	270971	0	0	23670	0	0	836	0	48521	190376			0	199310	197327	-3395	1253	0	0	1000	21511	0	2839	
955959																																							19267	7009	181401	0	0	5857	0	20352	440366	364164	6062	413411	0	3358	16700	0	26955	75	440366	0	0	30412	0	0	13723	316	52404	311761			0	191608	188250	-17255	0	0	0	26485	26955	0	17914	
955977																																							8907	1578	55978	0	40	9848	0	24003	581103	491377	8046	515981	0	5220	16558	0	65122	1	581103	0	0	31495	0	0	41433	0	129466	361911			-1376	479379	474159	-6431	815	0	0	0	65122	0	5775	
956134																																							2268	1834	79225	0	138	2007	0	3650	166795	127111	774	161027	0	1185	3000	0	5768	600	166795	0	0	13373	0	0	2636	0	21158	105953			0	78858	77673	-10841	0	0	1650	28492	5768	0	0	
956152																																							897	3293	65951	0	0	864	0	4232	155659	139266	342	148383	0	844	8775	0	7276	100	155659	0	0	12772	0	0	1398	0	30925	108341			0	81266	80422	-6994	0	0	0	0	7276	0	0	
956255																																							2190	3081	146974	0	0	4297	0	14527	312459	287861	1943	296168	0	2869	0	0	16291	1100	312459	0	0	30973	0	0	1020	0	63679	224182			0	144185	141316	-16802	74	0	0	6364	16291	0	0	
956358																																							3872	6213	26132	0	748	4116	710	3755	144101	136063	310	136373	0	1009	0	0	7728	50	144101	0	0	2259	0	0	8329	0	39322	96741			0	88404	87395	-2910	11160	0	0	0	7728	0	0	
956376																																							21795	1119	58032	0	0	2465	0	7196	191674	170865	573	173588	0	601	2150	0	18086	0	191674	0	0	22113	0	0	0	0	35410	135455			0	101668	101067	-4027	0	0	0	0	18086	0	0	
