"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	12205	0	4963	22125	0	33166	0	0	0	0	34399	0	453		12827	2166	2453	28203	33946	0	0	594	0	0	2135	9413	6346	1173	11548	0	269	693	0	6239	961	0	0	269	0	0	0	0	0	0	true							
242	8405	0	1205	12483	0	19953	0	0	0	0	27468	0	4771		5724	5899	1413	18748	22697	0	0	0	0	0	1245	3926	2345	938	5170	0	3635	774	301	2730	4710	0	0	3635	0	0	0	0	0	0	true							
279	54163	0	447	60445	0	119824	0	0	12000	0	195109	0	846		42496	31358	13763	119377	194263	0	0	6768	12000	0	12384	41755	25930	8069	54139	3544	12335	5062	509	45642	21449	0	0	15878	0	0	0	0	0	0	true							
354	1529	0	125	6327	0	6327	0	0	5714	0	35085	0	1293		1564	4904	77	6202	18284	0	15508	0	5714	2986	9035	9634	3961	3134	18421	1579	1309	0	0	24200	2888	0	0	2888	15508	0	0	0	0	0	true							
457	8918	0	535	11321	0	14445	0	0	0	0	44664	0	9094		7241	18933	2387	13910	34876	0	694	1121	0	0	2910	7681	3001	306	10591	750	1603	563	0	6657	2916	0	0	2353	449	0	0	0	0	0	true							
505	109430	0	37212	183733	0	272045	0	0	0	0	352482	0	69162		17673	193651	3212	234833	283320	0	0	538	0	0	6696	17664	7855	349	24180	2435	12891	1511	0	14891	16837	37559	0	15326	0	34941	0	0	0	0	false							
1155	750	0	28945	130760	0	332371	0	0	0	0	89739	0	6449		25895	36541	8786	302014	83290	1412	0	2822	0	0	12123	18640	6764	2566	27811	2583	7064	2401	307	14198	12355	46879	0	8945	0	0	0	41873	0	41873	true							
1351	10547	0	12547	30668	0	55237	0	0	0	0	125184	0	10928		34450	32617	9953	42690	114256	0	0	5061	0	0	9179	29218	25463	0	38397	1560	8494	8105	0	29411	18159	0	0	10054	0	0	0	0	0	0	false							
1454	1023	0	45473	351821	0	558013	0	0	0	0	376493	671	38676		34780	282651	30391	511542	337146	998	0	13393	0	0	21249	23909	8190	2641	37438	26988	7369	1909	564	21209	36830	41963	0	12573	0	0	0	36500	0	36500	true							
